username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Nabla VR,@vr_nabla,2021-08-12T06:35:45.000Z,"A virtual assistant provides audio, written, and visual explanation to the user in the training mode.

#vr #virtualreality #ar #augmentedreality #virtualexperience #vrtraining #vreducation #education #training #eğitim #oculusquest2 #htcvive #technology","0:30
57 views",,3,3,"['vr', 'virtualreality', 'ar', 'augmentedreality', 'virtualexperience', 'vrtraining', 'vreducation', 'education', 'training', 'eğitim', 'oculusquest2', 'htcvive', 'technology']"
Emrah Altuntecim,@EAltuntecim,2021-08-11T16:38:29.000Z,"As Nevita Academy we provided a great outdoor session full of motivation with our Finance Department staff. We all inspired with the team spirit and the power of nature  #nevita #nevitaacademy #fuzul #eğitim #gelișim #training #development
@nevitaint",,,,1,"['nevita', 'nevitaacademy', 'fuzul', 'eğitim', 'gelișim', 'training', 'development']"
ATL JET AVIATION & CONSULTANCY,@atljetaviation,2021-08-06T12:44:05.000Z,"#training #brokerage #universities #university #aviationmanagement #charter #business #businessjets #PrivateSale #privatejets #private #ueniversiteli #UEniversiteniKesfet #egitim 
For more info: sales@atljetaviation.com
http://atljetaviation.com
+90 552 795 75 91 
+90 533 191 36 85","ATL JET AVIATION and CONSULTANCY
ATL JET AVIATION and CONSULTANCY
atljetaviation.com",,,,"['training', 'brokerage', 'universities', 'university', 'aviationmanagement', 'charter', 'business', 'businessjets', 'PrivateSale', 'privatejets', 'private', 'ueniversiteli', 'UEniversiteniKesfet', 'egitim']"
Sivas Valiliği,@sivasvaliligi,2021-08-07T07:11:19.000Z," Valimiz Salih Ayhan, Sivas Milletvekilimiz İsmet Yılmaz, kitap okumaya gönül vermiş ortaokul ve lise öğrencilerimizle birlikte, “Kitapların Gölgesinde Kadim Tarihe Yolculuk Projesi” kapsamında Raybüsle Divriği ilçemize yolculuk yaptı. 

Her Yerde #Eğitim 
Herkes İçin #Eğitim",Salih AYHAN,,2,35,"['Eğitim', 'Eğitim']"
ASBÜ Kuzey Kıbrıs Akademik Birimi,@asbukktc,2021-08-06T06:39:55.000Z,"Haydi sen de aramıza katıl!

#KKTC #KKTCASBÜ #yks #yks2021 #tercih #üniversite #lisans #eğitim #education #ASBÜ #ASBÜdeyim #tercihimASBÜ",,,4,14,"['KKTC', 'KKTCASBÜ', 'yks', 'yks2021', 'tercih', 'üniversite', 'lisans', 'eğitim', 'education', 'ASBÜ', 'ASBÜdeyim', 'tercihimASBÜ']"
KOMEK#EvdeHayatVar,@komekkonya,2021-08-06T07:16:08.000Z," Kur'an-ı Kerim ışıkları her köşeye saçılıp yayılan bir güneştir. 
~İmam-ı Gazâlî~ 

#GencKOMEK #YazOkulu #eğitim #onlineeğitim #kurân #kuransevgisi #kuranöğreniyorum",,,2,22,"['GencKOMEK', 'YazOkulu', 'eğitim', 'onlineeğitim', 'kurân', 'kuransevgisi', 'kuranöğreniyorum']"
Şener Söğüt,@senersogut,2021-08-05T14:46:27.000Z,"Özel Çocuklarımız için hazırladığımız #Eğitim ve Uygulama Okulu'nu #Kocaeli Milletvekilimiz Mehmet Akif Yılmaz, İlçe Başkanımız Ramazan Tuna ve İlçe Milli Eğitim Müdürümüz Sergülen Kurt ile birlikte ziyaret ederek idarecilerimizden yeni dönem hakkında bilgiler aldık.",Mehmet Akif YILMAZ and Ramazan TUNA,,1,14,"['Eğitim', 'Kocaeli']"
Abdulkadir AÇAR,@abdulkadiracar,2021-08-10T09:13:53.000Z,"Eğitimdeki Ana Gayemiz;
İyi insan ve iyi vatandaş yetiştirmek olmalı.
Zira buna çok muhtacız…
#egitim #insan",,2,4,73,"['egitim', 'insan']"
Macar Kültür Merkezi,@MacarKultur,2021-08-11T14:18:50.000Z," Eğitim alanında kazanılan bir zaferi paylaşıyoruz:
Budapeşte'deki Eötvös Loránd Üniversitesi (ELTE) matematik öğrencisi Attila Gáspár, 28. Uluslararası Üniversite Öğrencileri Matematik Yarışması'nı (IMC) kazandı. 
Tebrik ediyoruz. 

Foto: ELTE

#macaristan #eğitim",,1,9,74,"['macaristan', 'eğitim']"
Veli-Der Ankara,@veliderankara,2021-08-11T10:52:32.000Z,"Yüz yüze eğitimden vaz geçmiyoruz. Hiç bir koşulda okullar kapalı kalmamalıdır. Okulların açılmasına dair hazırlıkları ve kararlılığı velilere  açıklamak öğrencilelere göstermek  zorundasınız.
Okulların kapalı kalmasına kimsenin tahammülü kalmadı.
#meb
#eğitim
#okullaraçılsın",,,18,45,"['meb', 'eğitim', 'okullaraçılsın']"
İmhad Gençlik Spor,@ImhadSpor,2021-08-05T12:36:33.000Z,"#İMHADlaBuYaz Okçuluktayız!

#İMHADYazKampı #Yaz #Kamp #İngilizce #YabancıDil #Eğitim #Öğretim #İMHAD #GENÇLİK #İMHADGSK #İyiKiİMHADVar #İyiKiİmamHatipVar #İMHADGençlikKurulu #İmamHatipMezunveMensupları",burhan and İMHAD MEDYA,,3,8,"['İMHADlaBuYaz', 'İMHADYazKampı', 'Yaz', 'Kamp', 'İngilizce', 'YabancıDil', 'Eğitim', 'Öğretim', 'İMHAD', 'GENÇLİK', 'İMHADGSK', 'İyiKiİMHADVar', 'İyiKiİmamHatipVar', 'İMHADGençlikKurulu', 'İmamHatipMezunveMensupları']"
Dünya Değişim Akademisi,@DunyaDegisim,2021-08-13T06:08:57.000Z,"Çocuklar için değişim programı 
....
#çocuk #çocukpsikolojisi #eğitim #çocukeğitimi",,,3,4,"['çocuk', 'çocukpsikolojisi', 'eğitim', 'çocukeğitimi']"
TOKAT,@tokattan60,2021-08-06T05:23:28.000Z,"MİLLİ EĞİTİME TOKAT'LI BAKAN

Cumhurbaşkanı Recep Tayyip Erdoğan'ın imzaladığı karar Resmi Gazetede yayınlandı.

Milli Eğitim Bakanı Ziya Selçuk'un istifasını kabul eden Cumhurbaşkanı Recep Tayyip Erdoğan yerine Tokatlı hemşerimiz Prof.Dr. Mahmut Özer'i atadı.
#eğitim
@tokatmem",,,5,79,['eğitim']
Doğru Cevap Eğitim Kurumları,@DogruKurs,2021-08-12T07:19:36.000Z,"2021-2022 Eğitim - Öğretim Yılı Açılış Buluşması’nı 16 Ağustos Pazartesi günü gerçekleştireceğiz. 
#doğrucevap #kolej #açılış #eğitim",,,1,10,"['doğrucevap', 'kolej', 'açılış', 'eğitim']"
Egebil Kolejleri Ankara Çankaya Kampüsü,@egebilcankaya,2021-08-06T13:29:06.000Z," EĞİTİMDE TARİHİ BULUŞMA!

Eğitim ve eğitimin geleceğine dair bir çok sorunun yanıt bulacağı, İYTE Rektörü Sn. Prof. Dr. Yusuf BARAN'ın konuk olacağı instagram canlı yayınımız 9 Ağustos 2021 Pazartesi günü 20.30'da gerçekleşecektir.

#EgebilCankaya #eğitim #gelecek #inovasyon",,,14,21,"['EgebilCankaya', 'eğitim', 'gelecek', 'inovasyon']"
