username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Yıldız Özkan Terziog,@YTerziog,2021-08-11T10:14:47.000Z,"If there is really no expectation, nothing that emerges will disturb the inner balance and disappoint.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogi']"
Yıldız Özkan Terziog,@YTerziog,2021-08-10T06:33:31.000Z,"To achieve the power of love, you must learn to give without receiving.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogi",,,2,2,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogi']"
Yıldız Özkan Terziog,@YTerziog,2021-08-12T07:51:15.000Z,"Awareness is the beginning of the solution.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere #yogaislife #yogaismagic  #yogaposes #healthymind",,,1,3,"['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere', 'yogaislife', 'yogaismagic', 'yogaposes', 'healthymind']"
Dünya Değişim Akademisi,@DunyaDegisim,2021-08-05T10:12:45.000Z,"İnsan değişirse dünya değişir!
Değişim için
....
#değişim #dönüşüm #farkındalık #psikoloji #değişimuzmanları #gündem #sondakika",,,4,4,"['değişim', 'dönüşüm', 'farkındalık', 'psikoloji', 'değişimuzmanları', 'gündem', 'sondakika']"
Buket Atlı,@buketatli,2021-08-09T17:19:53.000Z,"Kendinin farkına var.
#buketatlı #evreninsırrı #koçluk #coach #coaching #yaşamkoçu #farkındalık #evreninilahidili #motivasyon #iyiaksamlar #pazartesi",,,5,83,"['buketatlı', 'evreninsırrı', 'koçluk', 'coach', 'coaching', 'yaşamkoçu', 'farkındalık', 'evreninilahidili', 'motivasyon', 'iyiaksamlar', 'pazartesi']"
Dünya Değişim Akademisi,@DunyaDegisim,2021-08-06T05:01:48.000Z,"Aslında insanın başardığı tek şey ekolojik uyumu bozmaktır. Teknoloji o kadar geliştiki doğal dengeyi yok etmeye başladı. Doğal dengeyi yok etmek demek insanlığı yok etmek demektir. İnsan değişmedikçe umut yoktur. Değişim için
....
#gündem #sondakika #farkındalık",,,3,5,"['gündem', 'sondakika', 'farkındalık']"
Dünya Değişim Akademisi,@DunyaDegisim,2021-08-10T21:46:56.000Z,"Çoğu insanın dünyaya bakış açısı, geçmişten gelen dünyevi mirasın mekanik olarak tekrarlanmasından ibarettir...
Değişim Sanatı
....
#değişim #dönüşüm #farkındalık #psikoloji #değişimuzmanları #gündem #sondakika #eğitim",,,3,5,"['değişim', 'dönüşüm', 'farkındalık', 'psikoloji', 'değişimuzmanları', 'gündem', 'sondakika', 'eğitim']"
Dünya Değişim Akademisi,@DunyaDegisim,2021-08-11T19:48:23.000Z," Cesur Olma Sanatı Programı
.....
#değişim #dönüşüm #farkındalık #psikoloji #değişimuzmanları #gündem #sondakika #eğitim #cesaret",,,3,3,"['değişim', 'dönüşüm', 'farkındalık', 'psikoloji', 'değişimuzmanları', 'gündem', 'sondakika', 'eğitim', 'cesaret']"
Sibel Buğdaycı,@sibelbugdayci,2021-08-09T04:39:26.000Z,"Ağustos, özellikle dün başlayan 8.8 Işık kapısı ile birlikte, bizlere değişim zamanı diyor. Değişim, yükseliş her şeyden önce insan olmak ,insan olmanın hakkını vermek

#SibelBuğdaycı #farkındalık #dönüşüm #yükseliş #uyanış #hisset #insanolmak",,,,,"['SibelBuğdaycı', 'farkındalık', 'dönüşüm', 'yükseliş', 'uyanış', 'hisset', 'insanolmak']"
Onur Önel - Eğitmen | Yazar | Yönetim Danışmanı,@Onurnel1,2021-08-08T11:29:38.000Z,"Onur Önel

""Birisi Patrona Gerçeği Söylesin"" kitabının yazarı (3.baskı)

Eğitmen | Yönetim Danışmanı | Topluluk Konuşmacısı

#eğitim #eğitmen #farkındalık #iletişim #kariyer #kitap #kişiselbaşarı #yönetim #insankaynakları #kktc #gazimağusa #girne #lefkoşa #izmir #yazar #işdünyası",,,,3,"['eğitim', 'eğitmen', 'farkındalık', 'iletişim', 'kariyer', 'kitap', 'kişiselbaşarı', 'yönetim', 'insankaynakları', 'kktc', 'gazimağusa', 'girne', 'lefkoşa', 'izmir', 'yazar', 'işdünyası']"
