username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
AYIŞIK SİGORTA,@ayisik_sigorta,2018-10-15T10:42:07.000Z,"#sigorta #otomobil  #trafiksigorta #kaskosigorta #konutsigorta #ferdikaza #sigorta #kasko #insurance #dask #depremsigorta
@sadettinbozgoz
 @tuysal42
 @iclal
.hmrc @mustafapehlivan1978 
@beyzaa42
.94",,,,,"['sigorta', 'otomobil', 'trafiksigorta', 'kaskosigorta', 'konutsigorta', 'ferdikaza', 'sigorta', 'kasko', 'insurance', 'dask', 'depremsigorta']"
Sektör Sigorta,@SektorSigorta,2018-12-04T16:29:45.000Z,Avantajlı teklif ve ayrıntılı bilgi  için ;     http://sektorsigorta.com.tr #mapfresigorta #sektorsigorta #mapfreyaşam #sağlıksigortası #tamamlayıcısağlıksigortası #kasko #trafik #dask #seyahatsigortası #işyerisigortası #konutsigortası #allrisk #ferdikaza,,,,,"['mapfresigorta', 'sektorsigorta', 'mapfreyaşam', 'sağlıksigortası', 'tamamlayıcısağlıksigortası', 'kasko', 'trafik', 'dask', 'seyahatsigortası', 'işyerisigortası', 'konutsigortası', 'allrisk', 'ferdikaza']"
NN Turkiye,@NNTurkiye,2021-02-20T05:45:54.000Z,"Ani ve beklenmedik durumlara karşı önlemini Ferdi Kaza Sigortası ile al! 
 
#ÖnceSen #ÇünküBaşkaSenYok #FerdiKaza",,,,3,"['ÖnceSen', 'ÇünküBaşkaSenYok', 'FerdiKaza']"
NN Turkiye,@NNTurkiye,2021-04-19T08:47:18.000Z,"“Hep Yanında Artı Ferdi Kaza Sigortası” ile hem kendini ve sevdiklerini güvence altına al, hem de 7/24 ücretsiz yol yardım asistans hizmetinden faydalan. #ÖnceSen #ÇünküBaşkaSenYok #FerdiKaza
https://nnhayatemeklilik.com.tr/ferdi-kaza-sigortasi/urunlerimiz/hep-yaninda-arti-ferdi-kaza-sigortasi…",,,,1,"['ÖnceSen', 'ÇünküBaşkaSenYok', 'FerdiKaza']"
NN Turkiye,@NNTurkiye,2020-12-04T08:08:27.000Z,"İstediğin Hayat Sigortası seni ve isteklerini dinleyen, ihtiyaçlarına göre şekillenebilen esnek bir ürün çünkü hayat seçince güzel! 
Üstelik “Hoş Geldiniz Paketi” kapsamında diş ve göz paketi de ilk yıl bizden sana hediye!
 
#ÖnceSen #ÇünküBaşkaSenYok #FerdiKaza",,1,1,1,"['ÖnceSen', 'ÇünküBaşkaSenYok', 'FerdiKaza']"
Gözde Pektaş,@GozdePktas,2020-08-17T22:54:33.000Z,Hayata güvenle bak  #trafik #zorunlutrafiksigortası #poliçe #kasko #dask #konut #işyeri #sağlık #nakliyat #seyahatsağlık #ferdikaza #teminat #sigorta #sigortacı,,,,3,"['trafik', 'zorunlutrafiksigortası', 'poliçe', 'kasko', 'dask', 'konut', 'işyeri', 'sağlık', 'nakliyat', 'seyahatsağlık', 'ferdikaza', 'teminat', 'sigorta', 'sigortacı']"
UYBAR Sigorta,@uybarsigorta,2021-01-27T17:37:50.000Z,"Kaskonuzun süresi dolmuş olabilir mi? 
Avantajlı Uysal Sigorta ürünlerinden faydalanmak için HEMEN iletişime geçin!
.
0535 790 25 44
.
 uysalsigorta6@gmail.com

#uysalsigorta #trafik #kasko #ferdikaza #sigorta",,,,3,"['uysalsigorta', 'trafik', 'kasko', 'ferdikaza', 'sigorta']"
Sigorta Haber | Insurance News #MaskeTak,@sigortahabercom,2021-01-13T20:47:37.000Z,#atlasmutuelsigorta #atlasmutuel #sigorta #sigortacılık #sigortacı #acente #kasko #kaskosigorta #nakliyat #ferdikaza #sigortaacentesi #acenteler #araba #ev #kaza #konut #deprem #risk,,,,3,"['atlasmutuelsigorta', 'atlasmutuel', 'sigorta', 'sigortacılık', 'sigortacı', 'acente', 'kasko', 'kaskosigorta', 'nakliyat', 'ferdikaza', 'sigortaacentesi', 'acenteler', 'araba', 'ev', 'kaza', 'konut', 'deprem', 'risk']"
Türk Nippon Sigorta,@turknippon,2020-09-23T12:13:45.000Z,"Başına gelmesini bekleme! Türk Nippon Sigorta Ferdi Kaza Sigortasıyla, başınıza gelebilecek talihsiz kazalara karşı güvence altında olun!
#türknipponsigorta #sigorta #ferdikaza #ferdikazasigortası #poliçe #güvence",,,5,7,"['türknipponsigorta', 'sigorta', 'ferdikaza', 'ferdikazasigortası', 'poliçe', 'güvence']"
Türkiye Sigorta Birliği #SigortasızOlmaz,@sigortabirligi,2018-06-03T07:45:39.000Z,#SigortaHaftası #trafik #kasko #bireyselemeklilik #ferdikaza #DASK #sağlık #hayat #sigorta #poliçe #riskalmayın #güvence,,,,10,"['SigortaHaftası', 'trafik', 'kasko', 'bireyselemeklilik', 'ferdikaza', 'DASK', 'sağlık', 'hayat', 'sigorta', 'poliçe', 'riskalmayın', 'güvence']"
