username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Boris Brejcha,@BB_BORISBREJCHA,2021-08-05T08:43:17.000Z,"Can't wait to be back! 
#exit #festival",,6,32,308,"['exit', 'festival']"
"Rachel Webster RGN, MBA, BSc, AFHEA",@rachel1webster,2021-08-06T15:36:56.000Z,My #festival gear this year ,,1,,5,['festival']
CRYSTALS 크리스탈 - クリスタル,@crystalsproj,2021-08-06T19:50:06.000Z,"Good Day Everyone!

Tase of Korea’s “World Hansik Festival” (3-Day Event) is starting today on August 06, 2021!

The K-Pop Dance Show case will be this Sunday! See you there on August 08, 2021 at 2:00 PM! 

#tasteofkorea #crystals #festival",,,2,4,"['tasteofkorea', 'crystals', 'festival']"
Blue Nation,@bluenationmusic,2021-08-07T08:44:42.000Z,We cannot tell you how much we have have missed being onstage.  #onstage #festival #livemusic,,,1,4,"['onstage', 'festival', 'livemusic']"
The Lightscopes,@TheLightscopes,2021-08-05T09:11:02.000Z,"Don't forget to join us for our next gig where we will be playing The Brickies in Norwich on the 25th September 2021 at The Norwich A.I.R FEST 2021

#norwich #a.i.rfest #thelightscopes #newmusic #essexband #festival #indie #britpop #punk #guitarmusic",,,2,1,"['norwich', 'a', 'thelightscopes', 'newmusic', 'essexband', 'festival', 'indie', 'britpop', 'punk', 'guitarmusic']"
,@D_chicaBonita,2021-08-06T00:42:40.000Z,Hard Summer  it was great to be back! #hardsummer2021 #festival,,2,,7,"['hardsummer2021', 'festival']"
ERGO,@ERGO_designews,2021-08-06T16:00:45.000Z,Open House Praha #festival starts tomorrow for two days dedicated to #architecture.,,,,1,"['festival', 'architecture']"
sᴛʏsɪᴏ,@Stysio,2021-08-12T16:25:54.000Z,Festival look day one  #festival #festfestival #festivallook,,,1,17,"['festival', 'festfestival', 'festivallook']"
Cannes World Film Festival - Remember the Future,@CannesWorldFilm,2021-08-06T21:30:14.000Z,"Reminder - August Earlybird Deadline is right around the corner!  Only 2 days left!  Submit Now on #FilmFreeway https://filmfreeway.com/CannesWorldFilmFestival…

#World #Film #Festival #FeatureFilm #ShortFilm #Filmmaking #Actor #Actress #IndieFilm #Documentary #MusicVideo #RememberTheFuture #Cannes",,,11,119,"['FilmFreeway', 'World', 'Film', 'Festival', 'FeatureFilm', 'ShortFilm', 'Filmmaking', 'Actor', 'Actress', 'IndieFilm', 'Documentary', 'MusicVideo', 'RememberTheFuture', 'Cannes']"
YPN,@ypnlive,2021-08-06T19:35:43.000Z,"It’s not just a beautiful  - We are glad to announce that the YPN crew is on sight at Glastonbury Festival!

Stay tuned for upcoming news!

#glastonburyfestival 
#festival",,,,2,"['glastonburyfestival', 'festival']"
FedeCrissHalliwell is reading Chain Of Gold,@FedePiper91,2021-08-11T11:41:51.000Z,Today! #noemi #tagliacozzo #festival #metamorfosisummertour,,,2,16,"['noemi', 'tagliacozzo', 'festival', 'metamorfosisummertour']"
Cannes World Film Festival - Remember the Future,@CannesWorldFilm,2021-08-06T20:05:18.000Z,"𝗕𝗲𝘀𝘁 𝗜𝗻𝗱𝗶𝗲 𝗙𝗲𝗮𝘁𝘂𝗿𝗲 𝗙𝗶𝗹𝗺 - 𝗙𝗲𝗯𝗿𝘂𝗮𝗿𝘆 𝟮𝟬𝟮𝟭
𝙴𝚇𝚃𝙴𝚁𝙽𝙾 (𝚃𝚛𝚊𝚒𝚕𝚎𝚛)- 𝙹𝚘𝚗𝚊𝚝𝚑𝚊𝚗 𝚃𝚊𝚞𝚋 & 𝙻𝚎𝚊𝚗𝚍𝚛𝚘 𝚃𝚊𝚞𝚋 (𝙰𝚛𝚐𝚎𝚗𝚝𝚒𝚗𝚊) https://youtu.be/1h7UcVj6KB8

#World #Film #Festival #RememberTheFuture #Cannes #Indie #FilmFreeway #Winner","𝙴𝚇𝚃𝙴𝚁𝙽𝙾 (𝚃𝚛𝚊𝚒𝚕𝚎𝚛) - 𝙹𝚘𝚗𝚊𝚝𝚑𝚊𝚗 𝚃𝚊𝚞𝚋 &...
𝗕𝗲𝘀𝘁 𝗜𝗻𝗱𝗶𝗲 𝗙𝗲𝗮𝘁𝘂𝗿𝗲 𝗙𝗶𝗹𝗺 - 𝗙𝗲𝗯𝗿𝘂𝗮𝗿𝘆 𝟮𝟬𝟮𝟭𝙴𝚇𝚃𝙴𝚁𝙽𝙾 (𝚃𝚛𝚊𝚒𝚕𝚎𝚛) - 𝙹𝚘𝚗𝚊𝚝𝚑𝚊𝚗 𝚃𝚊𝚞𝚋 & 𝙻𝚎𝚊𝚗𝚍𝚛𝚘 𝚃𝚊𝚞𝚋 ...
youtube.com",,10,132,"['World', 'Film', 'Festival', 'RememberTheFuture', 'Cannes', 'Indie', 'FilmFreeway', 'Winner']"
سید محمد جعفر (jaFFy),@SyedMohdJafar2,2021-08-05T16:09:55.000Z,"Remember one thing #Muharram is not a #Festival...!
Ye Tw Mazloom Ka Matam Hai Kam Na hoga ",,,,2,"['Muharram', 'Festival']"
RoSaWay,@RoSaWayMusic,2021-08-06T15:57:20.000Z,On stage at the Bonporteau Festival #festival #live #culture #music #Cavalaire #Musique #concert #stage #duo #Pop #rosaway #flute,,,,5,"['festival', 'live', 'culture', 'music', 'Cavalaire', 'Musique', 'concert', 'stage', 'duo', 'Pop', 'rosaway', 'flute']"
☽ Shadows☾,@SqueakingShadow,2021-08-08T21:54:10.000Z,"So hows the festival packing going… 
#BOA #festival",,,,4,"['BOA', 'festival']"
Sharon Morris,@ronabatgirl,2021-08-12T17:45:54.000Z,Home for the weekend #festival #camping,,2,1,8,"['festival', 'camping']"
Paul McDonnell,@Paolomc84,2021-08-10T15:53:38.000Z,Another event not going ahead in 2021 but has been moved to 2-5 June 2022. #festival #plymouth,,,,,"['festival', 'plymouth']"
