username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Çılgın Fizikçiler ve Bilim İnsanları #Bilim,@CilginFizikciBi,2021-08-05T12:01:02.000Z,"History Channel 

#bilim #fizik #HistoryChannel #belgesel",,,,4,"[""['bilim', 'fizik', 'HistoryChannel', 'belgesel']""]"
Ede Bone P.T,@KH07DD,2021-08-05T17:06:49.000Z,"Sunday…more DecaUK training 
Swim 5km
Bike 200km
Run 50km
Longest single day triathlon in the world….
255Tri 

#optimalfitness #bullstrengthambassador
#cliffpratts 
#gianttrinity #duraacedi2 #dtswisswheels #ceramicspeed #speedfil #aerocoach #fizik 
#ezdisc",,,,,"[""['optimalfitness', 'bullstrengthambassador', 'cliffpratts', 'gianttrinity', 'duraacedi2', 'dtswisswheels', 'ceramicspeed', 'speedfil', 'aerocoach', 'fizik', 'ezdisc']""]"
Geddan Ruddock,@GEDDAN_RUDDOCK,2021-08-06T23:00:26.000Z,"Always a pleasure to wrap new bar tape
..! #bartape #fizik #orange #burnenergynotfuel https://instagram.com/p/CSQCg8oJzetS7MGb1xT4yWKJffQpwQxoEfGOLI0/?utm_medium=twitter…",,,,,"[""['bartape', 'fizik', 'orange', 'burnenergynotfuel']""]"
Velo Deals,@DealsVelo,2021-08-09T14:30:14.000Z,Check out many more fantastic deals on Velodeals. Link in bio. #velodeals #cycling #cyclingdiscounts #bestdeals #deals #cyclinglife #cyclinglifestyle #bicycle #outdoors #greatdeal #bikerepair #cyclingdeals #mountainbike #roadbike #fizik #bikeseat #fizikarioner3openkium #selleseat,,,,,"[""['velodeals', 'cycling', 'cyclingdiscounts', 'bestdeals', 'deals', 'cyclinglife', 'cyclinglifestyle', 'bicycle', 'outdoors', 'greatdeal', 'bikerepair', 'cyclingdeals', 'mountainbike', 'roadbike', 'fizik', 'bikeseat', 'fizikarioner3openkium', 'selleseat']""]"
Çılgın Fizikçiler ve Bilim İnsanları #Bilim,@CilginFizikciBi,2021-08-07T15:13:04.000Z,"#Pangea kıtasında modern ülkeler 

Pangaea ya da Pangea, dördüncü ve son süperkıtadır. Yaklaşık 300 milyon yıl önce daha önceki erken kıta parçalarından toplanarak bir araya geldi ve yaklaşık 175 milyon yıl önce ayrılmaya başladı. 

#bilim #fizik #jeoloji",,1,,2,"[""['Pangea', 'bilim', 'fizik', 'jeoloji']""]"
Kuantum Teknolojileri Türkiye,@KuantumTurkiye,2021-08-06T09:35:25.000Z,"Yusuf Karlı (
@Psibilim
) bu sade ve güzel yazısında kuantum fiziği üzerine çalışmak için kullanabileceğiniz iki muhteşem kaynağı ele almış. İlgili herkese tavsiye edilir.

Kuantum Fiziği ve Programlama Üzerine: Qutip ve Julia - https://medium.com/qturkey/kuantum-fizigi-ve-programlama-uzerine-qutip-ve-julia-b469b9ca51c0…

#kuantum #fizik #programlama","Kuantum Fiziği ve Programlama Üzerine: Qutip ve Julia
Söz konusu bilgisayar kullanarak kuantum fiziği problemlerinin çözümleri ve simülasyonları olduğu zaman tek bir dilin (veya yazılımın)…
medium.com",,15,48,"[""['kuantum', 'fizik', 'programlama']""]"
OkulGen Eğitim Araçları,@okulgencom,2021-08-04T10:57:08.000Z,"OKULGEN OKUL GEN
#mikroskop #mikroskopy #microsope #magnifier #laboratuvar #laboratuvarteknikeri #teknoloji #kimya #biyoloji #fen #fizik #chemistry #biology #pyhsics #laboratuvarmalzeme #laboratuvarmalzemeleri #laboratuvarekipman #laboratuvarekipmanlari #cell #teknolojikürünler",,,,,"[""['mikroskop', 'mikroskopy', 'microsope', 'magnifier', 'laboratuvar', 'laboratuvarteknikeri', 'teknoloji', 'kimya', 'biyoloji', 'fen', 'fizik', 'chemistry', 'biology', 'pyhsics', 'laboratuvarmalzeme', 'laboratuvarmalzemeleri', 'laboratuvarekipman', 'laboratuvarekipmanlari', 'cell', 'teknolojikürünler']""]"
Çılgın Fizikçiler ve Bilim İnsanları #Bilim,@CilginFizikciBi,2021-08-04T13:58:14.000Z,"Bakterilerin çoğalması

#bilim #fizik #biyoloji #bakteri","0:16
53 views",,,2,"[""['bilim', 'fizik', 'biyoloji', 'bakteri']""]"
Fizik Hub,@FizikHub,2021-08-10T19:57:39.000Z,"Geçmişten günümüze uzay araştırmalarında gelinen nokta
#SpaceX #nasa #Space #uzay #astronomy #Astrophotography #fizik #Physics #Bilim #müjde #Science #planet #gezegen #ESA #hubble #Saturn #Jupiter #nebula #Galaxy #Cosmos #UNIVERSE #nature #photography #doga #Mars #fotoğraf",,,2,9,"[""['SpaceX', 'nasa', 'Space', 'uzay', 'astronomy', 'Astrophotography', 'fizik', 'Physics', 'Bilim', 'müjde', 'Science', 'planet', 'gezegen', 'ESA', 'hubble', 'Saturn', 'Jupiter', 'nebula', 'Galaxy', 'Cosmos', 'UNIVERSE', 'nature', 'photography', 'doga', 'Mars', 'fotoğraf']""]"
sportbmc,@sport_bmc,2021-08-10T19:38:16.000Z,"Sizce bu nedir? 
Her yerde geometri, her yerde matematik. #estetik #matematik #fizik #orjinal #suyundansi #suisik #istanbul #doga  #motivation #severekçalış #geometri #motivation #saltgalata #iklim #balik #deniz",,,,,"[""['estetik', 'matematik', 'fizik', 'orjinal', 'suyundansi', 'suisik', 'istanbul', 'doga', 'motivation', 'severekçalış', 'geometri', 'motivation', 'saltgalata', 'iklim', 'balik', 'deniz']""]"
