username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
AYMOD,@cnraymod,2021-08-06T13:25:13.000Z,"Replying to 
@cnraymod","The 65th edition of AYMOD, which has become the largest trade platform of the global footwear fashion industry recently, greets domestic and international buyers on September 29...",1,1,1,[]
AYMOD,@cnraymod,2021-08-06T13:25:13.000Z,"Unrivaled with its quality and diversity, the exhibition provides companies and buyers with a chance to seize new business opportunities through its extensive profile of exhibitors. 

#aymod #cnraymod #fuar #ayakkabı #yenisezon #tasarim #deri #stil #shoes #fair #shoesfair",,,,,"['aymod', 'cnraymod', 'fuar', 'ayakkabı', 'yenisezon', 'tasarim', 'deri', 'stil', 'shoes', 'fair', 'shoesfair']"
Cnr Pet Show,@cnrpetshow,2021-08-09T14:25:35.000Z,"Replying to 
@cnrpetshow","Pet food manufacturers assemble at Pet Show for trading…

Industry professionals from Europe, the Middle East, and the Turkic Republics prefer the exhibition to receive products and services...",1,,,[]
Cnr Pet Show,@cnrpetshow,2021-08-09T14:25:35.000Z,"The exhibition welcomes all kinds of products and services dedicated to the industry, mainly domestic pet food manufacturers. 

#pet #petshop #petshow #petaksesuar #evcilhayvan #veteriner #petaccessories #petlovers #fuar #organizasyon #exhibition #pomeranian #hayvansever #mama",,,,,"['pet', 'petshop', 'petshow', 'petaksesuar', 'evcilhayvan', 'veteriner', 'petaccessories', 'petlovers', 'fuar', 'organizasyon', 'exhibition', 'pomeranian', 'hayvansever', 'mama']"
Cnr Pet Show,@cnrpetshow,2021-08-11T12:38:37.000Z,"Please see the pioneering companies to take part in Pet Show, the reputable exhibition dedicated to pets: 

Register to visit the exhibition and seize opportunities! 

#pet #petshop #petshow #petaksesuar #evcilhayvan #veteriner #petaccessories #petlovers #fuar #organizasyon",,,,,"['pet', 'petshop', 'petshow', 'petaksesuar', 'evcilhayvan', 'veteriner', 'petaccessories', 'petlovers', 'fuar', 'organizasyon']"
SNS,@SNSOrg,2021-08-06T13:48:50.000Z,"Büyük buluşmamız TeknoTarım'21 Manisa Uluslararası Tarım Fuarı 15. yılında geleneksel tarihinde! 4-7 Kasım tarihleri arasında Manisa Büyükşehir Belediyesi Fuar Merkezi''ndeyiz.
#tarım #hayvancılık #fuar #taarımfuarı #manisa
@manisabsb
@manisatso
@TarimManisa",,,3,4,"['tarım', 'hayvancılık', 'fuar', 'taarımfuarı', 'manisa']"
Abdurahmon,@avanmebel,2021-08-11T04:31:39.000Z,"Juda ko’p yaqin insonlarimiz bizni qo’llab quvvatlab turishdi!
Очень много соотечественников  поддерживали нас!
 #истамбул #выставка #2021 #i̇stanbul #fuar @ CNR Expo Istanbul https://instagram.com/p/CSa7l_-CIgr/?utm_medium=twitter…",,,,,"['истамбул', 'выставка', '2021', 'i', 'fuar']"
Sude Yayıncılık & Ajans,@sude_yayincilik,2021-08-06T06:16:35.000Z,"Packworld Türkiye Dergisi 199. Haziran Sayısı Amasya Organize Sanayi Bölgesine Dağıtıldı.

#dergi #ambalaj #plastik #paketleme #fuar #tanıtım #reklam #ajans #graphic #design #bülten #haber #röportaj #soru #cevap #medya #türkiye #reklam #haber #dağıtım #sektöreldergi #gıda",,,,,"['dergi', 'ambalaj', 'plastik', 'paketleme', 'fuar', 'tanıtım', 'reklam', 'ajans', 'graphic', 'design', 'bülten', 'haber', 'röportaj', 'soru', 'cevap', 'medya', 'türkiye', 'reklam', 'haber', 'dağıtım', 'sektöreldergi', 'gıda']"
MARSU,@marsu_tr,2021-08-06T12:36:02.000Z,"Çin Fuarı 

China Fair

#çinfuarları #fuar #ankara #Marsu #DoğalKaynakSuyu #NaturalSpringWater #chinafair #Water #Su #Health #Sağlık",,,,,"['çinfuarları', 'fuar', 'ankara', 'Marsu', 'DoğalKaynakSuyu', 'NaturalSpringWater', 'chinafair', 'Water', 'Su', 'Health', 'Sağlık']"
Motobike Istanbul,@motobikeist,2021-08-09T16:14:03.000Z,"BMW, Dynamic Cargo ve Clever Commute isimli iki yeni konsept elektrikli şehir içi araçlarını tanıttı. #pazartesi #ebike #bisiklet #motosiklet #fuar #motobikeistanbul",,,,,"['pazartesi', 'ebike', 'bisiklet', 'motosiklet', 'fuar', 'motobikeistanbul']"
