username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Adrianna & Winston,@adriannarenee09,2021-08-11T07:16:31.000Z,"Why yes. I always pass judgement on others. 

#CatsOfTwitter #cute #wednesdaythought #fun #furry #animals",,26,93,949,"['CatsOfTwitter', 'cute', 'wednesdaythought', 'fun', 'furry', 'animals']"
VIEL,@v__i__e__l,2021-08-12T15:21:16.000Z,"Here we Go! Next video of my #art #Tekken7 Lucky Chloe in Real Life
That will be a lot of #fun and #cosplay 

https://instagram.com/p/CSemkw3D6sN/?utm_medium=copy_link…
Subscribe on my #instagram  

#tekken #artwork #tekkenart #tekkencosplay #stunt #girlpower #bboy #BREAKING #actor #action #funny #gamer",,66,1.1K,3.2K,"['art', 'Tekken7', 'fun', 'cosplay', 'instagram', 'tekken', 'artwork', 'tekkenart', 'tekkencosplay', 'stunt', 'girlpower', 'bboy', 'BREAKING', 'actor', 'action', 'funny', 'gamer']"
Ernie and Berti,@Berti_and_Ernie,2021-08-12T05:34:19.000Z,Water fun with dogs is always worth a photo!  #dogs #fun,,,28,224,"['dogs', 'fun']"
Meepsia Magpie,@Meepsia,2021-08-13T12:09:18.000Z,"Fun and wisdom from Facebook 

#fun #joke #thought",,,1,1,"['fun', 'joke', 'thought']"
Subramanian T,@subbut,2021-08-13T12:01:50.000Z,India's Root CA running with expired/no certificate today?   #fun #ssl,,,,1,"['fun', 'ssl']"
Mika Brzezinski,@morningmika,2021-08-13T12:24:44.000Z,After a week of heavy news It’s finally Friday! #getvaccinated #dog #boat #fun https://instagram.com/p/CSg7VEDLSL4/?utm_medium=twitter…,,,,9,"['getvaccinated', 'dog', 'boat', 'fun']"
Darren Gough MBE,@DGoughie,2021-08-13T05:41:58.000Z,"Really enjoying the commentary work with 
@SkyCricket
 
Some great people working on 
@thehundred
 #cricket #fun #atmosphere",,43,5,853,"['cricket', 'fun', 'atmosphere']"
Nomadic fun casino h,@NomadicFunHire,2021-08-12T19:57:57.000Z,We're set up and ready to go. Fellowship is always greater than the prize! #roulette #fun #fellowship,,,1,5,"['roulette', 'fun', 'fellowship']"
lorde,@zoomhomiesfanpg,2021-08-11T09:23:15.000Z,having #fun with zoom homies filter ,,1,,7,['fun']
Knavesmire Primary,@KPSFeed,2021-08-11T16:10:39.000Z,KCKC had a Scavenger Hunt in Forest School today... and Luke got a make over  #Nature #Fun #ForestSchool,,,,3,"['Nature', 'Fun', 'ForestSchool']"
L & N Games,@LNGames9,2021-08-09T02:36:01.000Z,"UK COMPETITION TIME! RT & fol before 6pm on Sat 14.8.21, to win any phonics game or jigsaw from http://l-ngames.co.uk A winner will be chosen at random. Perfect for kids to learn while the rainy days are here! #competition #giveaway #prize #free #stuff #fun #learntoread",,46,171,106,"['competition', 'giveaway', 'prize', 'free', 'stuff', 'fun', 'learntoread']"
AZLAN,@Beata_Azlan,2021-08-10T21:44:03.000Z,My Impawtant #Giveaway ANNOUNCEMENT!!! Pals!! Wanna win Hammered SharkToy & matching bandana?! Mark your calendar this Friday 8/13!!! 4 WINNERS! I’m so excited! Let’s have fun again! Love you! #dogsoftwitter #ContestAlert #fun #prizes #cats #win #GiveawayAlert #toys,,79,99,839,"['Giveaway', 'dogsoftwitter', 'ContestAlert', 'fun', 'prizes', 'cats', 'win', 'GiveawayAlert', 'toys']"
