username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Rabbi Mendy Chitrik,@mchitrik,2021-08-12T09:42:34.000Z,"The synagogue, which was abandoned in 1958, when the last Kilis Jews moved to Israel - is one of 5 synagogues restored without fanfare, by the Turkish government in recent years (we visited #Bergama before, and also #Gaziantep
today).

Before and after...",Cemaat Vakıfları Temsilcisi and 2 others,1,4,32,"['Bergama', 'Gaziantep']"
TurkishFootballNews,@TRFootballUpdat,2021-08-13T10:52:44.000Z,#Gaziantep 2 players got positive test result for #Covid19.,,,,2,"['Gaziantep', 'Covid19']"
TurkishFootballNews,@TRFootballUpdat,2021-08-11T22:11:05.000Z,#Gaziantep head coach #ErolBulut has stated that club would transfer 4 more players this summer with 1-2 players to be announced soon.,,,,,"['Gaziantep', 'ErolBulut']"
SuperSub - Jupiler Pro League Fan Page,@SupersubJPL,2021-08-06T14:56:06.000Z,"[RUMOUR]
Collins Fai (Standard Liège )Gaziantep FK

Age: 28
Right Back
216 Matches
3 Goals
30 Assists
Market value: €1,2 M

 Gaziantep FK is in contact with Fai's Agent

#Gaziantep #rscl #TransferTalk","Nexus Sport
@nexustransfer
 · Aug 6
ÖZEL | Gaziantep FK, sağ bek Collins Fai için oyuncunun menajeri ile resmi görüşmelere başladı.
Show this thread",,1,1,"['Gaziantep', 'rscl', 'TransferTalk']"
Metehan Nazif,@MetehanNazif,2021-08-06T18:34:08.000Z,"Drying aubergines #Gaziantep is one of the important  cultural and industrial centres of #Turkey  Photographer  
@aliasili",,,,1,"['Gaziantep', 'Turkey']"
GastroAntepFest,@GastroAntepFest,2021-08-12T15:38:02.000Z,"Replying to 
@GastroAntepFest","...yemeğin en büyük sırrı. 

Did you know that the longitudinal meat on the spine of sheep is called küşleme? 

Küşleme Kebab is just one of the flavors registered as a geographical indication in Gaziantep. Perhaps the biggest secret of the food is that it is made from...",1,1,4,[]
GastroAntepFest,@GastroAntepFest,2021-08-12T15:39:02.000Z,"...a very small amount of meat on the animal's back. 

#GastroAntep #UluslararasıGaziantepGastronomiFestivali #Gaziantep #GastronomiFestivali #GastronomiŞehriGaziantep #GastroAntepFest #KültürŞehri #GastroAntep #InternationalGaziantepGastronomyFestival  #GastronomyCityGaziantep",,,1,4,"['GastroAntep', 'UluslararasıGaziantepGastronomiFestivali', 'Gaziantep', 'GastronomiFestivali', 'GastronomiŞehriGaziantep', 'GastroAntepFest', 'KültürŞehri', 'GastroAntep', 'InternationalGaziantepGastronomyFestival', 'GastronomyCityGaziantep']"
Greek_Football,@GreekFootball2,2021-08-12T12:14:11.000Z,Stelios Kitsiou is officially a #Gaziantep player. #Ankaragücü,"Gaziantep FK
@GaziantepFK
 · Aug 12
 STELIOS KITSIOU! #GaziantepRuhuyla",,,,"['Gaziantep', 'Ankaragücü']"
iremylmz,@iros520,2021-08-05T15:19:21.000Z,"Replying to 
@genelkulturyeni",GAZİANTEP #Gaziantep,,,,[]
Mete Sohtaoğlu,@metesohtaoglu,2021-08-06T17:56:12.000Z, High sandstorm in #Turkey's #Gaziantep from #Syria,,1,5,8,"['Turkey', 'Gaziantep', 'Syria']"
Narkoz Gazetesi,@NarkozGazetesi,2021-08-13T08:46:19.000Z,"Stelios Kitsiou Gaziantep FK’da https://narkozhaber.com/stelios-kitsiou-gaziantep-fkda.html#.YRYxJRQf2V4.twitter… 
#SteliosKitsiou #GaziantepFK #spor #Futbolcu #Gaziantep","Stelios Kitsiou Gaziantep FK'da
Stelios Kitsiou Gaziantep FK'da Geçtiğimiz sezonda Ankaragücü'nde forma giyen Yunan futbolcu Stelios Kitsiou, Gaziantep FK ile sözleşme imzaladı. Stelios Kitsiou Gaziantep FK'da Süper Lig'de geçen...
narkozhaber.com",,,,"['SteliosKitsiou', 'GaziantepFK', 'spor', 'Futbolcu', 'Gaziantep']"
Travsti Hmeyra 0536/500/75/50,@Meyyal18429631,2021-08-10T08:51:00.000Z,"Kendi evimde yalnız başıma seni bekliyorum gelmek istersen ben burdayım .. travestiyim 
#Gaziantep",,100,1,95,['Gaziantep']
Trvesti Esra Ateş 0536/798/45/27,@Gk03696020,2021-08-10T08:59:50.000Z,Gözlerin her derde çare gel beni bul Hayatın renklensin Travestiyim ... #Gaziantep,,104,1,101,['Gaziantep']
MEGA SPOR,@megaspor27,2021-08-12T11:44:06.000Z,Stelios Kitsiou Gaziantep FK'da https://megahaber27.com/stelios-kitsiou-gaziantep-fkda/121183/?utm_source=twitter… #gaziantep #spor #megahaber,"Stelios Kitsiou Gaziantep FK'da
Geçtiğimiz sezonda Ankaragücü'nde forma giyen Yunan futbolcu Stelios Kitsiou, Gaziantep FK ile sözleşme imzaladı.
megahaber27.com",,1,3,"['gaziantep', 'spor', 'megahaber']"
TurkishFootballNews,@TRFootballUpdat,2021-08-11T10:46:50.000Z,#Gaziantep has signed #SteliosKitsiou.,,,,,"['Gaziantep', 'SteliosKitsiou']"
Sinem Calti,@SinemCa35878804,2021-08-10T21:59:00.000Z,"Özel Eve Gelirim
#Gaziantep 
Otellere Gelirim",,17,15,24,['Gaziantep']
Gaziantep Büyükşehir,@GaziantepBeld,2021-08-08T11:02:26.000Z,"#Gaziantep'te fıstık hasadı başladı. Hasadımız bereketli olsun.

Lezzetiyle ünlü #AntepFıstığı hasadını sizler için görüntüledik.",,3,423,805,"['Gaziantep', 'AntepFıstığı']"
Fatma Şahin,@FatmaSahin,2021-08-10T15:12:26.000Z,"@GaziantepFK
 kombine biletimi aldım. Siz de Gazi şehrimizin değerli takımını desteklemek için kombinenizi almayı unutmayın. 

#AğzımızınTadıGeriGeldi #Gaziantep kazanacak!",,26,384,1.3K,"['AğzımızınTadıGeriGeldi', 'Gaziantep']"
Şerife Sarı ☼,@erifeSa06938795,2021-08-09T23:23:31.000Z,adileştirmekten feylesoftan dikeçmemişler ciltçilikten falsolutan eskileşmeğe bitmeymiştim dolamtan 81910 #gaziantep #gaziantepeskort,,200,1,1,"['gaziantep', 'gaziantepeskort']"
Asiye,@Aysun180536121,2021-08-13T14:27:21.000Z,"0 538 564 93 99
#gaziantep 
☆☆☆☆☆ 《》《》《》《》",,,,1,['gaziantep']
Fatma Şahin,@FatmaSahin,2021-08-13T09:21:41.000Z,"#Gaziantep gastronomisini dünyaya açan festivalimizin tanıtım toplantısında STK ve esnafımız ile bir aradayız.

#GastroAntep Festivali bu yıl “Şifalı Lezzetler” ana temasıyla çok heyecanlı ve hareketli geçecek. Hazır mısınız",,6,143,317,"['Gaziantep', 'GastroAntep']"
Gaziantep Büyükşehir,@GaziantepBeld,2021-08-10T16:30:00.000Z,"Çekiliş Var.

#Gaziantep'in eşsiz el sanatlarından #kutnu kumaşı şal ve tasarım çanta hediye ediyoruz.

Yapmanız gerekenler;
Fav+ Rt yap
3 arkadaşını gönderinin altına etiketle
Youtube kanalımızı takip et
https://youtube.com/user/Gaziantepbeld…",,385,502,700,"['Gaziantep', 'kutnu']"
Fatma Şahin,@FatmaSahin,2021-08-09T06:51:55.000Z,"#LGS ikinci nakil sonuçları açıklanmış. Gaziantep’teki ilk 50’ye giren gençlerle tanıştığım bu an geldi aklıma... 

Başarılı arkadaşlarımıza naçizane bir hediye olarak bisiklet vermiştik.

#Gaziantep’in gururları onlar. ",,15,382,1.6K,"['LGS', 'Gaziantep']"
Gaziantep Büyükşehir,@GaziantepBeld,2021-08-12T05:00:00.000Z,"Günaydın #Gaziantep 

#Perşembe","0:06
1.1K views",1,175,359,"['Gaziantep', 'Perşembe']"
GASKİ GENELMÜDÜRLÜĞÜ,@GaskiKurumsal,2021-08-09T05:10:39.000Z,Günaydın #Gaziantep ,,,33,83,['Gaziantep']
GASKİ GENELMÜDÜRLÜĞÜ,@GaskiKurumsal,2021-08-06T05:25:41.000Z,Günaydın #Gaziantep ,,,41,105,['Gaziantep']
Gaziantep Büyükşehir,@GaziantepBeld,2021-08-06T05:00:00.000Z,"Günaydın #Gaziantep 

#HayırlıCumalar",,5,356,677,"['Gaziantep', 'HayırlıCumalar']"
GASKİ GENELMÜDÜRLÜĞÜ,@GaskiKurumsal,2021-08-11T05:37:23.000Z,"2020 Tokyo Olimpiyat Oyunları'nda şampiyon olan milli okçumuz #MeteGazoz'u gönülden tebrik ederiz.

Gururumuzsun 
@metegazoz
 

#günaydın #gaziantep",,,37,59,"['MeteGazoz', 'günaydın', 'gaziantep']"
Asiye,@Aysun180536121,2021-08-13T13:18:06.000Z,"0 538 564 93 99
#gaziantep ☆☆☆☆☆",,,,1,['gaziantep']
GASKİ GENELMÜDÜRLÜĞÜ,@GaskiKurumsal,2021-08-10T05:13:54.000Z,"2020 Tokyo Olimpiyat Oyunlarında altın madalya kazanarak Olimpiyat tarihimizin ilk şampiyon boksörü oldu.

Türk kadını gücünü bir kez daha dünyaya gösterdi. 

Teşekkürler 
@busenazsurmneli
 
#günaydın #gaziantep",,,37,67,"['günaydın', 'gaziantep']"
GaziantepRefleks,@GRefleks,2021-08-13T14:29:09.000Z,"Türkiye’den 7 ayda 4 milyar 803 milyon 497 bin dolarlık hububat ihracatı 

https://gazianteprefleks.com/gaziantep/turkiyeden-7-ayda-4-milyar-803-milyon-497-bin-dolarlik-hububat-ihracati-h1382.html… #Gaziantep in haber REFLEKS i 
@GRefleks
 aracılığıyla 
@GaibGaziantep","Türkiye’den 7 ayda 4 milyar 803 milyon 497 bin dolarlık hububat ihracatı
GAİB Hizmet Binasında Mahsum Altunkaya Başkanlığında toplanan Güneydoğu Anadolu Hububat Bakliyat Yağlı Tohumlar ve Mamulleri İhracatçıları Birliği Yönetim Kurulu, Temmuz 2021 dönemi ihracat rakamla...
gazianteprefleks.com",,,,['Gaziantep']
__Murselaa__,@Murselaa_,2021-08-11T15:46:13.000Z,"Gök yine yağmurun habercisi...
#gaziantep",,,,9,['gaziantep']
Bahar özdemir,@baharozdemir01,2021-08-06T07:52:24.000Z,"Kimseyi kontrol edemezsiniz, sadakat içten gelir êſčòrțſ
#gaziantep",,,,4,['gaziantep']
0553 857 80 43,@Nilay66053336,2021-08-06T18:28:34.000Z,Bekleniyorsun tatlım #gaziantep #nizip,,,1,2,"['gaziantep', 'nizip']"
