username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
MeanPlan Philippines Official,@MeanPlanPH,2021-08-09T13:36:33.000Z,"[ICYMI] 

210809 ~ STAY HEALTHY WITH GEN C 

This pandemic, we have to take care of ourselves. Good things start with #GenC, a low-calorie vitamin drink with collagen for only 15 baht in any 7-11 branch. Buy yours now!

© Mean's IG @.m34nismind

#MeanTro
#MeanPhiravich
~ ",,,10,17,"['GenC', 'MeanTro', 'MeanPhiravich']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
Arun Thapar,@Arun_Thapar,2021-08-12T17:25:39.000Z,"After the Gen Y, X, Zs, I think little children growing up in the age of Covid19 will be referred to as #GenC
Remember, you first heard it here!

PS - And no #Cognizant can’t have that title all to themselves!",,,5,12,"['GenC', 'Cognizant']"
น้องเมเป็นทาสพี่อินในร่างแม่หมีน้องมีน,@maemiiiee,2021-08-07T12:22:53.000Z,ดื่มเจนซี ก็เหมือนได้ดื่มความสดใส ดูน้องมีนสิสดใสแค่ไหน ดูเอา! #มีนดื่มเจนซี #GenC,,,9,6,"['ม', 'GenC']"
Feyzi Berdibek,@FeyziBerdibek1,2021-08-05T18:57:05.000Z,"#Genç ilçemizin (Yayla, Ziyaret ve Şehitköy) sakinleri, muhtarımız Şeref EŞREFOĞLU ve önceki dönem il genel meclis üyemiz Arif ANDİÇ ile bir araya geldik.
Heyetimize göstermiş oldukları yakın ilgiden dolayı kendilerine teşekkür ediyoruz.
@hsaglar
 @mzekidirik",,,17,100,['Genç']
Bingöl İl Sağlık Müdürlüğü,@bingolsaglik,2021-08-10T14:33:41.000Z,"Covid-19 yerinde #AŞI uygulaması kapsamında Genç Devlet Hastanesi ve Genç İlçe Sağlık Müdürlüğümüze bağlı mobil aşı ekiplerimiz, #Genç #Servi #Bahçebaşı Köyü #Oluklu Mezrasında aşı çalışması gerçekleştirmiştir.
@saglikbakanligi
 @drfahrettinkoca
 @halksagligigm
@bingolvaliligi",,,,6,"['AŞI', 'Genç', 'Servi', 'Bahçebaşı', 'Oluklu']"
Av.UFUK ACAY,@acay_av,2021-08-08T08:37:27.000Z,"İlçe yöneticilerimiz ile birlikte Melike & Cihan kardeşlerimizin düğün cemiyetine katılım sağladık. 

#Genç çiftimize bir ömür mutluluk dilerim.",,,,19,['Genç']
TÜGVA Adıyaman,@TugvaAdiyaman,2021-08-08T12:02:52.000Z,"@Akparti
 Adıyaman Gençlik Kolları Bşk 
@mevlutkustepe
 ‘nin öncülüğünde “Sevdamız Adıyaman” adlı #Adıyaman #Genç #STK temsilcilerinin katılımıyla kahvaltı programı icra edildi.Kendilerine teşekkür ederiyoruz. Ve diyoruz ki;
#İşimizGücümüzGençlik #İşimizZamanımızdanÇok
@RTErdogan",TürkiyeGençlikVakfı and 9 others,,10,27,"['Adıyaman', 'Genç', 'STK', 'İşimizGücümüzGençlik', 'İşimizZamanımızdanÇok']"
Spor İstanbul,@ibbsporistanbul,2021-08-11T09:00:40.000Z,"E-Spor eğitimimizin kontenjanı bir günde doldu! Gösterdiğiniz ilgi için çok teşekkür ederiz. Başlamak için sabırsızlanıyoruz!

#ESpor #Game #Gamer #Oyun #Oyuncu #Player #BrawlStars #MineCraft #ESporEğitimi #OyunBilgisayarı #OyuncuBilgisayarı #Çocuk #Genç #Spor #İstanbul",İBB Gençlik ve Spor,1,1,7,"['ESpor', 'Game', 'Gamer', 'Oyun', 'Oyuncu', 'Player', 'BrawlStars', 'MineCraft', 'ESporEğitimi', 'OyunBilgisayarı', 'OyuncuBilgisayarı', 'Çocuk', 'Genç', 'Spor', 'İstanbul']"
Bingöl İl Sağlık Müdürlüğü,@bingolsaglik,2021-08-09T15:06:32.000Z,"Covid-19 Aşı uygulaması kapsamında Genç İlçe Sağlık Müdürlüğümüz mobil aşı ekipleri, #Genç #Ericek Köyünde yerinde aşı çalışması gerçekleştirmiştir.
@saglikbakanligi
 @drfahrettinkoca
 @halksagligigm
 @bingolvaliligi
 
#Covid19Aşısı
#MaskeMesafeTemizlik 
#BuGüceGüvenin
#BingölİSM",,1,5,20,"['Genç', 'Ericek', 'Covid19Aşısı', 'MaskeMesafeTemizlik', 'BuGüceGüvenin', 'BingölİSM']"
Elif Köse,@mimarelifkose,2021-08-11T11:24:58.000Z,"12 Ağustos ""Uluslararası Gençlik Günü""nde gençlerimizle gerçekleştireceğimiz buluşmayı, olumsuz hava koşulları nedeniyle ertelemek durumunda kaldık. Buluşma tarihini belirlediğimizde sizlere duyuracağız...

#safranbolu #safranbolubelediyesi #mimarelifköse #genç",,,1,1,"['safranbolu', 'safranbolubelediyesi', 'mimarelifköse', 'genç']"
Genç Selçuklu Deva,@gncselcukludeva,2021-08-05T17:42:51.000Z,"Orman yangınları sırasında zarar görmüş bir hayvan bulursak ne yapmalıyız?
@konyadadeva1
 @devapartisi
 @av_selman
 @selcukludadeva
#devapartisi #selçuklu #genç #deva #dertleredeva",,,2,9,"['devapartisi', 'selçuklu', 'genç', 'deva', 'dertleredeva']"
Yiğit Çağlayan,@yigithan12222,2021-08-05T22:05:12.000Z,Miremiz #KazımAtaoğlu #Bingöl #ZıkteAşireti #Bingöl #Genç,,,,3,"['KazımAtaoğlu', 'Bingöl', 'ZıkteAşireti', 'Bingöl', 'Genç']"
