username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Daniel G. Bueno,@DanielGBueno,2021-08-09T16:52:27.000Z,#fotografíadestock #stockphotography #fotografía #cursoonlinefotografiadestock #sincargo #gratis #stockphotos.com.ar #stockphotos #fotógrafodestock #academiadestock #stockeros #adobestocklat #istockbygettyimages,,,,,"['fotografíadestock', 'stockphotography', 'fotografía', 'cursoonlinefotografiadestock', 'sincargo', 'gratis', 'stockphotos', 'stockphotos', 'fotógrafodestock', 'academiadestock', 'stockeros', 'adobestocklat', 'istockbygettyimages']"
Art Vendelay,@TonyMellace7,2021-08-05T18:12:21.000Z,It’s Man City or PSG. And these two clubs already spent like crazy. Imagine adding Messi’s contract on top of it,,3,,13,[]
Zio Cane,@jimmyzito1010g1,2021-08-05T18:15:05.000Z,They get him for free the pay upwards of million a year in salary.  #gratis,,,,,['gratis']
Fr3eDom *Bandit,@Fr3eDomB,2021-08-10T14:08:28.000Z,Got a lot of ambition to go n change my position… I’m guessin that be the difference  #GRATIS https://instagram.com/p/CSZY0MKHYg0/?utm_medium=twitter…,,,,,['GRATIS']
Promobit,@PromobitOficial,2021-08-05T22:58:02.000Z,"#promoção #oferta  Jogo Still Life 2 - PC
 -  #gratis #free  #game #videogame","Jogo Still Life 2 - PC ... R$ 0 - Promobit
Promoção do dia 05/08: Jogo Still Life 2 - PC por R$ 0 em indiegala.com. Aproveite essa e outras ofertas já com cupom de desconto!
promobit.com.br",,,,"['promoção', 'oferta', 'gratis', 'free', 'game', 'videogame']"
Patcha_ita,@Patcha_ita,2021-08-13T08:31:48.000Z,"Rebel Galaxy free on Epic Store!

http://bit.ly/EFreeGames

#EpicStore #Gratis #Free #Game #RebelGalaxy","Ottieni un gioco gratis ogni settimana | Epic Games Store
Unisciti a una community di giochi gratis o scaricane uno oggi stesso!
epicgames.com",,,1,"['EpicStore', 'Gratis', 'Free', 'Game', 'RebelGalaxy']"
Promobit,@PromobitOficial,2021-08-09T21:26:03.000Z,#promoção #oferta  [Teste Limitado] Jogo Overcooked! All You Can Eat - PC Steam -  #gratis #free  #game #videogame,"Jogo Overcooked! All You Can ... R$ 0 - Promobit
Promoção do dia 09/08: Jogo Overcooked! All You Can Eat - PC Steam por R$ 0 em steampowered.com. Aproveite essa e outras ofertas já com cupom de desconto!
promobit.com.br",,,1,"['promoção', 'oferta', 'gratis', 'free', 'game', 'videogame']"
Promobit,@PromobitOficial,2021-08-12T17:37:03.000Z,#promoção #oferta  [DLC] Jogo Battlefield 4 Weapon Shortcut Bundle - PC Steam -  #gratis #free  #game #videogame,"Jogo Battlefield 4 Weapon Sho... R$ 0 - Promobit
Promoção do dia 12/08: Jogo Battlefield 4 Weapon Shortcut Bundle - PC Steam por R$ 0 em steampowered.com. Aproveite essa e outras ofertas já com cupom de desconto!
promobit.com.br",,,,"['promoção', 'oferta', 'gratis', 'free', 'game', 'videogame']"
Promobit,@PromobitOficial,2021-08-10T17:50:03.000Z,#promoção #oferta  APP Alpha Backup Pro - Android -  #gratis #free  #Android #apps,"APP Alpha Backup Pro - Android... R$ 0 - Promobit
Promoção do dia 10/08: APP Alpha Backup Pro - Android por R$ 0 em Google Play. Aproveite essa e outras ofertas já com cupom de desconto!
promobit.com.br",,,1,"['promoção', 'oferta', 'gratis', 'free', 'Android', 'apps']"
Varolete,@Varolete,2021-08-08T18:48:44.000Z,"Juegos #GRATIS y resumen de Noticias de la semana:
 
 The Wayward Realms
 Star Wars Redemption
 Bless Unleashed 
 Corepunk
 New World
 Back 4 Blood
 Edens Zero
 Hunter´s Arena
 Naraka Bladepoint

y mucho más!","Juegos GRATIS y Noticias: Wayward Realms, Bless Unleashed, Corepunk,...
Varonews: Noticias de videojuegos y Juegos gratis de PC y consola (PS, Xbox y Nintendo Switch). Lo más relevante de la semana en el mundillo de los videojueg...
youtube.com",,1,7,['GRATIS']
