username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Adam Szary,@adam_szary,2021-08-06T11:29:17.000Z,"GRIP: Combat Racing
2018 - loading screen art
#GRIP #videogame",,,,,"['GRIP', 'videogame']"
Sterling Basketball,@rsshoopsquad,2021-08-10T01:34:17.000Z,"Who gonna be able to rock our DAWG of the game chain or our player of the game/week belt this year!? 
#GRIP #BLUEHOUSE  ",,1,4,18,"['GRIP', 'BLUEHOUSE']"
ATC,@AthabascaTC,2021-08-06T18:01:51.000Z,"Looking to start a rewarding career in the oil and gas industry? Contact Brittany today! 587-645-5929 l brittany.kozak@atcfn.ca

Starting November 1st, 2021!

#ATCEmploymentTraining #GRIP #ATC",,,,,"['ATCEmploymentTraining', 'GRIP', 'ATC']"
Wireless ProTech,@WirelessProTech,2021-08-06T18:35:52.000Z,"Coming Soon.
The Flex Skin TPU Gel Case for the CAT S62
Superior grip and drop protection.
Choose your color today at 
http://wirelessprotech.com
@CaterpillarInc
#wirelessprotech
#protechyourphone
#colors 
#casesforyourphone
#protech
#grip",CaterpillarInc,,,,"['wirelessprotech', 'protechyourphone', 'colors', 'casesforyourphone', 'protech', 'grip']"
Kim Tiong,@Kteodesigns,2021-08-06T16:18:48.000Z,"Someone got me to do finger board grip… honestly what a battle! 
#grip #griptapeart #fingerboarding #fingerboard #griptapeartwork #gripart #skate #rickandmorty https://instagram.com/p/CSPUjYOs4-S/?utm_medium=twitter…",,,,1,"['grip', 'griptapeart', 'fingerboarding', 'fingerboard', 'griptapeartwork', 'gripart', 'skate', 'rickandmorty']"
Irene Thomas,@NyageMkama,2021-08-07T22:42:35.000Z,"#Grip mood

#weekendvibes","Tessa Thompson - Grip
Tessa Thompsonhttps://www.instagram.com/tessamaethompson/Prod. by Ludwig Göransson
youtube.com",,,1,"['Grip', 'weekendvibes']"
Johnnie kay (Trollaz35),@Johnniekay35,2021-08-06T19:40:44.000Z,"Excited to share the latest addition to my #etsy shop: Lil Peep, lyric, falling down, song, Phone, Click-On, Grip, gift, unique, exclusive https://etsy.me/3fC1EW4 #lilpeep #lyric #fallingdown #song #phone #clickon #grip #gift #unique",,,,,"['etsy', 'lilpeep', 'lyric', 'fallingdown', 'song', 'phone', 'clickon', 'grip', 'gift', 'unique']"
AccelerateRunningCo,@AccelerateRunCo,2021-08-13T10:23:17.000Z,"Get ready to hit the trails.
•
With the Cascadia 16 you can explore to your hearts content. Whether across rocky edges in the Peaks or through muddy mayhem in the valleys.
Available now in store!
•
#acceleraterunningco #Brooks #trailrunning #hillsmadeeasy #grip",,,,1,"['acceleraterunningco', 'Brooks', 'trailrunning', 'hillsmadeeasy', 'grip']"
HEAD PADEL,@HEAD_PADEL,2021-08-05T15:19:00.000Z,"Así pone paso a paso 
@sanyoGutierrez
 el #Progrip a su Alpha Pro ¿Tomas nota ? 

This is how 
@sanyoGutierrez
 puts the #Progrip on his Alpha Pro step by step. Do you take note ? 

#HEAD #headpadel #padel #overgrip #grip #padelgrip","0:03
699 views",1,2,12,"['Progrip', 'Progrip', 'HEAD', 'headpadel', 'padel', 'overgrip', 'grip', 'padelgrip']"
M4orce Teamwear,@M4orceteam,2021-08-07T12:43:09.000Z,"Ex Leicester City Forward Kairo John commanding the #M4ORCE in Iceland 

#M4ORCE #gripsock #Affordable #quality #grip #comfort #ballersock",,,,1,"['M4ORCE', 'M4ORCE', 'gripsock', 'Affordable', 'quality', 'grip', 'comfort', 'ballersock']"
Risk Racing,@riskracingmoto,2021-08-09T15:11:43.000Z,"Make your bike stand out with some great looking grips!!! 

#riskracingmoto #riskracing 
#motos #grip 
#motoparts #bikeworkshop https://instagram.com/p/CSW7QkBsFOc/?utm_medium=twitter…",,,,,"['riskracingmoto', 'riskracing', 'motos', 'grip', 'motoparts', 'bikeworkshop']"
Bud Jeffries,@budjeffries,2021-08-12T22:11:29.000Z,Tearing 2 DECKS OF CARDS at the same time #Noahsarmy #blooddonor #organdonor #Strongman #grip #cardtearing #apocalypsesexy #GodLovesUs,,,1,3,"['Noahsarmy', 'blooddonor', 'organdonor', 'Strongman', 'grip', 'cardtearing', 'apocalypsesexy', 'GodLovesUs']"
DETROIT’S NEXT BIG THING,@JayMeriweather0,2021-08-10T20:18:47.000Z,"Superheros in Detroit... Say what! #grip #griplife #gande #movielights #setlife 

OK OK, it's Pontiac... Today!",,,,1,"['grip', 'griplife', 'gande', 'movielights', 'setlife']"
Stop NJ overreach,@StopNJoverreach,2021-08-05T12:44:17.000Z,"If NJ actually had a legitimate government other than the 1 party sham orchestrated by 
@NJSenatePres
 & 
@SpeakerCoughlin
 maybe 
@PhilMurphyNJ
 @GovMurphy
 would have been held accountable for his criminal, immoral and unethical actions #njdeservesbetter #murphymustgo #GRIP",,,1,2,"['njdeservesbetter', 'murphymustgo', 'GRIP']"
Neyfi | Nutrition Coach Expert,@neyfidelrosario,2021-08-07T11:36:01.000Z,"Broke my straps doing barbell rows and my grip is a big limiting factor. So here's my 5 rep max for 1 until my new straps come in.

#gripstrength #grip #fitness #climbing #workout #strongman #ocr #strength #griptraining #training #gym #ocrtraining #armwrestling #gripsport",,,1,1,"['gripstrength', 'grip', 'fitness', 'climbing', 'workout', 'strongman', 'ocr', 'strength', 'griptraining', 'training', 'gym', 'ocrtraining', 'armwrestling', 'gripsport']"
Risk Racing,@riskracingmoto,2021-08-05T19:36:01.000Z,"Mud motos?! No problem… The Mud Grips have you covered! 
#riskracingmoto #riskracing 
#mudder #mudmotos 
#grip #totalcontrol https://instagram.com/p/CSNGU7nlOLZ/?utm_medium=twitter…",,,,,"['riskracingmoto', 'riskracing', 'mudder', 'mudmotos', 'grip', 'totalcontrol']"
TrenTyre Zimbabwe,@TrentyreZim,2021-08-11T07:23:21.000Z,"A robust hybrid tyre!!!
195/55R15 Goodyear Efficientgrip
The Best Brands at the Best Prices!!!
#trentyrezim #Goodyear #thebestbrandsatthebestprices #oneteam   #wednesday #harare #Bulawayo #Gweru #mutare  #tyres #tyreshop #Zimbabwe  #thebest #efficient #Grip #braking #hybrid",,,,,"['trentyrezim', 'Goodyear', 'thebestbrandsatthebestprices', 'oneteam', 'wednesday', 'harare', 'Bulawayo', 'Gweru', 'mutare', 'tyres', 'tyreshop', 'Zimbabwe', 'thebest', 'efficient', 'Grip', 'braking', 'hybrid']"
jules,@jules12046327,2021-08-11T03:37:31.000Z,"Replying to 
@benvengers2021",He grippin his ball sack #grip,1,,,[]
PlayItAgainSportsAustell,@PIASAustell,2021-08-09T19:00:26.000Z,Get a grip on your bat with new Lizard Skins and VukGripz bat grip tape at Play It Again Sports Austell! #playitagainsports #austell #baseball #bat #grip #griptape #webuyused,,,,,"['playitagainsports', 'austell', 'baseball', 'bat', 'grip', 'griptape', 'webuyused']"
Slipp-Nott,@slippnott,2021-08-12T21:00:51.000Z,"When you head back onto the court, make sure you get a grip and stay on your feet. Slipp-Nott gives you the advantage you need to stay on your feet and on top of  your game. #getagrip  #slippnott #volleyball #basketball #grip #pingpong #tabletennis #Cheerleader #Dance",GIF,,,,"['getagrip', 'slippnott', 'volleyball', 'basketball', 'grip', 'pingpong', 'tabletennis', 'Cheerleader', 'Dance']"
Slipp-Nott,@slippnott,2021-08-11T23:33:06.000Z,"Slipp-Nott helps you stay on  your feet, and keep you on your feet during play. Slipp-Nott removes dirt and debris that sticks to shoes, making your shoes keep a grip. #dirt #debris #grip #basketball #volleyball #cheer #dance #fencing #TableTennis",GIF,,,,"['dirt', 'debris', 'grip', 'basketball', 'volleyball', 'cheer', 'dance', 'fencing', 'TableTennis']"
Batting Analysis,@BattingAnalysis,2021-08-10T09:01:43.000Z,"Replying to 
@BattingAnalysis",He releases the bottom right thumb to bring the bat straight for the offside. You can see the adjustment at 0.5 seconds into the video. Done after the release of the delivery. #battinganalysis #cricket #KaneWilliamson,1,,,[]
Batting Analysis,@BattingAnalysis,2021-08-10T09:01:51.000Z,"For anything short or bowled down the leg, he latches on directly with that grip. The brilliance is in the balancing and positioning for each shot after reading the ball's release. Less than 0.2-0.3 seconds to do this. #battinganalysis #KaneWilliamson #cricket #testcricket #grip",,1,,1,"['battinganalysis', 'KaneWilliamson', 'cricket', 'testcricket', 'grip']"
Seval,@GazeteciSeval,2021-08-09T09:44:37.000Z,"Grip mi Covid-19 mu?

#Kahramanmaraş #habermerkezi46 #haber #sağlık #covid19 #grip #koronavirüs #ağustos #pazartesi","Grip mi Covid-19 mu?
Gribal enfeksiyon ile Covid-19 semptomlarının benzerlik gösterdiğini belirten uzmanlar, gribal enfeksiyon belirtileri halinde Covid-19 olma riskinin akılda tutulması gerektiğini kaydederek izole...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'sağlık', 'covid19', 'grip', 'koronavirüs', 'ağustos', 'pazartesi']"
GermanNiran,@sefkan2pac,2021-08-12T17:37:16.000Z,"Replying to 
@effzehdavidv3","FREE T1TAN UHLSPORT GOALKEEPER GLOVES

FOLLOW 
@effzehdavidpriv
 AND ENJOY IT

#GRIP #T1TAN #UHLSPORT",1,,,[]
MOHAMMAD FAHIM,@Mohammadfahim68,2021-08-06T22:10:26.000Z,"#Quran
 #QuranMorning
 #Quranhour 

Such is the #crushing #grip of your #Lord ( #Allah ) when He seizes the societies entrenched in #wrongdoing. Indeed, His grip is terribly painful and severe.

 (11:102)

#Islam
#Muslim",,,,,"['Quran', 'QuranMorning', 'Quranhour', 'crushing', 'grip', 'Lord', 'Allah', 'wrongdoing', 'Islam', 'Muslim']"
Slipp-Nott,@slippnott,2021-08-09T19:18:45.000Z,"Slipp-Nott helps you stay on  your feet, and keep you on your feet during play. Slipp-Nott removes dirt and debris that sticks to shoes, making your shoes keep a grip. #dirt #debris #grip #basketball #volleyball #cheer #dance #fencing #TableTennis",GIF,,,,"['dirt', 'debris', 'grip', 'basketball', 'volleyball', 'cheer', 'dance', 'fencing', 'TableTennis']"
Stop NJ overreach,@StopNJoverreach,2021-08-06T10:00:49.000Z,"Comrade Chicklets 
@PhilMurphyNJ
 the only person required to wear s mask in NJ is you. Mask must be secured tightly over the nose and mouth to prevent air and noise pollution by the BS you continue to spew #njdeservesbetter #murphymustgo #OneAndDone #GRIP #murphythemurderer",,,2,7,"['njdeservesbetter', 'murphymustgo', 'OneAndDone', 'GRIP', 'murphythemurderer']"
