username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Mayssaa,@hassan_mayssaa,2019-06-10T08:47:48.000Z,"I am voting for #BarışArduç
To win #best actor #GUZEL AWARDS",,,2,5,"['BarışArduç', 'best', 'GUZEL']"
Omer Teke Alex,@omertekealex,2020-05-07T09:47:22.000Z,#guzel gunlere...,,,,1,['guzel']
ANANTA,@ananta87934757,2019-10-17T04:25:18.000Z,"The another beautiful series.
#ErkenciKus #CanYaman #love #Turkish #smartactor #mustwacth
#guzel",,1,,4,"['ErkenciKus', 'CanYaman', 'love', 'Turkish', 'smartactor', 'mustwacth', 'guzel']"
fresh_natiion,@FNatiion,2020-05-07T06:50:43.000Z,#Guzel #freshgang photoshoot ,,,,,"['Guzel', 'freshgang']"
Abdurrahman Mohamed,@amohamet2017,2019-12-22T12:38:58.000Z,"Let your soul travel to the sun of peace and love  
#Turkey #guzel #antalya #cok #guzel #konyaalti #sunrise #sea #peace #love https://instagram.com/p/B6YAAZdHdk8/?igshid=1dxm0vuqirwp3…",,,1,3,"['Turkey', 'guzel', 'antalya', 'cok', 'guzel', 'konyaalti', 'sunrise', 'sea', 'peace', 'love']"
Jouanna Abou Chacra,@Jouanna_AC,2020-12-12T16:11:58.000Z,Is it 8 yet? #sencalkapimi #EdSer #yılınpartnerı #guzel #nazlısevgili,GIF,,,,"['sencalkapimi', 'EdSer', 'yılınpartnerı', 'guzel', 'nazlısevgili']"
Ömer Ferhat Kirman,@kirmanferhat,2020-02-04T21:43:49.000Z,#mevlam neylerse #guzel #eyle #ankara #sabihagökçen https://instagram.com/p/B8KRVbglbxGx8_yLfNKYujRILDh86tK80tLaGQ0/?igshid=30xaamkf597q…,,,,,"['mevlam', 'guzel', 'eyle', 'ankara', 'sabihagökçen']"
OmoEkiti onigarriegba,@TadeDetule,2020-08-13T15:28:49.000Z,"Replying to 
@NOHUniversitesi
 and 
@karmuhsin",This is a very laudable way to showcase the school. #guzel,,,,[]
Halil Yavuztürk,@halilyavuzturk,2020-04-16T13:00:34.000Z,#guzel #gören #güzel #düşünür #guzel #düşünen #hayatından #lezzet #alır #bediüzzaman #saidnursi #risaleinur @ Reha Web https://instagram.com/p/B_Curvrh5RF/?igshid=dnsgnwyfdv09…,,,,1,"['guzel', 'gören', 'güzel', 'düşünür', 'guzel', 'düşünen', 'hayatından', 'lezzet', 'alır', 'bediüzzaman', 'saidnursi', 'risaleinur']"
Sama Osama,@SamaOsa86412327,2021-02-27T02:34:37.000Z,"Replying to 
@ddnisse2
 and 
@Franbaezamo",Can you tell me how to make a tweet for series and calculate that I want it to reach 3 million.please tell me what are the conditions. can you help me,3,,2,[]
ddnissee,@ddnisse2,2021-02-27T02:59:53.000Z,"Let's assume that tomorrow's HT is ""guzel"" because you can put a tweets that says ""I love EdSer, #guzel"" the important thing is to use the ht and not use any emoji or signs",,,,,['guzel']
Mayito,@1anda2anda3,2021-01-27T18:40:04.000Z,"So this morning was fun! I felt like Lt. Dan taunting the hurricane in Forrest Gump. Crazy storm!

#storm #Fırtına #guzel #BlownAway #rain #Antalya #Tormenta",,,,,"['storm', 'Fırtına', 'guzel', 'BlownAway', 'rain', 'Antalya', 'Tormenta']"
Turkey Travel Group,@TTG_Travel,2018-10-09T12:58:28.000Z,"Istanbul skyline !!
.
.
#istanbul #turkiye #igpodium_portraits #followforfollowback #picureoftheday #turkey #istanbulturkey #iloveistanbul #picturetokeep_nature #bosphorus #ff #guzel… https://instagram.com/p/BotpQOxg1qA/?utm_source=ig_twitter_share&igshid=1g0nmo4nyj6mz…",,,,,"['istanbul', 'turkiye', 'igpodium_portraits', 'followforfollowback', 'picureoftheday', 'turkey', 'istanbulturkey', 'iloveistanbul', 'picturetokeep_nature', 'bosphorus', 'ff', 'guzel']"
poshaakbyfarha,@farha91948537,2020-07-06T03:32:49.000Z,"GUZEL LAWN BY IZNIK*

3 Pcs suit
Embroidered printed Lawn with printed pure chiffon duppattas
Embroideried laces and embroidered neck patches.
Book them @9650278621
#pakistani #clothing #iznik #guzel #fashion #original #salwarkameez #ethnic #iznikfashion #poshaakbyfarha",,,,,"['pakistani', 'clothing', 'iznik', 'guzel', 'fashion', 'original', 'salwarkameez', 'ethnic', 'iznikfashion', 'poshaakbyfarha']"
Miss Wild FlowerFree Palestine,@misswildflower1,2021-03-18T16:07:14.000Z,"Replying to 
@ayse_o79
 and 
@RobJetten","Hahahhaha, #guzel #beautiful #geweldig",,,1,[]
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
MELİS,@__Melisle,2020-12-20T07:29:04.000Z,"En #guzel. Ve en #keyifli pazarlar sizlerin olsun.

Hayat #gülmek için ,
Sevdiklerinizle beraber güzel günleri #yaşamak için özeldir , armağandır ..

#gunaydin 
#mutlupazarlar 
#beraberlik#eglence",,4,60,165,"['guzel', 'keyifli', 'gülmek', 'yaşamak', 'gunaydin', 'mutlupazarlar', 'beraberlik', 'eglence']"
Erciş Belediyesi,@ercisbld,2020-02-01T17:21:12.000Z,"Yıl 1989 Barış Manço #Guzel Erciş gezisi... 1 Şubat 1999 da vefat eden Barış Manço'yu ölüm  yıldönümünde rahmetle anıyoruz. 
@nmehmetbeyoglu",,1,16,96,['Guzel']
Mete66han66,@mete66han66,2020-12-04T13:48:35.000Z,"Ve bazı sevenler, gizlidir..! 
Çünkü bazen sevgiyi Yalnız yaşamak gerekir..! 
El değmesin.. 
_____Göz değmesin.. 
__________Söz değmesin diye...!  Akşamınız #guzel olsun ",,1,2,47,['guzel']
MELİS,@__Melisle,2020-12-23T04:18:16.000Z,"#Günaydın demek için bundan güzel saat olur mu ...? 

En #guzel günaydınlar sizlerin olsun .
Hayata anlam katan sevdikleriniz hep yanınızda olsun..

Selamün aleyküm hayata tüm sayfama ..

#gunaydin 
#carsamba","0:49
373 views",21,59,211,"['Günaydın', 'guzel', 'gunaydin', 'carsamba']"
Mete66han66,@mete66han66,2020-11-13T16:17:57.000Z,"Şık olmalı kadın dediğin!
Gelişi,
Gülüşü
Bakışı
Duruşu
Hatta,
Gidişi bile...!

#Cemal #Süreya..

Akşamınz #guzel olsun",,1,6,49,"['Cemal', 'Süreya', 'guzel']"
graphicer,@graphicer_,2020-05-12T09:14:05.000Z,"Hayat yaşadığın kadar güzel, sevdiğin kadar özel…

#gunaydın #dostlar #hayat #guzel
#sali #hemsire #tedbirieldenbırakma",,1,12,185,"['gunaydın', 'dostlar', 'hayat', 'guzel', 'sali', 'hemsire', 'tedbirieldenbırakma']"
NeriBJK1903,@Bjk1903Neri,2020-07-24T04:31:30.000Z,Günün en #guzel videosu  #hayirlicumalar ,,,5,24,"['guzel', 'hayirlicumalar']"
RDM Kit.,@RDM_kit8,2020-04-28T04:27:55.000Z,"#Günaydın
#guzel hayellerinizin
#Güzel gerçeklere dönüştüğü güzel bir gün diliyorum ",GIF,10,7,83,"['Günaydın', 'guzel', 'Güzel']"
Hakan,@okinawa_yasam,2020-01-13T06:40:43.000Z,"#sen #en #guzel #şiirlerin #şairesisin
Gerisinin hiç bir. #ÖnemiYokKi

#gunaydin #KalbimdekiYerin",,,8,15,"['sen', 'en', 'guzel', 'şiirlerin', 'şairesisin', 'ÖnemiYokKi', 'gunaydin', 'KalbimdekiYerin']"
Yaşar Aktaş,@Kzlelma78527963,2021-07-17T05:03:34.000Z,"Simit satan bir çocuğun!!!!
   Denize giren,çocukları  izlediği  bu düzende, her şey sınıfsal...
       Herr sey
            #guzel bir gün diliyorum. 
                 #KıymetliDostlar",,16,4,94,"['guzel', 'KıymetliDostlar']"
Hidayet Erel,@HidayetErel,2021-08-04T17:23:34.000Z,Gün batımı. #Guzel mutlu #Akşamlar olsun #Sevgiyle kalın ,"0:40
201 views",3,7,63,"['Guzel', 'Akşamlar', 'Sevgiyle']"
Rozerin _aydn,@enveray73953497,2021-08-07T05:47:29.000Z,"Kadının..
#Dil de yüzü de #gülüşü de her daim 
#guzel olur. .
#rojbaş 
#günaydın 
#cumartesianneleri850hafta ",,28,16,249,"['Dil', 'gülüşü', 'guzel', 'rojbaş', 'günaydın', 'cumartesianneleri850hafta']"
ꕥ↜★᭄ꦿ᭄ꦿ↝𝓖𝓸𝓷𝓬𝓪 ↜★᭄ꦿ᭄ꦿ↝ꕥ,@aqResiFHaTuN,2021-03-15T07:24:23.000Z,"Şu...Kendini vazgeçilmez zanneden...!

 Bulunmadık hint kumaşı olanlar varya

 Defolu olduklarını 'ne zaman kabul

 edecek acaba...?

#AnladınDeğilMi
#gün
#guzel 
#keyfim 
#yerinde ♡
#pazartesi",,,6,33,"['AnladınDeğilMi', 'gün', 'guzel', 'keyfim', 'yerinde', 'pazartesi']"
Psn27,@lepen27,2021-03-20T16:18:51.000Z,#Guzel #Akşamlar,,3,,19,"['Guzel', 'Akşamlar']"
ꕥ↜★᭄ꦿ᭄ꦿ↝𝓖𝓸𝓷𝓬𝓪 ↜★᭄ꦿ᭄ꦿ↝ꕥ,@aqResiFHaTuN,2021-04-11T19:18:32.000Z,"Belki... 
Denk  gelmişiz dir...
Şu  hayatta ...
Ya gülüşümüz...
Ya acımız...
Ya da gözlerimiz...

     ...BiLiNMeZ...
#GeceyeBirNot
#guzel
#yarinlara 
#uyanın 
#sağlıkla  
♡♥︎♡",,2,6,108,"['GeceyeBirNot', 'guzel', 'yarinlara', 'uyanın', 'sağlıkla']"
Caglar0834,@caglar0834,2020-04-19T20:29:46.000Z,Seni seviyorum demekte #guzel,,1,1,29,['guzel']
Yaşar Aktaş,@Kzlelma78527963,2021-07-24T09:36:55.000Z,"""Mükemmel değil, merhametli çocuklar  yetiştirin. Karıncaları ezmeyen, ağaç dallarını kırmayan  çiçekleri ezip geçmeyen  sevgiyi hissetmeyi  ve hissettirmeye bilen çocuklar.....
    #Guzel geçsin gününüz 
        #KıymetliDostlar",,4,4,79,"['Guzel', 'KıymetliDostlar']"
shadow,@cloudshadow_0,2021-05-29T17:42:58.000Z,#guzel baya takıp eden var o zaman sıze net rakam verıyorum su anlık 32k altında 1h veya 4h  kapanısı ıle 3gen müçgen kalmaz:)))))),"shadow
@cloudshadow_0
 · May 29
aşk üçgenı delindi mi?? ben bakmadan sıze soruyorum ona gore??? #BTC  kac kısı takıp edıyor?? ,,,gorelım,,,",4,3,92,['guzel']
🅞🅩🅛🅔🅜 Günes,@Ozlem06_06,2021-02-02T14:56:57.000Z,"Dün ile bugün arasındaki kapıyı aralık bırakırsan, yarınların ceyran yapar...
Hastalıklı günlere uyanmak istemiyorsan, düne kapını kapat...
Yarınlarını yaşa kafan rahat.!

             #Guzel #Akşamlar ",,,1,13,"['Guzel', 'Akşamlar']"
Mislina Çiftçioğlu,@mislina_cft,2020-02-08T21:37:16.000Z,"Ya aşk gibi aşk olacak dibine kadar!
Ya bu kalp seve seve yalnızlığa talip...
#sezenAksu #GulbenErgen #aşk  #BenimHayatım  #bubenimhikayem
#hodrimeydan 
@gulbenergen
 #en #guzel #sarki",,3,11,78,"['sezenAksu', 'GulbenErgen', 'aşk', 'BenimHayatım', 'bubenimhikayem', 'hodrimeydan', 'en', 'guzel', 'sarki']"
.,@alisade21,2020-11-19T04:11:39.000Z,"#günaydın herkese 
#guzel olsun #gününüz ey ahali
#Rojbaş
#persembe
#soguk",,1,,16,"['günaydın', 'guzel', 'gününüz', 'Rojbaş', 'persembe', 'soguk']"
Öyküm&burak,@oykumburak0661,2021-08-06T07:18:03.000Z,"#guzel insan aramayın, guzel insan olun GUNAYDIN",,14,6,72,['guzel']
ozlemakca,@ozlemgzci,2021-08-08T22:12:16.000Z,#guzel gunler daha guzel gunler yakin olsun artik,,,,1,['guzel']
Murtaza,@Murtaza17420957,2021-08-06T08:02:48.000Z,#mısır #latex #guzel,"Öznur Güven
@ozguvenofficial
 · Aug 6
Günaydıın",,,,"['mısır', 'latex', 'guzel']"
