username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ramazan Şimşek,@06Ramazansimsek,2021-07-28T08:27:01.000Z,"Günün en erken saatinden, en geç saatine kadar canla başla çalışan, yoğun tempolarına rağmen güler yüzlülüğünden asla ödün vermeyen kıymetli çalışma arkadaşlarımız ile Temizlik İşleri Müdürlüğü'nde bir araya geldik.",,8,17,469,[]
Ramazan Şimşek,@06Ramazansimsek,2021-07-28T08:27:04.000Z,"Özverili çalışmalarından ve çalışkanlılıklarından dolayı hepsine yürekten teşekkür ediyorum…

#gölbaşı #gölbaşıbelediyesi #ramazanşimşek #temizlikişlerimüdürlüğü #ankara #ankaragölbaşı",,,6,380,"['gölbaşı', 'gölbaşıbelediyesi', 'ramazanşimşek', 'temizlikişlerimüdürlüğü', 'ankara', 'ankaragölbaşı']"
İskender YILDIRIM,@iskender_02,2020-07-10T05:54:13.000Z,"Belediyemizin etkinliklerinde bugüne kadar kullanmadığımız gibi bugünden sonra da Sakarya'daki patlamalarda yitirdiğimiz vatandaşlarımız ve askerlerimizin aziz hatıralarına saygı duyarak havai fişek kullanmayacağız. 
#GölbaşıBelediyesi 
 
#havaifisekyasaklansin",,1,5,42,"['GölbaşıBelediyesi', 'havaifisekyasaklansin']"
Ramazan Şimşek,@06Ramazansimsek,2021-08-04T10:23:05.000Z,"Birlik ve beraberlik içerisinde bu kara günleri de hep birlikte, omuz omuza atlatacağız !

#gölbaşı #gölbaşıbelediyesi #ramazanşimşek #MHP #yardımkampanyası #devletbahçeli #birlik #beraberlik #yardım #Manavgat #YaralarıSarıyoruz",,6,11,398,"['gölbaşı', 'gölbaşıbelediyesi', 'ramazanşimşek', 'MHP', 'yardımkampanyası', 'devletbahçeli', 'birlik', 'beraberlik', 'yardım', 'Manavgat', 'YaralarıSarıyoruz']"
Emirler Mahallesi,@EmirlerMahalle1,2018-07-27T21:20:36.000Z,#AnkaraBüyükşehirBelediyesi #GölbaşıBelediyesi,,,1,1,"['AnkaraBüyükşehirBelediyesi', 'GölbaşıBelediyesi']"
Gölbaşı Belediyesi,@GolbasBld,2021-07-29T13:58:50.000Z,"Sevgi varsa engel yoktur.

UYUM öğrencilerimizin elleriyle yaptığı kokulu taş çalışmaları. 

#uyummerkezi #gölbaşıbelediyesi #gölbaşı",,,4,12,"['uyummerkezi', 'gölbaşıbelediyesi', 'gölbaşı']"
Ramazan Şimşek,@06Ramazansimsek,2021-08-08T09:37:09.000Z,"Umutları da ormanları da birlikte yeşerteceğiz ! 

Omuz omuza atlatacağız Türkiyem...

#gölbaşı #gölbaşıbelediyesi #ramazanşimşek #yangın #yardım #yardımkampanyası #birlik #beraberlik #Manavgat #orman #ormanyangını #birlikteyeşerteceğiz",,7,13,408,"['gölbaşı', 'gölbaşıbelediyesi', 'ramazanşimşek', 'yangın', 'yardım', 'yardımkampanyası', 'birlik', 'beraberlik', 'Manavgat', 'orman', 'ormanyangını', 'birlikteyeşerteceğiz']"
Ramazan Şimşek,@06Ramazansimsek,2021-08-07T07:21:31.000Z,"Tarih yazdın Busenaz, harikasın !

Madalya sana çok yakıştı...Türkiye seninle gurur duyuyor!!

#gölbaşı #gölbaşıbelediyesi #ramazanşimşek #tokyo2020 #altınmadalya #boks #busenazsürmeneli",,9,7,422,"['gölbaşı', 'gölbaşıbelediyesi', 'ramazanşimşek', 'tokyo2020', 'altınmadalya', 'boks', 'busenazsürmeneli']"
Gölbaşı Belediyesi,@GolbasBld,2021-08-10T13:48:05.000Z,"Evde bakım hizmetimiz devam ediyor.  
Hastaneye gidemeyecek durumda olan ya da bakıma muhtaç vatandaşlarımız evde bakım hizmetimizden faydalanmak için görselde bulunan iletişim numaralarımızı arayabilirler. 

#evdebakım #gölbaşıbelediyesi #sağlık",,,5,13,"['evdebakım', 'gölbaşıbelediyesi', 'sağlık']"
Ramazan Şimşek,@06Ramazansimsek,2021-08-05T07:49:05.000Z,"Gelin el ele verelim, birlikte çoğalalım !              

#gölbaşı #gölbaşıbelediyesi #ramazanşimşek #yardımkampanyası #birlik #beraberlik #yardım #eleleverelim",,7,17,419,"['gölbaşı', 'gölbaşıbelediyesi', 'ramazanşimşek', 'yardımkampanyası', 'birlik', 'beraberlik', 'yardım', 'eleleverelim']"
Prof. Dr. Sefer Aycan,@seferaycan,2019-10-24T14:57:30.000Z,"TBMM Down ve Otizm Araştırma    Komisyonu olarak Etimesgut Belediyesini ve Belediyenin Engelsiz Yaşam Özel Eğitim Merkezini ziyaret ettik, hizmetlerle ilgili bilgi aldık. Merkezden ve verdiği hizmetlerden memnun kaldık.Teşekkürederiz. #Otizm #GölbaşıBelediyesi",,22,6,27,"['Otizm', 'GölbaşıBelediyesi']"
Haberola,@haberolacomtr,2020-06-25T14:38:32.000Z,"Gölbaşı bilardonun merkezi oluyor #türkiyebilardofederasyonu #sportoto #gölbaşıbelediyesi #bilardosalonu #haberola
http://haberola.com.tr/?p=54258",,,,2,"['türkiyebilardofederasyonu', 'sportoto', 'gölbaşıbelediyesi', 'bilardosalonu', 'haberola']"
Ramazan Şimşek,@06Ramazansimsek,2021-07-27T14:06:06.000Z,"Olimpiyatlarda ringe çıkan ilk kadın Türk boksör olan 23 yaşındaki Busenaz Sürmeneli Tokyo Olimpiyatları’nda adını çeyrek finale yazdırdı. Bu galibiyet, Türkiye'nin olimpiyat oyunları tarihinde kadın boksunda kazandığı ilk galibiyet oldu.",,9,12,597,[]
Ramazan Şimşek,@06Ramazansimsek,2021-07-27T14:06:06.000Z,"Türk kadınlarının olimpiyatlardaki başarılarını gururla takip ediyorum. Milli sporcumuzu gönülden tebrik ediyor, başarılar diliyorum. 

#tokyo2020 #gölbaşıbelediyesi #ramazanşimşek #busenazsürmeneli #boks #çeyrekfinal",,,4,399,"['tokyo2020', 'gölbaşıbelediyesi', 'ramazanşimşek', 'busenazsürmeneli', 'boks', 'çeyrekfinal']"
Özkan Şenoğlu,@Osenoglu06,2020-04-28T21:06:43.000Z,"Gölbaşı  Mamak
Gölbaşımızda cadde ve sokaklarımızda dezenfekte çalışması yapılıyor.
Kardeşlik bunu gerektiriyor.

Teşekkürler #MamakBelediyesi 
Teşekkürler #GölbaşıBelediyesi 
@MuratKoseMamak
 
@06Ramazansimsek",,,,13,"['MamakBelediyesi', 'GölbaşıBelediyesi']"
Besiyad,@besiyad,2021-04-21T17:57:06.000Z,"Sevgili BESİYAD Ailesi,  Bugün Dernek olarak, 200’e yakın BESİYAD Gıda Yardım Paketlerini, 2 Muhtarlık ve 1 Kaymakamlık Yardım Merkezi’ne teslim ettik.  Katkıda bulunan herkese çok teşekkür ederiz.

#besiyad #beşiktaş #gölbaşıbelediyesi #yardım #destek #ramazanyardımı #dernek",,,2,3,"['besiyad', 'beşiktaş', 'gölbaşıbelediyesi', 'yardım', 'destek', 'ramazanyardımı', 'dernek']"
imarpanosu,@imarpanosu,2020-04-22T14:33:08.000Z,"#GölbaşıBelediyesi dezenfeksiyon kabini üretti https://youtu.be/wRbZ5e1cg2Q 
@YouTube
 aracılığıyla","Gölbaşı Belediyesi dezenfeksiyon kabini üretti
Gölbaşı Belediyesi, dezenfeksiyon kabini ürettti, semt pazarlarında kullanmaya başladı. Gölbaşı Belediye Başkanı Ramazan Şimşek, koronavirüs önlemleri kapsam...
youtube.com",,1,1,['GölbaşıBelediyesi']
Gölbaşı Belediyesi,@GolbasBld,2021-08-10T07:27:15.000Z,"Sivrisineklerle mücadele için ekiplerimiz düzenli aralıklarla tüm mahallelerimizde ilaçlama çalışması yapıyor. 

#gölbaşıbelediyesi #ilaçlama",,,3,17,"['gölbaşıbelediyesi', 'ilaçlama']"
Gölbaşı Belediyesi,@GolbasBld,2021-08-11T11:07:43.000Z,"Her bebek geleceğimizin teminatı demek.  
Hoş Geldin Bebek Seti ile hayatınızı kolaylaştırıyoruz.  
Hizmetimizden faydalanmak için  0 312 485 5430 - 35 numaralı telefonlarımızdan bizimle iletişime geçebilirsiniz.

#hoşgeldinbebek #gölbaşıbelediyesi #yenidoğan #bebek",,,4,12,"['hoşgeldinbebek', 'gölbaşıbelediyesi', 'yenidoğan', 'bebek']"
Sonsöz Gazetesi,@sonsozgazete,2020-07-07T08:37:22.000Z,"Gölbaşı’nda hijyen denetimleri arttırıldı - Gölbaşı Belediyesi salgın ile mücadele kapsamında çalışmalarına normalleşme sürecinde de hız kesmeden devam ediyor.
 - #BelediyeHaberleri #GölbaşıBelediyesi - Sonsöz Gazetesi • Son Dakika • Güncel Haberler • Ankara Yerel Gazete",,,,,"['BelediyeHaberleri', 'GölbaşıBelediyesi']"
Haber Ankara,@haberankaracom,2020-09-21T09:34:49.000Z,"Gençlerin buluşma noktası Gölbaşı olacak #başkent #ankara #gölbaşı #gölbaşıbelediyesi #heran #haberankara 
https://haberankara.com/genclerin-bulusma-noktasi-golbasi-olacak/78269/…",,,,,"['başkent', 'ankara', 'gölbaşı', 'gölbaşıbelediyesi', 'heran', 'haberankara']"
Sosyal TV,@sosyaltvcomtr,2021-05-17T15:06:02.000Z,"Yavru köpekleri torbaya koyup dereye attı
https://sosyaltv.com.tr/asayis/yavru-kopekleri-torbaya-koyup-dereye-atti-h139876.html…
#Gölbaşıbelediyesi #SosyalTv",,,,,"['Gölbaşıbelediyesi', 'SosyalTv']"
Kapsam Haber,@KapsamHaber,2020-09-21T08:37:25.000Z,Ankara'da Gençlerin Buluşma Noktası Gölbaşı Oluyor https://kapsamhaber.com/yerel/ankara-da-genclerin-bulusma-noktasi-golbasi-oluyor-h59859.html…  #Ankara #Gölbaşı #ÜniversitelilerCaddesi #GölbaşıBelediyesi,,,,,"['Ankara', 'Gölbaşı', 'ÜniversitelilerCaddesi', 'GölbaşıBelediyesi']"
Serpil Çiçek,@serpilcicek78,2020-04-28T19:51:52.000Z,"#GölbaşıBelediyesi
#MamakBelesiyesi","AK Parti Gölbaşı İlçe Başkanlığı
@06akgolbasi
 · Apr 28, 2020
Gölbaşı Belediyemizin koordinasyonunda Mamak Belediyesi ekiplerimizle ilçemizde dezenfekte çalışmasına ara vermeden devam ediyor. Teşekkürler #GölbaşıBelediyesi  Teşekkürler #MamakBelediyesi

#AkPartiAnkara
@MuratKoseMamak
@06Ramazansimsek
@hakanhanozcan
@Slmakcyln
0:52
101 views",,1,1,"['GölbaşıBelediyesi', 'MamakBelesiyesi']"
korhan tuçdan,@hazeyinkrh,2019-06-02T00:07:12.000Z,Gölbaşı  Günden kalanlar  #gölbaşıbelediyesi #ramazaneğlencesi #ramazan #kukla #animasyon #gelenekseltiyatro @ Atatürk Sahil Parkı https://instagram.com/p/ByL8memH13NUGaxHyaG_BimvWlK6OwQUCLfgj00/?igshid=1dssgz0bhr2o1…,,,,,"['gölbaşıbelediyesi', 'ramazaneğlencesi', 'ramazan', 'kukla', 'animasyon', 'gelenekseltiyatro']"
Burcu,@burcusiinan,2020-06-23T08:54:42.000Z,Hayvanları özellikle köpekleri çok çok seviyorum.Burasi tabiki de hepimizin yaşam alanı olmalı. Ama Gölbaşı TOKİ de o kadar fazla ki sayıları artık bırakn yürüyüş yapmayı markete dahi gidemiyorz. Çete halinde dolaşıyorlr ve geçen akşam bir kadına saldırdılr ve ben yardımci olamdm,,5,6,74,[]
Ayaz,@Ayaz25270336,2020-06-23T09:00:10.000Z,Çok üzücü. #gölbaşıbelediyesi nin yaşam alanı açması gerekiyor onlara,,1,,1,['gölbaşıbelediyesi']
Kapsam Haber,@KapsamHaber,2020-08-30T10:25:06.000Z,Uyum Öğrencilerinden 30 Ağustos Zafer Bayramına özel kutlama https://kapsamhaber.com/yerel/uyum-ogrencilerinden-30-agustos-zafer-bayramina-ozel-kutlama-h59603.html… #GölbaşıBelediyesi #Uyum #Engelli,"Uyum Öğrencilerinden 30 Ağustos Zafer Bayramına özel kutlama
Gölbaşı Belediyesi tarafından geçtiğimiz günlerden hayata geçirilen Umutlu Yaşam Uygulama Merkezi (UYUM), öğrencileri 30 Ağustos Zafer Bayramı’nı kutladı.
kapsamhaber.com",,,,"['GölbaşıBelediyesi', 'Uyum', 'Engelli']"
