username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
ErkanCansuDaily,@ErkanCansuDaily,2021-05-20T00:06:36.000Z,This seems to be the plot summary of #Gönül. So I guess Erkan will play Hogır,,1,12,22,['Gönül']
ErkanCansuDaily,@ErkanCansuDaily,2021-06-20T11:48:24.000Z," | #Gönül cast so far: 
(Filming started June 5th & will end July 4/5 )",,1,11,23,['Gönül']
G İ Z E M / Erkanlı paylaşımlar,@Erkankeka17,2021-07-05T11:18:54.000Z,#gönül NEWS ,,,,5,['gönül']
ErkanCansuDaily,@ErkanCansuDaily,2021-07-04T19:04:47.000Z,#Gönül  team • #erkankeka,,,1,4,"['Gönül', 'erkankeka']"
آنا,@MertKar14057203,2020-12-11T10:11:11.000Z,"Azat and Gönül, the best two characters of Hercai. The only two characters I care about...  #Hercai #AzatSadoglu #gönül",,,3,4,"['Hercai', 'AzatSadoglu', 'gönül']"
Eben Elteskye,@elteskye,2021-02-21T17:00:27.000Z,"Replying to 
@unicefturk","(Our children have no provider but us,lf we lose our job they will lose (everything.
#Gönül)lülerikurtarın",,,,[]
♪♬•*¨*•.¸ (NaZ)¸.•*¨*•♬♪,@Naz47803835,2021-04-12T19:12:54.000Z,"#SELÂMDUAILE

#RAMAZAN ; 
eğer kalp kırmamaksa,  gönül almaksa,
gücü yettiği halde her acısını sadece #RABB'İNE bırakmaksa,
*#GÖNÜL #ORUCUNUZ #MÜBAREK #OLSUN *
Dilini temiz tutmak,
rızkına şükretmek,
derdini yalnız #ALLAH'A (#cc 

#HAYIRLI #RAMAZANLAR ..
#HAYRLI_GECELER.",,13,96,574,"['SELÂMDUAILE', 'RAMAZAN', 'RABB', 'GÖNÜL', 'ORUCUNUZ', 'MÜBAREK', 'OLSUN', 'ALLAH', 'cc', 'HAYIRLI', 'RAMAZANLAR', 'HAYRLI_GECELER']"
{[ TÜRKİYE ]},@th_yns,2021-04-01T06:44:51.000Z,"Not!

#Gönül
Ne Tarafı İşaret Ederse,

Beş Duyu Da Eteklerini Toplayıp O Tarafa Gider.

[Hz. Mevlana]",GIF,,31,293,['Gönül']
♫•**•.¸¸(NaZLı)¸¸.•**•♫,@NaZNaZL59945087,2021-07-16T04:30:39.000Z,"..

#Birbirimize #duâ edersek, 
#Birbirimize iyi geliriz 
#Unutma Sakın !
Her #gönül bir başka #gönlü açacak #Anahtarı taşır
Ötesi #nasip, ötesi #teslim olmaktır ⚘
GÜL KOKULU CUMA'LAR 

SELÂM ve Duâile Kalın.",,21,106,508,"['Birbirimize', 'duâ', 'Birbirimize', 'Unutma', 'gönül', 'gönlü', 'Anahtarı', 'nasip', 'teslim']"
𝓔𝓷𝓷𝓾𝓻 𝓥𝓮𝓯𝓪,@EnnurVefa,2020-12-27T18:24:12.000Z,"Nasıl bi his biliyor musun? 
Oda çok geniş ama sığamıyorsun, 
bak kapı orada ama çıkamıyorsun, 
pencere açık ama nefes alamıyorsun.""

Cemal Süreya

#gönül",,,11,70,['gönül']
Emrah S.,@eserbesto,2021-01-19T15:07:11.000Z,Reislerin Reisi #Gönül #RecepTayyipErdogan #SeninleRTE #RTErdogan,"1:22
164 views",,46,45,"['Gönül', 'RecepTayyipErdogan', 'SeninleRTE', 'RTErdogan']"
@Arafta1kalp,@Arafta1kalp,2021-02-06T07:08:28.000Z,".... Ey #GÖNÜL...!!
Hakk'a #Aşık olmayanın
#Aşka Hakkı olur mu?.",,,2,108,"['GÖNÜL', 'Aşık', 'Aşka']"
