username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
,@nazlimu89,2021-08-10T04:48:39.000Z,"The heart is the most beautiful mirror. Whatever you do, what you write, what you think, what you share is the reflection of your heart......With new hopes for the new day lovelllly morning #guenaydin",,1,1,4,['guenaydin']
༺✿ angélique ♡༺,@angelic1807,2021-08-07T04:51:41.000Z,"Good Morning 
do more of what makes you happy 
#goodmorning #gutenmorgen #buongiorno #günaydin",,1,,3,"['goodmorning', 'gutenmorgen', 'buongiorno', 'günaydin']"
adacyprus,@adacyprus1,2021-08-06T05:36:56.000Z,Those dark clouds cannot hide the sun forever. #günaydın #cuma,,,,22,"['günaydın', 'cuma']"
Cem Şahin,@Cem___sahin,2021-08-11T06:29:55.000Z,#Günaydın madem,,19,8,162,['Günaydın']
adacyprus,@adacyprus1,2021-08-12T06:53:35.000Z,"Reset, Breathe, Restart. #günaydın #perşembe #ağustos",,1,,35,"['günaydın', 'perşembe', 'ağustos']"
Sevinç,@SvncDmrts3440,2021-08-11T06:12:24.000Z,"Coffee and Walking... 
10.1 km 

#carsamba
#günaydın 
#Erkencitayfa ",,,1,3,"['carsamba', 'günaydın', 'Erkencitayfa']"
Helya - ADA,@HelyaADA,2021-08-06T04:52:34.000Z,"#Hayırlı_Cumalar
#Günaydın
 AMİN   ",,1,1,81,"['Hayırlı_Cumalar', 'Günaydın']"
Yasemin Pressley,@YaseminPressley,2021-08-05T12:27:03.000Z,"Never lose hope, similarly never be overconfident.

#goodmorning #guenaydın #HappyThursday",,,1,17,"['goodmorning', 'guenaydın', 'HappyThursday']"
༺✿ angélique ♡༺,@angelic1807,2021-08-12T04:37:14.000Z,"Good Morning 
Have a good day

#goodmorning #gutenmorgen #buongiorno #günaydin",,,,2,"['goodmorning', 'gutenmorgen', 'buongiorno', 'günaydin']"
༺✿ angélique ♡༺,@angelic1807,2021-08-09T05:06:15.000Z,"Monday mood
Good Morning have a good day 
#goodmorning #gutenmorgen #buongiorno #günaydin",,,,3,"['goodmorning', 'gutenmorgen', 'buongiorno', 'günaydin']"
