username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Veryansıntv.com,@veryansintvcom,2021-08-13T15:28:48.000Z," Saniyede #GününÖzeti 
(13.08.2021)

#haber #gündem #sondakika","1:06
147 views",,1,4,"['GününÖzeti', 'haber', 'gündem', 'sondakika']"
Cab İstanbul,@cabistanbul,2021-08-09T12:26:53.000Z,"Sogukcesme street is one of the places frequented by those who miss old Istanbul. Pass cobblestone streets between colorful houses. Take a look at the cafes on the lower floor and the Istanbul Library, where local and foreign tourists flock.
#soğukçeşme #keşfet #gündem #tuerkiye",,,,,"['soğukçeşme', 'keşfet', 'gündem', 'tuerkiye']"
Passion Motorcycle,@PassionMotorcy1,2021-08-08T21:36:48.000Z,Rock N Roll..  #rocknroll #gündem #BMW #R18 #BAR #Genel #motorcycle #motorsiklet,,,,,"['rocknroll', 'gündem', 'BMW', 'R18', 'BAR', 'Genel', 'motorcycle', 'motorsiklet']"
Bilal Özdemir,@bilozdemir,2021-08-11T09:59:01.000Z,"To get to the highest, the war continues…
.
.
#skyland #skylandistanbul #istanbul #interturkey #gündem #magazin #instagram #turkey #rangerover #fotoğraf @ Skyland İstanbul https://instagram.com/p/CSbhDuYKR56/?utm_medium=twitter…",,,,,"['skyland', 'skylandistanbul', 'istanbul', 'interturkey', 'gündem', 'magazin', 'instagram', 'turkey', 'rangerover', 'fotoğraf']"
Yusuf Tutar,@ysufttar,2021-08-07T13:39:36.000Z,https://webhaberin.com   New project   #SonDakika #gündem #kesfet #kesfetteyiz #cumartesi #Twitter #gt,"Web Haberin
webhaberin.com",,,,"['SonDakika', 'gündem', 'kesfet', 'kesfetteyiz', 'cumartesi', 'Twitter', 'gt']"
Akla Zarar Veren Gerekçeler,@TR_Uyanis,2021-08-07T13:46:24.000Z,"Replying to 
@TR_Uyanis","- In the meeting in which this picture was taken,
Drug leader #Zindaşti has been His Turkish citizenship is given. 

(Burhan Kuzu had with state officials on this issue, it was said that this person could not be possible because he is a drug lord known all over the world.)",1,,,[]
Akla Zarar Veren Gerekçeler,@TR_Uyanis,2021-08-07T13:59:16.000Z,"- Zindashti's friendship with Burhan Lamb start and continued this way. Zindaşti's daughter died in an attack on Zindaşti .
#burhankuzu called #druglord Zindaşti and offered his condolences and told him that their friendship would continue.

#gündem 
#SedatPeker #Turkey",,1,,,"['burhankuzu', 'druglord', 'gündem', 'SedatPeker', 'Turkey']"
quila,@lunaertas,2021-08-05T10:10:06.000Z,1)instagram 2) Facebook 3) Twitter 4) tiktok benim gözümde uygulamalar #Guendem,,,,3,['Guendem']
Burak ALPAY,@BurakAlpay1905,2021-08-08T16:43:01.000Z,"#ibrahimçelikkol #gündem
Fetih 1453 filminde Ulubatlı Hasan'ı canlandıran İbrahim Çelikkol Marmaris'te gönüllü olarak yangın söndürme ekibine katıldı.
Allah razı olsun senden ve senin gibi sanatçılardan ",,,4,20,"['ibrahimçelikkol', 'gündem']"
Hegemonyas,@hegemonyas,2021-08-05T12:28:45.000Z,"Çok sorun çok dert var. Daha önce gündem olan akaryakıt fiyatları pahalılığa rağmen gündem olmuyor.

#Gündem Dışı",,,,1,['Gündem']
Borsa Adam,@borsa_adami,2021-08-13T11:02:00.000Z,"#SARKY tobo devam ederse hedefler görselde belirtilmiştir. Sizlerde formasyonlardan haberdar olmak istiyorsanız bizi takip edin.
-YTD
#borsa #bist #bist100 #bist30 #borsai̇stanbul #ekonomi #hisse #analiz #yatirim #para #gündem",,1,,4,"['SARKY', 'borsa', 'bist', 'bist100', 'bist30', 'borsai', 'ekonomi', 'hisse', 'analiz', 'yatirim', 'para', 'gündem']"
Aԋɱҽƚ,@Ahmetbbulut25,2021-08-11T18:53:41.000Z,"#EvimMagdurlari
Birikimlerimizi istiyoruz #evimmağdurlari
#TMSF 
#gündem",,,8,6,"['EvimMagdurlari', 'evimmağdurlari', 'TMSF', 'gündem']"
Türkçe,@turkce,2021-08-13T15:33:33.000Z,"Sel bölgesinden acı haber! Hayatını kaybedenlerin sayısı 31'e yükseldi: Son dakika haberine göre AFAD, Batı Karadeniz'i etkisi altına alan sel nedeniyle Kastamonu’da 29, Sinop’ta 2 vatandaşın hayatını kaybettiğini duyurdu.… http://dlvr.it/S5b6Jb #Türkçe #SonDakika #Gündem",,,1,,"['Türkçe', 'SonDakika', 'Gündem']"
Teksif Sendikası,@TeksifSen,2021-08-06T08:05:57.000Z,"GÜNDEM

http://teksif.org.tr/gundem 
#gündem #ekonomi #politika #dünya #spor",,,,3,"['gündem', 'ekonomi', 'politika', 'dünya', 'spor']"
Borsa Adam,@borsa_adami,2021-08-09T11:04:00.000Z,"#ASELS destek üzerinde kalırsa yeni hedef 17 tl olur. Takip edip göreceğiz.
-YTD
#borsa #bist #bist100 #bist30 #borsai̇stanbul #ekonomi #hisse #analiz #yatirim #para #gündem",,,,12,"['ASELS', 'borsa', 'bist', 'bist100', 'bist30', 'borsai', 'ekonomi', 'hisse', 'analiz', 'yatirim', 'para', 'gündem']"
