username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ali Serçe,@AliSere20,2021-08-10T03:38:09.000Z,"Anne kucağı !
#Güven",,1,18,213,['Güven']
سامي,@samian1k,2021-08-12T15:55:50.000Z,"""Güven, ucuz insanların taşıyamayacağı ağır bir yüktür. ""



#Güven",,,2,141,['Güven']
T.C. Küçükçekmece Kaymakamlığı,@KcekmeceKymklik,2021-08-12T18:03:13.000Z,"Büyük İlçeler #Güven ve #Dönüşüm Projesi çerçevesinde;

Yaz Kuran Kurslarımızda eğitim gören öğrencilerimizin katıldığı turnuva etkinliği düzenlendi.",,,6,23,"['Güven', 'Dönüşüm']"
Emel Dirik,@EmelDirik4,2021-08-10T19:04:25.000Z,#Güven,,,1,1,['Güven']
Raskolnikov Ro anoviç,@raskolnikovrmn,2021-08-06T07:46:07.000Z,Bu güne bir de #üst kuponum olacak #güven %80 üzeri.. Pammık eller çöksün bakalım sayımızı bilelim ,,,1,13,"['üst', 'güven']"
Özge,@0zgos,2021-08-06T10:49:56.000Z,"“Çirkin bir duygu şu kıskançlık!” 

Tolstoy / Kadın Ruhu 
 #cuma #kitap #sevgi #güven",,,,44,"['cuma', 'kitap', 'sevgi', 'güven']"
MuratKızıloluk,@muratkiziloluk,2021-08-12T04:20:23.000Z,"""Eğitim görmüş halkı bir yöne sevk etmek kolay, sürüklemek güçtür, idare etmek kolay, köleleştirmek imkansızdır..""  Montaigne

#Günaydın 

#Huzur ve #güven içerisinde #barış ve #kardeşlik duygularımızın pekiştiği bir gün dilerim

#Perşembe 

#ProvokasyonaGelme",,2,,30,"['Günaydın', 'Huzur', 'güven', 'barış', 'kardeşlik', 'Perşembe', 'ProvokasyonaGelme']"
Yen Teknik,@yenteknik,2021-08-06T15:50:20.000Z,"Türkiye genelinde, akaryakıt ve havacılık sektöründe gezici ekiplerimizle araç üst ve alt yapı onarım hizmeti veriyoruz. 

#YenTeknik #Mühendislik 
#Danışmanlık #Bakım #Dönüşüm 
#Akaryakıt #Gelecek #Güven #BeraberceDahaİyiye",,,,1,"['YenTeknik', 'Mühendislik', 'Danışmanlık', 'Bakım', 'Dönüşüm', 'Akaryakıt', 'Gelecek', 'Güven', 'BeraberceDahaİyiye']"
MELEK ♡,@melekcemre35,2021-08-12T16:31:10.000Z,"#Edep olmadıkça #asaletin 

#Güven olmadıkça #sevginin 

#Adalet olmadıkça #yönetimin 

#Cömert olmadıkça #zenginliğin 

#Alçak  gönüllü olmadıkça #makamın 

Bir faydası #olmayacaktır. 

#HzÖMER 

HAYIRLI CUMALAR ",GIF,6,157,323,"['Edep', 'asaletin', 'Güven', 'sevginin', 'Adalet', 'yönetimin', 'Cömert', 'zenginliğin', 'Alçak', 'makamın', 'olmayacaktır', 'HzÖMER']"
Ümit KAYA,@metnky184,2021-08-09T19:04:26.000Z,"Dünyanın en pahalı şeyi güvendir, ucuz insanlar bunu karşılayamaz
#güven",,,,1,['güven']
