username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
《 Nur 》,@nuradonurkrc,2021-05-26T09:04:47.000Z,"Replying to 
@GratisTr","#güzelbakkendine gratisle 
@elnur_67",,,,[]
mihrac & melis,@melismels86,2021-04-03T08:44:38.000Z,"@bibuketmutluluk #güzelbakkendine 
@GratisTr
 ilee","gratistr
@GratisTr
 · Mar 31
En sevilenlerden oluşan Favori Ürünler Kutusu!  Bu kutuyu kazanan 4 kişiden biri olmak için yapman gerekenler çok basit. 
 Gratis hesabını takip et.
 Bu tweeti bir arkadaşını mentionlayarak alıntıla.
 Kazananlar 6 Nisan Salı günü açıklanacaktır. #güzelbakkendine
Show this thread",,,,['güzelbakkendine']
AZRA,@zrasaydn,2021-03-31T14:31:13.000Z,"#güzelbakkendine 
@Kookie1997army","gratistr
@GratisTr
 · Mar 31
En sevilenlerden oluşan Favori Ürünler Kutusu!  Bu kutuyu kazanan 4 kişiden biri olmak için yapman gerekenler çok basit. 
 Gratis hesabını takip et.
 Bu tweeti bir arkadaşını mentionlayarak alıntıla.
 Kazananlar 6 Nisan Salı günü açıklanacaktır. #güzelbakkendine
Show this thread",,1,1,['güzelbakkendine']
gratistr,@GratisTr,2021-07-17T09:31:48.000Z,"Bugün Dünya Emoji Günü! Favori ürünün hangisi? Bırak emojin anlatsın, Dünya Emoji Günün kutlu olsun. Cevabını yorumlara bekliyoruz. #güzelbakkendine",,5,,38,['güzelbakkendine']
Bahar,@Bahar01743426,2021-05-22T10:43:19.000Z,Hadi bir çık yaa hadi yaaa #güzelbakkendine #güzelbakkendine,,,,,"['güzelbakkendine', 'güzelbakkendine']"
madame rosé,@madameros3,2021-06-30T08:00:27.000Z,"T- shop: Knk ödevi unutmuşum senden baksam 
Gratis: olur knk ama biraz değiştir anlaşılmasın 
#gratis #güzelbakkendine",,,,1,"['gratis', 'güzelbakkendine']"
B,@limonssu,2021-04-21T14:00:48.000Z,"Gratisten yana şansım ne zaman dönecek  
@esra1907par
 #güzelbakkendine","gratistr
@GratisTr
 · Apr 21
Bu şahane set acaba kime gidecek?  Çok sevilen ikonik theBalm ürünleriyle dolu paketi kazanan 4 kişiden biri olmak için 
Gratis hesabını takip et.
Bu tweet'i bir arkadaşını mention'layarak alıntıla.
Kazananlar 27 Nisan Salı günü açıklanacaktır. #güzelbakkendine
Show this thread",,,1,['güzelbakkendine']
kırgın papatya,@papatyakurusln,2021-05-20T11:08:00.000Z,"Replying to 
@GratisTr","#güzelbakkendine 
@Tugceklncgs",,1,1,[]
İnanna,@Sadecesimaa,2021-05-05T11:47:25.000Z,"#guezelbakkendine 
@esraokannn","gratistr
@GratisTr
 · May 5
Annelerin en güzeline yakışacak hediyeler Gratis'te!  Bu sürpriz paket bizden annene hediye. Kazanan 4 kişiden biri olmak için 
Gratis hesabını takip et.
Bu tweet'i bir arkadaşını mentionlayarak retweet et.
Kazananlar 11 Mayıs Salı günü açıklanacaktır. #güzelbakkendine
Show this thread",,,,['guezelbakkendine']
Sibel,@ufogorenmasumm,2021-03-23T17:02:06.000Z,"Umarım kazanırım #beyzondeer 
@beyzondeer
#gratis  #güzelbakkendine","gratistr
@GratisTr
 · Mar 23
Gratis'ten dört dörtlük hediye!  Bu paketi kazanan 4 kişiden biri olmak için yapman gerekenler çok basit. 
 Gratis hesabını takip et.
 Bu tweeti bir arkadaşını mentionlayarak alıntıla.
 Kazananlar 30 Mart Salı günü açıklanacaktır. #güzelbakkendine
Show this thread",,,42,"['beyzondeer', 'gratis', 'güzelbakkendine']"
