username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Lela Chiqovani.,@lelachiqovani1,2021-08-07T10:40:23.000Z,"Happy Anniversary Day 07.08.2009#happywedding #HalitBerguzarWedding #HalitErgenç #BergüzarKorel #couple #bestcouple #beatiful #doğalllık #güzellik #tatlılık
#HalitErgenc #BerguzarKorel #love #aşk #mutluluk",,,5,15,"['happywedding', 'HalitBerguzarWedding', 'HalitErgenç', 'BergüzarKorel', 'couple', 'bestcouple', 'beatiful', 'doğalllık', 'güzellik', 'tatlılık', 'HalitErgenc', 'BerguzarKorel', 'love', 'aşk', 'mutluluk']"
Biopark Medical,@BioparkMedical,2021-08-10T12:09:07.000Z,"RE-POST from 
@dr
.joia_kyoto
..

#bioparkmedical #biopark #mpgun  #mesotherapy #mesotherapygun #health  #medicalaesthetics #mesotherapy #mesotherapygun #aesthetic #beauty #estetik #mezoterapi #mesopengun #güzellik #sağlık","0:05
8 views",,,2,"['bioparkmedical', 'biopark', 'mpgun', 'mesotherapy', 'mesotherapygun', 'health', 'medicalaesthetics', 'mesotherapy', 'mesotherapygun', 'aesthetic', 'beauty', 'estetik', 'mezoterapi', 'mesopengun', 'güzellik', 'sağlık']"
Serdar ASLAN,@saslan122,2021-08-07T10:18:08.000Z,"Yaşama sevincim 
Doğum Günün Kutlu Olsun! 
@sseaslan
 İyiki varsın! #doğumgünü #birthday #portrait #beauty #happiness #mutluluk #güzellik  #family",,,1,8,"['doğumgünü', 'birthday', 'portrait', 'beauty', 'happiness', 'mutluluk', 'güzellik', 'family']"
𝓝𝓲𝓵𝓾̈𝓯𝓮𝓻'𝓲𝓬̧𝓮,@TanricaNilufer,2021-08-06T18:00:54.000Z,"O bu dünyaya gelmiş EŞSİZ bir cevher; başka #Nilüfer gelmez. 
#Fotoğraf 1990

#pop #müzik #şarkı #popmusic #popstar #90larmüzik #90s #90lar #doksanlar #gençlik #güzellik #efsane #photography #photo",,,,6,"['Nilüfer', 'Fotoğraf', 'pop', 'müzik', 'şarkı', 'popmusic', 'popstar', '90larmüzik', '90s', '90lar', 'doksanlar', 'gençlik', 'güzellik', 'efsane', 'photography', 'photo']"
sule,@gncrk_s,2021-08-08T10:25:16.000Z,Merhaba #güzellik ,,,,1,['güzellik']
,@Karpuzzkiz,2021-08-10T18:10:51.000Z,"farkın, kaliten
#avon #kozmetik #güzellik #makyaj #ciltBakımı #parfüm #makeup #tyt140
#tytbaraj140 #makeuptutorial #makeupartist",,,,1,"['avon', 'kozmetik', 'güzellik', 'makyaj', 'ciltBakımı', 'parfüm', 'makeup', 'tyt140', 'tytbaraj140', 'makeuptutorial', 'makeupartist']"
𝓝𝓲𝓵𝓾̈𝓯𝓮𝓻'𝓲𝓬̧𝓮,@TanricaNilufer,2021-08-05T14:19:06.000Z,"Minik bir tatlı kız çocuğu şöyle diyor:
""Asma suratını, bir #DünyaDönüyor çal,  dünyanın kulaklarının pası silinsin.""
#Nilüfer 
#tbt #anı #müzik #pop #şarkı #arşiv #nostalji #music #hit #diva #love #popstar #popmusic #art #efsane #güzellik #gençlik #çocukluk","0:56
71 views",,1,10,"['DünyaDönüyor', 'Nilüfer', 'tbt', 'anı', 'müzik', 'pop', 'şarkı', 'arşiv', 'nostalji', 'music', 'hit', 'diva', 'love', 'popstar', 'popmusic', 'art', 'efsane', 'güzellik', 'gençlik', 'çocukluk']"
Bence...,@SozBahcesi,2021-08-05T07:24:02.000Z,Evde doğal organik güneş yağı yapımı #kendinyap #kadın #bakım #güzellik #güneş #güneşyağı #evdeyap #tarifler,"Evde Organik Güneş Yağı Yapımı | DIY | Kendin Yap | Bu Tarifi Mutlaka...
Evde %95 korumalı organik katkısız bronzlaştırıcı doğal güneş yağı yapımı. Bu kolay tarifi mutlaka deneyin. Kendin yap DIY videoları çok faydalı oluyor. O yü...
youtube.com",,,1,"['kendinyap', 'kadın', 'bakım', 'güzellik', 'güneş', 'güneşyağı', 'evdeyap', 'tarifler']"
iadeal.com,@iadealcom,2021-08-13T11:49:05.000Z,"Watsons alışverilerinden karlı çıkmaya ne dersin?
.
.
#İadeAlcom #iade #onlinealışveriş #eticaret #paraiadesi #cashback #indirimkuponu #gittigidiyor #watsons #güzellik #alışveriş",,,,,"['İadeAlcom', 'iade', 'onlinealışveriş', 'eticaret', 'paraiadesi', 'cashback', 'indirimkuponu', 'gittigidiyor', 'watsons', 'güzellik', 'alışveriş']"
Lela Chiqovani.,@lelachiqovani1,2021-08-07T10:35:06.000Z,"Evlilik yıldönümünüz kutlu olsun #070809 #happywedding #HalitBerguzarWedding #halitergenç #bergüzarkorel #couple #bestcouple #beatiful #doğalllık #güzellik #tatlılık
#halitergenc #berguzarkorel #love #aşk #mutluluk",,1,6,17,"['070809', 'happywedding', 'HalitBerguzarWedding', 'halitergenç', 'bergüzarkorel', 'couple', 'bestcouple', 'beatiful', 'doğalllık', 'güzellik', 'tatlılık', 'halitergenc', 'berguzarkorel', 'love', 'aşk', 'mutluluk']"
