username,twhandle,postdate,content,responding,reply,retweet,like
World News UK,@kralfmlondra,2021-08-12T06:46:02.000Z,Brexit LIVE: UK booms as economy surges 4.8% – Rishi Sunak handed major Treasury boost http://dlvr.it/S5V8gJ #haber #news #england,"Brexit LIVE: UK booms as economy surges 4.8% – Rishi Sunak handed major Treasury boost
BRITAIN is bouncing back from the ravages of the pandemic and flexing its muscles with the EU shackles removed, data published today has indicated.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-11T09:59:33.000Z,Sturgeon told 'action needed now' as SNP leader slapped with 21 demands in 'rallying cry' http://dlvr.it/S5RB6r #haber #news #england,"Sturgeon told 'action needed now' as SNP leader slapped with 21 demands in 'rallying cry'
NICOLA STURGEON has been told \
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-10T20:53:02.000Z,'We're under house arrest!' Fury at Emmanuel Macron's health pass crackdown http://dlvr.it/S5Pbbq #haber #news #england,"'We're under house arrest!' Fury at Emmanuel Macron's health pass crackdown
EMMANUEL MACRON\'S extension of France\'s controversial health pass laws has sparked outrage across the Republic.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-11T15:53:02.000Z,Meghan Markle and Kate getting on 'really WELL' as possible 'Netflix project' in pipeline http://dlvr.it/S5SGYg #haber #news #england,"Meghan Markle and Kate getting on 'really WELL' as possible 'Netflix project' in pipeline
A royal source has claimed Meghan wants to \
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-11T11:59:03.000Z,Michael Schumacher's wife Corinna 'helped save' F1 legend from horror ski crash http://dlvr.it/S5RXSj #haber #news #england,"Michael Schumacher's wife Corinna 'helped save' F1 legend from horror ski crash
MICHAEL SCHUMACHER\'s wife, Corinna has played a crucial role in the F1 legend\'s recovery over the years, and a friend of the couple has credited her with ensuring his survival.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-11T07:18:03.000Z,EU shamed as forests destroyed to make green energy: 'From burning one climate to another' http://dlvr.it/S5Qn3l #haber #news #england,"EU shamed as forests destroyed to make green energy: 'From burning one climate to another'
THE EU has been shamed by campaigners, who claim the bloc is \
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-11T07:04:03.000Z,'The EU will never work' Boris urged to 'focus on CANZUK union' as bloc faces budget chaos http://dlvr.it/S5QlC3 #haber #news #england,"'The EU will never work' Boris urged to 'focus on CANZUK union' as bloc faces budget chaos
BRITONS are urging the Government to focus on the \
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-11T11:29:32.000Z,Germany chaos: Angela Merkel's CDU plummets in latest shocking poll ahead of election http://dlvr.it/S5RS1x #haber #news #england,"Germany chaos: Angela Merkel's CDU plummets in latest shocking poll ahead of election
ANGELA MERKEL\'s party is facing a shocking decline in polls just six weeks ahead of the federal general election in Germany.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-11T20:21:04.000Z,Jacinda Ardern risks fury as Churchill portrait pulled from NZ parliament & grandson upset http://dlvr.it/S5SrqS #haber #news #england,"Jacinda Ardern risks fury as Churchill portrait pulled from NZ parliament - grandson upset
JACINDA ARDERN has found herself in the firing line as the grandson of Winston Churchill leads a wave of criticism after a portrait of the wartime leader was moved from its place in the New Zealand...
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
TRmotosports,@TRmotosports,2021-08-10T00:18:45.000Z,"Red #Bull ve #Ferrari 4 #Silindirli, #Mercedes ve #Renault ise 6 #Silindirli #Motorlar #Istiyorlar

-> http://trmotosports.com/red-bull-ve-ferrari-4-silindirli-mercedes-ve-renault-ise-6-silindirli-motorlar-istiyorlar/?Red+Bull+ve+Ferrari+4+silindirli%2C+Mercedes+ve+Renault+ise+6+silindirli+motorlar+istiyorlar… 

#TRmotosports #CanlıYayın #F1 #Formula1 #Haber #Izle #Motorsporları #Motorsports #News #Online",,,1,1,"['Bull', 'Ferrari', 'Silindirli', 'Mercedes', 'Renault', 'Silindirli', 'Motorlar', 'Istiyorlar', 'TRmotosports', 'CanlıYayın', 'F1', 'Formula1', 'Haber', 'Izle', 'Motorsporları', 'Motorsports', 'News', 'Online']"
World News UK,@kralfmlondra,2021-08-04T09:06:03.000Z,'They can't do this' Furious caravan owners fighting council over rule change http://dlvr.it/S50t3g #haber #news #england,"'They can't do this' Furious caravan owners fighting council over rule change
MORE THAN 100 caravan owners are furious after being told their vans are too old to be on their beloved site.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-10T06:15:03.000Z,Kim Jong Un's sister fires chilling warning to US about imminent 'security threats' http://dlvr.it/S5M8Xt #haber #news #england,"Kim Jong Un's sister fires chilling warning to US about imminent 'security threats'
KIM JONG UN\'S sister issued a threat to the US and South Korea, saying the countries would face \
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-07T04:59:03.000Z,'Death on the spot' Woman horrifically mauled by tiger after not realising cage was open http://dlvr.it/S5BggZ #haber #news #england,"'Death on the spot' Woman horrifically mauled by tiger after not realising cage was open
A WOMAN has died after being horrifically mauled by a Tiger in a Chilean safari park.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-10T05:30:32.000Z,Charles in rare public display of affection with Camilla who makes life 'more bearable' http://dlvr.it/S5M3XL #haber #news #england,"Charles in rare public display of affection with Camilla who makes life 'more bearable'
PRINCE Charles and Camilla were photographed sharing a rare kiss in Singapore.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-09T12:05:02.000Z,MoD launches £9.5m project to protect 'our way of life' as Russia and China threaten UK http://dlvr.it/S5Jdd9 #haber #news #england,"MoD launches £9.5m project to protect 'our way of life' as Russia and China threaten UK
THE MINISTRY OF DEFENCE has approved a lucrative £9.5million contract for the construction of Titania - a satellite designed to help safeguard the UK\'s national interests as the likes of China and...
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
