username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TRmotosports,@TRmotosports,2021-08-10T00:18:45.000Z,"Red #Bull ve #Ferrari 4 #Silindirli, #Mercedes ve #Renault ise 6 #Silindirli #Motorlar #Istiyorlar

-> http://trmotosports.com/red-bull-ve-ferrari-4-silindirli-mercedes-ve-renault-ise-6-silindirli-motorlar-istiyorlar/?Red+Bull+ve+Ferrari+4+silindirli%2C+Mercedes+ve+Renault+ise+6+silindirli+motorlar+istiyorlar… 

#TRmotosports #CanlıYayın #F1 #Formula1 #Haber #Izle #Motorsporları #Motorsports #News #Online",,,1,1,"['Bull', 'Ferrari', 'Silindirli', 'Mercedes', 'Renault', 'Silindirli', 'Motorlar', 'Istiyorlar', 'TRmotosports', 'CanlıYayın', 'F1', 'Formula1', 'Haber', 'Izle', 'Motorsporları', 'Motorsports', 'News', 'Online']"
World News UK,@kralfmlondra,2021-08-07T04:59:03.000Z,'Death on the spot' Woman horrifically mauled by tiger after not realising cage was open http://dlvr.it/S5BggZ #haber #news #england,"'Death on the spot' Woman horrifically mauled by tiger after not realising cage was open
A WOMAN has died after being horrifically mauled by a Tiger in a Chilean safari park.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
Haber,@Itshaber,2021-08-07T11:57:33.000Z,"I know it's early doors, but this 4,3,3 with Matic DM and Bruno & Donny at CM is looking good. 

Far better than a McFred pivot",,11,,124,[]
harry,@AwayPompey,2021-08-07T11:58:40.000Z,I have glitch where says failed to save changes to squad on companion and I’m on holiday anyone know what I can do? #haber #fifa21,,1,,,"['haber', 'fifa21']"
World News UK,@kralfmlondra,2021-08-05T18:14:02.000Z,Heatwave forecast: 29C blast to scorch UK before Spanish plume bakes nation & weather maps http://dlvr.it/S561j3 #haber #news #england,"Heatwave forecast: 29C blast to scorch UK before Spanish plume bakes nation - weather maps
SCORCHING heat is set to bake the nation this month, according to the latest weather charts, before forecasters predict Spanish air could sweep north and sizzle the UK.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-12T18:48:34.000Z,Plymouth 'shooting': Major incident as 'four air ambulances' and police rush to scene http://dlvr.it/S5XCcm #haber #news #england,"Plymouth 'shooting': Major incident as 'four air ambulances' and police rush to scene
A MAJOR incident has been declared in Plymouth, with \
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-07T10:28:33.000Z,Princess Charlotte steals the show in cute new butterfly pic by mum Kate for special event http://dlvr.it/S5CFrK #haber #news #england,"Princess Charlotte steals the show in cute new butterfly pic by mum Kate for special event
THE DUKE and Duchess of Cambridge have released adorable pictures of their daughter Princess Charlotte today.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-12T11:16:02.000Z,Europe heatwave LIVE: Italy to ROAST on 'hottest&ever' day as 48C 'Lucifer' heat dome hits http://dlvr.it/S5VsQP #haber #news #england,"Europe heatwave LIVE: Italy to ROAST on 'hottest-ever' day as 48C 'Lucifer' heat dome hits
ITALY has registered the hottest temperature ever recorded in Europe, reaching a sizzling 48.8C as the heatwave smothers Europe.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
Seval,@GazeteciSeval,2021-08-09T09:44:37.000Z,"Grip mi Covid-19 mu?

#Kahramanmaraş #habermerkezi46 #haber #sağlık #covid19 #grip #koronavirüs #ağustos #pazartesi","Grip mi Covid-19 mu?
Gribal enfeksiyon ile Covid-19 semptomlarının benzerlik gösterdiğini belirten uzmanlar, gribal enfeksiyon belirtileri halinde Covid-19 olma riskinin akılda tutulması gerektiğini kaydederek izole...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'sağlık', 'covid19', 'grip', 'koronavirüs', 'ağustos', 'pazartesi']"
World News UK,@kralfmlondra,2021-08-11T13:40:32.000Z,Mystery bird disease outbreak: Public told 'don't touch' as killer illness detected in US http://dlvr.it/S5RrbG #haber #news #england,"Mystery bird disease outbreak: Public told 'don't touch' as killer illness detected in US
A MYSTERY disease outbreak is causing concern in the US, as the public has been warned, \
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-10T07:41:33.000Z,Afghanistan news LIVE: Taliban runs riot sparking fears of overwhelming EU migrant crisis http://dlvr.it/S5MLWM #haber #news #england,"Afghanistan news LIVE: Taliban runs riot sparking fears of overwhelming EU migrant crisis
THE Taliban has captured another provincial capital in Afghanistan, one in a series of victories which could spell disaster for the region, and for Europe.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
World News UK,@kralfmlondra,2021-08-10T20:53:02.000Z,'We're under house arrest!' Fury at Emmanuel Macron's health pass crackdown http://dlvr.it/S5Pbbq #haber #news #england,"'We're under house arrest!' Fury at Emmanuel Macron's health pass crackdown
EMMANUEL MACRON\'S extension of France\'s controversial health pass laws has sparked outrage across the Republic.
news.turkish.co.uk",,,,"['haber', 'news', 'england']"
