username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ulak News,@ulaknews,2021-08-08T17:12:07.000Z,İletişim Başkanı Altun: Yangınların 234'ü kontrol altına alındı... https://ulak.news/haber_iletisim-baskani-altun-yanginlar_sozcu_6582576.html… --- #sondakika #haber #sondakikahaber #haberler,"İletişim Başkanı Altun: Yangınların 234’ü kontrol altına alındı
İletişim Başkanı Altun, Twitter hesabından yaptığı açıklamada, son 12 gündür orman yangınlarıyla devletin tüm imkanlarını kullanarak büyük bir özveriyle mücadele ettiklerini bildirdi. Altun, “Şu ana...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ulak News,@ulaknews,2021-08-08T17:10:18.000Z,Yolcu otobüsü kazasında hayatını kaybedenlerin isimleri belli oldu ... https://ulak.news/haber_yolcu-otobusu-kazasinda-hayatini_sozcu_6582564.html… --- #sondakika #haber #sondakikahaber #haberler,"Yolcu otobüsü kazasında hayatını kaybedenlerin isimleri belli oldu 
Saat 00.30 sularında Karabük terminalinden İzmir Aliağa istikametine doğru yola çıkan Efe Tur’a ait yolcu otobüsü saat 04.40 sıralarında Balıkesir OSB Çevre Yolunda Edremit istikametine doğru seyir...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ortanca İmam,@ImamOrtanca,2021-08-08T17:04:54.000Z,"Terörist başı, Erdoğan hakkında neler demiş, dinleyin.

#sondakika #haber #gündem #siyaset #eleştiri #politika #Hedef2023 #devletiminyanındayım #devletimizvarolsun #devlet #reisinyanındayız #reis #başkan #erdoğan #receptayyiperdoğan #akparti #pkkterörörgütüdür",,,,2,"[""['sondakika', 'haber', 'gündem', 'siyaset', 'eleştiri', 'politika', 'Hedef2023', 'devletiminyanındayım', 'devletimizvarolsun', 'devlet', 'reisinyanındayız', 'reis', 'başkan', 'erdoğan', 'receptayyiperdoğan', 'akparti', 'pkkterörörgütüdür']""]"
NftSea,@NftSeaa,2021-08-08T16:50:19.000Z,"Cardinal Entertainment Hızla Büyüyen NFT Alanında Tam Özellikli Bir Nakit Oyunu olan Zoombies Open Beta'nın Lansmanını Duyurdu 
@CryptozNFT
 

#gamer #BlockchainGaming #NFTgaming #nftoyun #game #NFTurk #kriptokoin #kriptohaber #kriptopara #kriptoarena #tur #haber #nfts",,,1,,"[""['gamer', 'BlockchainGaming', 'NFTgaming', 'nftoyun', 'game', 'NFTurk', 'kriptokoin', 'kriptohaber', 'kriptopara', 'kriptoarena', 'tur', 'haber', 'nfts']""]"
Ulak News,@ulaknews,2021-08-08T16:46:07.000Z,Meteoroloji il il uyardı! Bu günlere dikkat... https://ulak.news/haber_meteoroloji-il-il-uyardi-bu-gunl_aydinlik_253313.html… --- #sondakika #haber #sondakikahaber #haberler,"Meteoroloji il il uyardı! Bu günlere dikkat
Meteoroloji Genel Müdürlüğü, Orta ve Doğu Karadeniz'i uyardı. Pazartesi günü başlayan sağanak yağışların, salı gününe kadar devam etmesi bekleniyor. İşte detaylar... | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Evrenin Kaşifi,@kasifievrenin,2021-08-08T16:45:23.000Z,"Dünyanın bir Kara Delik tarafından yutulduğunu hayal edin!  

: @ Hashem Al-Ghaili (Facebook)

#space #science #galaxy #earth #astronomy #space #nasa #universe #cosmos #stars #astrophysics #physics #physics #earth #haber #sondakika #evren #bilim #uzay #karadelik #dünya","0:13
7 views",,,,"[""['space', 'science', 'galaxy', 'earth', 'astronomy', 'space', 'nasa', 'universe', 'cosmos', 'stars', 'astrophysics', 'physics', 'physics', 'earth', 'haber', 'sondakika', 'evren', 'bilim', 'uzay', 'karadelik', 'dünya']""]"
samsunsehirgazetesi.com,@sehirgazetesi55,2021-08-08T16:43:47.000Z,"Cumhurbaşkanı Erdoğan, Balıkesir’deki trafik kazası başta olmak üzere son günlerde meydana gelen trafik kazalarında hayatını kaybeden vatandaşlar için başsağlığı dileğinde bulundu.
#haber #balıkesir",,,,,"[""['haber', 'balıkesir']""]"
Ulak News,@ulaknews,2021-08-08T16:42:07.000Z,Koronavirüsten 108 kişi hayatını kaybetti... https://ulak.news/haber_koronavirusten-108-kisi-hayatini_kronos_240981.html… --- #sondakika #haber #sondakikahaber #haberler,"Koronavirüsten 108 kişi hayatını kaybetti
Türkiye’de son 24 saatte 239 bin 637 Covid-19 testi yapıldı, 22 bin 699 kişinin testi pozitif çıktı, 108 kişi hayatını | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ulak News,@ulaknews,2021-08-08T16:40:20.000Z,Birlikte ölürüz dedi felçli eşini bırakmadı! Yangında ağlatan olay... https://ulak.news/haber_birlikte-oluruz-dedi-felcli-esin_internethaber_2200691.html… --- #sondakika #haber #sondakikahaber #haberler,"Birlikte ölürüz dedi felçli eşini bırakmadı! Yangında ağlatan olay
Sosyal medyada yaşlı çiftin yaşadıkları görenleri ağlatıyor. Felçi eşini bırakıp da gitmeyen yaşlı amca yaşadıklarını anlattı. Yardıma gelenler olmasaydı ikisi de yanacaktı. | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Evrenin Kaşifi,@kasifievrenin,2021-08-08T16:39:23.000Z,"Senin favorin hangisi?  

: IG a_guy_named_eric

#planet #galaxy #galaxies #universe #telescope #cosmos #nebula #nightsky #blackhole #star #astrology #haber #sondakika #sondakikahaberleri #evren #bilim #uzay #karadelik #dünya #nature #milkywaychasers #astrophotography",,,,,"[""['planet', 'galaxy', 'galaxies', 'universe', 'telescope', 'cosmos', 'nebula', 'nightsky', 'blackhole', 'star', 'astrology', 'haber', 'sondakika', 'sondakikahaberleri', 'evren', 'bilim', 'uzay', 'karadelik', 'dünya', 'nature', 'milkywaychasers', 'astrophotography']""]"
Kocaeli Denge,@KocaeliDenge,2021-08-08T16:27:08.000Z,"A101 indirimini duyan markete koşuyor! Yetişen alıyor!
https://kocaelidenge.com/foto/7584623/a101-oyle-bir-indirim-yapti-ki-musteriler-cildirdi-indirim-duyan-a101e-kostu-iste-a101-9-agustos-2021-pazartesi-katalogu?1…
#a101 #101katalog #sondakika #haber","A101 Öyle Bir İndirim Yaptı Ki, Müşteriler Çıldırdı! İndirim Duyan A101’e Koştu! İşte A101 9...
Alışveriş tutkunlarının merakla beklediği, herkesin mutlaka uğradığı, indirimleri takip ettiği A101 market indirime doymuyor. 9 Ağustos 2021 Pazartesi kataloğu yayınlanmasıyla milyonlarca vatandaş...
kocaelidenge.com",,,,"[""['a101', '101katalog', 'sondakika', 'haber']""]"
AnaHaber. com,@AnaHabercom,2021-08-08T16:26:24.000Z,"Sivas’ta yıldırım düştü, 1 kişi öldü Sivas’ta yıldırım düştü, 1 kişi öldüSivas'ta etkili olan gök gürültülü sağanak yağışla birlikte yıldırım düştü, 1 kişi hayatını kay...  https://is.gd/xz9Ygu 
#Haber","Sivas’ta yıldırım düştü, 1 kişi öldü
Sivas’ta yıldırım düştü, 1 kişi öldüSivas'ta etkili olan gök gürültülü sağanak yağışla birlikte yıldırım düştü, 1 kişi haya
anahaber.com",,,,"[""['Haber']""]"
Kanal Çare,@KanalCare,2021-08-08T16:24:36.000Z,"Aşı Olanlara da Test #Almanya

https://youtu.be/wibFYjXg5z0 
@YouTube
 aracılığıyla 
#sondakika
#haber","Aşı Olanlara da Test #Almanya
Aşı Olanlara da TestHaberler Bugünkü Almanya Türkiye Haberleri, Angela Merkel Sokağa Çıkma yasağı, Günlük Almanya Haberleri #almanyaLütfen Bizi Sosyal Me...
youtube.com",,,,"[""['Almanya', 'sondakika', 'haber']""]"
Ulak News,@ulaknews,2021-08-08T16:18:08.000Z,İsrail'de artan yeni tip koronavirüs vakaları nedeniyle yeni kısıtlamalar getirildi... https://ulak.news/haber_israilde-artan-yeni-tip-koronavi_gazetemanifesto_456115.html… --- #sondakika #haber #sondakikahaber #haberler,"İsrail’de artan yeni tip koronavirüs vakaları nedeniyle yeni kısıtlamalar getirildi
Vakalardaki artış nedeniyle 25 Haziran’da yeniden kapalı alanlarda maske takma zorunluluğu geri getirilen İsrail’de artan vakalar sebebiyle yeni kısıtlamalar getirildi. | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Kanal Çare,@KanalCare,2021-08-08T16:16:30.000Z,"Türklere Aşı Geliyor #Almanya 

https://youtu.be/Cpt168aeeDw 
@YouTube
 aracılığıyla 
#sondakika 
#haber","Türklere Aşı Geliyor #Almanya
Türklere Aşı GeliyorHaberler Bugünkü Almanya Türkiye Haberleri, Angela Merkel Sokağa Çıkma yasağı, Günlük Almanya Haberleri #almanyaLütfen Bizi Sosyal Me...
youtube.com",,,,"[""['Almanya', 'sondakika', 'haber']""]"
Urfa com,@wwwurfacom,2021-08-08T16:13:17.000Z,"Şanlıurfa’da yüzme kuyruğu https://urfa.com/sanliurfada-yuzme-kuyrugu/… 

#urfa #urfahaber #sanliurfa #Şanlıurfa #sondakika #haber","Şanlıurfa'da yüzme kuyruğu
Şanlıurfa'da etkisi devam eden sıcaklardan bunalan vatandaşlar, sulama kanalları ve yüzme havuzlarına akın etti.
urfa.com",,,1,"[""['urfa', 'urfahaber', 'sanliurfa', 'Şanlıurfa', 'sondakika', 'haber']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T16:10:54.000Z,"Bakan Karaismailoğlu'ndan Yeniköy Termik Santrali açıklaması

https://olay.com.tr/bakan-karaismailoglundan-yenikoy-termik-santrali-aciklamasi-829771… #haber #sondakika #Gündem",,,,,"[""['haber', 'sondakika', 'Gündem']""]"
Yeraltı Haber,@yeraltihaber,2021-08-08T16:08:15.000Z,"Kütahya’daki Kömür Sahasında Lavvar Tesisi Kurulacak! https://yeraltihaber.com/haber/kutahyadaki-komur-sahasinda-lavvar-tesisi-kurulacak-991…
#Kütahya #Kömür #Maden #Madencilik #Üretim #Tesis #Sondakika #Haber #Gündem #Güncel #Pazar","Kütahya’daki Kömür Sahasında Lavvar Tesisi Kurulacak!
yeraltihaber.com",,,,"[""['Kütahya', 'Kömür', 'Maden', 'Madencilik', 'Üretim', 'Tesis', 'Sondakika', 'Haber', 'Gündem', 'Güncel', 'Pazar']""]"
Ulak News,@ulaknews,2021-08-08T15:58:08.000Z,"İzmir'de korkunç olay! Genç kadın, başından vurulmuş halde bulundu... https://ulak.news/haber_izmirde-korkunc-olay-genc-kadin-_haberturk_3156687.html… --- #sondakika #haber #sondakikahaber #haberler","İzmir'de korkunç olay! Genç kadın, başından vurulmuş halde bulundu
İzmir'de korkunç bir olay meydana geldi. Kentin Konak ilçesinde erkek arkadaşı olduğu iddia edilen Muhammet S.’ye (25) ait silahla başından vurulmuş halde bulunan Şenay A. (22) ağır yaralandı. Olayın...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T15:57:57.000Z,"Usta sanatçı hayatını kaybetti

https://olay.com.tr/usta-sanatci-hayatini-kaybetti-24-829761… #haber #sondakika #Magazin #ÇekirgeMagazin",,,,,"[""['haber', 'sondakika', 'Magazin', 'ÇekirgeMagazin']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T15:55:33.000Z,"Yangın bölgelerine 79 milyon liralık yardım

https://olay.com.tr/yangin-bolgelerine-79-milyon-liralik-yardim-829758… #haber #sondakika #Gündem",,,1,1,"[""['haber', 'sondakika', 'Gündem']""]"
Ulak News,@ulaknews,2021-08-08T15:54:07.000Z,"Lionel Messi, Barcelona'ya gözyaşları arasında veda etti! Yeni takımını açıkladı... https://ulak.news/haber_lionel-messi-barcelonaya-gozyasl_internethaber_2200683.html… --- #sondakika #haber #sondakikahaber #haberler","Lionel Messi, Barcelona'ya gözyaşları arasında veda etti! Yeni takımını açıkladı
BARCELONA'dan ayrılan Lionel Messi, düzenlediği basın toplantısında gözyaşlarına boğuldu. Messi, yeni takımını da açıkladı... | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ulak News,@ulaknews,2021-08-08T15:54:07.000Z,Fahrettin Altun: 239 orman yangınının 234'ü kontrol altına alındı... https://ulak.news/haber_fahrettin-altun-239-orman-yangin_aydinlik_253307.html… --- #sondakika #haber #sondakikahaber #haberler,"Fahrettin Altun: 239 orman yangınının 234'ü kontrol altına alındı
İletişim Başkanı Fahrettin Altun, orman yangınlarıyla ilgili son durumu paylaştı. | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ulak News,@ulaknews,2021-08-08T15:52:08.000Z,Çocuk Kitaplığı / Karga ile Ceviz Ağacı: Doğaya saygı... https://ulak.news/haber_cocuk-kitapligi-karga-ile-ceviz-_diken_988289.html… --- #sondakika #haber #sondakikahaber #haberler,"Çocuk Kitaplığı / Karga ile Ceviz Ağacı: Doğaya saygı
Yaratıcı okuma, yaratıcı yazma ve yaratıcı drama çalışmaları ile oldukça eğlenceli etkinlikler düzenleyen, çocuklara kitaplar aracılığı ile dokunabilmenin mutluluğunu yaşayan yazar Songül Bozacı, tam...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T15:49:35.000Z,"Ormanlarda piknik yasaklanınca sahillerdeki yoğunluk arttı

https://olay.com.tr/ormanlarda-piknik-yasaklaninca-sahillerdeki-yogunluk-artti-829752… #haber #sondakika #Gündem",,,,,"[""['haber', 'sondakika', 'Gündem']""]"
BİTARAF Haber,@bitarafiz,2021-08-08T15:48:38.000Z,"İzmir'in Kemalpaşa ilçesinde servis minibüsü şarampole yuvarlandı. Kazada ölü ve yaralıların bulunduğu belirtildi.

#izmir #kemalpaşa #kaza #trafiklazası #sondakika #haber #haberler #gündem #bitarafiz",,,,,"[""['izmir', 'kemalpaşa', 'kaza', 'trafiklazası', 'sondakika', 'haber', 'haberler', 'gündem', 'bitarafiz']""]"
Ulak News,@ulaknews,2021-08-08T15:30:34.000Z,Muğla Dalaman'dan sonra Datça'da da orman yangını çıktı... https://ulak.news/haber_mugla-dalamandan-sonra-datcada-d_gazetemanifesto_456107.html… --- #sondakika #haber #sondakikahaber #haberler,"Muğla Dalaman’dan sonra Datça’da da orman yangını çıktı
Muğla’da bugün, Dalaman’dan sonra Datça ilçesinde de orman yangını çıktı. | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
AnaHaber. com,@AnaHabercom,2021-08-08T15:26:17.000Z,"Kıbrıs gazisine son görev Kıbrıs gazisine son görevKonya'nın Derebucak ilçesinde vefat eden Kıbrıs Gazisi Hüseyin Erkök, son yolculuğuna uğurlandı...  https://is.gd/viAbJW 
#Haber","Kıbrıs gazisine son görev
Kıbrıs gazisine son görevKonya'nın Derebucak ilçesinde vefat eden Kıbrıs Gazisi Hüseyin Erkök, son yolculuğuna uğurlandı. Kaynak: Ye
anahaber.com",,,,"[""['Haber']""]"
Ulak News,@ulaknews,2021-08-08T15:26:08.000Z,"Evlat nöbetindeki baba: PKK dağa kaçırmıyor, HDP yolluyor... https://ulak.news/haber_evlat-nobetindeki-baba-pkk-daga-_aydinlik_253303.html… --- #sondakika #haber #sondakikahaber #haberler","Evlat nöbetindeki baba: PKK dağa kaçırmıyor, HDP yolluyor
Çocuklarının terör örgütü PKK mensupları tarafından dağa kaçırılanailelerin HDP Diyarbakır İl Başkanlığı önünde başlattığı evlat nöbeti 706’ncı gününe girerken, terör örgütü tarafından zorla dağa...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Yayla Haber Gazetesi,@YaylaHaber,2021-08-08T15:23:03.000Z,"Çorum’un Osmancık ilçesinde, Kızılırmak Nehri’ne karışan Dereboğazı çayı yatağının içine ve etrafına, moloz ve hafriyat atıkları ile hayvan leşleri atılıyor. Çay yatağı ve etrafında büyükbaş hayvanlara ait kelleden, klozete… https://yaylahaber.com.tr/osmancik/derebogazi-cayini-cop-ve-hayvan-lesi-ile-doldurdular-h131965.html?utm_source=dlvr.it&utm_medium=twitter… #Çorum #yaylahaber #haber","Dereboğazı çayını çöp ve hayvan leşi ile doldurdular
Çorum’un Osmancık ilçesinde, Kızılırmak Nehri’ne karışan Dereboğazı çayı yatağının içine ve etrafına, moloz ve hafriyat atıkları ile hayvan leşleri atılıyor. Çay yatağı ve etrafında büyükbaş hayvan...
yaylahaber.com.tr",,,,"[""['Çorum', 'yaylahaber', 'haber']""]"
Furkan Yıldırım,@fukolita,2021-08-08T15:17:25.000Z,"#Leomessi #Messi #Barcelona #haber 
Bir gün aşklar biter hatıralar kalır..","0:55
32 views",,,,"[""['Leomessi', 'Messi', 'Barcelona', 'haber']""]"
Okur Düşünür,@htc_lgr,2021-08-08T15:15:08.000Z,"Klavuzu karga olanın burnu b...ktan çıkmaz.
Bilim şüphe etmektir.
Bilime değil, Allah'a inanın..

#gündem #haber #COVID19 #aşı #CHP #CHPKK
#YağmurDuası #Meteoroloji
#bilimkurulu #Bilim #ekonomi
#dolar #eğitim #meb #ösym #yök #yazar #kitap #edebiyat #şiir #sanat #kültür #pazar",,,,1,"[""['gündem', 'haber', 'COVID19', 'aşı', 'CHP', 'CHPKK', 'YağmurDuası', 'Meteoroloji', 'bilimkurulu', 'Bilim', 'ekonomi', 'dolar', 'eğitim', 'meb', 'ösym', 'yök', 'yazar', 'kitap', 'edebiyat', 'şiir', 'sanat', 'kültür', 'pazar']""]"
Urfa com,@wwwurfacom,2021-08-08T15:13:45.000Z,"Suudi Arabistan Turkiye'den umre ziyaretçisi kabul etmeyecek https://urfa.com/turkiyeden-umre-ziyaretcisi-kabul-edilmeyecek/… 

#urfa #urfahaber #sanliurfa #Şanlıurfa #sondakika #haber #umre","Suudi Arabistan Turkiye'den umre ziyaretçisi kabul etmeyecek
Diyanet İşleri Başkanlığı, Suudi Arabistan'ın umre ibadeti için yurt dışından ziyaretçi kabul edeceklerini bildirmesi üzerine açıklama yaptı.
urfa.com",,,1,"[""['urfa', 'urfahaber', 'sanliurfa', 'Şanlıurfa', 'sondakika', 'haber', 'umre']""]"
Mega Haber,@megahaber27,2021-08-08T15:08:39.000Z,Düğününe bir hafta kala intihar etti #Gaziantep #haber,"Düğününe bir hafta kala intihar etti
Gaziantep'in düztepe mahallesinde 24 yaşında bir gencin daha kendini asarak intihar ettiği öğrenildi.
megahaber27.com",,,,"[""['Gaziantep', 'haber']""]"
Ulak News,@ulaknews,2021-08-08T14:40:20.000Z,Sahtekarların yeni yöntemine dikkat! Aynı yalanla dolandırıyorlar: İnsan buna nasıl kanar... https://ulak.news/haber_sahtekarlarin-yeni-yontemine-dik_internethaber_2200702.html… --- #sondakika #haber #sondakikahaber #haberler,"Sahtekarların yeni yöntemine dikkat! Aynı yalanla dolandırıyorlar: İnsan buna nasıl kanar
Sosyal medya hesaplarını ele geçiren dolandırıcılar, sahte dekontlarla ""Ben para kazandım, siz de kazanabilirsiniz"" şeklinde paylaşımlarda bulunarak inandırdıkları kişileri dolandırıyor. Bu yöntemi...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ulak News,@ulaknews,2021-08-08T14:40:20.000Z,Yeni koronavirüs varyantlarına takımyıldızlarının adları verilecek... https://ulak.news/haber_yeni-koronavirus-varyantlarina-t_aydinlik_253302.html… --- #sondakika #haber #sondakikahaber #haberler,"Yeni koronavirüs varyantlarına takımyıldızlarının adları verilecek
DSÖ, koronavirüs teknik heyeti lideri Maria Van Kerkhove, Kovid-19’un yeni varyantlarına isim vermek için Yunan alfabesindeki harflerin yeterli olmayacağını ve ileride çıkacak yeni varyantlara...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ulak News,@ulaknews,2021-08-08T14:38:08.000Z,Fikri Sağlar: “Somali'de liman işleten yandaş firma kim? İsrail'e petrol mü taşınıyor?”... https://ulak.news/haber_fikri-saglar-somalide-liman-isle_gazetemanifesto_456102.html… --- #sondakika #haber #sondakikahaber #haberler,"Fikri Sağlar: “Somali’de liman işleten yandaş firma kim? İsrail’e petrol mü taşınıyor?”
Eski Kültür Bakanı Fikri Sağlar, AKP’li Cumhurbaşkanı Tayyip Erdoğan’ın imzasıyla Somali’ye aylık 30 milyon dolar hibe verilmesine ilişkin “Somali’de liman işleten yandaş firma kim?” sorusunu...
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T14:37:12.000Z,"Yıldırım'dan sel bölgesine hızlı müdahale

https://olay.com.tr/yildirimdan-sel-bolgesine-hizli-mudahale-829697… #haber #sondakika #Merkez #Bursa",,,,,"[""['haber', 'sondakika', 'Merkez', 'Bursa']""]"
Ulak News,@ulaknews,2021-08-08T14:36:08.000Z,Diyanet'ten umre ziyaretlerine ilişkin açıklama... https://ulak.news/haber_diyanetten-umre-ziyaretlerine-il_aydinlik_253300.html… --- #sondakika #haber #sondakikahaber #haberler,"Diyanet'ten umre ziyaretlerine ilişkin açıklama
Diyanet, umre için Türkiye'nin de aralarında olduğu 33 ülkeden Suudi Arabistan'a ziyaretçi kabul edilmeyeceğini ancak listenin daha sonra güncellenebileceğini duyurdu. | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
Ulak News,@ulaknews,2021-08-08T14:36:08.000Z,Afgan hükümeti Taliban'a karşı kaybetmeye devam ediyor! İki merkezin daha kontrolü Taliban'da... https://ulak.news/haber_afgan-hukumeti-talibana-karsi-ka_internethaber_2200700.html… --- #sondakika #haber #sondakikahaber #haberler,"Afgan hükümeti Taliban'a karşı kaybetmeye devam ediyor! İki merkezin daha kontrolü Taliban'da
Taliban Kunduz ve Sar-i Pul vilayet merkezlerinin kontrolünü ele geçirdi. | Ulak News
ulak.news",,,,"[""['sondakika', 'haber', 'sondakikahaber', 'haberler']""]"
