username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Seval,@GazeteciSeval,2021-08-09T09:44:37.000Z,"Grip mi Covid-19 mu?

#Kahramanmaraş #habermerkezi46 #haber #sağlık #covid19 #grip #koronavirüs #ağustos #pazartesi","Grip mi Covid-19 mu?
Gribal enfeksiyon ile Covid-19 semptomlarının benzerlik gösterdiğini belirten uzmanlar, gribal enfeksiyon belirtileri halinde Covid-19 olma riskinin akılda tutulması gerektiğini kaydederek izole...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'sağlık', 'covid19', 'grip', 'koronavirüs', 'ağustos', 'pazartesi']"
Seval,@GazeteciSeval,2021-08-13T11:46:58.000Z,"Genel Cerrahi Uzmanı Opr. Dr. Kenan Demirbakan SANKO’da Hasta kabulüne başladı

#SANKO  #Kahramanmaraş #Habermerkezi46 #haber #cuma #sağlık #ağustos
@CengizHaliliek
 @krdgorhan","Genel Cerrahi Uzmanı Opr. Dr. Kenan Demirbakan SANKO'da Hasta kabulüne başladı
Genel Cerrahi Uzmanı Opr. Dr. Kenan Demirbakan, SANKO Üniversitesi Hastanesi Organ Nakli Merkezi ile Genel Cerrahi Kliniği’nde hasta kabulüne başladı.
habermerkezi46.com",,1,1,"['SANKO', 'Kahramanmaraş', 'Habermerkezi46', 'haber', 'cuma', 'sağlık', 'ağustos']"
Seval,@GazeteciSeval,2021-08-12T09:55:22.000Z,"""Endoskopik Damar Çıkarma"" Yöntemi ile KSÜ'de Sağlığına Kavuştu

#Kahramanmaraş #KSÜ #sağlık #habermerkezi46 #haber #perşembe #ağustos 

https://habermerkezi46.com/endoskopik-damar-cikarma-yontemi-ile-ksu-de-sagligina-kavustu/25121/… 
@prof_niyazican
 @ksuedutr
 @ibrahimtokumus","""Endoskopik Damar Çıkarma"" Yöntemi ile KSÜ'de Sağlığına Kavuştu
Kahramanmaraş Sütçü İmam Üniversitesi (KSÜ) Sağlık Uygulama ve Araştırma Hastanesi, koroner bypass cerrahisinde uyguladığı endoskopik yöntem sayesinde hastaları kısa sürede sağlığına kavuşturuyor.
habermerkezi46.com",,,4,"['Kahramanmaraş', 'KSÜ', 'sağlık', 'habermerkezi46', 'haber', 'perşembe', 'ağustos']"
Seval,@GazeteciSeval,2021-08-12T09:31:33.000Z,"SANKO Üniversitesi Hastanesi Fizyoterapisti Ateş:
 “Ön Çapraz Bağ, Dizde En Sık Yaralanan Bağdır”

#Gaziantep #Kahramanmaraş #habermerkezi46 #haber #perşembe #ağustos #sağlık 
@CengizHaliliek
 @krdgorhan","""Ön Çapraz Bağ, Dizde En Sık Yaralanan Bağdır""
SANKO Üniversitesi Hastanesi Fizyoterapistlerinden Fetullah Ateş, ön çapraz bağın, dizde en sık yaralanan bağ olduğunu söyledi.
habermerkezi46.com",,2,7,"['Gaziantep', 'Kahramanmaraş', 'habermerkezi46', 'haber', 'perşembe', 'ağustos', 'sağlık']"
Seval,@GazeteciSeval,2021-08-09T10:27:58.000Z,"Kahramanmaraş’ta dananın saldırısına uğrayan besici hayatını kaybetti

#Kahramanmaraş #Elbistan #habermerkezi46 #haber #pazartesi #yaşam #ağustos","Kahramanmaraş'ta dananın saldırısına uğrayan besici hayatını kaybetti
Kahramanmaraş’ın Elbistan ilçesinde besi ahırında dananın saldırısına uğrayan besici, kaldırıldığı hastanede hayatını kaybetti.
habermerkezi46.com",,1,5,"['Kahramanmaraş', 'Elbistan', 'habermerkezi46', 'haber', 'pazartesi', 'yaşam', 'ağustos']"
Seval,@GazeteciSeval,2021-08-08T07:08:30.000Z,"Şehrimizdeki projelere teknik destek vermeye hazırız

#Kahramanmaraş #habermerkezi46 #haber #Ağustos #pazar 

https://habermerkezi46.com/sehrimizdeki-projelere-teknik-destek-vermeye-haziriz/25070/…  
@avahmetozdemir","Şehrimizdeki projelere teknik destek vermeye hazırız
Kahramanmaraş’ın en aktif meslek odalarından biri haline gelen Mimarlar Odası Kahramanmaraş Şubesi, şehrin önemli projelerinde ilgili kurumlarla birlikte çalışmak istiyor. TMMOB’a bağlı oda temsilc...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'Ağustos', 'pazar']"
Seval,@GazeteciSeval,2021-08-11T09:42:56.000Z,"Büyükşehir Belediye Başkanı Hayrettin Güngör:
""Parti teşkilatımızla hemşehrilerimizin ve esnafımızın hizmetindeyiz"" 

#Kahramanmaraş #habermerkezi46 #parti #teşkilat #Başkan #ağustos #çarşamba 
@hayrettingng
 @atalayselamet
 @Ali_Kofte_","Parti teşkilatımızla hemşehrilerimizin ve esnafımızın hizmetindeyiz
Arasa Otoparkı’nda devam eden çalışmaları yerinde inceledikten sonra esnaf ve vatandaşlarla bir araya gelen Başkan Güngör, “Her fırsatta esnaf ve hemşehrilerimizle buluşmayı sürdürüyoruz. Muhabbet ve...
habermerkezi46.com",,,4,"['Kahramanmaraş', 'habermerkezi46', 'parti', 'teşkilat', 'Başkan', 'ağustos', 'çarşamba']"
Seval,@GazeteciSeval,2021-08-12T09:22:43.000Z,"Elbistan’da balık ölümlerinin nedeni belli oldu

#Kahramanmaraş #habermerkezi46 #haber #balık #Elbistan #perşembe #ağustos #ölüm","Elbistan'da balık ölümlerinin nedeni belli oldu
Kahramanmaraş’ın Elbistan ilçesinde yaşanan balık ölümlerinin nedeni belirlendi.
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'balık', 'Elbistan', 'perşembe', 'ağustos', 'ölüm']"
Seval,@GazeteciSeval,2021-08-11T10:14:34.000Z,"Temizlik görevlisi gururlandırdı

#Kahramanmaraş #habermerkezi46 #haber #çarşamba #ağustos #bayrak #Elbistan","Temizlik görevlisi gururlandırdı
Kahramanmaraş’ın Elbistan ilçesinde temizlik görevlisi, çöpte bulduğu yerde bulduğu Türk Bayrağını öpüp muhafaza altına alması gururlandırdı.
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'çarşamba', 'ağustos', 'bayrak', 'Elbistan']"
Seval,@GazeteciSeval,2021-08-12T08:52:50.000Z,"Yassı Höyükte Arkeolojik Kazı Başladı

#Afşin #Kahramanmaraş #kazı #habermerkezi46 #haber #perşembe #ağustos 
@mcihatsezal
 @Av_ismail_safi
 @AfsinBelTr
 @agundogar46","Yassı Höyükte Arkeolojik Kazı Başladı
Afşin’e bağlı Tanır Mahallesinde bulunan Yassı Höyükte, Kültür ve Turizm Bakanlığı, Afşin Belediyesi işbirliğinde arkeolojik kazı başladı.
habermerkezi46.com",,,1,"['Afşin', 'Kahramanmaraş', 'kazı', 'habermerkezi46', 'haber', 'perşembe', 'ağustos']"
Seval,@GazeteciSeval,2021-08-10T09:56:36.000Z,"FAO Projesi Kapsamında Zeytin Hasat Makinası Dağıtıldı

#Kahramanmaraş #habermerkezi46 #haber #salı #ağustos #AB #FAO","FAO Projesi Kapsamında Zeytin Hasat Makinası Dağıtıldı
Kahramanmaraş Valiliği ve İl Tarım ve Orman Müdürlüğü FAO Projesi Kapsamında Zeytin Hasat Makinası Dağıtım Töreni Gerçekleştirildi.
habermerkezi46.com",,,1,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'salı', 'ağustos', 'AB', 'FAO']"
