username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Jae Ghost,@realjaeghost,2019-03-17T14:43:19.000Z,"I ain’t worried bout no haters, and I ain’t doing no mo favors! 

#top #major #hareket",,,1,1,"['top', 'major', 'hareket']"
Metin Ülgen,@metinlgen3,2020-09-16T21:24:35.000Z,"#MhpTürkiyedirLiderimizŞerefimizdir. #Türk #Devlet-inin #ordusu, #karakuvvetleri #denizkuvvetleri #havvakuvvetleri #jandarma #polis #Ülkücü #hareket ",,,,,"['MhpTürkiyedirLiderimizŞerefimizdir', 'Türk', 'Devlet', 'ordusu', 'karakuvvetleri', 'denizkuvvetleri', 'havvakuvvetleri', 'jandarma', 'polis', 'Ülkücü', 'hareket']"
Hareket Project,@HareketProject,2021-08-11T06:15:15.000Z,"Shortlisted in Heavy Lift Awards 2021!
We are delighted to announce we have been shortlisted for the safety category of prestigious Heavy Lift Awards 2021.

#hareket #hareketproject #hareketproje #heavyliftawards2021",,,,1,"['hareket', 'hareketproject', 'hareketproje', 'heavyliftawards2021']"
Hikmet Alaçam,@AlacamHikmet,2020-09-01T10:47:48.000Z,"Renk ve Zaman - Color and Time
#renk #zaman #color #time #gölge #shadow #çizgi #line #draw #hareket #movement #durağan #stable #değişim #change #mimari #architectural #akanzaman #flowing time #2d #animation",,,,,"['renk', 'zaman', 'color', 'time', 'gölge', 'shadow', 'çizgi', 'line', 'draw', 'hareket', 'movement', 'durağan', 'stable', 'değişim', 'change', 'mimari', 'architectural', 'akanzaman', 'flowing', '2d', 'animation']"
RETA,@retacollective,2021-06-14T07:51:09.000Z,"United souls, different skills.

#motionlovers #motiongraphics #composing #corporateidentity #CGI #motiongfxmedia #advertising #creativeads #adobe #aftereffect #particlesystem
#particles #modelleme #creative #animasyon #retaco #ajans #agent #reklam #reklamajansı #ankara #hareket",,,,1,"['motionlovers', 'motiongraphics', 'composing', 'corporateidentity', 'CGI', 'motiongfxmedia', 'advertising', 'creativeads', 'adobe', 'aftereffect', 'particlesystem', 'particles', 'modelleme', 'creative', 'animasyon', 'retaco', 'ajans', 'agent', 'reklam', 'reklamajansı', 'ankara', 'hareket']"
GÖKTÜRK,@GokturkNalbant,2019-10-30T08:18:12.000Z,We move!  #Hareket @ Wake Cup Art Third Wave Coffee Shop https://instagram.com/p/B4PEB_VHfWrpEIichBl_doVmnfAUsgjukl_dyU0/?igshid=11di62kvu5c0y…,,,,,['Hareket']
Aylak Mutfak,@trampkitchen,2021-05-10T09:28:45.000Z,"Replying to 
@trampkitchen","Starting from our bodies and from where we are, we explored our relationship to nature through movement that starts in the body and expands to other bodies and things around it.",1,,,[]
Aylak Mutfak,@trampkitchen,2021-05-10T09:28:45.000Z,"We then expressed our findings through artistic tools and shared with each other the patterns we explored. 

#aylakmutfak #trampkitchen #kulturpark #movement #food #commons #dance #hareket #gıda #müştereklik #dans #actorsofurbanchange #zeytincederneği #zeytinokulu",,,,,"['aylakmutfak', 'trampkitchen', 'kulturpark', 'movement', 'food', 'commons', 'dance', 'hareket', 'gıda', 'müştereklik', 'dans', 'actorsofurbanchange', 'zeytincederneği', 'zeytinokulu']"
Cem Sengezer INTJ-A #moneyball #quant #blackswan,,2020-10-29T08:26:22.000Z,"weekly view:still oversaturated market on short term deviations line.Below august low, stronger support #ALTIN #GRAMALTIN   #moneyball #determinism #cycles #causality #TradeIdea #turkey #EmergingMarkets #growthmindset #modeling #algorithm #Vision2030 #bulgu #hareket #turkishlira","ParaBorsa.Net
@ParaBorsaNet
 · Oct 29, 2020
CEM ŞENGEZER YAZDI: LİKİT BANKA HİSSELERİ https://paraborsa.net/i/likit-banka-hisseleri/…",,1,,"['ALTIN', 'GRAMALTIN', 'moneyball', 'determinism', 'cycles', 'causality', 'TradeIdea', 'turkey', 'EmergingMarkets', 'growthmindset', 'modeling', 'algorithm', 'Vision2030', 'bulgu', 'hareket', 'turkishlira']"
Fzt. Ebru Çelikok,@mormeneksesel,2020-05-26T09:47:30.000Z,"Hayali Hareket Testi (İmagine Movement Test)

Hargrove, T. A guide to better movement, the science and practice of moving with more skill and less pain. Better Movement. May 2014 
hannahmoves
.
.
.
#hareket… https://instagram.com/p/CApYTg5HVAt/?igshid=1xnb887bzr3jl…",,,,,['hareket']
Ortak Alan,@alan_ortak,2021-04-22T18:25:28.000Z,"Join Zoom Meeting:
https://zoom.us/j/98109690260?pwd=Yk5oaVBiUVBjUiszam56WVhvT1o0Zz09… 
Meeting ID: 981 0969 0260 
Passcode: 976428

#tasarım #yapı #mekan #mimari #etkinlik #mimarlık #içmimarlık #kültür #sanat #mimar #architecture #taldans #dans #danstanmekana #atölye #filizsızanlı #hareket","Join our Cloud HD Video Meeting
Zoom is the leader in modern enterprise video communications, with an easy, reliable cloud platform for video and audio conferencing, chat, and webinars across mobile, desktop, and room systems. Zoom...
zoom.us",,,,"['tasarım', 'yapı', 'mekan', 'mimari', 'etkinlik', 'mimarlık', 'içmimarlık', 'kültür', 'sanat', 'mimar', 'architecture', 'taldans', 'dans', 'danstanmekana', 'atölye', 'filizsızanlı', 'hareket']"
SPOREL BESLENME,@SporelBeslenme,2021-05-02T06:47:57.000Z,"Sunday, funday 
#hareket #herturluhareket #harekettebereket https://instagram.com/p/COXBirbldux/?igshid=gpotni1k0fh8…",,,,,"['hareket', 'herturluhareket', 'harekettebereket']"
Degenerates Capital,@EarlyAdopter23,2019-12-29T02:01:06.000Z,"#tüm #bitcoin’lerin #yüzde #70’i #6 #aydır #hareket #etmedi! 
#blockchain #ethereum #trx #trading #monero #coinbase #SmartContracts $CNY $ETC $BTCUSD #stockmarket #retweet
http://bit.ly/2MDN5CX",,,,,"['tüm', 'bitcoin', 'yüzde', '70', '6', 'aydır', 'hareket', 'etmedi', 'blockchain', 'ethereum', 'trx', 'trading', 'monero', 'coinbase', 'SmartContracts', 'stockmarket', 'retweet']"
Herkes İçin Spor Federasyonu,@hisfed,2019-12-20T11:03:58.000Z,"Lezzet ve sağlık dengesini koruyarak, müthiş bir uyum yakalayabilirsiniz.
@kasapoglu
 
@hamzayerlikaya
 
@yasinbolukbasi
 
@saglikbakanligi
 
@gencliksporbak
 
@hisfed
 

#saglik #hareket #lezzet #his #spor",,,4,17,"['saglik', 'hareket', 'lezzet', 'his', 'spor']"
Halit Bekiroğlu,@halitbekiroglu,2019-12-16T06:34:49.000Z,"#hareket ‘e devam...

#marathon #spor 
#koşu #15km",,2,,78,"['hareket', 'marathon', 'spor', 'koşu', '15km']"
Halit Bekiroğlu,@halitbekiroglu,2020-02-22T08:32:46.000Z,"12K koşusu,
#Hareket grubundaki dostlarla...",,1,2,80,['Hareket']
Halit Bekiroğlu,@halitbekiroglu,2020-02-09T06:34:02.000Z,"10K,
Kar tadında...
#maraton #koşu #spor #hareket",,,1,68,"['maraton', 'koşu', 'spor', 'hareket']"
Bayram Gölcük,@bayramgolcuk,2020-10-17T22:30:59.000Z,#ülkücü #Hareket #Mhp,,,2,16,"['ülkücü', 'Hareket', 'Mhp']"
