username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Nurani Müdafa,@MudafaaNurani,2021-08-06T05:04:54.000Z,"Cenâb-ı Hak sizlere şifa versin, hastalıklarınızı keffaretü'z-zünub yapsın. Âmin âmin âmin!
(Lem'alar | Hastalar Risalesi)

#Allah #Kuran #Kovid #Kovid19 #Covid #Covid19 #covid_19 #Korona #Corona #Hasta #Hastalık #Şifa #Keffaret #Günah #keffaretüzzünub #Lemalar #HastalarRisalesi",,,4,18,"['Allah', 'Kuran', 'Kovid', 'Kovid19', 'Covid', 'Covid19', 'covid_19', 'Korona', 'Corona', 'Hasta', 'Hastalık', 'Şifa', 'Keffaret', 'Günah', 'keffaretüzzünub', 'Lemalar', 'HastalarRisalesi']"
Güngören Hastanesi,@gungorenhastane,2021-08-05T12:30:27.000Z,"Sn. Fahrettin Koca uyarıyor. Aşılanmalar tüm hızıyla devam ediyor. Aşı randevusu oluşturabilir, hastanemizde Covid-19 aşınızı yaptırabilirsiniz.

#güngörenhastanesi #sağlık #hastalık #hastane",,,,,"['güngörenhastanesi', 'sağlık', 'hastalık', 'hastane']"
DHA Kurumsal,@dhakurumsal,2021-08-12T08:38:56.000Z,"Aç kalarak kilo vermeye çalışmak hastalıklara davetiye çıkarıyor 
http://dha.com.tr/r/1842388
#kilo #açlık #hastalık 
@B2press
 @dhainternet",,,,2,"['kilo', 'açlık', 'hastalık']"
H. Kılıçoğlu,@nergis_bf,2021-08-06T20:54:58.000Z,"Allah bu günümüzü aratmasın, beteriyle sınamasın.
#yangınlar #deprem #sel #salgın #hastalık",,,,1,"['yangınlar', 'deprem', 'sel', 'salgın', 'hastalık']"
Manşet Haber,@mansethaber,2021-08-13T13:38:11.000Z,"Hazır içecekler mideyi vuruyor
#Reflü #Hastalık #VedatGöral #manşethaber","Hazır içecekler mideyi vuruyor
Prof. Dr. Vedat Göral, mide sağlığı için hazır ve asitli içecekler yerine ev yapımı içeceklerin tüketilmesi gerektiğini belirtti.
mansethaber.com",,,,"['Reflü', 'Hastalık', 'VedatGöral', 'manşethaber']"
Gazette.com.tr,@GazetteGazete,2021-08-12T07:04:20.000Z,"”Salgından korunmanın tek çaresi aşı olmak” https://gazette.com.tr/Haber/saglik/salgindan-korunmanin-tek-caresi-asi-olmak-76022… 
@saglikbakanligi
 @drfahrettinkoca
 @TCAdanaValiligi
 
#adana #haber #haberler #gundem #gunaydin #HayırlıSabahlar #asizorunlulugu #aşı #Korona #Pandemie #hastalık #virüs",,,,1,"['adana', 'haber', 'haberler', 'gundem', 'gunaydin', 'HayırlıSabahlar', 'asizorunlulugu', 'aşı', 'Korona', 'Pandemie', 'hastalık', 'virüs']"
mehmet yazır,@mehmetyazir,2021-08-09T12:02:53.000Z,"#İlaç sektörü aşırı karlı ,insanları #ömür boyu ilaca bağımlı yapıyorlar.
#Hastalık önleyici doğal gıda ve #sağlıklı beslenme 
ideal çözüm olacak.
#tvlere neden sağlıklı gıda ve beslenme için uzmanları görmüyoruz ? Neden tarım konusunda teknoloji ve doğal üretim tanıtım olmuyor?",,4,7,86,"['İlaç', 'ömür', 'Hastalık', 'sağlıklı', 'tvlere']"
0kuantum0,@0kuantum0,2021-08-07T16:45:22.000Z,"Bir ırk,politik veya kültür grubunun kasıtlı ve sistematik bir şekilde yok edilmesi.

Sizce bu tanım hangi Kelimeye aittir.

#Savaş #kitlik #açlik #hastalik ile kimler insanlığı #soykırım a tabi tutuyor ve yok etmeye çalışıyor.",,,2,13,"['Savaş', 'kitlik', 'açlik', 'hastalik', 'soykırım']"
Mehmet Keçeci,@mkecheci,2021-08-08T10:48:25.000Z,"Her ırkçılığın altında ya bir korku (fobi) ya da bir hastalık vardır! Mehmet Keçeci, 08.08.2021 #Irkçılık #Korku #Fobi #Hastalık
Underneath every racism is either a fear (phobia) or a disease! Mehmet Keçeci, 08.08.2021 #Racism #Fear #Phobia #Disease",,,,,"['Irkçılık', 'Korku', 'Fobi', 'Hastalık', 'Racism', 'Fear', 'Phobia', 'Disease']"
Aydın Magazin,@magazin_n,2021-08-12T13:44:28.000Z,Aydın’da Vaka Sayıları Alarm Veriyor! – AYDIN MAGAZİN https://aydinmagazin.com/index.php/2021/08/12/aydinda-vaka-sayilari-alarm-veriyor/… #sokağacıkmayasağı #öldü #sağlık #hasta #Korona #koronavirüs #covid19 #vaka #kısıtlama #tedbir #Korona #vakasayısı #hastalık #Aydın #SonDakika #AydınSonDakika #Sondakikahaberleri #MagazinSonDakika #gs,"Aydın’da Vaka Sayıları Alarm Veriyor!
Normalleşme sürecinin ardından Aydın’da da pozitif vakalarda artış yaşanmaya devam ediyor. İl genelinde sıkı tedbirler alınırken günlük vaka sayısı 110’a yükseldi. Tüm dünyayı etkisi altına alan ve...
aydinmagazin.com",,,1,"['sokağacıkmayasağı', 'öldü', 'sağlık', 'hasta', 'Korona', 'koronavirüs', 'covid19', 'vaka', 'kısıtlama', 'tedbir', 'Korona', 'vakasayısı', 'hastalık', 'Aydın', 'SonDakika', 'AydınSonDakika', 'Sondakikahaberleri', 'MagazinSonDakika', 'gs']"
Yusuf Tuzcu,@yusuftuzcu2017,2021-08-13T11:46:23.000Z,""" fazla bilinçli olmak hastalıktır"" #fazla #bilinç #hastalık",,,,,"['fazla', 'bilinç', 'hastalık']"
esra,@esra39089266,2021-08-13T07:10:06.000Z,"#sel #yangın #hastalık #deprem 
Allahım sen büyüksün 
Başımıza gelebilecek tüm felaketlerden bizleri koru ","0:01
17 views",,,,"['sel', 'yangın', 'hastalık', 'deprem']"
𝓛𝓸𝓻𝓲𝓷,@lorin0607,2021-08-13T09:40:59.000Z,"Dünya nin yaşanası bir tarafı kalmadı 
 #yangın
 #selfelaketi 
 #hastalik   
Bence doğa nın insanoğluna tahammülü yok artık",,,,3,"['yangın', 'selfelaketi', 'hastalik']"
Emel Işıkgöz,@EmelIkgz1,2021-08-05T17:07:28.000Z,"Sayın 
@RTErdogan
 yaptıklarınızı eleştirenlere 81 ilin yönetimini verinde, 81 ili yönetmek ne kadar kolay ne kadar zormuş öğrensinler, diyeceğim o ki #cumhurbaşkanı nı eleştirenler bu ülkeye #hastane yapmaz #hastalık yoktur,
#köprü #yol yapmaz gezmek görmek için yolu yoktur",,1,,,"['cumhurbaşkanı', 'hastane', 'hastalık', 'köprü', 'yol']"
Bölge Gündem Haber,@bolgegundem,2021-08-05T08:02:01.000Z,"Tiyatrocu Süha Ugur ameliyat masasına yattı! İşte son sağlık durumu... 
#sühauygur #ameliyat #sağlık #hastalık #magazin #behzatuygur #süheyluygur 
https://bolgegundem.com/tiyatrocu-suha-ugur-ameliyat-masasina-yatti-iste-son-saglik-durumu-3013683h.htm… 
@bolgegundem
 aracılığıyla","Tiyatrocu Süha Ugur ameliyat masasına yattı! İşte son sağlık durumu...
Nejat Uygur ile Necla Uygur'un oğlu Süha Uygur uzun zamandır devam eden diz ağrıları sonrası ameliyat oldu.
bolgegundem.com",,,,"['sühauygur', 'ameliyat', 'sağlık', 'hastalık', 'magazin', 'behzatuygur', 'süheyluygur']"
Avsumayaritma,@avsumayaritma,2021-08-11T06:52:34.000Z,"Sağlığınız için siz de avsumayın iyi suyu ile tanışın!.
#suaritma #iyigelecek #saglikli #hayat #pandemic #hastalik #mutluluk #iyisu #guven #huzur #sanliurfa",,,,,"['suaritma', 'iyigelecek', 'saglikli', 'hayat', 'pandemic', 'hastalik', 'mutluluk', 'iyisu', 'guven', 'huzur', 'sanliurfa']"
