username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Clarie,@hereforercel,2021-08-10T12:05:50.000Z,"two of hande's shows airing in spain. Her power
#HandeErçel #Hayat #LoveIsInTheAir","divinity
@divinity_es
 · Aug 10
#SÚPERLUNES DE ÉXITO
THANK U

 #NuestraHistoria: 214.000 (2,0%)
 #Hayat: 277.000 (2,8%)
 #LoveIsInTheAir: 431.000 (4,8%) RÉCORD 
#TeAlquiloMiAmor: 303.000 (3,9%)    RÉCORD 
MiHogarMIDestino: 237.000 (2,9%)
 #Ömer: 263.000 (2,5%)
GIF",,1,1,"['HandeErçel', 'Hayat', 'LoveIsInTheAir']"
Ayşe,@aysepurc55,2021-07-28T07:42:51.000Z,"Mood; 
#yks2021 #osym2021 #yks2021tayfa #tyt2021 #hayat",,,6,41,"['yks2021', 'osym2021', 'yks2021tayfa', 'tyt2021', 'hayat']"
$hamza,@itsmehayat321,2021-08-13T04:17:02.000Z,"It's Friday
MaY AllaH strength your Iman and accept all your Dua's.
#HaYaT",,,,1,['HaYaT']
Arie van Kuijk,@avankuijk,2021-07-06T14:25:52.000Z,Our story of Honorary Member nr 64 #Vincent is now also in the Turkish Newspaper #Hayat!,"Sanat tarihi adına yeni bir keşif: Van Gogh hakkında bildiklerinizi unutun
Sanat tarihinin en depresif, en yalnız ve dışlanmış dahilerinden biri olan Van Gogh, hakkındaki tüm bu yargıları yıkacak yeni bir keşifle araştırmacıların dikkatini çekiyor. Ünlü ressam, şimdiye...
sozcu.com.tr",,1,1,"['Vincent', 'Hayat']"
Marvin Barco,@MarvinBarco,2021-07-12T08:24:39.000Z,PS: enjoying #Hayat,,,,,['Hayat']
Mariam_Love_Nancy,@mariiiamm1,2021-07-11T19:15:38.000Z,"#Nancy10 is the best !.
@NancyAjram
 
#Hobbak_Bi_Yewa #Meshkeltak_Alwahidi #Gayya_Maak #Baddi_Hada_Hebbou #Ma_Te’tezer #Hayda_Ana #Ya_Nas_Goulouly #Miyye_W_Khamsin #Yama #Aala_Shanak #Hagat_Khousousiya #Ateb_W_Loum #Hayat #Salamat
#nancyajram",,,1,4,"['Nancy10', 'Hobbak_Bi_Yewa', 'Meshkeltak_Alwahidi', 'Gayya_Maak', 'Baddi_Hada_Hebbou', 'Ma_Te', 'Hayda_Ana', 'Ya_Nas_Goulouly', 'Miyye_W_Khamsin', 'Yama', 'Aala_Shanak', 'Hagat_Khousousiya', 'Ateb_W_Loum', 'Hayat', 'Salamat', 'nancyajram']"
$hamza,@itsmehayat321,2021-08-04T11:33:31.000Z,"__Don't talk to meh about loyalty, I'm still here holding secrets for people who are throwing dirt on my name.
#HaYaT",,,,2,['HaYaT']
Muhammed,@mohlabieh1,2021-07-19T15:19:08.000Z,"There is freedom in this world that everyone lives in, and I hope to live it for one day!!.... 
#suriyeli #syria #war #love #free #hayat #yasamak",,,,,"['suriyeli', 'syria', 'war', 'love', 'free', 'hayat', 'yasamak']"
Afzal Hussain (Jutt),@ah_estics,2021-07-15T02:48:09.000Z,"#OC
FOLLOW on insta:
        @punisher_memes.j 
Like on Facebook:
        @punisher_memes.j 
#hayat",,,1,2,"['OC', 'hayat']"
Bella,@BellaDaTurquia,2021-07-22T16:05:46.000Z,"@HandeErcel
 X Dizis (2016-2021)

               Through time 

[•#HandeErcel •#EdaYıldız •#Müjde •#Azize •#Hazal •#Hayat •#Dizi •#edit]",,2,7,19,"['HandeErcel', 'EdaYıldız', 'Müjde', 'Azize', 'Hazal', 'Hayat', 'Dizi', 'edit']"
