username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Esra,@Esra4263,2021-08-13T07:07:18.000Z,AMİN.. #hayirlicumalar,,,,4,['hayirlicumalar']
El Asiste,@10zilizm,2021-08-13T09:13:37.000Z,"For every setback, God has a comeback  He will help you to come back even stronger. #JummaMubarak #HayirliCumalar",,,,50,"['JummaMubarak', 'HayirliCumalar']"
outis,@UtopicUnit,2021-08-06T10:47:26.000Z,Amiiinnnn #hayirlicumalar ,,,,4,['hayirlicumalar']
BSARC,@BSARC1,2021-08-07T04:53:48.000Z,May God help all our heroes fighting forest fires. Hopefully we will get through this disaster as soon as possible! Our prayers are with you #HayirliCumalar,"Mesut Özil
@MesutOzil1088
 · Aug 6
Orman yangınlarıyla mücadele eden tüm kahramanlarımızın Allah yardımcısı olsun. İnşallah bu felaketi en kısa zamanda atlatacağız! Dualarımız sizlere  #HayirliCumalar",,,1,['HayirliCumalar']
Mete TIĞLI,@MeteTigli,2021-08-13T05:55:13.000Z,Amin #HayırlıCumalar ,,1,1,7,['HayırlıCumalar']
SerCan,@Sercandmr19,2021-08-13T03:02:21.000Z,Amin #HayırlıCumalar,,,2,14,['HayırlıCumalar']
50trends,@50trends,2021-08-06T08:01:02.000Z,[ Trending Topics WW 08:01 ],,2,,,[]
50trends,@50trends,2021-08-06T08:01:02.000Z, #HayırlıCumalar has entered the Top Trends at position ,,,,,['HayırlıCumalar']
Rcpb,@rcpb4,2021-08-13T08:48:34.000Z,"Mood 
#hayırlıcumalar",,,,5,['hayırlıcumalar']
OzgeHatun,@turksoyIu,2021-08-13T08:19:26.000Z,Sabah sabah pcr test+bad breakfast and my happiness on my face. #hayirlicumalar din kardeslerim,,1,,18,['hayirlicumalar']
Nazia Sharif,@NaziaSharif_,2021-08-06T08:59:07.000Z,"When God intends a thing, He only says to it, ''Be'' and it 'Becomes''.

#JummaMubarak #HayırlıCumalar #يوم_الجمعة",,1,,4,"['JummaMubarak', 'HayırlıCumalar', 'يوم_الجمعة']"
Riyaz ul Khaliq,@riyazulkhaliq,2021-08-06T07:25:31.000Z,"#HayirliCumalar 
By any means necessary! #MalcomX",Bisimit and İffet Polat ,,1,7,"['HayirliCumalar', 'MalcomX']"
Akın ÖZDEMİR,@ozdemirakin60,2021-08-13T01:58:38.000Z,Before & After #bakaramakara #HayırlıCumalar,,,,,"['bakaramakara', 'HayırlıCumalar']"
Ayeleen Özdemir,@AncientSpirit_,2021-08-06T08:47:35.000Z,"Muhaşşi Sinan Mosque, located in Beykoz, İstanbul draws attention with its unique minaret for 447 years.

#hayirlicumalar #fridaymorning",,1,1,7,"['hayirlicumalar', 'fridaymorning']"
esila,@esilaaktepe,2021-07-30T09:28:56.000Z,"#TuerkiyeYanıyor
#TuerkiyeYAKILIYOR
#hayirlicumalar
#Turkey
#StrayKids
jungkook
#turkiyeyakiliyor
#turkiyeyaniyor
#PrayForTurkey",,,,1,"['TuerkiyeYanıyor', 'TuerkiyeYAKILIYOR', 'hayirlicumalar', 'Turkey', 'StrayKids', 'turkiyeyakiliyor', 'turkiyeyaniyor', 'PrayForTurkey']"
BinGoB3y,@BinGoB3y,2021-08-13T07:25:07.000Z,"Hacked 
#hayirlicumalar",,1,,2,['hayirlicumalar']
Sugar&Spice,@Surrenderedx,2021-07-30T07:33:54.000Z,"Assalamu Alaikum... Sabah el khair, #günaydın #JummahMubarak #hayirlicumalar

May this beautiful day bring you goodness and peace.",,,,4,"['günaydın', 'JummahMubarak', 'hayirlicumalar']"
Abti,@buuqman,2021-08-13T08:25:25.000Z,"Pray for Syrians in turkey , no one deserves this! #bozkurtyokoldu #hayirlicumalar #iban #Suriyeliler #turkey #syria #ibanoğulları #",,18,5,4,"['bozkurtyokoldu', 'hayirlicumalar', 'iban', 'Suriyeliler', 'turkey', 'syria', 'ibanoğulları']"
Christiane Amanpour,@camanpour,2021-08-05T15:18:09.000Z,"""To be a writer in Turkey is quite heavy. To be a woman writer or a woman novelist in Turkey is even heavier,"" says award-winning novelist 
@Elif_Safak
. Her latest book, 'The Island of Missing Trees,' is a tale of love and war. Watch it in full here: http://cnn.com/video/data/2.0/video/tv/2021/08/05/amanpour-elif-shafak-turkey-the-island-of-missing-trees.cnn.html…",,611,1.3K,1.3K,[]
Ediz Hun,@HunEdiz,2021-08-06T08:33:07.000Z,"Christiane #HayırlıCumalar  :)
Elif Safak is an Armenien who was born in France. She now lives in England. Her books are alleged to portray the Turkish people in a bad light. She has nothing to do with Turkey or Turkish people.",,,,3,['HayırlıCumalar']
turgutucbas,@turgutucbas2,2021-08-12T18:38:38.000Z,"Night view of Istanbul
Turkey  Istanbul, Turkey 
#Turkey #Turkish #turkiye #Twitter #istanbul #turizm #türkiye #hayirlicumalar #CumamızMubarekOlsun #Cuma #deaf #deafculture #deafworld #deafspraakopvrijdag #deafspraak #deafawarenessweek",,,,1,"['Turkey', 'Turkish', 'turkiye', 'Twitter', 'istanbul', 'turizm', 'türkiye', 'hayirlicumalar', 'CumamızMubarekOlsun', 'Cuma', 'deaf', 'deafculture', 'deafworld', 'deafspraakopvrijdag', 'deafspraak', 'deafawarenessweek']"
Neruda,@MmsNeruda,2021-08-13T08:54:31.000Z,"Offf off.... #Ölüyoruz #bozkurtyokoldu #selfelaketi #hayirlicumalar #iban 
@cuneytozdemir
 @nevsinmengu
 @alitarakcii
 @ismailsaymaz
 @euronews_tr
 @OzlemGurses","Ekoloji Radarı
@EkolojiR
 · 5h
Bozkurt ilçesinde yaşanan büyük felaketin nedeni Ezine Çayı yatağının taşma genişliği 400mt iken inşaat rantı adına 15mt ye daraltılmasıdır. 

Soruyoruz, bu cinayetin #SorumlusuKim
#iban https://pic.twitter.com/Ojs5t97gUw",,1,11,"['Ölüyoruz', 'bozkurtyokoldu', 'selfelaketi', 'hayirlicumalar', 'iban']"
Mehmet Başer,@Basermehmet,2021-08-13T04:47:40.000Z,"Selamün Aleyküm hayırlı sabahlar hayırlı Cumalar cümleten 
#hayirlicumalar",,28,40,336,['hayirlicumalar']
Saliha Adican,@AdicanSaliha,2021-08-12T17:15:46.000Z,"Ya Rabbim;
Güzel insanları yolumuzdan,
Sabrı ve şükürü dilimizden ,
Hayırlı olan ne varsa bizden ve Sevdiklerimizden eksik etme...
Tüm dostlara #hayirlicumalar dilerim...",,92,66,904,['hayirlicumalar']
Gönüllü temsilci,@Nizamettinaygan,2021-08-13T04:53:21.000Z,"Gönül, kendine benzeyen gönüle akar..""
Hz.Ali (r.a.)

#hayirlicumalar",,2,14,199,['hayirlicumalar']
