username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Şehit Prof. Dr. İlhan Varank Kız Anadolu İHL,@ProfSehit,2021-05-22T07:24:34.000Z,"Helping the Animals in My Neighbourhood …http://sehitprofdrilhanvarankkizanadolu.meb.k12.tr/icerikler/helping-the-animals-in-my-neighbourhood_11498472.html…

#meb #ingilizce #hayvanlar #animals #okul #öğrenci #imamhatip #22Mayıs2021 #eğitim #öğretim #sınıf #cumartesi #22Mayıs #canlıders #pandemi #eba #ŞehitProfDrİlhanVarankKızAİHL",,,,3,"['meb', 'ingilizce', 'hayvanlar', 'animals', 'okul', 'öğrenci', 'imamhatip', '22Mayıs2021', 'eğitim', 'öğretim', 'sınıf', 'cumartesi', '22Mayıs', 'canlıders', 'pandemi', 'eba', 'ŞehitProfDrİlhanVarankKızAİHL']"
turgutucbas,@turgutucbas2,2021-06-22T13:51:19.000Z,"As the day fades away, discover the magic of Istanbul by night 
#komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel  #sevgi #yaaysaati #kiz  #fun #",,,,,"['komedi', 'komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'sevgi', 'yaaysaati', 'kiz', 'fun']"
Fani Dünya ve Hakikatler,@fanidunyamiz,2021-03-20T07:18:18.000Z,"İstirahat keyfi
Rest and pleasure
#ördek #rest #pleasure #nice #hayvanlar #güzel #photography #doğa #toprak #yeşil #beyaz #animals #design #köy #village",,,,,"['ördek', 'rest', 'pleasure', 'nice', 'hayvanlar', 'güzel', 'photography', 'doğa', 'toprak', 'yeşil', 'beyaz', 'animals', 'design', 'köy', 'village']"
DiyabetKliniği,@diyabetklinigi,2021-04-14T12:12:56.000Z,#yazık be yaaa #içimacıdı #hayvanlar #insanolamamışlar,"Tele1 TV
@tele1comtr
 · Apr 14
İşitme Engelliler Spor Federasyonu As Başkanı Faruk Demir'in engelli bir genci dövdüğü görüntüler ortaya çıktı",,,,"['yazık', 'içimacıdı', 'hayvanlar', 'insanolamamışlar']"
Garo Tamaz,@GaroTamaz,2021-01-14T03:09:39.000Z,"Replying to 
@efsane_yusifli","Yes, look closer May be you will see your relative on ‘ancient lands of azerbaran’ #hayvanlar",1,,1,[]
TC Hafize,@TChafize20,2021-08-03T09:16:34.000Z,"Çok acı çok yanan #insanlar,#hayvanlar,#bitkiler hayata dair #inanç ve geleceğe dair #umutlar...
Bu kadar fazla kötülük üretebilmek için ne seviyede bir #vicdansızlık gerekiyor acaba ?",,,91,299,"['insanlar', 'hayvanlar', 'bitkiler', 'inanç', 'umutlar', 'vicdansızlık']"
Emine KORKMAZ,@Emine25448435,2021-01-23T08:01:04.000Z,#Hayvanlar üşümesin,,,24,63,['Hayvanlar']
Bahar Naz,@baharnazzzz,2021-07-30T05:29:51.000Z,"Acilen ağaç dikmemiz gerekiyor bizim.!
Ağaç yoksa yağmur yok.
Yağmur yoksa su yok.
SU yoksa meyve, sebze yok.
HAYAT yok...!
#ağaç #su #orman #doağa #insan #hayvanlar #bitki #çiçek #böcek",,9,72,258,"['ağaç', 'su', 'orman', 'doağa', 'insan', 'hayvanlar', 'bitki', 'çiçek', 'böcek']"
Profesyonel Çekimler,@profes_yonel,2020-10-23T11:15:56.000Z,#pazartesi #salı #çarşamba #perşembe #cuma #cumartesi #pazar #günaydın #iyigünler #profesyonel #fotoğraflar #çiçekler #manzaralar #kedi #köpek #aşk #sevgi #karanlık #güneş #kar #kış #sonbahar #yaprak #iyiakşamlar #iyigeceler #fotoğraf #gökyüzü #şehir #siyah #hayvanlar #gökkuşağı,,,3,19,"['pazartesi', 'salı', 'çarşamba', 'perşembe', 'cuma', 'cumartesi', 'pazar', 'günaydın', 'iyigünler', 'profesyonel', 'fotoğraflar', 'çiçekler', 'manzaralar', 'kedi', 'köpek', 'aşk', 'sevgi', 'karanlık', 'güneş', 'kar', 'kış', 'sonbahar', 'yaprak', 'iyiakşamlar', 'iyigeceler', 'fotoğraf', 'gökyüzü', 'şehir', 'siyah', 'hayvanlar', 'gökkuşağı']"
T.C. Zülal Kutluer,@zllktlr,2020-08-19T15:43:44.000Z,#hayvanlar insanoğluna ders veriyor anlayana,,,7,11,['hayvanlar']
