username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
KTO Hayvan Dostları,@ktohaydost,2021-08-08T15:38:42.000Z,"SAHİPLENDİRME 
3-4 aylık dişi çok sevimli insancıl uysal bu kedimize yuva arıyoruz. 
İletisim: 05394146639 
Konya/Selçuklu 
#yavrukedi #hayvanseverler #yuva #konya #sahiplendirme #kayıpkedi #yavruköpek",,,,3,"['yavrukedi', 'hayvanseverler', 'yuva', 'konya', 'sahiplendirme', 'kayıpkedi', 'yavruköpek']"
MuratKızıloluk,@muratkiziloluk,2021-08-10T04:30:46.000Z,"#Günaydın

#Gönül dostları
    #Hayvanseverler
       #Doğaseverler
          Yüreği #sevgi ile dolu güzel insanlar

#Sağlık, #sıhhat, #neşe ve #huzur dolu bir gün dilerim

#Salı 

#Adanae-Feke, Sülemişli",,1,,30,"['Günaydın', 'Gönül', 'Hayvanseverler', 'Doğaseverler', 'sevgi', 'Sağlık', 'sıhhat', 'neşe', 'huzur', 'Salı', 'Adanae']"
Pati Dosları Ünye,@Patidostunye,2021-08-08T16:25:15.000Z,"24.05.2021
Profilimizdeki linkten her gün yolumuzu gözleyen çocuklarımız için 4₺’ye bile mama alabilirsiniz. 
#sokakhayvanları #ünye #ordu #birkapsubirkapmama #mamadesteği #hayvanlaralemi #hayvanhaklarıyasasıhemen #hayvansevgisi #hayvanseverler #dog #dogsofinstagram",,,,49,"['sokakhayvanları', 'ünye', 'ordu', 'birkapsubirkapmama', 'mamadesteği', 'hayvanlaralemi', 'hayvanhaklarıyasasıhemen', 'hayvansevgisi', 'hayvanseverler', 'dog', 'dogsofinstagram']"
necmettin uzun,@necmettinuzun_,2021-08-12T11:50:04.000Z,"Hayvan dostlarımızın yanındayız.
Nural, afet bölgelerine 
@haytap
 aracılığıyla hayvan dostlarımıza yardımda bulunuyor...

#yangin #yangın #yardım #haytap #hayvanhakları #hayvanhaklari #hayvanseverler #hayvanhakları",,,,1,"['yangin', 'yangın', 'yardım', 'haytap', 'hayvanhakları', 'hayvanhaklari', 'hayvanseverler', 'hayvanhakları']"
ᴘᴀᴛİʟİ ᴍᴇʟᴇᴋʟᴇʀ,@PMelekler,2021-08-09T12:50:35.000Z,#satinalmasahiplen #köpek #kedi #köpeksahiplen #kedisahiplen #köpekaşkı #kediaşkı #patiler #patiaşki #hayvansevgisi #hayvanseverler,,,2,1,"['satinalmasahiplen', 'köpek', 'kedi', 'köpeksahiplen', 'kedisahiplen', 'köpekaşkı', 'kediaşkı', 'patiler', 'patiaşki', 'hayvansevgisi', 'hayvanseverler']"
Blue Butterfly,@mavikelebek0613,2021-08-10T09:43:04.000Z,Sen çok güzel bir detaysın..  #hayvanlarıkorumakanunu #hayvanseverler #bukalemun,,,,1,"['hayvanlarıkorumakanunu', 'hayvanseverler', 'bukalemun']"
sema atalay,@semaatalay,2021-08-06T09:34:53.000Z,"Replying to 
@hobitolu
 @blogyagmuru
 and 2 others","@HaytapOfficial
 bu şahsın #hayvanseverler ve  
@istanbulbld
 için düşündükleri... bizleri suçlar ama kendisi onlara acaba bir kap su verir mi?",,,,[]
emPATİ,@_em_pati_,2021-08-06T14:29:25.000Z,"Beslemeden Kareler
.
.
.
#mamakumbarasi #mamadesteği #canpet #BirKapSuBirKapMama #canpetmamakumbarası #birkapsubirkapmama #mamabağışı #sokakhayvanları #besleme #sokakhayvanlarınasahipçık #hayvandostu #hayvanseverler #hayvanlarıkoru
#sokakcanları #sokakhayvanlariniunutma",,,,1,"['mamakumbarasi', 'mamadesteği', 'canpet', 'BirKapSuBirKapMama', 'canpetmamakumbarası', 'birkapsubirkapmama', 'mamabağışı', 'sokakhayvanları', 'besleme', 'sokakhayvanlarınasahipçık', 'hayvandostu', 'hayvanseverler', 'hayvanlarıkoru', 'sokakcanları', 'sokakhayvanlariniunutma']"
İpek Gürhan,@ipek_gurhan,2021-08-12T16:23:05.000Z,"Thy yollarının evcil hayvan taşıma koşulları rezalet. Bir tweet dizisiyle olayı anlatmak ve hayvan severleri bilgilendirmek isterim. #thyevcilhayvantaşıma #türkhavayolları #şikayetvarthy #thy #thyşikayet #hayvanseverler 
@Dohayko2013
 @THY_Teknik",,1,,2,"['thyevcilhayvantaşıma', 'türkhavayolları', 'şikayetvarthy', 'thy', 'thyşikayet', 'hayvanseverler']"
Aslihan Manas,@AslihanManas,2021-08-11T22:48:39.000Z,"#haytap sahra hastanesi yeni lokasyonu; 
@HaytapOfficial
 @ahbapplatformu
 #hayvanseverler",,,,,"['haytap', 'hayvanseverler']"
