username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
AHMET ÇAMDERE,@ahmet_camdereTR,2021-08-07T08:17:15.000Z,"Amin Amin Amin
#HayırlıSabahlar",,,52,568,['HayırlıSabahlar']
Damla yılmaz,@DamlaY,2021-08-07T09:06:13.000Z,"Amin, amin ve amin….
#HayırlıSabahlar 
#GününDuası",,,1,7,"['HayırlıSabahlar', 'GününDuası']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
KADO,@Kadopetrov6,2021-08-10T01:11:28.000Z,"Günaydın güzel insanlar
#HayırlıSabahlar",,14,21,338,['HayırlıSabahlar']
AHMET ÇAMDERE,@ahmet_camdereTR,2021-08-13T06:39:56.000Z,"#HayırlıCumalar #HayırlıSabahlar 
Dua ile....",,,42,580,"['HayırlıCumalar', 'HayırlıSabahlar']"
ꇙꄲꋊ ꇙ꒤ꋊꍌ꒤ꋪ,@SonSungur01,2021-08-13T05:25:07.000Z,"Allah’ım !
Gönlümde olanı 
Hakkımda hayırlı eyle, 
Hakkımda hayırlı olanı 
Gönlüme razı eyle…

    Hz. Ali 

#HayırlıSabahlar 

#HayırlıCumalar",,4,11,47,"['HayırlıSabahlar', 'HayırlıCumalar']"
İbrahim Ağırman,@agirmanibrahim,2021-08-09T04:42:23.000Z,"Rabbim, 
ibadetlerimizi makbul, dualarımızı kabul buyursun inşaallah…

#HayırlıSabahlar",,3,99,227,['HayırlıSabahlar']
AHMET ÇAMDERE,@ahmet_camdereTR,2021-08-12T04:54:37.000Z,Güzel bir gün olması temennisiyle #HayırlıSabahlar,,,60,846,['HayırlıSabahlar']
nuri (n.a),@NuriAkyz10,2021-08-08T04:52:02.000Z,"""Biz aşığız; Gül alır,

         Gül satarız bu pazarda.""

#Hayırlısabahlar",,,2,90,['Hayırlısabahlar']
AyŞeGüL,@Aysegulll84,2021-08-11T04:57:00.000Z,"❝ Allah iyilerle karşılaştırsın ❞

Gününüz . . .

Sağlık ,  bereket ,  huzur ,  neşe dolu  geçsin İnşAllah 

Gツ❀naydın 

#HayırlıSabahlar 
#çarşamba",,96,56,580,"['HayırlıSabahlar', 'çarşamba']"
Muhâcir Kızı,@muhacir_muamma,2021-08-09T02:46:33.000Z,"Kuşlara dahi bir yol çizen Allah,
insanı yolsuz mu bırakacaktı ?
Beni yaratan elbet yolumu gösterir.

Şuara / 78

#HayırlıSabahlar TürkiyeM",,25,32,388,['HayırlıSabahlar']
B.BOZKIR,@Ak06363,2021-08-13T02:18:04.000Z,"""Vakit; sabah namazı ile, nur olma vaktidir.

Essâlâtü Hâyrün Mînen Nevm

#HayırlıSabahlar 
#HayırıCumalar","0:27
23 views",,3,4,"['HayırlıSabahlar', 'HayırıCumalar']"
İbrahim Ağırman,@agirmanibrahim,2021-08-12T07:28:06.000Z,"Es-Selamû Aleykûm 

Allah'ü Teâlâ'nın Rahmeti Bereketi üzerimize olsun.

Hayırlı, Sağlıklı, Huzurlu, Bereketli günler dilerim.

#HayırlıSabahlar",,6,103,231,['HayırlıSabahlar']
~~yolcu~~,@yol_cu_34,2021-08-13T03:28:03.000Z,"""İnsanların hesaba çekilme günü yaklaştığı halde onlar hala gaflet içinde gerçeğe yüz çevirmekteler..""
#HayırlıSabahlar
|Enbiya-1",,,3,24,['HayırlıSabahlar']
Deniz,@Deniz__cnn,2021-08-11T05:11:37.000Z,"KORKMA..!
BİSMİLLAH de çık yola
Kalbini Allah'a emanet et ve de ki
""ALLAH'ım hayırlısına yakınlaştır,
Hayırsızdan uzaklaştır.""

#HayırlıSabahlar",,3,66,117,['HayırlıSabahlar']
FırtınaÖncesi______Sesizlik___,@SesizlikRt,2021-08-13T08:13:14.000Z,"Hepimiz bu pazardan birer kefen çalmaya geldik.
#HayırlıSabahlar 
#hayirlicumalar",,,22,26,"['HayırlıSabahlar', 'hayirlicumalar']"
yeliz ager,@yelizager,2021-08-07T04:35:54.000Z,"Garip bir ağustos tadı
Damaklarımda.
Hiç yaz gibi değil bu mevsim
""Yaz, ben gibi değil""
Ya ağustoslar bozuldu…
Ya ağzımın tadı...''

Edip Cansever

#Cumartesi
#yağmur
#HayırlıSabahlar",,18,283,2.3K,"['Cumartesi', 'yağmur', 'HayırlıSabahlar']"
İsmail Coşkun,@icoskun86,2021-08-10T05:25:07.000Z,"""Nereye bakıyorsun öyle dalgın dalgın?"" dedim..

""Uzaklaşan insanlığa"" dedi..

Çünkü;

Kaybetmeden kıymet bilmeyi bir türlü öğrenemedik..

#günaydın #hayırlısabahlar #salı",,3,24,128,"['günaydın', 'hayırlısabahlar', 'salı']"
Mesut ERSOY,@mesutersoy6,2021-08-09T01:15:37.000Z,"Böbürlenme insanoğlu!..
Ha sen!.. 
Ha bir yaprak!..
Gelişin bir damla su,
Gidişin bir avuç toprak..!

#HayırlıSabahlar",,6,73,175,['HayırlıSabahlar']
KADO,@Kadopetrov6,2021-08-06T00:24:32.000Z,"Günaydın güzel İnsanlar
#HayırlıSabahlar
#HayırlıCumalar",,18,21,268,"['HayırlıSabahlar', 'HayırlıCumalar']"
Cemil G.,@cemil__g,2021-08-12T06:07:12.000Z,"Günaydın
Hayırlı Sabahlar

Güzel bir gün olsun inşaallah

#Günaydın
#HayırlıSabahlar
#Persembe",,7,10,196,"['Günaydın', 'HayırlıSabahlar', 'Persembe']"
Muhâcir Kızı,@muhacir_muamma,2021-08-12T03:19:25.000Z,"İnsanların “iyi bilirdik” dediği doğru insanlardan olalım. Üç günlük dünya için , ebedi hayatımızı yakmayalım. Dilimiz temiz , elimiz temiz ve yüreğimiz de temiz olsun. Biz Allah'tan gelene razı olalım ki, Allah'ta bizden razı olsun İnşaAllah

#HayırlıSabahlar ",,17,22,305,['HayırlıSabahlar']
