username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Dr. Jared Harris,@CACHOSupdates,2021-08-10T19:31:38.000Z,Wonderful to get back to my pre-work sunrise workouts with friends and colleagues #wellbeing #health,,1,1,17,"['wellbeing', 'health']"
Dr Pooja Garg,@poojagarg1111,2021-08-11T04:30:02.000Z,"Be kind to your mind.

#health #wellness # mindfulness",,2,8,26,"['health', 'wellness']"
Naughty Gym,@NaughtyGym,2021-08-11T15:12:57.000Z,"Who wants to workout with me? 

#fitness #bodypositivity #health #ethicalnonmonogamy #lifestyle",Naughty Gym and 4 others,50,38,1K,"['fitness', 'bodypositivity', 'health', 'ethicalnonmonogamy', 'lifestyle']"
Productivity Tips,@Productivity777,2021-08-12T08:37:16.000Z,"It is well to be up before daybreak, for such habits contribute to #health, #wealth, and #wisdom.",,,14,15,"['health', 'wealth', 'wisdom']"
865Couple,@865Couple,2021-08-11T14:31:29.000Z,"Real time. Chest & triceps for the Mr. and glutes & legs for the Mrs.  

#gym #gymmotivation #fit #fitness #fitcouples #health #couplesgoals",,13,11,327,"['gym', 'gymmotivation', 'fit', 'fitness', 'fitcouples', 'health', 'couplesgoals']"
marybethmccabe,@marybethmccabe,2021-08-12T02:51:40.000Z,Do you fill up your water in every airport? What airport is your best? #water #drink #health,,,1,4,"['water', 'drink', 'health']"
Bernard Gollotti CPP,@Gollotti,2021-08-12T16:15:09.000Z,"How your smartphone can guide you through changes in COVID-19 guidance - 
@USATODAY
 https://buff.ly/3xAjr68 #security #health #COVID19",,,1,2,"['security', 'health', 'COVID19']"
The Digital Ecosystem,@TheDigitalEcos,2021-08-13T11:42:05.000Z,"rt 
@wef
 
An expert explains: How to talk to boys about mental #health, girls and growing up 
@DrRanj
 http://wef.ch/3u68BDH",,,,1,['health']
Divine Life,@My_Divine_Life,2021-08-12T11:14:06.000Z,"Strive for progress, not perfection. #health",,,,2,['health']
Philips Innowitter,@PhilipsBlore,2021-08-12T04:29:36.000Z,"2007 - 2008, #Philips #Innovation Campus #Bengaluru makes a huge leap in #Quality ownership through #SixSigma #25YearsPIC #news #health #India",,,5,9,"['Philips', 'Innovation', 'Bengaluru', 'Quality', 'SixSigma', '25YearsPIC', 'news', 'health', 'India']"
Jody Townsley Morse,@Jodys_Journey,2021-08-13T00:13:48.000Z,"More news to come. But for now, I'm just going to leave this here in a vaguebook way.   #fitness #gym #health",,,,1,"['fitness', 'gym', 'health']"
Philips Innowitter,@PhilipsBlore,2021-08-11T04:24:27.000Z,#Philips #Innovation Campus #Bengaluru takes the first step in end-to-end ownership fueled by #customer requirements and the Big Iron labs. #25YearsPIC #news #health #India,,,8,11,"['Philips', 'Innovation', 'Bengaluru', 'customer', '25YearsPIC', 'news', 'health', 'India']"
J. John Foyle,@JJohnFoyle,2021-08-11T10:58:34.000Z,"All clear in my annual check up. The doctor gave me a prescription for these.  Well, I'm interpreting 'You're grand' as, essentially, the same thing. 
One time only etc. 
#Health 
#checkup",,1,,16,"['Health', 'checkup']"
SNUG,@Snug_1,2021-08-13T11:29:03.000Z,"Challenge accepted?
#active #health #safe #workingfromhome",,,,,"['active', 'health', 'safe', 'workingfromhome']"
Isha Europe,@IshaEurope,2021-08-12T08:32:44.000Z,"Keeping our energies high keeps us youthful. Lets make it happen!

#Sadhguru #YouthDay #Youth #WorldYouthDay #Life #Wisdom  #InnerEngineering #Yoga #Meditation #Health #Spirituality #Wellness #Wellbeing",,3,34,71,"['Sadhguru', 'YouthDay', 'Youth', 'WorldYouthDay', 'Life', 'Wisdom', 'InnerEngineering', 'Yoga', 'Meditation', 'Health', 'Spirituality', 'Wellness', 'Wellbeing']"
