username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Karen Cassel,@livelifefullyw1,2021-08-13T10:00:24.000Z,"I set my intentions each morning while I meditate.   I find it sets my day on a positive course.
#positivevibes
#healthylife
#healthymind",0:05,,,2,"['positivevibes', 'healthylife', 'healthymind']"
Oogali Store,@OogaliStore,2021-08-13T07:26:09.000Z,#healthymind #health Electric Makeup Brush Cleaners,,,,,"['healthymind', 'health']"
Visible Angels,@visibleangelss,2021-08-12T20:11:11.000Z,"Mindset is everything. 

#healthymind #healthymindhealthybody #growthmindset #growth #inspiration #inspirationalquotes #positivequotes #positivemindset #happymind #beautifulmindset #healthylifestyle #beautifulday #visibleangels #motivationalquotes",,,2,2,"['healthymind', 'healthymindhealthybody', 'growthmindset', 'growth', 'inspiration', 'inspirationalquotes', 'positivequotes', 'positivemindset', 'happymind', 'beautifulmindset', 'healthylifestyle', 'beautifulday', 'visibleangels', 'motivationalquotes']"
Simply Flourish,@SimplyFlourish1,2021-08-13T03:45:11.000Z,"It’s all about a strong mindset. A healthy mind can have so much power over the way you react and interact throughout the day. 

.⁣
.⁣
.⁣
.⁣
.⁣
#mentalhealthawareness #mentalhealthwarrior #healthylifestyle #healthymind #healthy #lifestyle #healthymindhealthybody",,,3,3,"['mentalhealthawareness', 'mentalhealthwarrior', 'healthylifestyle', 'healthymind', 'healthy', 'lifestyle', 'healthymindhealthybody']"
Pfizered G,@jojomom1974,2021-08-11T03:17:41.000Z,Truth! #healthymind #mentalhealth #bebrave #itsoknottobeok,,,3,13,"['healthymind', 'mentalhealth', 'bebrave', 'itsoknottobeok']"
Drew Hill,@bigdru33,2021-08-06T18:59:28.000Z,"First outdoor cold water experience today at the stunning silver sands of Morar, easily my most favourite beach I’ve visited.  #healthymind",,,,4,['healthymind']
Kim_Sportstherapist,@Kim_ST82,2021-08-07T07:19:17.000Z,Waking up 6lbs lighter than last week  #hardworkpaysoff #healthybody #healthymind,GIF,,,4,"['hardworkpaysoff', 'healthybody', 'healthymind']"
Oogali Store,@OogaliStore,2021-08-10T19:24:00.000Z,#healthymind #health Fan Shaped Powder Brush,,,,,"['healthymind', 'health']"
NAMI Franklin County,@NAMIFC,2021-08-09T16:21:00.000Z,"We know how important it is to take care of your #MentalHealth, but watch out for your physical health too. Don't forget that our lifestyle also affects our mental health!

#NAMIFC #NationalHealthCenterWeek #MentalHealthAwareness #NotAlone #HealthyMind #HealthyBody",,,1,1,"['MentalHealth', 'NAMIFC', 'NationalHealthCenterWeek', 'MentalHealthAwareness', 'NotAlone', 'HealthyMind', 'HealthyBody']"
Pacific Eye Doctors,@PacificEyeDrs,2021-08-11T18:59:43.000Z,"We believe your success starts with your vision!

#healthyeyes #healthymind #healthylifestyle",GIF,,,,"['healthyeyes', 'healthymind', 'healthylifestyle']"
bakul bhagwat sood,@thepahari_soul,2021-08-12T19:53:06.000Z,"Setting your boundaries is a decent sign of good mental health. To learn more signs of a healthy mind, stay connected. #MentalHealth #HealthyMind #TipsForHealthyMind 
 #bhagwat23",,,,,"['MentalHealth', 'HealthyMind', 'TipsForHealthyMind', 'bhagwat23']"
DrNicolleMD,@DrNicolleMD,2021-08-13T11:01:00.000Z,"What is your favorite dessert?
For more healthy tips, go to http://drnicollemd.com/blog.
#maintainhealth #healthylifestyle #gethealthy #healthandwellness #healthymind #drnicollemd #primarycare #preventivemedicine #integrativemedicine #minimizemedicationsmaximizehealth",,,,,"['maintainhealth', 'healthylifestyle', 'gethealthy', 'healthandwellness', 'healthymind', 'drnicollemd', 'primarycare', 'preventivemedicine', 'integrativemedicine', 'minimizemedicationsmaximizehealth']"
Nayfe P,@NayfePacewell,2021-08-10T12:25:03.000Z,"Still working hard to get that weight on 

I'm a bit lighter than last weigh in spent the last month cutting down the bulk, but I feel good 

#ForgiveMyVanity
#HealthyBody
#HealthyMind",,2,,6,"['ForgiveMyVanity', 'HealthyBody', 'HealthyMind']"
Jojo,@JoJrl,2021-08-06T06:45:46.000Z,There's so much to be said for awork / life balance. Was running myself into the ground doing 45-50 hour weeks and not getting paid overtime. Was v busy. Had a good week fasting and stayed within my contractual hours at work and feel much better for it! #healthymind #healthybody,,,,3,"['healthymind', 'healthybody']"
Core by Premier Software,@corebypremier,2021-08-05T07:30:17.000Z,"Today is Cycle to Work Day! Exercise not only keeps us healthy and active, but contributes to positive mental wellbeing. Are you cycling to work today?

#CycleToWork #MentalHealth #Wellbeing #HealthyMind #Health #LeisureNews #Cycling #Biking #Bike #Bicycle",,,,,"['CycleToWork', 'MentalHealth', 'Wellbeing', 'HealthyMind', 'Health', 'LeisureNews', 'Cycling', 'Biking', 'Bike', 'Bicycle']"
Soursmash,@thesoursmash,2021-08-11T15:50:54.000Z,"Tell yourself no matter how hard it is, or how hard it gets you’re going to make it 

#healthymind #healthybody #healthylifestyle #health #fitness #mentalhealth #healthylife #healthyliving #wellness #selfcare #healthy #healthyfood #motivation #selflove #love #loveyourself #hull",,1,,11,"['healthymind', 'healthybody', 'healthylifestyle', 'health', 'fitness', 'mentalhealth', 'healthylife', 'healthyliving', 'wellness', 'selfcare', 'healthy', 'healthyfood', 'motivation', 'selflove', 'love', 'loveyourself', 'hull']"
