username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Vissmate Türkiye,@VissmateTurkiye,2021-08-13T15:48:38.000Z,"Neden jel Temizleyici?

#vissmate #vissmateturkiye #hijyensevissmate #doğallıksavissmate #temizliksevissmate #temizlikailesi #çamaşırsuyu #mutfak #yağsökü #kireçsökücü #güçlüformül #hijyen #hijyeniktemizlik #maksimumhijyen",,,,,"['vissmate', 'vissmateturkiye', 'hijyensevissmate', 'doğallıksavissmate', 'temizliksevissmate', 'temizlikailesi', 'çamaşırsuyu', 'mutfak', 'yağsökü', 'kireçsökücü', 'güçlüformül', 'hijyen', 'hijyeniktemizlik', 'maksimumhijyen']"
Tanriver Makina,@tanrivermakina,2021-08-13T12:21:08.000Z,"Hijyen gereken her yerdeyiz. 
 We are wherever hygiene is required.

 #tanrıver #akdeniztoros #hijyen #hygieneequipment #hygiene","0:11
3 views",,,,"['tanrıver', 'akdeniztoros', 'hijyen', 'hygieneequipment', 'hygiene']"
bikalite,@bikalite,2021-08-13T16:00:52.000Z,"Orijinal Eczacıbaşı  Maratem ürünleri ile hijyen bikalite’de. Hemen İnceleyiniz

#Orijinal #Hijyen #Maratem",,,,,"['Orijinal', 'Hijyen', 'Maratem']"
Mesut GENÇ,@mv_mesutgenc,2021-08-11T15:32:33.000Z,#Koronavirüs ile mücadele çerçevesinde üç ana kuraldan biri olan #Hijyen konusunda tedbiri elden bırakmıyoruz.,,,,,"['Koronavirüs', 'Hijyen']"
Mehmet Fatih KAYHAN,@MFatihKAYHAN,2021-08-12T22:54:53.000Z,"Korunmak ve korumak için kurallar basit :
#AşıOl 
#Maske tak #Mesafe koy #hijyen kuralına uy .",,,3,33,"['AşıOl', 'Maske', 'Mesafe', 'hijyen']"
Kemalpaşa İlçe Tarım ve Orman Müdürlüğü,@KemalpasaTarim,2021-08-06T14:24:23.000Z,"5996 sayili kanun kapsaminda uygunlugu kontrol etmek amaciyla #yemnumuneleri alınmış #hijyen denetimleri yapılmaktadır.
#Gıdayem",Mustafa ÖZEN and 3 others,,1,6,"['yemnumuneleri', 'hijyen', 'Gıdayem']"
Davut Çetin,@DavutCetin,2021-08-09T11:41:53.000Z,"Kapalı olduğumuz günlere geri dönmemek için, sevdiklerimizle beraber sağlıklı yaşamaya devam etmek için #aşı olalım. 
#Maske, #mesafe ve #hijyen kurallarına muhakkak uyalım!",,,25,110,"['aşı', 'Maske', 'mesafe', 'hijyen']"
Erhan Kaya,@Errhan21,2021-08-09T20:52:46.000Z,"Aşılanalım, salgını birlikte aşalım. 

#Diyarbakır Gazi Yaşargil EAH ve 3 büyük AVM'lerdeki aşı noktalarında randevusuz #Aşı olabilirsiniz. 

#AşıCandırHayatKurtarır  #Maske #mesafe #Hijyen",,,,,"['Diyarbakır', 'Aşı', 'AşıCandırHayatKurtarır', 'Maske', 'mesafe', 'Hijyen']"
Şehitkamil Belediyesi #MaskeMesafeTemizlik,@SehitkamilBel,2021-08-13T14:30:00.000Z,"İlçemizde nöbet tutacak #Eczaneler. İhtiyaç duyulmaması dileğiyle. 

Tüm hastalara acil şifalar, tüm eczacılarımıza da iyi nöbetler diliyoruz.
@rfadiloglu
#ilaç
#Maske 
#Mesafe 
#hijyen ",,,,8,"['Eczaneler', 'ilaç', 'Maske', 'Mesafe', 'hijyen']"
TUGO DENTAL,@TugoDental,2021-08-10T17:20:48.000Z,ENBIO dünyanın en hızlı #otoklav ıdır. #sterilizasyon #hijyen #diş #dişkliniği #güzellikmerkezi #güzelliksalonu #berbermalzemeleri,,,1,1,"['otoklav', 'sterilizasyon', 'hijyen', 'diş', 'dişkliniği', 'güzellikmerkezi', 'güzelliksalonu', 'berbermalzemeleri']"
Açelya ASLAN,@acelyaaslan35,2021-08-06T16:52:23.000Z,#Maske +#Mesafe +#Hijyen...,,,,1,"['Maske', 'Mesafe', 'Hijyen']"
dery,@deryademirkuru,2021-08-06T19:48:54.000Z,"Maskeleri hiç bir zaman sevmedim ben...
Her durumuna uygun maske takanları da...

#maske
#mesafe
#hijyen",,,1,,"['maske', 'mesafe', 'hijyen']"
İdris TAŞ,@tasidris,2021-08-10T05:53:14.000Z,"Günaydın. Herkese önce sağlıklı günler diliyorum çünkü #Antalya yüksek riskli iller grubunda. Mecbur kalmadıkça kalabalık yerlere girmeyelim. #Maske, #mesafe ve #hijyen kurallarına dikkat edelim.",,2,6,39,"['Antalya', 'Maske', 'mesafe', 'hijyen']"
Klorak,@klorakturkiye,2021-08-09T11:07:04.000Z,"En sevdiklerim için en iyisi: Klorak Hijyen Serisi

Tüm ailenizin temas ettiği yüzeyler Klorak Hijyen Serisi ile güvende!

#klorak #klorakla #çocuğumgüvende #hijyen #temizlik #yüzeytemizliği #klorakyüzeytemizleyici",,,,,"['klorak', 'klorakla', 'çocuğumgüvende', 'hijyen', 'temizlik', 'yüzeytemizliği', 'klorakyüzeytemizleyici']"
Tülin Berova,@TulinBerova,2021-08-09T08:48:41.000Z,Market alışverişi rutin ve on-line Whatsaap liste gidiyor ve anında servis Musa da kaç yıllık tanıdık ve işini ciddiyetle yapıyor #maske  #mesafe ve girişte ellerini ilaçlıyor #hijyen  hayatın devamındayız bu günün #korona vaka sayı kaç olur bilemeyiz!  #Aşı  hayat kurtarır,,,,2,"['maske', 'mesafe', 'hijyen', 'korona', 'Aşı']"
TUGO DENTAL,@TugoDental,2021-08-10T17:24:10.000Z,"#müjde Dünyanın en hızlı otoklavı ENBIO artık Türkiye'de. En iyi tasarım ödüllü ve en sessiz çalışan otoklavdır.
#hijyen #dişhekimi #güzelliksalonu",,,1,2,"['müjde', 'hijyen', 'dişhekimi', 'güzelliksalonu']"
Manisa Organize Sanayi Bölgesi,@manisaosb,2021-08-11T09:23:51.000Z,"Kişisel #hijyen kurallarına dikkat ederek kendinizi ve çalışma arkadaşlarınızı #Covid19 ’a karşı koruyabilirsiniz.

Biz de Manisa OSB olarak gün içerisinde en az 20 saniye boyunca ellerimizi sık sık yıkıyor; masamızdan kolonyamızı ve el dezenfektanımızı eksik etmiyoruz!",,,,1,"['hijyen', 'Covid19']"
HALKA Kooperatifi,@HALKAKooperati1,2021-08-09T11:28:42.000Z,"Dünya Sağlık Örgütü'nün Önerileri ile Çalışma Alanlarınızı 
Düşük Maliyetle Sağlıklı Hale Getirebilirsiniz!
@WorldBankTurkey
 @SecopTurkiye
 @ImpactHubIST
 @EUDelegationTur
 @gencisikoop
 @innovation4dev
 @meslekfabrikasi
 #izmirtemizlik #profesyoneltemizlik #kadıngirişimciler #hijyen",,,,2,"['izmirtemizlik', 'profesyoneltemizlik', 'kadıngirişimciler', 'hijyen']"
Aksaray Üniversitesi,@aksarayedutr,2021-08-12T13:03:20.000Z,"Hijyen ve Sanitasyon Yönetim Sistemi Belgesi'ne sahip ilk devlet üniversitesi #ASÜsenibekliyor

Aday Öğrenci Sayfası
http://tanitim.aksaray.edu.tr

#NedenASÜ #YKS2021 #Tercih2021 #Covid19 #Üniversite #Aşı #Hijyen",Prof. Dr. Yusuf Şahin,,12,24,"['ASÜsenibekliyor', 'NedenASÜ', 'YKS2021', 'Tercih2021', 'Covid19', 'Üniversite', 'Aşı', 'Hijyen']"
Mehmet Fatih KAYHAN,@MFatihKAYHAN,2021-08-07T21:19:02.000Z,"#Dikkat 
#Aşı olmayı ihmal ettiğimiz içindirki ;
 #Covid_19 illeti etrafımızı sarmaya sevdiklerimizi yoğun bakımlara almaya devam ediyor 

#Lütfen #Maske ve #hijyen kurallarına uyalım 

#Aşı olmayı ihmal eden erteleyenler #Lütfen #Aşı olun 

Toplum sağlığını koruyalım .",,,6,70,"['Dikkat', 'Aşı', 'Covid_19', 'Lütfen', 'Maske', 'hijyen', 'Aşı', 'Lütfen', 'Aşı']"
Cika İnşaat,@cikainsaat,2021-08-09T09:00:00.000Z,"Kağıt havlular eskiden sadece mutfaklarda kullanılırdı. Şimdilerde banyoların da vazgeçilmezi oldu.
Lider Dream Kağıt Havluluk, hem kapaklı hem de kapaksız alternatifleri ile sizlere hijyenin gönül rahatlığını sunuyor.
#hijyen #pandemi #cika #banyo #mutfak #lider #özlider",,,,,"['hijyen', 'pandemi', 'cika', 'banyo', 'mutfak', 'lider', 'özlider']"
Mehmet Fatih KAYHAN,@MFatihKAYHAN,2021-08-10T18:58:04.000Z,"#Türkiye'de son 24 saatte 264 bin 647 Kovid-19 testi yapıldı, 26 bin 597 kişinin testi pozitif çıktı, 124 kişi hayatını kaybetti.

#Lütfen #AşıOlalım 

#Maske #Mesafe ve #Hijyen kurullarına uyalım",,1,8,49,"['Türkiye', 'Lütfen', 'AşıOlalım', 'Maske', 'Mesafe', 'Hijyen']"
Tanriver Makina,@tanrivermakina,2021-08-07T13:01:18.000Z,"Hijyen gereken her yerdeyiz.

 We are wherever hygiene is required.

 #tanrıver #ahsyılmazmatbaa #ahs #hijyen #hygieneequipment #hygiene",,,,,"['tanrıver', 'ahsyılmazmatbaa', 'ahs', 'hijyen', 'hygieneequipment', 'hygiene']"
mediperacom,@mediperacom,2021-08-11T08:02:55.000Z,"Zahmetsiz temizlik ToiFresh ile mümkün!

#Medipera #ToiFresh #Temizlik #Hijyen #sağlık #kolaytemizlik",,,,,"['Medipera', 'ToiFresh', 'Temizlik', 'Hijyen', 'sağlık', 'kolaytemizlik']"
Tanriver Makina,@tanrivermakina,2021-08-11T14:51:38.000Z,"Tanrıver ailesi olarak; ‘hijyen gereken her yerde’ üstümüze düşen görevi yerine getiriyoruz. Tam 21 yıldır… 

As Tanriver family; We are fulfilling our duty 'where hygiene is required'. For exactly 21 years…

#tanrıver #hijyen #hygieneequipment #hygiene","0:14
1 view",,,,"['tanrıver', 'hijyen', 'hygieneequipment', 'hygiene']"
Klorak,@klorakturkiye,2021-08-11T10:03:03.000Z,"Bol köpüklü temizlikle zaman size kalsın 

Mutfağınızı Klorak Sirkeli Temizleyici  ile temizleyin kahve keyfiniz uzasın!

#klorak #klorakla #hijyen #temizlik #klorakhijyenmutfak #keyif #dipköşetemizlik",,,,,"['klorak', 'klorakla', 'hijyen', 'temizlik', 'klorakhijyenmutfak', 'keyif', 'dipköşetemizlik']"
Doubletree By Hilton Gaziantep,@dtbhgaziantep,2021-08-09T06:52:52.000Z,#doubletreebyhilton #TasteOfHilton #suite #suite #luxury #CleanStay #hijyen #temizlik #cleaning #gaziantep #şehitkâmil,,,,1,"['doubletreebyhilton', 'TasteOfHilton', 'suite', 'suite', 'luxury', 'CleanStay', 'hijyen', 'temizlik', 'cleaning', 'gaziantep', 'şehitkâmil']"
DÜRÜST ADAM,@durust__adam,2021-08-11T13:48:48.000Z,"""Yarın çok geç olabilir ""
Bu sözü asla aklınızdan çıkarmayın

Salgın #Covid_19 henüz bitmedi... 
Sorun küresel..!
mücadele ulusal... olmalı.
#AŞI
#maske 
#mesafe 
#hijyen

#BirlikteYeneceğiz
#BirlikteBaşaracağız
@drfahrettinkoca
 @saglikbakanligi
#Covid_19 #koronavirüs","GIF
Dr. Fahrettin Koca
@drfahrettinkoca
 · Aug 10
Vaka sayılarındaki artışı kontrol altında tutmak zorundayız. Aşı ile bağışıklık sağlanmadan tedbirsizlik kısır döngü ile sonuçlanır. Aşı olun. Tedbirlere uyun. http://covid19.saglik.gov.tr",,,,"['Covid_19', 'AŞI', 'maske', 'mesafe', 'hijyen', 'BirlikteYeneceğiz', 'BirlikteBaşaracağız', 'Covid_19', 'koronavirüs']"
