username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Black Eyed Peas,@bep,2021-08-13T14:15:52.000Z,"#HITIT VIDEO  OUT NOW 
ft. 
@lelepons
  & 
@Saweetie
 

WATCH IT. LOVE IT. SHARE IT.
@iamwill
 @TabBep
 @apldeap","Black Eyed Peas feat. Saweetie & Lele Pons - HIT IT (Official Music Video)
Go to Black Eyed Peas feat. Saweetie & Lele Pons - HIT IT (Official Music Video).
black-eyed-peas.lnk.to",8,40,140,['HITIT']
MANAR • مَنَارْ,@m_miznin,2021-08-13T14:27:51.000Z,"HIT IT music video is OUT NOW!  

I love the video! The colors are so eye catching, the dances, the outfits and everything else is just so COOL! Thank you, 
@bep
, 
@Saweetie
 and 
@lelepons
 for this incredible song and video! 

#BlackEyedPeas #Saweetie #LelePons #HitIt",will.i.am and 2 others,1,1,3,"['BlackEyedPeas', 'Saweetie', 'LelePons', 'HitIt']"
Mike Adam,@MikeAdamOnAir,2021-08-05T16:02:06.000Z,#hitit out TONIGHT!!! this team up is everything.,Black Eyed Peas and 2 others,,7,20,['hitit']
MANAR • مَنَارْ,@m_miznin,2021-08-13T11:35:17.000Z,2 hours and a half left for Hit It music video premiere!  #HitIt,,,,3,['HitIt']
Black Eyed Peas,@bep,2021-08-06T10:34:43.000Z,"Hey. YO!
HIT IT ft. Lele Pons & Saweetie   
OUT NOW on all platforms. Link in bio.
Stay tuned for #HITIT VIDEO next Friday!!",,18,96,329,['HITIT']
Greg Rozier Wear Your Mask!,@tarheeltrek,2021-08-12T20:01:16.000Z,"It was an absolute pleasure to see 
@MrKenMitchell
 once again at #STLV. He brought great honor to our house by wearing the pin we gave him two years ago! 
@Pteropus32
 was in tears even before he asked for a hug  #HitIt #Kolective",,3,6,55,"['STLV', 'HitIt', 'Kolective']"
Chilly Down Black Lives Matter.,@Pteropus32,2021-08-11T15:18:42.000Z,Waiting to board our flight! #STLV #LetsFly #HitIt #Engage,Greg Rozier  Wear Your Mask!,30,32,461,"['STLV', 'LetsFly', 'HitIt', 'Engage']"
MANAR • مَنَارْ,@m_miznin,2021-08-12T14:02:39.000Z,"Countdown: HIT IT music video will premiere TOMORROW!  

FRIDAY | AUGUST, 13TH. 2021  
@bep
 @iamwill
 @TabBep
 @apldeap
 @saweetie
 @leepons
 #BEPHitIt #HitIt",,,1,2,"['BEPHitIt', 'HitIt']"
Black Eyed Peas,@bep,2021-08-12T14:05:52.000Z,"Are you ready to get blown away!Let's #HITIT. 8.13.21 
@iamwill
 @TabBep
 @apldeap
 @youtubemusic
 @Vevo
 @EpicRecords",,9,47,201,['HITIT']
MANAR • مَنَارْ,@m_miznin,2021-08-12T18:49:22.000Z,"Set the reminder on YouTube for the PREMIERE of HIT IT music video tomorrow!  

+ 
@bep
 will be going live with 
@lelepons
 before the premiere.  

+ + (I’M JUST SO EXCITED ) 

#BlackEyedPeas #Saweetie #LelePons #HitIt 
@bep
 @iamwill
 @TabBep
 @apldeap
 @Saweetie
 @lelepons",,,1,4,"['BlackEyedPeas', 'Saweetie', 'LelePons', 'HitIt']"
