username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Hititimsi,@Hititimsi1,2021-08-11T16:17:20.000Z,"Gidiyomuyuz Eylül'de üniversite okuduğum şehre he söyle
#hititüniversitesi #hititimsi",,,,2,"['hititüniversitesi', 'hititimsi']"
Hitit Üniversitesi İlahiyat Fakültesi,@Hitit_ilahiyat,2021-08-06T13:25:14.000Z,"Öğretim üyemiz Dr. Ersin Kabakcı hocamızı başarılarından dolayı tebrik ederiz.
@HituKurumsal
@ErsinKabakci
@IzmirTurkOcagi
#hititüniversitesi
#hititilahiyat",,,3,14,"['hititüniversitesi', 'hititilahiyat']"
Hititimsi,@Hititimsi1,2021-08-12T18:53:31.000Z,"Leblebi kokulu üniversitemize kavuşmaya 46 gün kaldı.
#hititüniversitesi #hititimsi",,,1,3,"['hititüniversitesi', 'hititimsi']"
Hitit Üniversitesi,@HituKurumsal,2021-08-13T15:28:47.000Z,"Meslek Yüksekokulları Koordinatörümüz Doç. Dr. Zekeriya Işık, TV 52'de yayınlanan Samet Yaşaryıldız ile ""Gündem"" programında üniversitemize dair merak edilenleri cevaplıyor.

13 Ağustos 2021
21.00

Canlı Yayınhttp://tv52.com.tr

#HititÜniversitesi #yks2021 
@tv52ordu",,,1,1,"['HititÜniversitesi', 'yks2021']"
Hitit Üniversitesi,@HituKurumsal,2021-08-13T08:32:10.000Z,"Sağlık Bilimleri Fakültesi Sosyal Hizmet Bölümü İlk Öğrencilerini Bekliyor

Şimdi Sıra Sende!

#HititÜniversitesi #tercih2021 #yks2021 #tercih #sosyalhizmetler",,,2,7,"['HititÜniversitesi', 'tercih2021', 'yks2021', 'tercih', 'sosyalhizmetler']"
Hitit Üniversitesi,@HituKurumsal,2021-08-11T09:32:54.000Z,"Rektörümüz Prof. Dr. Ali Osman Öztürk TRT Radyo 1 Haber Yorum Programına konuk oluyor.

11 Ağustos 2021
12:45

#HititÜniversitesi #tercih2021 #yks2021 #tercih",,,9,36,"['HititÜniversitesi', 'tercih2021', 'yks2021', 'tercih']"
Hitit Üniversitesi,@HituKurumsal,2021-08-13T10:52:45.000Z,"Mezunumuz Alican Gözcü Hitit Üniversitesini anlatıyor.

Şimdi sıra sende!

#HititÜniversitesi #tercih2021 #yks2021 #tercih",,,1,5,"['HititÜniversitesi', 'tercih2021', 'yks2021', 'tercih']"
Hitit Üniversitesi,@HituKurumsal,2021-08-12T13:10:46.000Z,"Eğitim Araştırma Hastanemiz, Kalp ve Damar Sağlığı Hizmetlerinde Sayılı Merkezlerden Biri Oldu

Detaylarhttps://hitit.edu.tr/Haberler/2021/8/12/egitim-arastirma-hastanemiz-kalp-ve-damar-sagligi-hizmetlerinde-sayili-merkezlerden-biri-oldu…

#HititÜniversitesi #TıpFakültesi #Tercih #yks2021tayfa #yks2021tercih",,,1,13,"['HititÜniversitesi', 'TıpFakültesi', 'Tercih', 'yks2021tayfa', 'yks2021tercih']"
Hitit Üniversitesi,@HituKurumsal,2021-08-05T11:44:44.000Z,"Uluslararası Öğrencilerimizden Çorum Ekonomisine Büyük Katkı

Detaylarhttps://hitit.edu.tr/Haberler/2021/8/5/uluslararasi-ogrencilerimizden-corum-ekonomisine-buyuk-katki…

#HititÜniversitesi #Uluslararası #Öğrenci",,,14,30,"['HititÜniversitesi', 'Uluslararası', 'Öğrenci']"
Hitit Üniversitesi,@HituKurumsal,2021-08-12T06:45:53.000Z,"Öğrencimiz Semih Şahinli Teknik Bilimler Meslek Yüksekokulunu anlatıyor.

Şimdi sıra sende!

#HititÜniversitesi #tercih2021 #yks2021 #tercih",,,2,14,"['HititÜniversitesi', 'tercih2021', 'yks2021', 'tercih']"
