username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Duygu ♛,@NotTheSKY_,2021-08-06T16:20:57.000Z,"Mood
#huzur
#cuma
#hatay",,,,1,"['huzur', 'cuma', 'hatay']"
𝕾𝖍𝖆𝖇𝖆𝖓 𝕾𝖆𝖋𝖉𝖆𝖗,@ShabanSafdar4,2021-08-12T10:33:37.000Z,"Credits:
Words by: Mawlana Jalal ad-Din Balkhi’s (“Rumi”) Divān-i Shams
Arranged by: 
@samiyusuf
 
From the song: Lovers (Live at the Fes Festival of World Sacred Music)

#samiyusuf #lovers #fesfestivel #love #ilahi #tevekkül #aşk #photooftheday #sevda #life #sen #nature #huzur",,,1,3,"['samiyusuf', 'lovers', 'fesfestivel', 'love', 'ilahi', 'tevekkül', 'aşk', 'photooftheday', 'sevda', 'life', 'sen', 'nature', 'huzur']"
Atifet ÜSTÜN,@Atifetus,2021-08-05T18:58:52.000Z,#çalışmak yine #çalışmak #huzur #MUTLUNUNYANINDAYIM,,,,,"['çalışmak', 'çalışmak', 'huzur', 'MUTLUNUNYANINDAYIM']"
Ayla_3520,@ayla_3520,2021-08-09T14:01:01.000Z,"Yalnızların yarenidir çay.


#huzur",,1,10,66,['huzur']
Kübram,@Kbram36123,2021-08-12T08:56:39.000Z,"Hayatmış meğer kendini yeniden kendine sorgulatan.
@mavi__ayrac
 #maviayraç #okumak #huzur",,,2,51,"['maviayraç', 'okumak', 'huzur']"
mavimelek,@mavimelek37,2021-08-10T16:12:16.000Z,"Geçer bir lâhzada rüya misali insanın ömrü... 
 #doğa #huzur #lahza",,1,9,98,"['doğa', 'huzur', 'lahza']"
RUHSUZ ADAM,@ruhadamtc39,2021-08-13T03:32:22.000Z,"Günaydın mutlu sabahlar 
Hayırlı cumalar 

#kirklareli 
#kamp
#doga
#huzur
#gunaydin
#hayirlicumalar",,2,4,58,"['kirklareli', 'kamp', 'doga', 'huzur', 'gunaydin', 'hayirlicumalar']"
MiRo,@miray_kcygt,2021-08-05T19:50:20.000Z,"#Huzur saati..
Geceniz güzel olsun güzel insanlar.",,,,4,['Huzur']
Htc,@tuhace,2021-08-05T20:14:21.000Z,"""Yeşile âşığım, Maviye hayran;
Şimdi biri kül, diğeri duman!..""
#Huzur’la",,,2,33,['Huzur']
Merve Şenol,@mrvsenol,2021-08-12T05:27:22.000Z,"Allah hiçkimseyi kendi vatandaşının huzurundansa Avrupalının huzurunu düşünen yöneticilerin eline düşürmesin Yarabbim, amin  #huzur",,1,,28,['huzur']
Pozitif Psikoloji,@pozitifpsk,2021-08-12T16:33:22.000Z,"Yaşadığın yeri cennet yapamadığın sürece, kaçtığın her yer cehennemdir. #pozitifpsikoloji #huzur #mutluluk",,,19,64,"['pozitifpsikoloji', 'huzur', 'mutluluk']"
Hasret Yaşar,@HasretYasar14,2021-08-12T21:24:23.000Z,#huzur,,,,7,['huzur']
Dilruba Kelekçioğlu,@dilrubakelek,2021-08-05T19:27:39.000Z,"Ay ışığı, gecenin sessizliğini tatlılıkla bölen börtü böcek sesleri.. 
#Huzur 
#kitapseverlertakiplesiyor
#benimokumam 
#hêvy 
#iyigeceler ",Mavi Ayraç and 2 others,,3,36,"['Huzur', 'kitapseverlertakiplesiyor', 'benimokumam', 'hêvy', 'iyigeceler']"
Melonsapka,@Melonsapka5,2021-08-12T12:09:35.000Z,"İnsanlar sevilmek için yaratıldılar, eşyalar ise kullanılmak için. Dünyadaki kaosun nedeni; eşyaların sevilmeleri ve insanların kullanılmalarıdır. #huzur",,,,3,['huzur']
Mahur,@bikaradenizzli,2021-08-11T18:41:28.000Z,"Sessizliği dinle,söyleyecek çok şeyi var.

#huzur",,,2,55,['huzur']
Eisberg,@eisberg5858,2021-08-13T05:51:54.000Z,"Umut yarınlar içindir,
Umutlu güzel yarınlara..

                   #Günaydın
                  #UMUT
                 #Huzur ",,3,,19,"['Günaydın', 'UMUT', 'Huzur']"
cırcırböceği,@rbocegi_rc,2021-08-07T18:54:23.000Z,"Tam da herkesten uzakta ihtiyacım olan ortam....
#huzur",,1,1,9,['huzur']
Leman Arkun,@lemanarkun,2021-08-11T12:22:36.000Z,#İzmirBomba #kahve ve #huzur,,,,6,"['İzmirBomba', 'kahve', 'huzur']"
Bekir AKSUN,@aksunbekir,2021-08-12T21:02:34.000Z,"Cumamız Mübarek Olsun
#erzincan #sağlık #bereket #huzur",,,1,35,"['erzincan', 'sağlık', 'bereket', 'huzur']"
Şile Belediyesi,@silebld,2021-08-12T05:41:44.000Z,"#Günaydın 

Bu sabah pencereden evinize doğan güneş ile birlikte mutluluk huzur ve sağlık sizlerle olsun.

#4MevsimŞile
#İstikametŞile
#Perşembe
#Huzur",,,3,21,"['Günaydın', '4MevsimŞile', 'İstikametŞile', 'Perşembe', 'Huzur']"
Sinan,@Siinan26,2021-08-09T11:26:49.000Z,"Manzaramın güzelliği, 
onu daha da güzelleştiren 
@Blackladynl
 yanımda #huzur",,3,1,9,['huzur']
𝒴𝓊𝒹𝓊𝓂 𝓞𝓫𝓪𝔂,@ObayYudum,2021-08-09T06:30:43.000Z,#huzur,,,,3,['huzur']
Av. Serkan Baba,@avserkanbaba,2021-08-07T22:06:57.000Z,#huzur,,,,1,['huzur']
﮼سلما,@SelmaMzi,2021-08-10T16:40:48.000Z,#huzur,,1,,10,['huzur']
CANAN DOĞAN,@CANANDO18401759,2021-08-05T07:34:13.000Z,#Huzur,,,,,['Huzur']
CANAN DOĞAN,@CANANDO18401759,2021-08-13T06:38:31.000Z,#Huzur,,,,,['Huzur']
nature,@Trnaturel,2021-08-12T18:54:48.000Z,#sapanca #nature #huzur,,,5,5,"['sapanca', 'nature', 'huzur']"
Ben_akıllanmam,@BLlanmam,2021-08-07T22:24:40.000Z,Dağın başında ev alırsam gelen misafilerim #kedi #köpek  #kaplumbağa ve #yabanidomuzlar  #huzur,,,,3,"['kedi', 'köpek', 'kaplumbağa', 'yabanidomuzlar', 'huzur']"
Kitap okumayı seven Matematikçi,@mltylmathematic,2021-08-12T13:36:37.000Z,"Hayat zorken daha zor hale getirmenin hiç anlamı yok!

#kahve #huzur #yalnizlik",,6,1,32,"['kahve', 'huzur', 'yalnizlik']"
hidayet tutar Çılgın fekeli 16 yaşındayım daha ben,@WHidayettutar,2021-08-13T12:47:52.000Z,'Yabancı'saçmanın karşısındaki insanın çıplaklıgını gösterir  #photooftheday #photographer #carpediem #fekegedikliköyü #hidayettutar #huzur #great,,,,,"['photooftheday', 'photographer', 'carpediem', 'fekegedikliköyü', 'hidayettutar', 'huzur', 'great']"
T. YILDIZLI,@t_yildizli32,2021-08-11T01:18:41.000Z,Esselatu Hayrun Minen Nevm.. #SabahNamazı #Huzur,,,,34,"['SabahNamazı', 'Huzur']"
tayfun_sengun,@tyfnsgn,2021-08-08T10:40:22.000Z,#huzur #doğa,,,,3,"['huzur', 'doğa']"
F.Olmez,@FOlmez41,2021-08-06T11:40:28.000Z,#bikahve #huzur,,,,1,"['bikahve', 'huzur']"
mesut zeyrek,@mesutzeyrek11,2021-08-08T12:26:57.000Z,#huzur #doga,,,,,"['huzur', 'doga']"
~fyz.k.kçk,@feyzakk1453,2021-08-05T16:39:33.000Z,"7'den 77'ye mahalle sakinlerini okutmak kesmeyince, yemek işine el attım. Netice akşam oldu hâlâ mekândayım Yeşiller de alıştı sanırım bana, penceremden yârenlik ediyorlar
*Bitmeyen mesâi*

#eskiAntakya 
#kimseanlamaz #huzur",,,,11,"['eskiAntakya', 'kimseanlamaz', 'huzur']"
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-05T07:29:49.000Z,"Öfke ve hırsına kul olanın, vicdanı sıkıntıdadır...
#günaydın
#huzur 
#sağlık 
#mutlugün
#Atatürkçüler
#ülkücüler
#Kutluyol
#AkpDefol ",,1,,7,"['günaydın', 'huzur', 'sağlık', 'mutlugün', 'Atatürkçüler', 'ülkücüler', 'Kutluyol', 'AkpDefol']"
Ayşe Öğretmen,@Ayse_goz99,2021-08-08T21:07:06.000Z,"Muhteşem doğa manzarası...
Teşekkürler #konya 
@KaratayBelediye
 @hkilca
 #karatayşehirparkı #huzur",,,,8,"['konya', 'karatayşehirparkı', 'huzur']"
Yonca,@GulsevenYonca,2021-08-12T13:17:33.000Z,Hayat bir kahve fincan gibidir bazen acı bazen tatlı olur. #Kahve #coffeetime #coffee #huzur #perşembe #mutluluk,,,,6,"['Kahve', 'coffeetime', 'coffee', 'huzur', 'perşembe', 'mutluluk']"
Serap Yüreğimsin BOZKURT,@SBozkurt1969,2021-08-07T08:10:42.000Z,"Dilediğin hayatı tekrar oluşturabilirsin. GÜÇ SENDE!
GÜÇ BİZDE!
Hoş bir sada diliyor, her şey gönlünüzce olsun.
#günaydınlar
#huzur 
#mutluluk 
#sevda
#muhabbet ",,3,1,17,"['günaydınlar', 'huzur', 'mutluluk', 'sevda', 'muhabbet']"
Süleyman Çınaroğlu,@cinarogluuu,2021-08-06T19:44:10.000Z,"""İnsanlara kendimi anlatmayı,
İşlerine geleni duyduklarını fark ettiğimde, bıraktım..""

(Mark Twain)

#afyonkarahisar #afyon #yaylabağı #gazlıgöl #ihsaniye #özlüsözler #sözler #tbt #TBT #tb #funny #fun #huzur #instagram",,,2,6,"['afyonkarahisar', 'afyon', 'yaylabağı', 'gazlıgöl', 'ihsaniye', 'özlüsözler', 'sözler', 'tbt', 'TBT', 'tb', 'funny', 'fun', 'huzur', 'instagram']"
Serpil Cakmak,@CakmakCakmak16,2021-08-12T07:13:15.000Z,Nasıl birgün olacağını kestiremediğimiz bir sabaha daha uyandık #huzur,,,,2,['huzur']
mavi_kelebeğim,@Sumeye_dogan,2021-08-11T15:25:00.000Z,"Sonunda Allah'ım Kendi dünyama giriş yapmış bulunmaktayım 
#huzur",,1,,4,['huzur']
ZEYNEP,@ZeynepNursena1,2021-08-10T17:30:35.000Z,"Yaz, kış balkonda oturma hissi #huzur",,,,8,['huzur']
Elysium Grup,@ElysiumGrup,2021-08-05T14:56:11.000Z,"Elazığ'ın Merkezinde Muhteşem Bir Yaşam Alanı Sizleri Bekliyor. 

Detaylı bilgi için: 04242752323

#elysiumgrup #elysiumparkavm #elysiumlife #elysiumcadde #elazig #elazığ #huzur #ev #yaşamalanı","0:07
100 views",,2,15,"['elysiumgrup', 'elysiumparkavm', 'elysiumlife', 'elysiumcadde', 'elazig', 'elazığ', 'huzur', 'ev', 'yaşamalanı']"
