username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Zhou is Developing,@ZhouAdventure,2021-07-07T19:15:39.000Z,"Ramune x Imperial(? 

Instagram: zhouisdrawing 

#imperial #pixelart",,,6,56,"['imperial', 'pixelart']"
Markus Weggässer,@markus_tsc,2021-05-27T13:18:50.000Z,Happy #Imperial-Day!,,2,4,33,['Imperial']
Holochronicles Podcast,@holochronicles,2021-08-13T06:29:07.000Z,"Picked up this beautiful box this week. Despite some water damage, this thing has great color and displays well. #destroyer #playset #esb #imperial",,,2,14,"['destroyer', 'playset', 'esb', 'imperial']"
IA190,@Imperial190,2021-06-18T09:06:57.000Z,"Imperial Walker Pilot

For a friend on DA

#scifi #art #pilot #imperial #retrofuturism",,,6,10,"['scifi', 'art', 'pilot', 'imperial', 'retrofuturism']"
Imperial,@Imperial_Logist,2021-08-13T08:11:44.000Z,"Congratulations to our Vice President of Marketing, Sponsorship & Brand, Niki Cronje, for being recognised by the ‘She Inspires Me’ global organisation for the impactful work carried out in our communities.

#Imperial #BeyondPossibility",,3,1,8,"['Imperial', 'BeyondPossibility']"
.ʟᵢₛₐʍₐᵣᵢₐ.,@h0usemarcellus,2021-03-27T00:57:11.000Z,"𝓗𝓸𝓶𝓮
⁽ᵃʳᵗ ᵇʸ ᵐᵉ⁾

#theelderscrolls #skyrim #skyrimfanart #imperial #oc #housemarcellus #arianamarcellus #digitalart #autodesksketchbook",,,3,15,"['theelderscrolls', 'skyrim', 'skyrimfanart', 'imperial', 'oc', 'housemarcellus', 'arianamarcellus', 'digitalart', 'autodesksketchbook']"
Kinera Official,@kinera13,2021-08-13T13:40:54.000Z,"Flagship returns and will joining Kinera Imperial Series 

Kinera thrive for perfection, but we forget that it is the imperfection that makes perfection.

Official Debut on August 16, 2021 

#kinera #imperial #baldr",,,1,7,"['kinera', 'imperial', 'baldr']"
Nature & Animals,@naturezem,2021-05-28T09:50:06.000Z,"#Imperial Eagle (Aquila heliaca) - Very large; dark-brown body contrasts with pale head and nape. Bikaner, Rajasthan, India Canon EOS 7D Mark II / EF400mm f/5.6L USM [1638x2048] [OC]

https://bit.ly/31Sc3Wq",,,2,5,['Imperial']
Robbie,@pepekorff,2021-08-06T12:05:54.000Z,Topps: #215 The Nearly Completed Death Star #starwars #vintage #vintagestarwars #returnofthejedi #topps #tradingcards #imperial #deathstar,,,1,4,"['215', 'starwars', 'vintage', 'vintagestarwars', 'returnofthejedi', 'topps', 'tradingcards', 'imperial', 'deathstar']"
Jon Hawke*,@HawkeJon,2021-05-10T20:13:39.000Z,"#Trajan made two new provinces, Mesopotamia and Assyria, and he was granted the #honour of a #triumph over as many peoples as he pleased, on account of the large number of peoples which he named in his frequent letters to the #Senate. 
#Roman #Imperial #History",,1,22,111,"['Trajan', 'honour', 'triumph', 'Senate', 'Roman', 'Imperial', 'History']"
Bill Holdsworth,@Mercomatic,2021-08-01T16:12:19.000Z,"1961 #Imperial #Crown #Convertible; 413 cid, 4 bbl, 350 hp; Last of Imperial's finned head turners. While many think 1959 #Cadillac had the tallest fins, these lesser known beauties actually hold the record. They were also 1961's longest cars. Note free-standing headlights.",,5,40,184,"['Imperial', 'Crown', 'Convertible', 'Cadillac']"
The Imperial Communique,@TheImperialcomm,2021-07-04T13:40:34.000Z,"#StarWars #Stormtrooper #Kenner #Hasbro #88theternalbattalion #ActionFigures #BackTVC #TVC #vintagecollection #Mimban #TheMandalorian #Remnant #RogueOne #Shadow #toyphotography #Empire #Imperial 

An amazing sculpt. Well done 
@Hasbro
!",,,6,36,"['StarWars', 'Stormtrooper', 'Kenner', 'Hasbro', '88theternalbattalion', 'ActionFigures', 'BackTVC', 'TVC', 'vintagecollection', 'Mimban', 'TheMandalorian', 'Remnant', 'RogueOne', 'Shadow', 'toyphotography', 'Empire', 'Imperial']"
scadarts,@scadarts_,2021-06-18T22:07:34.000Z,"Star Wars Landscapes: Star Destroyer

#starwars #stardestroyer #tiefighter #imperial #empire #darthvader #theemperor #palpatine #landscapes #art #painting 
@starwars",,,7,45,"['starwars', 'stardestroyer', 'tiefighter', 'imperial', 'empire', 'darthvader', 'theemperor', 'palpatine', 'landscapes', 'art', 'painting']"
Dirt and Rust,@DirtandRust222,2021-08-04T01:19:59.000Z,"Vintage Imperial Prov USA Pocket Knife Equal-end Jack https://youtu.be/l0wBHM2HJGE via 
@YouTube
 #pocketknife #imperial #equalend #oldknife #dirtandrust","Vintage Imperial Prov USA Pocket Knife Equal-end Jack
Vintage Imperial Prov USA Pocket Knife Equal-end JackFo Mother of Pearl Shell ScalesClip Point with Long Nail Nickand Pen Blade with Pat NumberAge: 1956-88Le...
youtube.com",,16,10,"['pocketknife', 'imperial', 'equalend', 'oldknife', 'dirtandrust']"
scadarts,@scadarts_,2021-06-17T22:59:14.000Z,"AT-AT

I’m having a lot of fun with these landscapes 

Let me know what you think 

#starwars #atat #empire #imperial #theemperor #palpatine #darthvader #rome #italy #ancient #hoth #empirestrikesback 
@starwars",,,4,13,"['starwars', 'atat', 'empire', 'imperial', 'theemperor', 'palpatine', 'darthvader', 'rome', 'italy', 'ancient', 'hoth', 'empirestrikesback']"
DavidAP,@ApArenasp,2021-06-14T15:30:42.000Z,"Behold! 
@CMValrak
 itself on his full 3d glory! 

It will be a model to be printed, so Valrak can have a 30-50cm Primaris on his desk :) 

Turntable on its way (360º video). 

#Zbrush #Sculpture #Warhammer #40k #Primaris #Imperial #Fists #Collectibles",,7,18,157,"['Zbrush', 'Sculpture', 'Warhammer', '40k', 'Primaris', 'Imperial', 'Fists', 'Collectibles']"
Imperial Scottish Garrison,@501st_ISS,2021-06-29T19:16:42.000Z,"TROOPER TUESDAY
 CLEARED FOR DUTY

We have another pilot to add to our ranks! Congratulations TI-17075, just watch out for those pesky X-Wing pilots! 

#501stlegion #501st #badguysdoinggood #tiepilot #tie #pilot #tiefighter #starwars #star #wars #imperial #empire",501st Legion and Jolly Roger Squadron,,2,13,"['501stlegion', '501st', 'badguysdoinggood', 'tiepilot', 'tie', 'pilot', 'tiefighter', 'starwars', 'star', 'wars', 'imperial', 'empire']"
Imperial Scottish Garrison,@501st_ISS,2021-07-08T10:52:47.000Z,"Our Throwback Thursday is way back to 2017 when our Vader met The Vader at 
@Capitalscificon
#501stlegion #501st #starwars #star #wars #comiccon #capitalscifi #badguysdoinggood #badgirlsdoinggreat #darthvader #vader #stormtrooper #imperial #officer #spencerwilding",Imperial Scottish Garrison and 3 others,,1,17,"['501stlegion', '501st', 'starwars', 'star', 'wars', 'comiccon', 'capitalscifi', 'badguysdoinggood', 'badgirlsdoinggreat', 'darthvader', 'vader', 'stormtrooper', 'imperial', 'officer', 'spencerwilding']"
AJ,@Dregz_Cat,2021-06-02T01:13:16.000Z,"Has anyone received their 
@GameStop
 exclusive Imperial Rocket Trooper? Been delayed multiple times ... ? #starwars #blackseries #rockettrooper #imperial",,8,2,21,"['starwars', 'blackseries', 'rockettrooper', 'imperial']"
