username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
benzinlitre,@benzinlitre,2021-08-10T14:21:48.000Z,"Motorin İndirimi Pompaya Yansımadı 

Yarından itibaren geçerli olmak üzere motorinde 22 kuruş #indirim gerçekleşmiş olup, ÖTV'den karşılandığından pompa fiyatlarına yansımayacaktır. ",GIF,,,6,['indirim']
Nida Yayıncılık,@nidayayincilik,2021-08-12T09:42:05.000Z,"Seçili Kitaplarımızda %50 İndirim Devam Ediyor.

#indirim #büyükindirim #kitapindirimi #okuyanfertokuyanümmet",,1,,9,"['indirim', 'büyükindirim', 'kitapindirimi', 'okuyanfertokuyanümmet']"
yusufbscii,@yusufbasciii,2021-08-12T09:29:12.000Z,"ÇEKİLİŞİMİZ VAR 
 2 Kişiye Ombre hediye ediyoruz.
Gönderin altına 3 arkadaşınızı etiketleyin!
 Etiketleyen arkadaşınızın sayfamızı takip etmesi daha çok kazanma şansınızı arttırmaktadır.

Çekilişimiz  1 hafta sonra story olarak açıklanacaktır  #cekilis #hediye #indirim",,1,2,1,"['cekilis', 'hediye', 'indirim']"
M1 Konya,@m1konya,2021-08-11T09:07:00.000Z,"Bu yaz da şıklığın ve rahatlığın adresi #M1KonyaAVM #Tudors mağazası!
#avm #alışveriş #yazalışverişi #indirim #kampanya #konya",,,,,"['M1KonyaAVM', 'Tudors', 'avm', 'alışveriş', 'yazalışverişi', 'indirim', 'kampanya', 'konya']"
Başdaş Market,@basdasmarket,2021-08-13T14:41:58.000Z,"Başdaş Market'ten Kazandıran Saatler!

İçecek kategorisinde 3 al 2 öde!

* 12-13 Ağustos 18.00-08.00 saatleri arasında geçerlidir.

#egeninensevilenmarketi #basdas #indirim #indirimliürünler #market #izmirinmarketi",,,1,,"['egeninensevilenmarketi', 'basdas', 'indirim', 'indirimliürünler', 'market', 'izmirinmarketi']"
Antares AVM,@AntaresAVM,2021-08-10T12:07:38.000Z,"Antares Eve kozmetik mağazasında %60’a varan yaz indirimleri devam ediyor!
#antares #antaresavm #evekozmetik #evekozmetikindirim #indirim #fırsat 
@eveshoptr",,,,1,"['antares', 'antaresavm', 'evekozmetik', 'evekozmetikindirim', 'indirim', 'fırsat']"
Kitapyurdu.com,@kitapyurducom,2021-08-09T07:05:02.000Z,"Kitapyurdu'nda haftanın yayınevi Sincap Kitap, tüm hafta boyunca %40 indirim fırsatı ile Kitapkurtlarını bekliyor
https://bit.ly/3fA2mDn
#KitapYurdu #Kitap #KitapKurtları #indirim #Kampanya #Fırsat #SincapKitap",,,1,11,"['KitapYurdu', 'Kitap', 'KitapKurtları', 'indirim', 'Kampanya', 'Fırsat', 'SincapKitap']"
Başdaş Market,@basdasmarket,2021-08-10T14:01:44.000Z,"Başdaş Online'a Özel 31 Ağustos 2021 tarihine kadar,

₺100 üzeri ilk siparişte 
Anında ₺25 İndirim!

#egeninensevilenmarketi #başdaş #indirim #indirimliürünler #entazesikapında #perakende #market #perakendesatış #izmirinmarketi #başdaşmarket #izmir #aydın",,,,2,"['egeninensevilenmarketi', 'başdaş', 'indirim', 'indirimliürünler', 'entazesikapında', 'perakende', 'market', 'perakendesatış', 'izmirinmarketi', 'başdaşmarket', 'izmir', 'aydın']"
Starcity Outlet,@starcityoutlet,2021-08-12T09:06:00.000Z,"Rahatlık ve stilin bir araya geldiği parçalar Starcity Outlet B&G Store’da!
#StarcityOutlet #indirim #Outlet",,,,1,"['StarcityOutlet', 'indirim', 'Outlet']"
Filotim,@Filotim_TTS,2021-08-10T10:00:18.000Z,"Türkiye’nin her noktasından indirimli akaryakıt alma imkanı Filotim’de!

#giderleriniziyönetin #ortakhareket #filotim #ttsbasvuru #shell #tasittanimasistemi #tts #indirim #avantaj #uygunakaryakıt #indirimlialışveriş #kolaytakip",,,2,2,"['giderleriniziyönetin', 'ortakhareket', 'filotim', 'ttsbasvuru', 'shell', 'tasittanimasistemi', 'tts', 'indirim', 'avantaj', 'uygunakaryakıt', 'indirimlialışveriş', 'kolaytakip']"
Coder,@CoderAktas,2021-08-08T16:49:16.000Z,"Ürün piyasada 120-160 TL arası. Satıcı
#hepsiburada 400 TL fiyat biçip %65  #indirim yapmış. Ne zaman dürüst ticaret yapacaksınız...",,1,,2,"['hepsiburada', 'indirim']"
