username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
shiwangiinsan,@shiwangi_insan,2021-08-10T06:24:07.000Z,"Guru 
@Gurmeetramrahim
 ji.
Today's my Father's Birthday..

#DeviDayal #Insan 

Plz Bless Him For Sewa Simran Parmrath.. & evrythng.

Rehmet krioo ji. Hmesha dere se judee Rhe. Apke Prem mei lge rhe ji ",BHAI MANISH INSAN PARJAPATI G and 9 others,9,18,20,"['DeviDayal', 'Insan']"
فیاض احمد ناز,@fiazahmad85,2021-08-11T19:32:18.000Z,"#insan<br />#izzat<br />#webtalk 
Posted via Webtalk","Fiaz Ahmad | #insan #izzat #webtalk....
#insan #izzat #webtalk
webtalk.co",,,,"['insan', 'izzat', 'webtalk']"
Rajia Begum,@RajiaBegum17,2021-08-08T13:45:43.000Z,"Insan Iblees Se BADTAR Kab Hota Hai? | Younus AlGohar

Watch ALRA TV on YOUTUBE, and turn on CC for English Subtitles!

Full Video Link: https://youtu.be/L42wQVWHEHs

For Zikar-e-Qalb (Activation of the Spiritual Heart) contact Shaykh Amjad Gohar on this number +44740185556
#insan",,,,,['insan']
AKRA Media,@AKRA_media,2021-08-12T10:39:23.000Z,"Dünya hayatı bir oyun ve oyalanmadan başka bir şey değildir.
6/32

#ayet #kuranıkerim #kuran #enamsuresi #dünya #hayat #insan #inanç #islam #perşembe",,1,110,258,"['ayet', 'kuranıkerim', 'kuran', 'enamsuresi', 'dünya', 'hayat', 'insan', 'inanç', 'islam', 'perşembe']"
Porğa’LI,@saban_1977,2021-08-09T19:28:55.000Z,"Karanlığın ardından mı yürürsün önünde mi bilemezsin ışığın kesilirse!
#insan",,,22,166,['insan']
Abdulkadir AÇAR,@abdulkadiracar,2021-08-10T09:13:53.000Z,"Eğitimdeki Ana Gayemiz;
İyi insan ve iyi vatandaş yetiştirmek olmalı.
Zira buna çok muhtacız…
#egitim #insan",,2,4,73,"['egitim', 'insan']"
Genç Çağlayan,@GencCaglayann,2021-08-13T07:59:06.000Z,"“Nefsini ıslah etmeyen, başkasını ıslah edemez.” 
-Bediüzzaman Said Nursi 
#irade #insan #adalet #dünya #ahiret #bediüzzaman #nefis #GençÇağlayan",,,6,11,"['irade', 'insan', 'adalet', 'dünya', 'ahiret', 'bediüzzaman', 'nefis', 'GençÇağlayan']"
MyWay,@Ni2meGel,2021-08-13T13:33:53.000Z,"Araştırmalara göre 6 dakika su altında kalabalir, 20 dakika nefesinizi tutabilir, sıfırın altında 103 derecelik bir soğuğa karşı koyabiliriz...#insan",,,2,4,['insan']
Aynur.K.Tabak,@ay_nurtabak,2021-08-07T05:23:40.000Z,Ağaçlarla insanların 9 ortak özelliği..#insan #Ağaç #Cumartesi,,,1,21,"['insan', 'Ağaç', 'Cumartesi']"
Yansımalar28,@yansimalar28,2021-08-08T22:15:08.000Z,"Büyük insanların idealleri, sıradan insanların hevesleri vardır.
#TurgutHacınoğmanoğlu 
#Yansımalar 94 #insan #ideal",Turgut HACINOĞMANOĞLU  and 2 others,,1,5,"['TurgutHacınoğmanoğlu', 'Yansımalar', 'insan', 'ideal']"
Porğa’LI,@saban_1977,2021-08-10T13:44:48.000Z,"Halkı sürgün edilemeyen lider sürgün edilmedikçe zalim durmaz!

Kimseye bir şey demek haddimize değil ama durum da ortada!
 Allah kimseyi düşürmesin yerinden yurdundan 
 #insan",,,23,116,['insan']
Mustafa Kubacik,@MustafaKubacik2,2021-08-11T19:44:46.000Z,"Her gün her gece binlerce ölüm yaşıyorum, birinizin bile şu kadarcık umrunda değilim
#insan",,,,5,['insan']
Selocann,@selmaadrgn,2021-08-09T12:10:26.000Z,"""İnsan, sustuğu şeyler kadardır ve insan insanı,anlatamadığı yerden anlayabiliyorsa yakındır...""
#insan",,,,1,['insan']
Asli S.,@s_aslisen,2021-08-12T08:34:43.000Z,"eşyanın, ürünün, hizmetin sınıfı olur, #insan ın olmaz.
#Persembe",,,,2,"['insan', 'Persembe']"
İmge Genç,@ImgeGenc,2021-08-12T13:40:31.000Z,"Bugünü analiz edebilmek için düne bakmak ve araştırmak lazım. 
#tıp #dünya #insan",,,,1,"['tıp', 'dünya', 'insan']"
Yesder Gsk,@yesdergsk,2021-08-12T11:58:09.000Z,"Dünya hayatı bir oyun ve oyalanmadan başka bir şey değildir.
6/32

#ayet #kuranıkerim #kuran #enamsuresi #dünya #hayat #insan #inanç #islam #perşembe",,,1,4,"['ayet', 'kuranıkerim', 'kuran', 'enamsuresi', 'dünya', 'hayat', 'insan', 'inanç', 'islam', 'perşembe']"
Reyhan İldaş,@reyhanildas,2021-08-05T14:38:28.000Z,"Negatif insanlara maruz kalmak radyasyona maruz kalmak gibidir. Kısa süreli düşük dozlara dayanabilirsiniz. Ancak sürekli maruz kalmak sizi öldürür. 

T.S.Eliot 

#reyhanildas #egitmen #yasam #affetmek #yuklerdenarinmak #kabul #gecmis #kabuletmek #toplum #negative #insan",,,1,4,"['reyhanildas', 'egitmen', 'yasam', 'affetmek', 'yuklerdenarinmak', 'kabul', 'gecmis', 'kabuletmek', 'toplum', 'negative', 'insan']"
bkenankocaturk,@bkenankocaturk,2021-08-11T21:17:10.000Z,"Bu kibrin nereye kadar ey insan!..

#kibirkötübirşeydir
#insan",,,,1,"['kibirkötübirşeydir', 'insan']"
Adem Baranlı,@adembaranli,2021-08-12T11:53:58.000Z,"Dünya hayatı bir oyun ve oyalanmadan başka bir şey değildir.
6/32

#ayet #kuranıkerim #kuran #enamsuresi #dünya #hayat #insan #inanç #islam #perşembe",,,,5,"['ayet', 'kuranıkerim', 'kuran', 'enamsuresi', 'dünya', 'hayat', 'insan', 'inanç', 'islam', 'perşembe']"
Göksel GÖKÇE,@GKSLGKCE,2021-08-08T12:05:19.000Z,"Yanmayan #ağaç yetiştiremeyeceğimize göre, yakmayan #insan yetiştirmeliyiz. #egitim",,,2,20,"['ağaç', 'insan', 'egitim']"
MAYA Fikir Kulübü,@maya_kurumsal,2021-08-12T09:35:29.000Z,"Tecrübeleriyle ve içlerinde insan sevgisiyle bugüne kadar birebir 400 gönüllümüze dokunan Caner Kotil ve Ümit Talip Kaya'ya sonsuz teşekkür ederiz. 

#ötesinidüşün #fikirkulubü #gelecek #başarı #türkiyegençlikbuluşması #zkuşağı #gönüllü #insan #sevgi #etkinlik",,,,6,"['ötesinidüşün', 'fikirkulubü', 'gelecek', 'başarı', 'türkiyegençlikbuluşması', 'zkuşağı', 'gönüllü', 'insan', 'sevgi', 'etkinlik']"
Yavuz Karaman,@Yavuzkaraman54,2021-08-07T11:14:21.000Z,"Tüm insanlığa sesleniyorum. Sosyal medyada şu ayrımcı, provakatörcü ve kutuplaştırıcı dili bırakıp hiçbir görüş ayırt etmeksizin insana insan olduğu için, saygı çerçevesi içersinde destek ve eleştiri yapılması kimseye bir şey kaybettirmez. Saygılarımı sunuyorum. #insan ve #saygı.",,,,6,"['insan', 'saygı']"
Merve Yazgan,@MRV_yzgn,2021-08-06T09:50:01.000Z,"Ağaçlara, doğaya, hayvanlara, tüm canlılara yüklediğim anlamlardan…
Nazım Hikmet özetlemiş ve en sevdiğim şekliyle şu Kİ!!! #insan",,,,1,['insan']
orhanlale,@Orhanlale,2021-08-05T17:27:45.000Z,"Hayatın peşinden değil ,  
Hayatının peşinden gitmelisin.. 
#insan 
#perşembe",,,1,8,"['insan', 'perşembe']"
Sait Dervişoğlu Official,@SaitDervisoglu,2021-08-08T11:17:27.000Z,"Mavi yeşilini kaybetti, insan insanlığını...

#doğa #yeşil #mavi #insan https://pic.twitter.com/STvfTVvT3f",,,,4,"['doğa', 'yeşil', 'mavi', 'insan']"
Hemşire Bacı,@saglik_neferi,2021-08-05T18:39:26.000Z,"Ne olur bize küsmeyin
#ağaçlar #kuşlar #böcekler #otlar #dikenler #çiçekler
Biz #insan ız. Biz onlardan değiliz. Dünya sizinle güzel. Bu #vahşet için binlerce kez özür diliyoruz sizden. Biz iyi insanlar yeniden kazanacağız sizi. Küsmeyin bize... Küsmeyin.",,,3,17,"['ağaçlar', 'kuşlar', 'böcekler', 'otlar', 'dikenler', 'çiçekler', 'insan', 'vahşet']"
İmge Genç,@ImgeGenc,2021-08-12T13:39:37.000Z,"Bugünü analiz edebilmek için düne bakmak ve araştırmak lazım. 
#tıp #dünya #insan",,,,1,"['tıp', 'dünya', 'insan']"
GülseN,@gulseNcrtk,2021-08-08T16:21:38.000Z,"hiçbir yararı olmayacağını bile bile #insan kalmanın çok önemli olduğunu düşünüyorsan, 
onları yendin demektir !",,,,,['insan']
İmge Genç,@ImgeGenc,2021-08-12T13:36:41.000Z,"Bugünü analiz edebilmek için düne bakmak, araştırmak lazım.
#tıp #dünya #insan",,,,1,"['tıp', 'dünya', 'insan']"
gmz,@gmz06y,2021-08-10T07:14:24.000Z,"Uyurken çok güzel her şey, hiç bir şey hissetmiyorsun. Keşke hiç uyanmasak yada uyandığımızda normal olsa her şey.. 

#günaydın #insan #geçmiyor #günler",,,,3,"['günaydın', 'insan', 'geçmiyor', 'günler']"
Bir Prensesin Anneannesi Zarifşeyler,@duruduru721,2021-08-06T19:11:18.000Z,"İnsana en çok şiir yakışıyor,
Sonra yeryüzüne yağmur,
Gökyüzüne mavi
Ve en çok insana vefa yakışıyor
Yüreğe sevda,
Gözlere haya

Ve en çok yaşamak yakışıyor,
İnsanca, sevdaca, duruca

#AhmetTelli
#Gece #insan #huzurla",,11,10,169,"['AhmetTelli', 'Gece', 'insan', 'huzurla']"
İmge Genç,@ImgeGenc,2021-08-13T00:25:16.000Z,#insan,,,,,['insan']
Yasemin,@thepredator2021,2021-08-12T14:15:49.000Z,"Sokakları seviyorum. Özellikle de huzura bakanları... Manzarası 'insan' olanları...
#streets #sokak #huzur #peace #insan #Human",,,,1,"['streets', 'sokak', 'huzur', 'peace', 'insan', 'Human']"
gmz,@gmz06y,2021-08-12T21:29:56.000Z,"Hayatımın “hiçbir şey yapasım yok” dönemindeyim. 

Söyleyeceklerim bu kadar..!

#GeceyeBirNot  #canım #hiçbir #şey #yapmak #istemiyor #iyigeceler #insan",,,,2,"['GeceyeBirNot', 'canım', 'hiçbir', 'şey', 'yapmak', 'istemiyor', 'iyigeceler', 'insan']"
Ayşe ama Nur olan,@aysenurorhn61,2021-08-06T19:44:33.000Z,"Bazı şeylerin yolu #insan olmaktan geçer. 

#kitaplardayazmaz
#eğitimiyoktur",,,,163,"['insan', 'kitaplardayazmaz', 'eğitimiyoktur']"
