username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Turkey_Pics,@Turkey_Pics,2021-08-06T20:24:18.000Z,Beautiful bird-houses can be spotted on the facade of mosques. This is from the Topkapi Palace #Istanbul,,1,27,149,['Istanbul']
Jonathan Livingston,@J0Livingston,2021-08-07T05:36:44.000Z,"A day with colorful promises for all of you my friends!
Like this residence, somewhere in #Istanbul!
#goodmorning",,4,30,184,"['Istanbul', 'goodmorning']"
Developing Pakistan,@developingpak,2021-08-05T19:08:54.000Z,"The very first #Milgem Corvette of Pakistan Navy, under construction at #Istanbul Shipyard, Turkey.
The project is progressing well.  

© BarbarosToprak2

#Pakistan #Turkey ",,1,77,602,"['Milgem', 'Istanbul', 'Pakistan', 'Turkey']"
Stefanie Glinski,@stephglinski,2021-08-10T20:50:01.000Z,"1/5 Today I met several #Afghans working in #Istanbul,sorting and collecting garbage.They arrived recently,via #Pakistan and #Iran,after dozens of days of walking. In Turkey, they hold no residence permits&live in constant fear for being arrested.They can’t even get a bus pass...",,24,122,256,"['Afghans', 'Istanbul', 'Pakistan', 'Iran']"
Fazal Akhtar Khan Swati,@FazalAkhtarPAK,2021-08-08T09:54:49.000Z,Nice picture of  Istanbul #İstanbul #foryou,,,,4,"['İstanbul', 'foryou']"
Abul Muthannā,@313MSD,2021-08-11T11:15:43.000Z,"I love this Dhikr. Have it on loop at home. 
#ayasofyacamii #Turkey #Istanbul","0:39
113 views",,5,6,"['ayasofyacamii', 'Turkey', 'Istanbul']"
Tushar Sharma,@TuShahRukh,2021-08-08T14:35:54.000Z,"✧ Poster ✧
@ChennaiExp2013
 Showtimes at a theater in #istanbul
1st Bollywood Film to be Shown in cinemas at #TURKEY .
#8YearsOfATGChennaiExpress 
@iamsrk
 @deepikapadukone",,,9,3,"['istanbul', 'TURKEY', '8YearsOfATGChennaiExpress']"
𝓘𝓭𝓻𝓲𝓼 𝓗𝓪𝓻𝓮𝓮𝓶,@MUAHareem,2021-08-11T18:43:01.000Z,"My girl is slaying gorgeously 

#fashion #beauty #instagood #istanbul #model",,,1,6,"['fashion', 'beauty', 'instagood', 'istanbul', 'model']"
evrendebirtoz,@ecrinhh,2021-08-10T18:49:51.000Z,"a city is not gauged by its length and width , but by the broadness of ıts vision and the height of its dreams .  #İstanbul",,1,,1,['İstanbul']
Semra Yılmaz Polat,@SemraYlmazPola1,2021-08-11T12:48:24.000Z,"good morning city istanbul 
#istanbul #anılar  @ Istanbul, Turkey https://instagram.com/p/CSbfm99IiYy/?utm_medium=twitter…",,,,2,"['istanbul', 'anılar']"
Discover Istanbul,@megapolistanbul,2021-08-08T10:34:26.000Z,"Turkish Breakfast near the Bosphorus!  Who is allowed to join you?  #Istanbul

 
@katibimcaferest
  #Üsküdar",Discover Istanbul and 5 others,,3,13,"['Istanbul', 'Üsküdar']"
The Dubrovnik Times,@DubrovnikTimes,2021-08-11T15:43:02.000Z,"Turkish Airlines doubles weekly flights to #Dubrovnik from #Istanbul
https://buff.ly/3yRW21T",,,,4,"['Dubrovnik', 'Istanbul']"
Pat Yale,@patyale,2021-08-09T14:01:30.000Z,"Really, cats are everywhere in #Istanbul.",,3,3,37,['Istanbul']
