username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
coso,@casocansu,2021-08-10T18:44:15.000Z,"#istemiyorum bu arap kültürünü, yaşamını, dilini. #istemiyorum","Rüknettin Canevimden ☭
@gulagsiz
 · Aug 9
Türkiye'den herhangi bir ülkeye aşı kartı + pcr + 10 karantina ile gidiyorsun 

Afganistan'dan Türkiye'ye sik + taşşak yeterli oluyor",,,2,"['istemiyorum', 'istemiyorum']"
Fırtına Bayram (F.R.Z.M),@efsaneadam1989,2021-08-12T09:31:47.000Z,#ÜLKEMDE #MÜLTECİ #İSTEMİYORUM,,1,1,22,"['ÜLKEMDE', 'MÜLTECİ', 'İSTEMİYORUM']"
@EceAYIRICICAKIR,@EceAYIRICICAKIR,2021-08-12T22:35:10.000Z,#istemiyorum,,,,,['istemiyorum']
Merih Uzun,@MerihUzun21,2021-08-12T07:08:54.000Z,Emirhan gibi pırıl pırıl bir gencimizin ölümü #iktidarın iş bilmez #politikalarının sonucudur. Cennet mekanı olsun. #Ülkemde #mülteci #istemiyorum. #SuriyelilerinVatanıSuriyedir Hükümet istifa!,,,1,2,"['iktidarın', 'politikalarının', 'Ülkemde', 'mülteci', 'istemiyorum', 'SuriyelilerinVatanıSuriyedir']"
Gitarist Burak,@BurakCaygecti22,2021-08-08T19:35:15.000Z,Çünkü senden başka kimseyi istemiyorum. #istemiyorum #sendenbaşka #istemem,,,,1,"['istemiyorum', 'sendenbaşka', 'istemem']"
essénce,@28_essence,2021-08-13T07:18:16.000Z,#saglik #asıyahayır #AsıZorbalığınaDiren #asıolmayacağım #bubenimbedenim #istemiyorum #defolun,,,1,2,"['saglik', 'asıyahayır', 'AsıZorbalığınaDiren', 'asıolmayacağım', 'bubenimbedenim', 'istemiyorum', 'defolun']"
Fazıl Say,@fazilsaymusic,2021-08-09T16:00:10.000Z,"1-
Tek bir sebepten ülkeme getirilen Suriyeli ve Afganlar konusunda sabırlı olmaktan yanayım kendi adımda.
Uzun yıllar yurtdışında çeşitli ülkelerde yaşadım, Türk olduğum için ne biçim önyargı ve engellerle karşılaştığımı biliyorum. Hoş değildi. “Yabancı düşmanlığı”na varmamalı.",,480,398,3.1K,[]
mürü-vt,@gnc06pofi,2021-08-10T08:35:32.000Z,Bunlarin olayi farkli o yuzden #istemiyorum,,,,,['istemiyorum']
Üstünay Kızgın,@ustunay_k,2021-08-09T20:48:29.000Z,#istemiyorum!!!,,,,,['istemiyorum']
Cnsgl,@cnsgllky,2021-08-11T15:39:34.000Z,"Gerçekten kendi ülkemizde huzuru,umudu arar olduk.Geleceğe dair umut yok oldu içimde. Gerçekten tedirginiz ..Mülteci istemiyoruz #afganlariistemiyoruz #mülteciistemiyoruz #SuriyelilerinVatanıSuriyedir #Suriyelileriİstemiyoruz #istemiyorum 
@TC_icisleri",,,,1,"['afganlariistemiyoruz', 'mülteciistemiyoruz', 'SuriyelilerinVatanıSuriyedir', 'Suriyelileriİstemiyoruz', 'istemiyorum']"
Esin,@Esinbt,2021-08-05T21:34:05.000Z,"Allah kahretsin bizi bunlarla yaşamaya mecbur kılanları ! Başka ülkemi kalmadı bize geliyorlar! Ben bu ülkenin vatandaşı olarak istemiyorum ülkemde,  bu gelenleri!!! #İS TE Mİ YO RUM #Afghanistan #tehdit #BIKTIKYALANLARINIZDAN #istemiyorum #HATAYYANIYOR",,,,1,"['İS', 'Afghanistan', 'tehdit', 'BIKTIKYALANLARINIZDAN', 'istemiyorum', 'HATAYYANIYOR']"
Kartal,@Kartal83980707,2021-08-11T19:14:34.000Z,#ülkemde #hiçbirmülteci #İSTEMİYORUM,,,,,"['ülkemde', 'hiçbirmülteci', 'İSTEMİYORUM']"
GÜNEŞ,@ddelimiyiz,2021-08-12T13:26:05.000Z,#Afganlarıİstemiyoruz kendi toprağına sahip çıkmayanları #istemiyorum benim ülkemde benim bayrağıma benim insanıma saygı duymayanı #istemiyorum,,,,6,"['Afganlarıİstemiyoruz', 'istemiyorum', 'istemiyorum']"
Sümeyra YAMAN,@sumeyrayaman,2021-08-09T05:04:57.000Z,"Irkçı bi insan değilim, asla olmadım. Ülkemde benden daha çok hakka sahip olan kimseyi istemiyorum!
bu durum “ırkçılık değildir “
ülkemde huzur istiyorum 
#suriyeli #afgan #mülteci  #istemiyorum
#Muelteciİstemiyoruz
#AfganlarıAlmayın",,,,1,"['suriyeli', 'afgan', 'mülteci', 'istemiyorum', 'Muelteciİstemiyoruz', 'AfganlarıAlmayın']"
AyTeKiN ToPTaŞ,@ToptasAytekin,2021-08-12T02:39:51.000Z,"Din Kardeşi mi….
Anasına,bacısına kendi ülkesinde tecavüz edenlere silah çekemeyen şerefsizler ülkemde vatandaşıma bıçak çekiyor.
Ülkemde #suriyeliler ve #afganlarıistemiyoruz 
#istemiyorum
#istemiyorum ",,3,,14,"['suriyeliler', 'afganlarıistemiyoruz', 'istemiyorum', 'istemiyorum']"
zahit,@zahit_onaran,2021-08-10T05:57:59.000Z,"#ÜLKEMDEMÜLTECİ #İSTEMİYORUM 
#MEMLEKETPARTİSİ
#MUHARREMİNCE",,,,,"['ÜLKEMDEMÜLTECİ', 'İSTEMİYORUM', 'MEMLEKETPARTİSİ', 'MUHARREMİNCE']"
mehmet karadağ,@mehmetk61725665,2021-08-11T17:05:11.000Z,"#VatanEldenGidiyor
Sırf oy toplamak için devşirip Türkiye Cumhuriyeti vatandaşı yaptığınız yer yüzünün cehennem zebanilerinin oy kullanma hakları olmasın....
#suriyeli #istemiyorum #akparti #mhp #mhpgenelmerkez #büyükbirlikpartisi 
@umitozdag
 @dbdevletbahceli
 @meral_aksener",,,1,1,"['VatanEldenGidiyor', 'suriyeli', 'istemiyorum', 'akparti', 'mhp', 'mhpgenelmerkez', 'büyükbirlikpartisi']"
Emel Tsn Brg,@erva_mirac,2021-08-07T20:04:25.000Z,"Asi denilen sıvıya 
Pcr testinize de 
Gelmişinize de
Geçmişinize de
#istemiyorum

#CocukBenimKararBenim",,,,,"['istemiyorum', 'CocukBenimKararBenim']"
mustafa işleker,@calypsois,2021-08-10T09:51:39.000Z,"Replying to 
@ismaildukel","#MEMLEKETİMDE           SURİYE, AFGAN #SIĞINMACILARI #İȘGALCİLERİ #MÜLTECİLERİ #İSTEMİYORUM....     BU #VATAN #HAİNİ #İȘGALCİLERİN #FİNANSÖRÜ #OLMAYACAĞIM...      #nettoo.! #nett.! Mustafa ișleker",,,1,[]
