username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
BAB,@izmaritherif,2013-09-09T13:23:39.000Z,#me #bro#brother #night #laugh #fun #music #cros #izmarit #mirs http://instagram.com/p/eColGhsYVO/,,,,,"['me', 'bro', 'brother', 'night', 'laugh', 'fun', 'music', 'cros', 'izmarit', 'mirs']"
Mehmet Can Cevher,@MehmetCanCevher,2014-12-10T21:18:03.000Z,#aşk #iyiki #varsın #seniseviyorum #izmarit #kızılsakal @ Star Point Atasehir http://instagram.com/p/wcOWQRhn9S/,,,,,"['aşk', 'iyiki', 'varsın', 'seniseviyorum', 'izmarit', 'kızılsakal']"
Gülşan Karademir,@GulsanKarademir,2018-07-24T10:16:56.000Z,"Can you see the bird? #sigara #izmarit #sarıçerçeve #saricerceve #seagull 
@natgeotvturkiye
 #aniyakala #fotografvakti #altinvizor #benimgozumden #world_captures #photoplaytr #phototime… https://instagram.com/p/BlnFj3OBN7-/?utm_source=ig_twitter_share&igshid=11z4o9wk8zfnd…",,,,,"['sigara', 'izmarit', 'sarıçerçeve', 'saricerceve', 'seagull', 'aniyakala', 'fotografvakti', 'altinvizor', 'benimgozumden', 'world_captures', 'photoplaytr', 'phototime']"
RUHSUZ ADAM,@ruhadamtc39,2021-05-20T12:30:25.000Z,"#Ağızdan Ağza #İzmarit Gibi Gezmek OLmaz, 
Tek ßir Ciğere #Gireceksin. 
Seni de Kimse ßenim Gibi İçine Çekemeyecek, #Göreceksin..",,,23,170,"['Ağızdan', 'İzmarit', 'Gireceksin', 'Göreceksin']"
⁦⁩Hüseyin Şimşek⁦ ⁦⁩#evdekal,@Hseyini67648111,2021-02-21T13:33:14.000Z,"#Kandil'de yere #izmarit bile atmıyorlar diyerek, 
Terörist aklama uğraşında olanlara rağmen biz bu terörü bitireceğiz.

#HaCHPhaHDPkk",,1,43,44,"['Kandil', 'izmarit', 'HaCHPhaHDPkk']"
Nilay Örnek,@nilayornek,2020-09-14T08:55:52.000Z,Sadece Instagram hikayede kalmasın diye... #İzmarit ile imtihanımız...,,2,13,104,['İzmarit']
lila çakıl |,@lilacakil,2021-05-01T12:45:58.000Z,"KAHKAWA AMZYOSBWMDHDKWJKWHDKSHWKEK CEMAL KITABA GİRDİBİ DAKKA WNXGKSHWKDGSKUWKSBKD
#izmarit",,,,8,['izmarit']
Erdinç Çelikkan,@erdinccelikkan,2020-07-26T14:03:16.000Z,Bu #izmarit’leri #eymir’e atan varlıklarla maalesef birlikte yaşıyoruz.,,3,1,3,"['izmarit', 'eymir']"
minik kirpi,@minikbirkirpi,2021-05-13T23:13:45.000Z,"“ben seni çok sevdim.”

Başlansın
#izmarit",,5,,36,['izmarit']
Nilay Örnek,@nilayornek,2021-08-08T07:40:56.000Z,"İzmarit başına 1 TL'nin 10'da, hatta 50'de, 100'de birini bile veren bir sistem olsa... Yani izmarit para etse... Bisküvi, cips paketleri karşılığında 0.1 TL mesela verilse. Her gördüğü yeri küllük, her yeri çöp bilme meselesinde çözüm sağlanabileceğini düşünüyorum+ #çöp #izmarit",,28,63,642,"['çöp', 'izmarit']"
Ayancik Orman İsletme Müdürlüğü,@AyancikM,2021-07-18T14:45:26.000Z,"#Ateş #Yakma #Aniz #Yakma #İzmarit #Atma
#Yangini #Önle

#Ayancik #Orman #İşletme #Müdürülüğü 
@OGMgovtr",,,1,19,"['Ateş', 'Yakma', 'Aniz', 'Yakma', 'İzmarit', 'Atma', 'Yangini', 'Önle', 'Ayancik', 'Orman', 'İşletme', 'Müdürülüğü']"
ÇöpüneSahipÇık Vakfı,@copunesahipcik,2015-09-08T09:16:58.000Z,"Böyle bir projeyi Türkiye'de görmek ister miydiniz?
#copunesahipcik #sigara #izmarit #çöp",,1,6,12,"['copunesahipcik', 'sigara', 'izmarit', 'çöp']"
Ayrıntı Yayınları,@ayrintiyayinevi,2016-03-17T16:54:11.000Z,"Farklı ve akıllara kazınan üslubuyla Will Self, Ayrıntı'da! 
#İzmarit #BüyükMaymunlar http://bit.ly/1SnFrtT",,,5,8,"['İzmarit', 'BüyükMaymunlar']"
Zendik,@zendik_,2019-11-25T18:37:44.000Z,Bu fotoğrafı bugün #YYÜ Hastanesi karşısında çektim.Bazıları sigara izmaritlerini en fazla 2 metre ileride bulunan çöp kutusuna atmak yerine yere atmış. Bitki örtümüz #İZMARİT ,,1,,7,"['YYÜ', 'İZMARİT']"
Alper TABAN,@alpertaban16,2019-12-14T17:56:31.000Z,"Çocuklarınızın izmaritler içerisinde oynamasını istemezsiniz değil mi ? Dumanıyla ciğerini, izmariti ile şehrini kirletme ! 
#İnegölSeninŞehrin
#DahaTemizİnegöl 
#izmarit","0:31
1K views",2,15,75,"['İnegölSeninŞehrin', 'DahaTemizİnegöl', 'izmarit']"
Sıla // Gelmedi Leyla.,@Alpereyanik,2021-04-23T10:31:37.000Z,"Dünkü Dc konuşmasından sonra İzmarit'i tekrardan okumaya başladım.. 
8. Bölüm Bir üzülüp bir gülüyorum bu nasıl iş 
#İzmarit
@bahtsizcemalcan",,3,,9,['İzmarit']
hsynbls,@hsynbls,2020-05-25T22:21:05.000Z,"#izmarit meselesi,
Sene 1994 bahar ayları
Büyük kızım henüz dört buçuk yaşında
Sigaramın izmaritini attım
Beşiktaş'ta 28T durağandayız
""Baba İstanbulda kaç tane benim gibi çocuk vardır?"" dedi
Mecra vardır diye: 1milyon vardır dedim
""Onların babaları da sigara içiyor mudur"" dedi",,1,,4,['izmarit']
ÇöpüneSahipÇık Vakfı,@copunesahipcik,2019-08-12T10:11:07.000Z,"Sokaklara, parklara, kumsallara attığımız sigara izmaritleri doğada yok olmuyor ve çevremizi zehirlemeye devam ediyor.
#sigaraizmariti #izmarit #çöpünesahipçık #çöp #çevretemizliği #çöpünüçöpeat",,,9,19,"['sigaraizmariti', 'izmarit', 'çöpünesahipçık', 'çöp', 'çevretemizliği', 'çöpünüçöpeat']"
Cemal,@cemalatifoglu,2021-06-24T07:40:10.000Z,"Türkiye'nin ilk çizgi roman uygulaması artık sizinle beraber! Böyle bir projenin içinde olduğum için çok mutlu, mutlu olduğum kadar da heyecanlıyım. İzmarit'i yine çok anlayacak ve çok seveceksiniz, biliyorum. Yolumuz açık olsun.  #Çizgi #İzmarit #MektubunÖtekiYüzü",,12,12,103,"['Çizgi', 'İzmarit', 'MektubunÖtekiYüzü']"
İBB Çevre Koruma ve Kontrol Daire Başkanlığı,@cevreistanbul,2019-01-15T13:05:36.000Z,"Bir Sigara İzmariti 7 M3 Suyu Kirletiyor

#salı #türkiye #istanbul #sigara #izmarit #kirlilik #büyükşehir #belediye #su #kış #mevsim #deniz #ibb @ibbdeniz",,,7,13,"['salı', 'türkiye', 'istanbul', 'sigara', 'izmarit', 'kirlilik', 'büyükşehir', 'belediye', 'su', 'kış', 'mevsim', 'deniz', 'ibb']"
ecrenn,@_ecrenn,2021-05-15T13:51:07.000Z,"""Ben seni çok sevdim.""
#izmarit",,,1,13,['izmarit']
Çürük,@solukcuruk,2021-05-13T21:51:07.000Z,"Hem yeter artık bitsin şu bölüm ağlamaktan canım çıktı diyorum hem de Kutay 'ın hayalleri o kadar güzel ki bitmesin istiyorum.Hem acı verici hem de hoş. Aynı anda hüngür hüngür ağlayıp, tebessüm etmek mümkün mü?
Mümkünmüş... 
#izmarit",,,,9,['izmarit']
~ Z E L QUEEN #PrayOfTurkey,@nattlys_,2021-04-25T23:05:08.000Z,"""Dinlediğim bir şarkıda 'ay tutulur , güneş tutulur da insan insana tutulur mu hiç?' diyor sevgili solist. Tam 'tabi tutulur,' diyorum... şarkının sonu geliyor. Ve solist, son kez aralıyor dudaklarını: 
ay tutulur , güneş tutulur da insan insana tutulur tabi.."" #İzmarit",,1,,16,['İzmarit']
minik kirpi,@minikbirkirpi,2021-05-15T00:03:29.000Z,"“Bir ilaç veriyorlar bana seni unutmam için; delirmiş olmalılar.”
#izmarit",,3,1,49,['izmarit']
Zehra Öztürk,@Zehrazye,2021-05-25T19:09:17.000Z,"Bir mısra daha söylesek sanki her şey düzelecek
#izmarit",,,,9,['izmarit']
Dolu Nurgül'ü Ters Tuttular,@kumdankaleee,2019-02-13T14:24:22.000Z,"Ama kolay değil yaşamak sensiz bu gurbette 
#izmarit #evimsenoldun",,,,5,"['izmarit', 'evimsenoldun']"
