username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Alev Kir,@alvkir35,2021-08-06T07:06:39.000Z,"Wildfires in Mugla province of Turkey creates foggy clouds and particules in air Unfortunately, we are affected even in Izmir - approx. 200 km away. #Izmir",,8,17,52,['Izmir']
TUBİKS--MKA,@TubaAlpsoy,2021-08-06T06:20:12.000Z,"Yeni bir felaket is loading...
#izmir",,13,11,100,['izmir']
Arturo Botticelli,@kiss4emm,2021-08-09T19:58:03.000Z,"Clock tower, #izmir #Turkey 
©Polat Kalender",,,5,19,"['izmir', 'Turkey']"
Serseri..!,@Doctor80,2021-08-06T08:17:04.000Z,Mars pardon #izmir,,1,2,27,['izmir']
Anas,@an_6f2i,2021-08-07T17:17:43.000Z,Goodbye #izmir,,,,16,['izmir']
Kezia Masudi™,@KeziaTheFirst,2021-08-06T14:26:36.000Z,Olympics in Jamaica #JAKE #Jamaica #quote #Ethiopia #Ethereum #EFFinPhoenix #RubinaDilaik #THFC #izmir #onepiece1021 #Paris2024  #AFLCatsGiants #ShehnaazGill #DeltaVariant #FCBarcelona #Golf,Wiz Khalifa and 4 others,,2,2,"['JAKE', 'Jamaica', 'quote', 'Ethiopia', 'Ethereum', 'EFFinPhoenix', 'RubinaDilaik', 'THFC', 'izmir', 'onepiece1021', 'Paris2024', 'AFLCatsGiants', 'ShehnaazGill', 'DeltaVariant', 'FCBarcelona', 'Golf']"
Esra karakose,@karakosesra,2021-08-06T08:42:36.000Z,smog-choked city  #izmir,,3,,13,['izmir']
chloe.,@delihaziran,2021-08-07T13:07:59.000Z,"Glad to see help has arrived, hopefully they’ll get the situation under control #Izmir #Balıklıova  #Adamasalı",,,22,74,"['Izmir', 'Balıklıova', 'Adamasalı']"
hüseyin,@bigcollicion,2021-08-06T06:28:29.000Z,#izmir #Diyarbakir golden city,,2,1,16,"['izmir', 'Diyarbakir']"
ayşegül,@aysegulkarablt,2021-08-05T17:19:06.000Z,Olleyy #izmir,,,,2,['izmir']
mustafa,@mmimren,2021-08-06T11:10:23.000Z,#YettiSoezHalkın  #izmir Cengiz Holding,"İnci Caps
@incicaps
 · Aug 6
Biz yangınlarla boğuşurken Afgan erkekler oluk oluk sınırlardan akmaya devam ediyor.

Bunlara kim dur diyecek? twitter.com/incisozluk/sta…",1,6,21,"['YettiSoezHalkın', 'izmir']"
theodore,@theodorebleu,2021-08-06T10:16:48.000Z,the sun is amgery  #izmir,,,,19,['izmir']
Tuana,@aksoyytuanaa,2021-08-06T06:40:36.000Z,"wwoaw
#izmir",,,,3,['izmir']
chloe.,@delihaziran,2021-08-07T12:55:51.000Z,"So sad for what’s happening in #izmir right now, hoping everyone and all the #AdaMasalı cast stays safe ",,,5,9,"['izmir', 'AdaMasalı']"
warren sam bw,@warrensam7,2021-08-06T08:36:36.000Z,"Nikk be looking handsome but lonely
#izmir
#millionairemindset
#DANDA #selflove
#NewProfilePic2021",,,,6,"['izmir', 'millionairemindset', 'DANDA', 'selflove', 'NewProfilePic2021']"
OnlyATATURK,@only_Ataturk,2021-08-06T11:07:07.000Z,"Allah is Coming......

Murat Boz
#izmir","OnlyATATURK
@only_Ataturk
 · Aug 4
En geç 2 gün içerisinde,sırasıyla,marmara,ege ve akdenizde yoğun yağış bekliyorum,bu tamamen bir his,ispat olsun diye önceden yazmak istedim.
#termiksantral 
#yagmur 
#yangin",1,,3,['izmir']
...Ece..Angel,@MgeArkan8,2021-08-06T09:10:45.000Z,No army can withstand the strength of an idea whose time has come.” #izmir,,,1,1,['izmir']
