username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Tobsebaini,@Tobbbbes,2021-05-28T04:57:10.000Z,Lets Gooo! #KIZ,,,,5,['KIZ']
V.I.S.H.N.A.L,@VishKitt,2021-03-25T07:18:15.000Z,I adore you~Gift doodle for my favorite person in the world. I made Yuumi a cute yordle for this one bc it's our mains! #LoL #LeagueOfLegends #Yuumi #Veigar #Yordle #LoLOC #LeagueOfLegendsFanArt #YordleYuumi #kiz #catgirl,,,2,7,"['LoL', 'LeagueOfLegends', 'Yuumi', 'Veigar', 'Yordle', 'LoLOC', 'LeagueOfLegendsFanArt', 'YordleYuumi', 'kiz', 'catgirl']"
Grantina,@Felitidae,2021-06-04T22:12:36.000Z,Lyrics by #kiz,,1,,1,['kiz']
Gary from Teen Mom,@gtumilty0301,2021-07-16T03:05:06.000Z,Kevin Kisner wearing a 1776 hat at the British Open BDE #KIZ,,2,,14,['KIZ']
einfach Kev,@Kellerkind__,2021-05-28T12:21:38.000Z,#KIZ #RapUEberHass on fire!,,,,,"['KIZ', 'RapUEberHass']"
Coro,@coro1242,2021-03-11T03:43:45.000Z,This ain’t no hobby #kiz,"Kevin Kisner
@K_Kisner
 · Mar 11
Time to get it @THEPLAYERSChamp",,,,['kiz']
BET THE FARM,@betthefarm_show,2021-02-27T03:38:01.000Z,"After Round 2.
Koepka -11 (1)
Kisner -8 (T8)
Hovland -4 (T17) *BRUTAL 8 on 18*
Hatton -1 (35)
Berger E (43)

Looking forward to a GREAT weekend of golf!

#golf #golfpicks #pgatour #pgapicks #WGCWorkday #concession #brooks #kiz","BET THE FARM
@betthefarm_show
 · Feb 25
5 Outright Bets that we are taking for the #wgcworkday 

Listen to the last half of our latest podcast to hear our reasoning! https://podcasts.apple.com/us/podcast/bet-the-farm/id1539914450#episodeGuid=99b0efd9-caf2-4421-b44e-09a670493b2e…

#betthefarm #golfpicks #freepicks #betthegreens #pgapicks #concession #workday #kisner #koepka #hatton #hovland #berger",1,1,3,"['golf', 'golfpicks', 'pgatour', 'pgapicks', 'WGCWorkday', 'concession', 'brooks', 'kiz']"
Gamer Eddy,@G4merEddy,2021-01-20T09:30:59.000Z,"Gute Song diese: 
#kiz","Heliumballon
Provided to YouTube by Universal Music GroupHeliumballon · K.I.ZUnd das Geheimnis der unbeglichenen Bordellrechnung℗ Distributed by Vertigo/Capitol; ℗ 2020 K...
youtube.com",,,2,['kiz']
★ZSK★,@ZSKberlin,2021-06-05T15:51:46.000Z,"Yeah! 
@K_I_Z_
 live Konzert bei der 
@KopiBleibt
 Demo! #kiz #Koepibleibt",,,8,67,"['kiz', 'Koepibleibt']"
iL_kizomba,@IlKizomba,2021-06-06T12:50:31.000Z,Catching feelings on the dance floor! Lol #Kizomba #kiz #BKO #Bostonkiz #kizombaobsession #dance #salsa #bachata,,,,,"['Kizomba', 'kiz', 'BKO', 'Bostonkiz', 'kizombaobsession', 'dance', 'salsa', 'bachata']"
Cole Wernecke,@ColeWernecke,2021-03-25T00:08:36.000Z,This ain’t a hobby #Kiz,"Kevin Kisner
@K_Kisner
 · Mar 25
1-0 @DellMatchPlay",,,,['Kiz']
Resifreak,@Resi_freak,2021-05-21T13:43:05.000Z,"Ok, der is endlich mal wieder gut^^ #KIZ","Mehr als nur ein Fan
Provided to YouTube by Universal Music GroupMehr als nur ein Fan · K.I.ZMehr als nur ein Fan℗ A Vertigo/Capitol recording; ℗ 2021 K.I.Z, under exclusive lice...
youtube.com",,,,['KIZ']
KizYerevan,@KizYerevan,2021-06-16T09:47:16.000Z,Archie & Sizzle - What You Don't Know (ft Dalia Lily) [Prod. By ItsArchie] https://zpr.io/Rk4SV #Kiz #Lo-fi #Yerevan,,,,,"['Kiz', 'Lo', 'Yerevan']"
Afodewu Isaiah,@iamisafod,2021-05-03T21:55:12.000Z,"I no get  no mean say I be lazy man.

Kindly retweet if you understand the message and pass it on , don't be stingy
.
.
.
.
.
.
#babaijesha #retweet #desmondelliot #Tinubu #sahurkawaii #isafod #NigerianIdol #amenakhe #VoiceNigeria #BinanceSmartChain #BigBrother2021 GTBank #kiz",,,1,2,"['babaijesha', 'retweet', 'desmondelliot', 'Tinubu', 'sahurkawaii', 'isafod', 'NigerianIdol', 'amenakhe', 'VoiceNigeria', 'BinanceSmartChain', 'BigBrother2021', 'kiz']"
Fore The People Podcast,@ForeTPeople,2021-06-04T17:42:04.000Z,"Here ya go Spotify Fam.. #Kiz 

https://open.spotify.com/episode/4VyiA77SRWxr5VQ2NPHoCs?si=2N_BGi0FQY2ZMf7rrtCScg…",,,,1,['Kiz']
KIZ-MET,@kiz__met,2021-05-17T14:56:27.000Z,"moods x moods
#music #vocals #afro #musician #musiclover #musiclife #picoftheday #singer #artist #beats #songwriter #explorepage #queer #original #memes #instadaily #style #love #instagram  #kiz",,,,5,"['music', 'vocals', 'afro', 'musician', 'musiclover', 'musiclife', 'picoftheday', 'singer', 'artist', 'beats', 'songwriter', 'explorepage', 'queer', 'original', 'memes', 'instadaily', 'style', 'love', 'instagram', 'kiz']"
Three Putt Par Podcast,@par_three,2021-07-04T14:16:29.000Z,"Let’s go #Kiz 
@K_Kisner","Golf Crunch
@CrunchGolf
 · Jul 4
Who wins this thing today then? Surely we’re gonna see a lot of nerves at the top… Kokrak winning 3 events in a season seems mind blowing but if he can find half a putting stoke he is seriously golfing his fucking ball rn. But we love Kis. This ain’t no fucking hobby",,,1,['Kiz']
LVCashFlowClub,@LVCFClub,2020-12-10T14:29:45.000Z,"How do we stay optimistic in these most difficult of economic times? I need to bring motivation each & every day. Thursdays OPEN Chat, our first aid is always Business Trouble Shooting #CommunityDevelopment #KIZ #BuildYourBusiness  #SoBeCoWorks #MadeInLehighValley #BethlehemUSA",,,,,"['CommunityDevelopment', 'KIZ', 'BuildYourBusiness', 'SoBeCoWorks', 'MadeInLehighValley', 'BethlehemUSA']"
Brian Kirschner,@BrianKirschner_,2021-06-30T00:00:22.000Z,Tap in Birdie (Rocket Mortgage),"Brian Kirschner
@BrianKirschner_
Tap in Birdie (Rocket Mortgage)
pscp.tv",3,5,20,[]
Grish,@YOUBETGRISH,2021-06-30T15:33:52.000Z,This ain’t no hobby. #kiz,,,,,['kiz']
Monkey-Monkey,@KayRadke,2021-02-26T20:11:03.000Z,"#BrutalstesSextape2021 #kiz #vipinderpsychiatrie #KannibalenInZivil #KlosterschülerImZölibat
back in the STEINZEIT <3 
@K_I_Z_
  @drunken_masters
 @TarekKaizett","K.I.Z - VIP IN DER PSYCHIATRIE (OFFICIAL VIDEO) (prod. by Drunken...
Das Album RAP ÜBER HASS jetzt überall: https://lnk.to/RapUeberHassDas Album, alle Videos, Merch & Tickets unter http://www.k-i-z.comStell Dir Deine Rap über ...
youtube.com",,,1,"['BrutalstesSextape2021', 'kiz', 'vipinderpsychiatrie', 'KannibalenInZivil', 'KlosterschülerImZölibat']"
Zwaerno,@zwaerno,2021-05-01T11:00:47.000Z,"#ichfickeeuchalle von 
@K_I_Z_
 bestes Statement pro #genderequality ever.

Nuff said.
#kiz #rapüberhass",,,,,"['ichfickeeuchalle', 'genderequality', 'kiz', 'rapüberhass']"
Bruges Group,@BrugesGroup,2020-06-07T17:00:48.000Z,"Churchill is, and will forever be, a British hero.",,434,4K,14.9K,[]
Michael Bestenough,@asforthisfellow,2020-10-31T11:37:11.000Z,"Not after learning his other sides in this http://lnkd.in/gxutWff 
@pushkinpods
 by 
@Gladwell
For many like 
@Gladwell
 concluded, “Churchill will never be the same again”
#BengalFamine #LyingData #Lindemann #Kiz #Churchill #Podcast #GladwellianStuff #HideitFromtheIndians #Lockdown2","Revisionist History on Apple Podcasts
Society & Culture · 2021
podcasts.apple.com",,,1,"['BengalFamine', 'LyingData', 'Lindemann', 'Kiz', 'Churchill', 'Podcast', 'GladwellianStuff', 'HideitFromtheIndians', 'Lockdown2']"
kimya,@melek1kim,2021-02-23T12:57:00.000Z,"Fucking mood... 
#İlaydaAlisan 
#kiz 
#Akşin",,,,2,"['İlaydaAlisan', 'kiz', 'Akşin']"
INGO VOGELMANN,@vogelmann,2021-02-13T06:00:18.000Z,"I added ""Intruder - Original Mix"" by #Kiz Pattison to the »LIGHTWORKS Selection« on Spotify: https://j.mp/3qdJQE4

#spotify #playlist #lightworks","LIGHTWORKS Selection
Ingo Vogelmann · Playlist · 55 songs · 19 likes
open.spotify.com",,,,"['Kiz', 'spotify', 'playlist', 'lightworks']"
Kaysha,@kaysha,2021-07-31T08:57:11.000Z,"Musiquarian (feat. Jacob Desvarieux) by Kaysha, Jacob Desvarieux was added to the playlist Kizomba 2021. Curated by Kaysha #kizomba #kiz #lakiz #kizombadance","Kizomba 2020
Go to Kizomba 2020.
kay.lnk.to",,,,"['kizomba', 'kiz', 'lakiz', 'kizombadance']"
"𝐌𝐚⦑S⦒𝐚𝐋ı𝐦, ⦑S⦒ıN",@PeRiSuyumm,2021-01-28T04:28:51.000Z,"__///Ne Demiş #Birhan_EroğLu
Yaşı yok #yeniden başLamanın.
#Vakit ne çok geç 
Ne de #Erken.
Hem hiç #ALemi yok, acıLarı #Şımartmanın.
İçimde #ŞımartıLmayı 
bekLeyen bir #kız çocuğu varken.

#GünAySın_HayaTa_Umuda

#GünAySın_İnSana..",,67,73,284,"['Birhan_EroğLu', 'yeniden', 'Vakit', 'Erken', 'ALemi', 'Şımartmanın', 'ŞımartıLmayı', 'kız', 'GünAySın_HayaTa_Umuda', 'GünAySın_İnSana']"
Handan,@Handan38984795,2021-03-23T14:18:11.000Z,Bir kız evlat doğurduğunda ölürken elini tutacağın kişiyle tanışmış olursun  #kız #anne,,,7,52,"['kız', 'anne']"
Kaysha,@kaysha,2021-07-25T00:42:21.000Z,"Avec toi - Urban Pop Remix by 100% Setho, Kaysha, makita was added to the playlist Kizomba 2021. Curated by Kaysha #kizomba #kiz #lakiz #kizombadance","Kizomba 2020
Go to Kizomba 2020.
kay.lnk.to",,,,"['kizomba', 'kiz', 'lakiz', 'kizombadance']"
Kaysha,@kaysha,2021-07-16T01:17:49.000Z,"All I Have by Kaysha, Lil Maro was added to the playlist Kizomba 2021. Curated by Kaysha #kizomba #kiz #lakiz #kizombadance","Kizomba 2020
Go to Kizomba 2020.
kay.lnk.to",,,,"['kizomba', 'kiz', 'lakiz', 'kizombadance']"
RUHSUZ ADAM,@ruhadamtc39,2021-04-02T13:50:45.000Z,"#Romanda adam 
sevdiği #kadın hakkında 
şöyle bir #cümle kuruyor...
Bu #kız, kendim olmam için
 bende eksik #olan 
  ____________tek #şeydi",,,29,151,"['Romanda', 'kadın', 'cümle', 'kız', 'olan', 'şeydi']"
AseL ϜϓſϞ,@SSlnnbjk,2021-03-08T09:24:58.000Z,"Yüreği Zalim OLana,
#Kız Çocuğu Nasip Étme Ya Rab...
#8martDünyaKadınlarGünü",,1,3,34,"['Kız', '8martDünyaKadınlarGünü']"
Kayıp ve Kan İlan,@KayipveKan_ilan,2021-07-31T20:46:30.000Z,"#Dikkat #Acil #Kayıp #Kız

Lütfen yayalım 
#Yangın #Çay","yısıf
@kaplanmubarek
 · Jul 31
KARDEŞİM EN SON LARA TARAFLARINDA GÖRÜLMÜŞ 2 GÜNDÜR ULAŞAMIYORUZ LÜTFEN YAYALIM TWİTİ #azrakayıp #azragülendam #ölubulmakistemiyorum
Show this thread",,18,21,"['Dikkat', 'Acil', 'Kayıp', 'Kız', 'Yangın', 'Çay']"
Serkan Toprak,@SrknTprk7,2021-08-07T10:36:49.000Z,#Çok #fena #Kız #keserim,,,,3,"['Çok', 'fena', 'Kız', 'keserim']"
Stadt Heidelberg,@heidelberg_de,2021-08-12T15:11:35.000Z,"#KIZ Pfaffengrund öffnet am Samstag, 14. August zum letzten Mal. #Impfzentrum auf #PHV bleibt weiterhin offen. Keine Anmeldung für #Impftermine notwendig. Mehr dazu:","12.08.2021 Kreisimpfzentrum im Pfaffengrund öffnet am Samstag, 14. August, zum letzten Mal
heidelberg.de",,,3,"['KIZ', 'Impfzentrum', 'PHV', 'Impftermine']"
Kaysha,@kaysha,2021-08-10T23:12:15.000Z,I Wanna Be Your Girl by Ana Rita was added to the playlist Kizomba 2021. Curated by Kaysha #kizomba #kiz #lakiz #kizombadance,"Kizomba 2020
Go to Kizomba 2020.
kay.lnk.to",,,1,"['kizomba', 'kiz', 'lakiz', 'kizombadance']"
Hürriyet.com.tr,@Hurriyet,2021-04-26T07:55:00.000Z,"#İstanbul'da #dolunay, #Kız Kulesi, #Süleymaniye Camisi, #Fatih Camisi ve #Galata Kulesi ile güzel görüntüler oluşturdu.  #kızkulesi #galatakulesi #süleymaniyecami #fatihcami #Hürriyet 

Bizi Instagram'da da takip edin  https://instagram.com/hurriyetcomtr/",,,8,62,"['İstanbul', 'dolunay', 'Kız', 'Süleymaniye', 'Fatih', 'Galata', 'kızkulesi', 'galatakulesi', 'süleymaniyecami', 'fatihcami', 'Hürriyet']"
BERLINER KURIER,@BERLINER_KURIER,2020-12-02T12:25:37.000Z,Überraschung! Berliner Rapper von K.I.Z droppen nach fünf Jahren neues Album. #Berghainschlange #KIZ #Berlin,"Berliner Rapper von K.I.Z droppen nach fünf Jahren neues Album
Mit dem Album „Hurra die Welt geht unter“ gelang den Berlinern ein Riesen-Erfolg. Fünf Jahre später legt die Gruppe nun mit „Berghainschlange“ nach.
berliner-kurier.de",1,9,130,"['Berghainschlange', 'KIZ', 'Berlin']"
GamzeMazlum,@MazlumGamz,2021-03-25T09:32:52.000Z,"Yıllar önce aynı okulda okuduğum #kız arkadaşlarımın bana ulaşması ne kadar güzel bir duygu
#Unutulmamışım 

#Perşembe",,1,4,25,"['kız', 'Unutulmamışım', 'Perşembe']"
