username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Tagify.io,@tagifyio,2018-08-22T02:29:03.000Z,Related Instagram tags for #Yurt: #kızyurdu #kızyurtları #adü #aydındakızyurtları #lilakızyurdu #adnanmenderesuniversitesi #adnanm,,,,,"['Yurt', 'kızyurdu', 'kızyurtları', 'adü', 'aydındakızyurtları', 'lilakızyurdu', 'adnanmenderesuniversitesi', 'adnanm']"
HRÜ Mizah,@HarranUni_Mizah,2018-12-06T16:57:00.000Z,#kizyurdu,,2,,6,['kizyurdu']
Hırka-i Şerif Kültür Merkezi,@hrkaserifklt,2018-08-10T17:48:37.000Z,"İstanbul’da, huzur ve güven içinde, aile sıcaklığında, üniversite öğrencilerine ev sahipliği yapıyoruz. Hırka-i şerif vakfı olarak İstanbul’da üniversite öğrenimi gören kızlarımızın güvenilir barınma ihtiyacına yurt ve apart dairelerimizde konforlu imkanlar sunuyoruz. #kızyurdu",,,1,1,['kızyurdu']
endlessdreamss,@MelisaaSevci,2020-02-18T22:07:02.000Z,gözlerim  karardı   gece gece  #kizyurdu,,,,6,['kizyurdu']
İnsan Vakfı,@insanvakfi,2018-07-11T16:42:03.000Z,İnsan Vakfı yükseköğretim öğrenci yurtlarımızı incelediniz mi? http://insanvakfi.org.tr #yurt #öğrenciyurdu #kızyurdu #erkekyurdu #üniversiteyurdu #üniversitekızyurdu #üniversiteerkekyurdu,,,6,8,"['yurt', 'öğrenciyurdu', 'kızyurdu', 'erkekyurdu', 'üniversiteyurdu', 'üniversitekızyurdu', 'üniversiteerkekyurdu']"
işlet(me)!,@sugiller,2019-12-11T19:07:24.000Z,Oda arkadaşım birazcık kazıklanmış yazık ya#kızyurdu https://pic.twitter.com/dqqa6VMmL4,,,,2,['kızyurdu']
Marina Vizyon Kız Ve Erkek Yurdu,@erkekyurtlar,2020-08-28T21:16:01.000Z,"YURT KAYITLARIMIZ BAŞLAMIŞTIR.
#kızyurdu #erkekyurdu #kouehibriteğitimistiyor #KocaeliUEniversitesi #kocaeli̇ #izmityurt #yuezyuezeeğitim #koubirebireğitim",,,,1,"['kızyurdu', 'erkekyurdu', 'kouehibriteğitimistiyor', 'KocaeliUEniversitesi', 'kocaeli', 'izmityurt', 'yuezyuezeeğitim', 'koubirebireğitim']"
MERVE,@_MUEC,2018-03-14T19:59:34.000Z,#Afrin #Gevhernesibe #Kayserikyk #Kızyurdu,,,,7,"['Afrin', 'Gevhernesibe', 'Kayserikyk', 'Kızyurdu']"
Campucity,@campucity,2021-02-17T21:50:14.000Z,#kızyurdu #mecidiyeköy,,,1,2,"['kızyurdu', 'mecidiyeköy']"
Erol GUNES,@erolgunes09,2020-08-28T10:22:21.000Z,"Covid-19 pandemi kurallarına uygun Hijyenik tek kişilik odalarımızda, siz sevgili öğrencilerimizi ağırlamaktan memnuniyet duyacağız.
               0 532 659 0 666

#aydınyurt #aydın #kızyurduaydın #kızyurdu #yurt #öğrenciyurdu #kızöğrenciyurdu",,,1,1,"['aydınyurt', 'aydın', 'kızyurduaydın', 'kızyurdu', 'yurt', 'öğrenciyurdu', 'kızöğrenciyurdu']"
Hcrn_avc,@AvcHcrn,2018-12-18T19:55:35.000Z,"Ortam geriliyoorrr
#kizyurdu",,,,2,['kizyurdu']
Koc Yasam,@kocyasammerkezi,2018-12-21T07:20:03.000Z,"Kahvaltılar yapıldıysa, hemen spora  #gym #fitness #spor #morning #günaydın 
#yurt #ankara #genc #universite #life #student #dorm #rezidans #luxury #happy #kızyurdu #kızogrenci #tobb #odtu #hacettepe #bilkent #kocyasammerkezi #lokmanhekim #baskent",,,1,,"['gym', 'fitness', 'spor', 'morning', 'günaydın', 'yurt', 'ankara', 'genc', 'universite', 'life', 'student', 'dorm', 'rezidans', 'luxury', 'happy', 'kızyurdu', 'kızogrenci', 'tobb', 'odtu', 'hacettepe', 'bilkent', 'kocyasammerkezi', 'lokmanhekim', 'baskent']"
Muradiye İlçe Müftülüğü,@MuradiyeIlce,2020-09-08T10:06:41.000Z,"TDV Kız ve Erkek Yurtları.
Güven, Konfor ve Uygun Fiyatları Kaçırmayın. 
Kayıt Sürecimiz Devam Ediyor.
#üniversite #eğitim #yurt #öğrenci 
#kızyurdu #erkekyurdu",,,1,2,"['üniversite', 'eğitim', 'yurt', 'öğrenci', 'kızyurdu', 'erkekyurdu']"
Merve Aykut Altuntaş,@merveaykut61,2018-09-04T10:13:21.000Z,#uludağüniversitesi #yurt #kızyurdu #bursa #uludağüni yurdumuz açıldı öğrencilerimizi bekliyoruz ,,,,3,"['uludağüniversitesi', 'yurt', 'kızyurdu', 'bursa', 'uludağüni']"
Eduka Erkek Öğrenci Yurdu,@edukayurtlari,2019-05-15T12:14:55.000Z,"İstanbul Aydın Üniversitesine 200 metre, Beşyol Metrobüs durağına 100 metre mesafede. #edukaöğrenciyurtları #kızyurdu #erkekyurdu #istanbulaydınüniversitesi",,,3,4,"['edukaöğrenciyurtları', 'kızyurdu', 'erkekyurdu', 'istanbulaydınüniversitesi']"
Erzurum Yükseköğretim Kız Öğrenci Yurdu,@EnsarErzrmYurtK,2019-01-19T19:19:19.000Z,"Final sonrası bütleri beklerken film arası verdik 
#ensarvakfı 
#kizyurdu 
#erzurum",,,,2,"['ensarvakfı', 'kizyurdu', 'erzurum']"
ihyakizyurdu,@ihyakizyurdu,2020-10-28T10:34:23.000Z,"İHYA YÜKSEK ÖĞRETİM KIZ YURDUMUZUN KAYITLARI BAŞLADI!

#kızyurdu #üniversite #yurt #istanbul #öğrenci",,,2,1,"['kızyurdu', 'üniversite', 'yurt', 'istanbul', 'öğrenci']"
