username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Fatih Mehmet Küçük,@fatihmkc,2021-08-11T18:13:09.000Z,"Zorunlu aşı anayasaya aykırıdır. #DayatmaVarsaÜyelikİptal
#koca",,,21,43,"['DayatmaVarsaÜyelikİptal', 'koca']"
Hüseyin Yasir DEMİROK,@DemirokYasir,2021-08-11T17:57:00.000Z,"Almanın deneysel gen terapisine bizi zorlayamazsın, biz sağlıklı insanlarız sağlığımızla oynamaya hakkın yok #Koca",,,8,19,['Koca']
Ebrar,@EbrarElegant,2021-08-11T18:02:22.000Z,Bir saglik bakani düşünün sorumluluk almadigi bir sıvının savunuculugunu yapiyor #koca,,,1,6,['koca']
Selman Acikgoz,@SelmanAcikgoz7,2021-08-11T17:49:17.000Z,izahı yok mizahı size ait #koca,,,,4,['koca']
mdo.,@mdo723,2021-08-11T18:01:35.000Z,Ey Fahrettin Koca bizi tehdit edeceğinize toplayın her taraftan bilim adamlarini canlı yayınlar yapın milleti ikna edin tehdit ile değirmen dönmez #koca,,,1,8,['koca']
bilozof,@bilozof1,2021-08-11T17:50:22.000Z,"#Koca Mayıs bitiminde, uUn süren sokağa çıkma yasaklarıyla birlikte salgın bitmişti. Turizm, para vs nedeniyle sezon açıldı, salgın yine patladı. Bunun aşıyla alakası nedir pardon?",,1,6,10,['Koca']
rabia ozdemir,@rabiaaozdemir,2021-08-11T17:58:23.000Z,Haddi aştınız artık biz denek değiliz bizi eğtim ile vuramazsınız!!!#Koca,,,10,19,['Koca']
ahmeteffe,@AhmetEffe,2021-08-11T17:56:25.000Z,"#Koca Sayın Sağlık Bakanını insanlara yaptığı Aşı Dayatmasından dolayı protesto ediyorum,,,",,,5,7,['Koca']
Filiz Uran Instagram @flzhandmade,Instagram @flzhandmade,2021-08-11T17:42:20.000Z,Yeterince anlamamışsınız sayın #koca,,1,35,55,['koca']
Hatice..,@Hatice__3,2021-08-11T18:03:10.000Z,Pazar tezgahlarına kadar düşen aşıyı mı olalım? #Koca,,1,5,6,['Koca']
ŞF.,@34_sydaa,2021-08-11T17:56:58.000Z,"#Koca
YETER artık YETER!!
Anayasa ve insan hakları nerede???!!!!!",,,1,4,['Koca']
h.nur,@shkarakaya,2021-08-11T17:57:04.000Z,"#Koca devletin başkanı gönüllülük esas olacak derken, bakanı nasıl aba altından sopa gösterebiliyor?",,,2,7,['Koca']
Aşkın KOCA JK,@askinkoca10,2021-08-11T19:56:19.000Z,"Arkadaşlar sizce bu dönem üniversiteler açılır mı!
#koca biontech","Açılır 
45.1%
Açılmaz 
54.9%
164 votes
·
Final results",,,4,['koca']
