username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
turgutucbas,@turgutucbas2,2021-06-22T13:51:19.000Z,"As the day fades away, discover the magic of Istanbul by night 
#komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel  #sevgi #yaaysaati #kiz  #fun #",,,,,"['komedi', 'komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'sevgi', 'yaaysaati', 'kiz', 'fun']"
Yang Penting Heppiii,@YPHstory,2020-06-17T08:00:01.000Z,"Mending gue wakilin dah…
.
#yangpentingheppiii #sabron #komikreceh #komik #komikvideo #komikinajah #komikstrip #komiks 

https://yangpentinghepi.com/komikatur/menang-undian…",,,,2,"['yangpentingheppiii', 'sabron', 'komikreceh', 'komik', 'komikvideo', 'komikinajah', 'komikstrip', 'komiks']"
Nilay Tutku,@nilay_tutku,2019-05-24T15:13:24.000Z,#komedi #komik #komikvideo  cok guldum,,,,3,"['komedi', 'komik', 'komikvideo']"
Burcu,@BurcuGnc_,2021-02-12T08:05:29.000Z,"I never give up! 
#animals #animal #funnyvideos #cute #cat #cats #dog #doglover #dogs #catlover #loveanimals #animalprint #animallovers #instaanimal #komikvideolar #kedi #komikvideo 
#晚安 #有趣的動物 #快樂的動物 #Animauxheureux #Animalifelici #GlücklicheTiere",,,,2,"['animals', 'animal', 'funnyvideos', 'cute', 'cat', 'cats', 'dog', 'doglover', 'dogs', 'catlover', 'loveanimals', 'animalprint', 'animallovers', 'instaanimal', 'komikvideolar', 'kedi', 'komikvideo', '晚安', '有趣的動物', '快樂的動物', 'Animauxheureux', 'Animalifelici', 'GlücklicheTiere']"
ABP genel başkan yardımcısı av.hasan yıldırım,@genelbaskaY,2021-04-30T07:02:43.000Z,#HALKEKMEK #KANALİSTANBUL #İBB #AKPARTİ #KOMİKVİDEO #128MİLYARDOLARNEREDE #EKONOMİ #EKREMİMAMOGLU - YouTube,"#HALKEKMEK #KANALİSTANBUL #İBB #AKPARTİ #KOMİKVİDEO #128MİLYARDOLAR...
youtube.com",,,,"['HALKEKMEK', 'KANALİSTANBUL', 'İBB', 'AKPARTİ', 'KOMİKVİDEO', '128MİLYARDOLARNEREDE', 'EKONOMİ', 'EKREMİMAMOGLU']"
CannonBet,@cannonbet_,2021-02-09T17:49:27.000Z,"Video time 
.
.
.
.
.
.
.
.
#funclips #funnyvideos #komikvideolar #komiksahneler #basketballfans #basketbol #football #footballgame #betsport #sporcu #komikvideo #Cannon_bet #cannonbet #canonbet #footballfun https://instagram.com/p/CLFJbcPgn6C/?igshid=1swmdttc36o09…",,,,1,"['funclips', 'funnyvideos', 'komikvideolar', 'komiksahneler', 'basketballfans', 'basketbol', 'football', 'footballgame', 'betsport', 'sporcu', 'komikvideo', 'Cannon_bet', 'cannonbet', 'canonbet', 'footballfun']"
Güldüm Net,@guldumnet,2019-04-03T10:59:52.000Z,"@guldum_net 
@guldum_net @guldum_net 
#komik #video #komikli #video #resim #komikresim #gif #komikvideo #caps #meme #umutsarikaya #karikatur #videoizle #cat #kedi Watch #Instavideo:https://ift.tt/2UbfyGa",,,,,"['komik', 'video', 'komikli', 'video', 'resim', 'komikresim', 'gif', 'komikvideo', 'caps', 'meme', 'umutsarikaya', 'karikatur', 'videoizle', 'cat', 'kedi', 'Instavideo']"
Blogger Cat Women,@Videosuolanvar,2020-04-21T16:38:47.000Z,"My sweet cat   #cat #cats #stayhome #hayatevesığar #evdekal #korona #koronatürkiye #video #komik #komikvideo #instavideo #komikvideolar @ Istanbul, Turkey https://instagram.com/p/B_P-8xIJ6Jj/?igshid=cb16k67mcs2a…",,,,,"['cat', 'cats', 'stayhome', 'hayatevesığar', 'evdekal', 'korona', 'koronatürkiye', 'video', 'komik', 'komikvideo', 'instavideo', 'komikvideolar']"
Komikmibiladerimha,@Komikmibiladerr,2020-11-07T18:20:58.000Z,"Lovely-Khaled ft Billie Eilish
___________
 
@whass4p
___________
#funny #memes #komikvideo
#komik #komikvideolar #billieeilish #khaled #lovely",,,1,2,"['funny', 'memes', 'komikvideo', 'komik', 'komikvideolar', 'billieeilish', 'khaled', 'lovely']"
ZipToDoDa,@ziptododa,2019-03-03T17:47:07.000Z,"ha ha ha :)
#ftifti #AdaletBak1000Psikolog #ERZvGS #SaldırGALATASARAY #komik #komikvideo",,,3,7,"['ftifti', 'AdaletBak1000Psikolog', 'ERZvGS', 'SaldırGALATASARAY', 'komik', 'komikvideo']"
