username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Verimetrik,@verimetrik,2021-08-13T08:04:52.000Z,"Konut Satışları, Tem'21 - Görünüm. #konut",Verimetrik (English) and Verimetrik,,5,19,['konut']
RE/MAX İkon,@REMAXikon,2021-08-06T13:29:54.000Z,"Temmuz 2021 bitmiş işlemlerimizden bazıları.. 

____________________________
#remax #remaxtürkiye #remaxikon  #arsa #konut #daire #gayrimenkul #emlak #kartal #maltepe #satılık #kiralık",@enesileri #evdekal and 3 others,,,2,"['remax', 'remaxtürkiye', 'remaxikon', 'arsa', 'konut', 'daire', 'gayrimenkul', 'emlak', 'kartal', 'maltepe', 'satılık', 'kiralık']"
İlker Önel,@ilkeronel55,2021-08-13T08:01:57.000Z,"Tüik konut satış rakamları Temmuz 2021 yılık bazda %53 azaldı. 
- pandemi sebebiyle geçen haz ayından  itibaren konut faiz oranlarındaki uygun fiytlamalar satış rakamlarına  yansımış ve 200.000 üzerinde satış olmuştu. #konut 
-",,1,,2,['konut']
İlker Önel,@ilkeronel55,2021-08-13T08:01:58.000Z,Kredi maliyetlerinin yüksek olması ve  maliyet kaynaklı konut  fiyatlarındaki yükseklik satış fiyatlarına olumsuz yansımış görünüyor #konut,,,,1,['konut']
Mikail ÇİFTÇİ,@mikailciftci63,2021-08-07T13:39:19.000Z,"#gelir #kira #gider 
#enflasyon #emlak #konut",,,60,216,"['gelir', 'kira', 'gider', 'enflasyon', 'emlak', 'konut']"
Hatice Kolçak,@haticekolcak,2021-08-13T09:38:00.000Z,"Bugünden sonra en fazla konuşacağımız konu kiralık evler olacak. Okulların açılması, tayinler en önemlisi göçler göçmenlerin talebinde gözle görülür bir artış olacak. Kiralık ev fiyatlarında rekor artışlar görebiliriz. Çünkü elimizde ev yok.. #konut #konutsatışları #kiralıkev",,1,2,25,"['konut', 'konutsatışları', 'kiralıkev']"
Avrupa Konutları,@avrupakonutlari,2021-08-11T13:01:03.000Z,"Çamların altında ferah yaşama ilk adımı atın. Üstelik; 
 60 Ay 0,97 Vade Oranı

#AvrupaKonutları #Çamlıvadi #Konut #Gayrimenkul #Satış #Şehir #Orman #Yatırım","0:09
16 views",,,1,"['AvrupaKonutları', 'Çamlıvadi', 'Konut', 'Gayrimenkul', 'Satış', 'Şehir', 'Orman', 'Yatırım']"
Altın İnşaat Bodrum,@AltininsaatBdrm,2021-08-12T09:56:41.000Z,"Aradığınız konforlu bir yaşam ile buluşacağınız son projemiz Diamond Evleri için detaylı bilgiye satış temsilcimizden ulaşabilirsiniz.
#bodrum #AltinİnşaatBodrum #proje #yeniproje #satılık #bodrumlovers #realestate #ev #konut #emlak #bodrumsatilikevler #diamondevleri",,,,6,"['bodrum', 'AltinİnşaatBodrum', 'proje', 'yeniproje', 'satılık', 'bodrumlovers', 'realestate', 'ev', 'konut', 'emlak', 'bodrumsatilikevler', 'diamondevleri']"
Günün Çizgisi,@Gunun_Cizgisi,2021-08-07T13:40:02.000Z,"#gelir #kira #gider 
#enflasyon #emlak #konut",,,43,126,"['gelir', 'kira', 'gider', 'enflasyon', 'emlak', 'konut']"
RE/MAX İkon,@REMAXikon,2021-08-06T14:40:22.000Z,"Temmuz 2021 bitmiş işlemlerimizden bazıları.. 

___________________________
#remax #remaxtürkiye #remaxikon  #arsa #konut #daire #gayrimenkul #emlak #kartal #maltepe #satılık #kiralık",@enesileri #evdekal and Remax Musa Sarıer,,,1,"['remax', 'remaxtürkiye', 'remaxikon', 'arsa', 'konut', 'daire', 'gayrimenkul', 'emlak', 'kartal', 'maltepe', 'satılık', 'kiralık']"
Özdemir şubesi sigorta yelpazesi,@Ozdemirsubesi,2021-08-05T17:27:41.000Z,"Bize sormadan  sigorta yaptırmayınız! En uygun fiyatlarla teklifinizi alınız.
#kasko #bes #trafik #sigorta #gaziantep #şahinbey #şehitkamil #sağlık #dask #inşaat #ferdikaza #nakliyat #tarım #işyeri #tarım #konut #seyahat",,,,1,"['kasko', 'bes', 'trafik', 'sigorta', 'gaziantep', 'şahinbey', 'şehitkamil', 'sağlık', 'dask', 'inşaat', 'ferdikaza', 'nakliyat', 'tarım', 'işyeri', 'tarım', 'konut', 'seyahat']"
zaferofluoglu®𐱅𐰇𐰼𐰰,@zofluoglu,2021-08-07T04:12:29.000Z,#House #konut #niteliklikonut #Graphicnovel # Grafikroman #Jazz #Caz #Books #kitap #korkma #bıktıkartık #classicalmusic #Newage  #comics #çizgiroman #BağırarakSöylüyorum #masketak #einsaat.com.tr #adana #space,,,,,"['House', 'konut', 'niteliklikonut', 'Graphicnovel', 'Jazz', 'Caz', 'Books', 'kitap', 'korkma', 'bıktıkartık', 'classicalmusic', 'Newage', 'comics', 'çizgiroman', 'BağırarakSöylüyorum', 'masketak', 'einsaat', 'adana', 'space']"
Borsa_Analiz,@BisTemel_Analiz,2021-08-07T09:29:58.000Z,"Replying to 
@BisTemel_Analiz",Sonuç;borsa zengin olma yeri değildir.  Emek sabır ve bilgi ister…not:Son 3 yıldaki performansı yakalarsam eğer istediğim hedefe 2027 de yaklaşık ulaşıyorum.  hedeflerinizi de performansınıza göre güncelleyebilirsiniz…,1,,1,[]
Borsa_Analiz,@BisTemel_Analiz,2021-08-07T09:29:58.000Z,Konut için  çok soru geliyor benim görüşüm; yatırım değildir yalnızca oturabileceğim ev için alım yaparım onun dışında konut alıp kiraya vermek benim getiri beklentimi karşılamaz. Uzun vadede arsa ve altın kötü değildir ancak iyi hisse her zaman hepsini yener.#altın #gram #konut,,,,3,"['altın', 'gram', 'konut']"
Ömer SARAÇ,@omersarac01,2021-08-06T07:46:00.000Z,"Cumamız Mübarek olsun. 

#ömersaraç #gayrimenkulDanışmanı #remax #remaxas #adana #Satılık #kiralık #ev #işyeri #konut #villa #arazi #emlak #emlakçı #adanaemlak #coldwellbanker #günaydınadana #cumanızmübarekolsun #hayırlıcumalar",,,,,"['ömersaraç', 'gayrimenkulDanışmanı', 'remax', 'remaxas', 'adana', 'Satılık', 'kiralık', 'ev', 'işyeri', 'konut', 'villa', 'arazi', 'emlak', 'emlakçı', 'adanaemlak', 'coldwellbanker', 'günaydınadana', 'cumanızmübarekolsun', 'hayırlıcumalar']"
COLDWELL BANKER İYA,@iyagayrimenkul,2021-08-07T08:16:32.000Z,"Mutlu Hafta Sonları 
•
•

#coldwellbankeriya #cb #coldwellbanker #haftasonu #aile #mutluluk #gayrimenkul #emlak #istanbul #izmir #gayrimenkul #izmir #cbiya #coldwellbankeriya #gayrimenkul #konut #ticari #coldwellbankeriyaulukent #saturday #instagram #realestateagent",,,,1,"['coldwellbankeriya', 'cb', 'coldwellbanker', 'haftasonu', 'aile', 'mutluluk', 'gayrimenkul', 'emlak', 'istanbul', 'izmir', 'gayrimenkul', 'izmir', 'cbiya', 'coldwellbankeriya', 'gayrimenkul', 'konut', 'ticari', 'coldwellbankeriyaulukent', 'saturday', 'instagram', 'realestateagent']"
Cafer Nalçacı,@cafernalcaci,2021-08-11T18:05:56.000Z,"Kahramanmaraş'ta 6.250.000 TL'ye ev almak sorunsalı ?
#kahramanmaraş #emlak #konut",,,,,"['kahramanmaraş', 'emlak', 'konut']"
