username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Seval,@GazeteciSeval,2021-08-09T09:44:37.000Z,"Grip mi Covid-19 mu?

#Kahramanmaraş #habermerkezi46 #haber #sağlık #covid19 #grip #koronavirüs #ağustos #pazartesi","Grip mi Covid-19 mu?
Gribal enfeksiyon ile Covid-19 semptomlarının benzerlik gösterdiğini belirten uzmanlar, gribal enfeksiyon belirtileri halinde Covid-19 olma riskinin akılda tutulması gerektiğini kaydederek izole...
habermerkezi46.com",,,2,"['Kahramanmaraş', 'habermerkezi46', 'haber', 'sağlık', 'covid19', 'grip', 'koronavirüs', 'ağustos', 'pazartesi']"
Savunma Güncesi,@SavunmaGuncesi,2021-08-10T05:28:16.000Z,"Bill Gates on 
@TEDxReset
We can reduce global population by 10-15% using vaccines and global health services #Covid2019 #Covid19 #Covid_19 #coronavirus #koronavirues","Bill Gates: Aşılarla Dünya Nüfusunu % 15 Azaltabiliriz
Gates Vakfı Başkanı Bill Gates'in 2010'daki (TED Konferansı) konuşması:“Dünya nüfusu bugün 6.8 milyar. ..bu rakamı yüzde 10 veya 15 gibi düşürebiliriz.”
youtube.com",,,,"['Covid2019', 'Covid19', 'Covid_19', 'coronavirus', 'koronavirues']"
Ali Yerlikaya,@AliYerlikaya,2021-08-11T14:57:06.000Z,"İl Pandemi Kurulu'muz #koronavirüs ile mücadele ve #aşı ana gündem maddeleriyle toplandı.

#İstanbul'umuzdaki çalışmaları belediye başkanlarımız, kaymakamlarımız, sağlık yöneticilerimiz ve bilim insanlarımızla birlikte değerlendirdik.

#AşıEnBüyükGücümüz",Ekrem İmamoğlu and Prof. Dr. Kemal Memişoğlu,17,59,508,"['koronavirüs', 'aşı', 'İstanbul', 'AşıEnBüyükGücümüz']"
YAĞIZ ATA #İstanbulSözleşmesiYaşatır,@PskYGZ,2021-08-12T17:11:42.000Z,"#KoronaVirüs, 11 Ağustos Çarşamba 128 vatandaşımız hayatını kaybetti. Aşımızı olalım ve kurallara uyalım.

“maske+mesafe+temizlik”
@TPDBilgi
 // 
@saglikbakanligi",T.C. Sağlık Bakanlığı,,,7,['KoronaVirüs']
TVNET Son Dakika,@tvnetSonDakika,2021-08-09T16:47:19.000Z,"VAKA SAYISI 23 BİN 731

#SONDAKIKA 

Sağlık Bakanlığı son 24 saatte 117 kişinin koronavirüsten hayatını kaybettiğini, 23 bin 731 kişinin ise #koronavirüs testinin pozitif çıktığını açıkladı.",,,1,8,"['SONDAKIKA', 'koronavirüs']"
Vatan,@Vatan,2021-08-06T18:00:00.000Z,'Yarasa kadın'dan korkutan #koronavirüs uyarısı! Salgında ‘kıyamet günü' çok yakın... https://bit.ly/3sanNQJ,,,,,['koronavirüs']
TÜBİTAK Ufuk Avrupa Programı,@UfukAvrupa_TR,2021-08-13T11:30:50.000Z,"#COVID19 tüm nüfusu etkiliyor ve gençler pandeminin yayılması ve etkileriyle mücadelede, özellikle de internette dezenformasyonun yayılmasına meydan okumada kilit rol oynuyor.

#Koronavirüs hakkında yanlış bilgi vermemek için bilgi formunu kontrol edin.

http://europa.eu/!bk69RW",,1,,2,"['COVID19', 'Koronavirüs']"
Atila Aydıner,@atilaaydiner,2021-08-11T20:49:27.000Z,"İstanbul Valimiz Sayın 
@AliYerlikaya
 başkanlığında İl Pandemi Kurulu Toplantısı'nda #koronavirüs ile mücadele ve #aşı ana gündem maddeleriyle biraraya gelerek süreci değerlendirdik.
#AşıEnBüyükGücümüz",,1,5,22,"['koronavirüs', 'aşı', 'AşıEnBüyükGücümüz']"
Vatan,@Vatan,2021-08-06T19:30:00.000Z,Dünya devi şirketler harekete geçti! #Koronavirüs aşısı olmadıkları için 3 çalışan işten çıkarıldı! https://bit.ly/3yw7DmK,,,,,['Koronavirüs']
Gürkan Deniz,@Y6Ghaber,2021-08-12T13:24:22.000Z,"#SONDAKİKA - #COVİD19
31 Temmuz - 6 Ağustos 2021
Türkiye #Koronavirüs Risk Haritası Karşılaştırması",,,,2,"['SONDAKİKA', 'COVİD19', 'Koronavirüs']"
ODAK,@ODAKEDH,2021-08-09T17:01:45.000Z,"Türkiye’nin günlük koronavirüs tablosunda dikkat çeken ayrıntı: Vefat ve vaka sayısında artış:
 https://odakdergisi.com/turkiyenin-gunluk-koronavirus-tablosunda-dikkat-ceken-ayrinti-vefat-ve-vaka-sayisinda-artis/… 

#Koronavirüs",,,,2,['Koronavirüs']
Haberler.com,@Haberler,2021-08-07T11:59:41.000Z,"Aşı olmamakta direten Sneijder'in yaptığı savunma akıllara durgunluk verdi 

https://haberler.com/koronavirus-asisi-yaptirmayan-sneijder-in-14315789-haberi/?utm_source=twitter&utm_medium=manset_auto…

#Koronavirüs",,1,,2,['Koronavirüs']
Burak Emek,@burakemek10,2021-08-12T17:27:49.000Z,Sevdiklerimizi teker teker almaya devam ediyor #koronavirüs . . .,,1,,15,['koronavirüs']
UranüsMarkets,@UranusMarkets,2021-08-10T09:11:03.000Z,"#Koronavirüs aşısı geliştiren Almanya merkezli biyoteknoloji şirketi #BioNTech'in CEO'su Prof. Dr. Uğur Şahin, mevcut aşının #Delta varyantına karşı etkili olduğunu ve herhangi bir güncellemeye şimdilik ihtiyaç duyulmadığını söyledi.",,,10,12,"['Koronavirüs', 'BioNTech', 'Delta']"
Haberler.com,@Haberler,2021-08-09T18:16:32.000Z,"Başkent Ankara koronavirüs aşılama oranında maviye döndü 

https://haberler.com/bakan-koca-ankara-maviye-dondu-ornek-alinmali-14320142-haberi/?utm_source=twitter&utm_medium=manset_auto…

#Koronavirüs",,,,2,['Koronavirüs']
Ulusal Kanal,@ulusalkanal,2021-08-10T11:23:00.000Z,"BioNTech 2,8 milyar avro kâr açıkladı

• Geçen yıl aynı dönem 88,3 milyon avro zarar açıklanmıştı

#BioNTech #aşı #koronavirüs","BioNTech 2,8 milyar avro kâr açıkladı
Kovid-19 aşısı geliştiren Alman firma BioNTech'in 2021'in ikinci çeyreğindeki net kârı açıklandı. Buna göre, artan aşı satışlarıyla birlikte şirketin net kârı 2 milyar 787,2 milyon avro oldu....
ulusal.com.tr",9,81,152,"['BioNTech', 'aşı', 'koronavirüs']"
Aksu Tv,@aksutv,2021-08-11T17:41:26.000Z,"#SağlıkBakanlığı tarafından 11 Ağustos  #koronavirüs tablosu, vaka, aşı, hasta, test, vefat sayısı ve son durum açıklandı.",,,,,"['SağlıkBakanlığı', 'koronavirüs']"
Mehmet Toprak,@m_toprak63,2021-08-08T16:42:42.000Z,"Bugünkü #koronavirüs durum raporu: Yeni vaka sayısı 22.699, hayatını kaybeden yurttaş sayısı 108",,,,,['koronavirüs']
Gürkan Deniz,@Y6Ghaber,2021-08-05T11:31:03.000Z,"#SONDAKİKA - #COVİD19
24-30 Temmuz 2021
Türkiye #Koronavirüs Risk Haritası",,,,,"['SONDAKİKA', 'COVİD19', 'Koronavirüs']"
Kardelen Dergisi,@KardelenDergi_,2021-08-10T08:30:59.000Z,"Kahrın da hoş lütfun da!.. 
 
@kbayrak11
http://kardelendergisi.com/yazi.php?yazi=3150…
#kardelendergisi #koronavirüs #salı",,,1,4,"['kardelendergisi', 'koronavirüs', 'salı']"
Köklü Değişim Medya,@KokluDegisim,2021-08-11T14:50:14.000Z,"AŞILARA RAĞMEN KORONAVİRÜS VAKA SAYISI NEDEN ARTIYOR? 
#Koronavirüs salgınının artış nedenleri ile aşı tartışmalarını Yusuf Yavuzkan #SiyasiBakışlar programında değerlendirdi.
@yusuftheanalyst","AŞILARA RAĞMEN KORONAVİRÜS VAKA SAYISI NEDEN ARTIYOR?
Koronavirüs salgınının artış nedenleri ile aşı tartışmalarını Yusuf Yavuzkan Siyasi Bakışlar programında değerlendirdi.
kokludegisim.net",,31,33,"['Koronavirüs', 'SiyasiBakışlar']"
Haberler.com,@Haberler,2021-08-07T15:00:42.000Z,"64 gün boyunca yoğun bakımda kalan Muhittin Böcek yeniden hastaneye kaldırıldı 

https://haberler.com/64-gun-boyunca-yogun-bakimda-kalan-muhittin-bocek-14316167-haberi/?utm_source=twitter&utm_medium=manset_auto…

#Koronavirüs",,3,,,['Koronavirüs']
PENDİKLİ TV,@PendikliTV,2021-08-05T17:01:31.000Z,"5 Ağustos 2021
Sağlık Bakanlığı açıkladı:
24.297 Covid-19 vaka sayısı
108 kişi vefat etti
6.636 kişi iyileşti
#Koronavirüs #EvdeKal",,,,,"['Koronavirüs', 'EvdeKal']"
Rûdaw Türkçe,@RudawTurkce,2021-08-09T15:43:59.000Z,"#Kürdistan Bölgesi Sağlık Bakanlığı, 9 Ağustos 2021 tarihli yeni tip #koronavirüs (Covid-19) verilerini açıkladı","Kürdistan Bölgesi’nde koronavirüs nedeniyle 19 kişi hayatını kaybetti
Kürdistan Bölgesi Sağlık Bakanlığı, 9 Ağustos 2021 tarihli yeni tip koronavirüs (Covid-19) verilerini açıkladı
rudaw.net",,,3,"['Kürdistan', 'koronavirüs']"
Takvim,@takvim,2021-08-08T16:29:31.000Z,"Sağlık Bakanlığı 8 Ağustos 2021 #koronavirüs vaka, vefat ve aşı tablosunu duyurdu","KORONAVİRÜSTE SON DURUM
Haberin devamı
takvim.com.tr",,1,2,['koronavirüs']
Kardelen Dergisi,@KardelenDergi_,2021-08-09T05:57:23.000Z,"Şimdi vaktidir!.. 
@Alierdal111
 
http://kardelendergisi.com/yazi.php?yazi=3154…
#kardelendergisi #koronavirüs #pazartesi",,,2,4,"['kardelendergisi', 'koronavirüs', 'pazartesi']"
Kemal Bolduk,@Kemal_Bolduk,2021-08-08T05:51:18.000Z,48004 KLARNET YİNE NORMALLEŞME'Yİ TAM NORMALLERİ BOZDU EY ACIKLI KLARNET'LER NORMALLEŞME'Yİ BOZAMAZSIN EYLÜL'DE YENİ SERT TEDBİRLER GELİYOR SEKİZİNCİ DALGA KAPIDA ACI HABERLERİN ACI DÖNEMLERİNİN SIKINTISIZ GEÇMESİNİ DİLİYORUM #Koronavirüs,,,,,['Koronavirüs']
Haberler.com,@Haberler,2021-08-11T17:24:34.000Z,"Son Dakika: Türkiye'de 11 Ağustos günü koronavirüs nedeniyle 128 kişi vefat etti, 27 bin 356 yeni vaka tespit edildi 

https://haberler.com/son-dakika-turkiye-de-11-agustos-gunu-14325127-haberi/?utm_source=twitter&utm_medium=manset_auto…

#Koronavirüs",,,,1,['Koronavirüs']
Ulusal Kanal,@ulusalkanal,2021-08-11T09:35:00.000Z,"İstanbul İl Sağlık Müdürü Prof. Dr. Kemal Memişoğlu: 

- İstanbul'un rengi gelecek hafta mavi olacak

#KemalMemişoğlu #koronavirüs #aşı","İstanbul İl Sağlık Müdürü Prof. Dr. Kemal Memişoğlu:
Türkiye'de aşılama hız kesmeden devam ediyor. İstanbul İl Sağlık Müdürü Prof. Dr. Kemal Memişoğlu, ''İstanbul önümüzdeki hafta aşılamada yüzde 75 bandıyla mavi hale gelecektir'' dedi.
ulusal.com.tr",,1,,"['KemalMemişoğlu', 'koronavirüs', 'aşı']"
bzincir,@bzincirr,2021-08-08T20:45:07.000Z,"Bu yaz spor gündemi çok yoğun geçiyor... (Covid19 sağolsun!)
Euro 2020
Tokyo 2020
Copa Amerika 
Concacaf Gold Cup
Avrupa Basketbol Şampiyonası (Kadınlar)
Avrupa Voleybol Şampiyonası (Kadın ve Erkek) 
#COVID19 #Koronavirüs",,,,,"['COVID19', 'Koronavirüs']"
Haberler.com,@Haberler,2021-08-07T07:33:41.000Z,"ABD'li hava yolu şirketi United Airlines, çalışanlarına Kovid-19 aşısı olma zorunluluğu getirdi 

https://haberler.com/abd-li-havayolu-sirketi-united-airlines-14314669-haberi/?utm_source=twitter&utm_medium=manset_auto…

#Koronavirüs",,,,1,['Koronavirüs']
PENDİKLİ TV,@PendikliTV,2021-08-10T19:01:56.000Z,"10 Ağustos 2021
Sağlık Bakanlığı açıkladı:
26.597 Covid-19 vaka sayısı
124 kişi vefat etti
14.954 kişi iyileşti
#Koronavirüs #EvdeKal",,,,1,"['Koronavirüs', 'EvdeKal']"
Haberler.com,@Haberler,2021-08-07T18:23:41.000Z,"Son Dakika: Türkiye'de 7 Ağustos günü koronavirüs nedeniyle 112 kişi vefat etti, 25 bin 100 yeni vaka tespit edildi 

https://haberler.com/son-dakika-turkiye-de-7-agustos-gunu-koronavirus-14316444-haberi/?utm_source=twitter&utm_medium=manset_auto…

#Koronavirüs",,,,1,['Koronavirüs']
Rûdaw Türkçe,@RudawTurkce,2021-08-10T17:46:01.000Z,"#Kürdistan Bölgesi Sağlık Bakanlığı, 10 Ağustos 2021 tarihli yeni tip #koronavirüs (Covid-19) verilerini açıkladı","Kürdistan Bölgesi’nde koronavirüs nedeniyle 19 kişi hayatını kaybetti
Kürdistan Bölgesi Sağlık Bakanlığı, 10 Ağustos 2021 tarihli yeni tip koronavirüs (Covid-19) verilerini açıkladı
rudaw.net",,,4,"['Kürdistan', 'koronavirüs']"
Haberlisin,@haberlisin,2021-08-07T18:32:59.000Z,"Vaka ve vefatlara düne göre arttı https://haberlisin.com/gundem/vaka-ve-vefatlara-dune-gore-artti-h67766.html…

#FahrettinKoca #koronavirüs #sondakika",,,,,"['FahrettinKoca', 'koronavirüs', 'sondakika']"
Kemal Bolduk,@Kemal_Bolduk,2021-08-12T19:45:24.000Z,170004 KLARNET NORMALLEŞME Yİ YİNE BOZDU PARAMPARÇA ETTİ EY KLARNET NORMALLEŞME'Yİ BOZAMAZSIN ACIKLI KŞARNET #Koronavirüs,,,,,['Koronavirüs']
Bursa Hayat Gazetesi,@bursahayatcomtr,2021-08-08T08:26:52.000Z,#Bursa #Bursaspor #Gündem #Güncel #Koronavirüs #yangin,,,,,"['Bursa', 'Bursaspor', 'Gündem', 'Güncel', 'Koronavirüs', 'yangin']"
gamze süner atay,@gsuneratay,2021-08-09T07:17:19.000Z,Bizde de sürü bağışıklığı yakalanamıyorsa hiç bir yerde yakalanamaz bence #koronavirüs,,,,,['koronavirüs']
Gastecin,@gastecintr,2021-08-10T08:53:17.000Z,#RuhsarPekcan #Dezenfektan #Koronavirüs #Salgın,,,,,"['RuhsarPekcan', 'Dezenfektan', 'Koronavirüs', 'Salgın']"
TURKTIME,@turktimecom,2021-08-12T09:02:31.000Z,"Almanya'da koronavirüs vakaları zirve yaptı 
https://bit.ly/37yRCAK  #koronavirues",,,1,3,['koronavirues']
Perspektif,@perspektifeu,2021-08-09T08:35:38.000Z,"#Kanada'da, yeni tip #koronavirüs (Kovid-19) salgını nedeniyle 20 Mart 2020'den bu yana uygulanan sınır kısıtlamalarına bugünden itibaren kademeli olarak son veriliyor.","Kanada İki Doz Kovid-19 Aşısı Olanlar İçin Sınır Kısıtlamalarını Kaldırıyor
Kanada, Kovid-19 salgını nedeniyle 20 Mart 2020'den bu yana uyguladığı sınır kısıtlamalarını bugünden itibaren kademeli olarak kaldırıyor.
perspektif.eu",,,1,"['Kanada', 'koronavirüs']"
huseyin kutgun,@hkutgun,2021-08-06T14:10:22.000Z,"YALOVA AȘIDA MAVİ OLDU 
Yalova da yürütülen Covid-19 aşılama çalışmalarında bugün itibariyle en az 1 doz aşı olan vatandaşların oranı % 75'e ulaştı ve aşı haritasında mavi renklendirme listesine girdi. 
#yalova #covid19 #koronavirüs",,,,,"['yalova', 'covid19', 'koronavirüs']"
