username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Karthick,@VKKarthickKrish,2021-08-11T18:34:32.000Z,"@chennaicorp
 we can't able to sleep in the night time, all time mosquitoes are biting us. Kindly take immediate action #Thiruvanmiyur #mosquito #kosu 
@DMK_Chennai
 @rdc_south
 #கொசு_பிரச்சனைகள் #",,1,,,"['Thiruvanmiyur', 'mosquito', 'kosu', 'க']"
kosu,@kosu31629065,2021-08-11T02:48:07.000Z,"今回の絵は、グッバイ宣言風のシンボリルドルフです。（ポーズはトレス）
少しでもいいなと思ったらとフォローして下さい！#シンボリルドルフ 
#会長 #kosu31629065  #kosu
#うま娘 #グッバイ宣言 #トレース 
#うま #絵描きさんと繋がりたい",,,2,19,"['シンボリルドルフ', '会長', 'kosu31629065', 'kosu', 'うま娘', 'グッバイ宣言', 'トレース', 'うま', '絵描きさんと繋がりたい']"
kosu,@kosu31629065,2021-08-11T09:49:47.000Z,"マックのブルーハワイの飲み物、すごく美味しかったです！なんか色も綺麗で味はレモンみたいな感じでした！コップに入れたりするともっと綺麗になったよ〜
#マック #kosu31629065 #kosu
#美味い #ジュース #ブルーハワイ",,1,1,4,"['マック', 'kosu31629065', 'kosu', '美味い', 'ジュース', 'ブルーハワイ']"
kosu,@kosu31629065,2021-08-08T02:57:38.000Z,7月31日からツイートしてませんでした…（すいません）8月にも入ったということなので暑中見舞いのイラストを描いてみました。描いてある人はガンダムの  ハマーンカーン  シャア  ララァ  です。少しでもいいなと思ったらとフォローして下さい！#kosu #ガンダム  #イラスト #夏休み,,,1,4,"['kosu', 'ガンダム', 'イラスト', '夏休み']"
kosu,@kosu31629065,2021-08-09T11:58:13.000Z,"やる気0％ゴルシちゃん。
#kosu31629065 #kosu #うま娘 
#ゴールドシップ #ゴルシ #やる気 
#イラスト #かわいいイラスト #絵描きさんと繋がりたい #いいね",,,,19,"['kosu31629065', 'kosu', 'うま娘', 'ゴールドシップ', 'ゴルシ', 'やる気', 'イラスト', 'かわいいイラスト', '絵描きさんと繋がりたい', 'いいね']"
Ahmthlsozn,@Ahmethozn,2021-08-11T21:09:32.000Z,"Hayatına Hareket Kat
#koşu #running",,,,,"['koşu', 'running']"
Aytaç G,@garipbisikletci,2021-08-12T09:58:08.000Z,"madem bu sene de tuz gölüne gidemiyoruz, biz de sanal koşarız 

#runfire #runfiresaltlake #runfiresaltlakevirtual #ateşbeniçağırıyoramagidemiyorum #koşu #running #trailrunning",,,,,"['runfire', 'runfiresaltlake', 'runfiresaltlakevirtual', 'ateşbeniçağırıyoramagidemiyorum', 'koşu', 'running', 'trailrunning']"
Aytaç G,@garipbisikletci,2021-08-08T05:23:43.000Z,eker maratonuna doğru no11   #koşu #running #ekerirun #ekerkoşu,,,,1,"['koşu', 'running', 'ekerirun', 'ekerkoşu']"
Onur,@onurbeckett,2021-08-07T03:33:03.000Z,"#koşu candır ! 
#günaydın 
#cumartesi",,,,3,"['koşu', 'günaydın', 'cumartesi']"
Focus: Black Oklahoma,@focusblackok,2021-08-13T06:23:39.000Z,"https://kosu.org/podcast/focus-black-oklahoma…
#Tulsa #Oklahoma #TriCityCollective #OKC #SupportBlackMedia #FBO #FocusBlackOklahoma #KOSU #NPR #TulsaArtistFellowship #KWGS #BlackNews #TriCC #BlackWallStreet #BWS #BlackWallStreetMassacre #Centennial
@KOSURadio
 @TulsaF
 @trctycollective","Focus: Black Oklahoma
Focus: Black Oklahoma is a news and public affairs program covering topics relevant to the Black community statewide. The show seeks to inform the public through stories and interviews, engage the...
kosu.org",,,,"['Tulsa', 'Oklahoma', 'TriCityCollective', 'OKC', 'SupportBlackMedia', 'FBO', 'FocusBlackOklahoma', 'KOSU', 'NPR', 'TulsaArtistFellowship', 'KWGS', 'BlackNews', 'TriCC', 'BlackWallStreet', 'BWS', 'BlackWallStreetMassacre', 'Centennial']"
anterhaber,@anterhaber1,2021-08-10T18:51:41.000Z,İznik Ultra Dağ Yarışında Uyanık ve Ayan’dan 2 madalya geldi https://anterhaber.com/iznik-ultra-dag-yarisinda-uyanik-ve-ayan-dan-2-madalya-geldi/13347/… #bodrum #muğla #iznik #iznikultra #atletizm #koşu #run #gaziemirbelediye,,,,1,"['bodrum', 'muğla', 'iznik', 'iznikultra', 'atletizm', 'koşu', 'run', 'gaziemirbelediye']"
Hasan Buyruk,@hasanbuyruk10,2021-08-11T21:00:28.000Z,"planlı cadı avı. her zamanki gibi suni mağduriyet yaratma kisvesi altında kendi mülteci politikasını, hümanizm maskesi altına saklamak. savı güçlendirmek adına 3-5 mazlumun da canı yanmış, umrunda olur mu?",,1,,1,[]
Hasan Buyruk,@hasanbuyruk10,2021-08-11T21:02:53.000Z,"evinizi taşlasalar, o sırada çocuklarınızın videosunu mu çekerdiniz? kaşımak isteyenler için 

ilgili konu etiketleri: 
#hıyar #sik #tuzluk #koşu",,,,,"['hıyar', 'sik', 'tuzluk', 'koşu']"
Eker I RUN,@ekerirunkosusu,2021-08-12T11:58:28.000Z,"Koşmaya başladığında bazen motivasyona ihtiyacın olabilir.
Hedeflerini yükselt, içindeki rekabetçi ruhu ortaya çıkar. Nefesini daima kontrol et ve adımlarını her zaman ritmik at. Rotanı içerisinde huzur bulduğun mekanlara çevir ve son olarak 
.
.
.",,1,,1,[]
Eker I RUN,@ekerirunkosusu,2021-08-12T11:58:28.000Z,"senin ritimlerine hitap eden en uygun playlist’i hazırla.

Hazırsan linke tıkla, Eker I RUN’da her adımınla fark yarat.  https://ekerkosu.com

#ekerirun 
#BirAdımAtFarkYarat
#koşu #spor 
#sağlıklıyaşamiçinkoş 
#iyilikpeşindekoş 
#ekerkoşu 
#run",,,,,"['ekerirun', 'BirAdımAtFarkYarat', 'koşu', 'spor', 'sağlıklıyaşamiçinkoş', 'iyilikpeşindekoş', 'ekerkoşu', 'run']"
BİTARAF Haber,@bitarafiz,2021-08-08T14:43:45.000Z,"Fransız maraton koşucusu Morhad Amdouni’nin su şişelerini devirerek rakiplerinin almasını engellediği anlar.

#fransız #fransa #morhadamdouni #su #maraton #koşu #sondakika #haber #haberler #gündem #bitarafiz","0:04
20 views",,,,"['fransız', 'fransa', 'morhadamdouni', 'su', 'maraton', 'koşu', 'sondakika', 'haber', 'haberler', 'gündem', 'bitarafiz']"
Aytaç G,@garipbisikletci,2021-08-12T06:56:05.000Z,"maltepe pendik koştuk geldik

eker maratonuna doğru no14   #koşu #running #ekerirun #ekerkoşu",,,,1,"['koşu', 'running', 'ekerirun', 'ekerkoşu']"
Aytaç G,@garipbisikletci,2021-08-11T05:04:26.000Z,"kartal pendik koştuk geldik

eker maratonuna doğru no13   #koşu #running #ekerirun #ekerkoşu",,,1,10,"['koşu', 'running', 'ekerirun', 'ekerkoşu']"
BİTARAF Haber,@bitarafiz,2021-08-08T14:43:45.000Z,"Fransız maraton koşucusu Morhad Amdouni’nin su şişelerini devirerek rakiplerinin almasını engellediği anlar.

#fransız #fransa #morhadamdouni #su #maraton #koşu #sondakika #haber #haberler #gündem #bitarafiz","20 views
0:07 / 0:08",,,,"['fransız', 'fransa', 'morhadamdouni', 'su', 'maraton', 'koşu', 'sondakika', 'haber', 'haberler', 'gündem', 'bitarafiz']"
Aytaç G,@garipbisikletci,2021-08-09T12:22:02.000Z,eker maratonuna doğru no12   #koşu #running #ekerirun #ekerkoşu,,,,,"['koşu', 'running', 'ekerirun', 'ekerkoşu']"
