username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Tc İlker Özmen,@ilker_ozmn31,2020-05-27T19:53:28.000Z,#KutluYol  Gider #TanrıDağına,,,,3,"['KutluYol', 'TanrıDağına']"
Video İndir,@indir_bunu,2020-05-27T19:44:03.000Z,"She isn’t wrong https://twitter.com/scale_banana/status/1264458858388389890/video/1…

#KutluYol",,,,,['KutluYol']
Khalid,@im_khalidbutt,2020-05-27T21:24:48.000Z,"RIP Alishar 
 #KurulusOsman #KutluYol",,,,3,"['KurulusOsman', 'KutluYol']"
Irina Borisovna KuruluşOsman,@IrinaBoris0vna,2020-05-28T08:49:57.000Z,"First in all categories
#KutluYol
#KuruluşOsman   #BurakOzcivit #OsmanBey
@burakozcivit",Burak Özçivit and Kuruluş Dizisi,,12,31,"['KutluYol', 'KuruluşOsman', 'BurakOzcivit', 'OsmanBey']"
Şeyda3560 Tokat'lı,@Seydadndar,2020-05-27T19:23:48.000Z,"#kutluyol #KurulusOsman 
Aminnn Aminn ",,,1,8,"['kutluyol', 'KurulusOsman']"
Raskolnikov,@haticekkaraman,2020-05-27T19:43:26.000Z,"Feed the brain...
#kitap #KutluYol",,,1,3,"['kitap', 'KutluYol']"
Ömer Faruk,@bayido1,2020-05-28T00:35:39.000Z,"Yeni Bir Güne Bismillah...
Selamün Aleyküm
Hayırlı
Nurlu
Mutlu
Keyifli
Neşeli
Umutlu
Sağlıklı
Bereketli
Huzurlu Bir Gün dilerim.
Yüce Rabbim Yar ve Yardımcınız Olsun.
Dua ile 
#Persembe #Günaydın
#SabahNamazı #Rojbaş
#KutluYol #FetihNesliBulusuyor",,20,51,209,"['Persembe', 'Günaydın', 'SabahNamazı', 'Rojbaş', 'KutluYol', 'FetihNesliBulusuyor']"
A Haber,@Ahaber,2020-05-27T20:28:02.000Z,#KutluYol Kuruluş Osman'da geceye damga vuran sahne! Alişar'ın konağı ele geçiriliyor http://ow.ly/Qeuv50zRPqV,,3,3,35,['KutluYol']
AhmetNamıkAKDOĞAN,@Anakdogann,2020-05-27T20:38:08.000Z,#KutluYol İ'lay-ı Kelimetullah için Nizam-ı Alem...,,,10,63,['KutluYol']
Sohail Tariq,@sohailit,2020-05-27T20:33:53.000Z,"Watching #KurulusOsman
Love from #Pakistan  
#KutluYol",,,1,1,"['KurulusOsman', 'Pakistan', 'KutluYol']"
Kuruluş Dizisi,@KurulusDizisi,2020-05-27T21:16:35.000Z,"Bizleri evlerinizde ağırladığınız için teşekkürler. #KuruluşAilesi

#KutluYol
@bozdagfilm
 @atvcomtr",,13,47,620,"['KuruluşAilesi', 'KutluYol']"
Silviajr10,@Silviajreme,2020-05-27T18:26:34.000Z,#KuruluşOsman #BurakÖzçivit #KutluYol ,,,12,31,"['KuruluşOsman', 'BurakÖzçivit', 'KutluYol']"
Bilge 60-58,@AkBilgeAk,2020-05-27T20:46:17.000Z,"Bu sahneye düştüm çıkamıyorum .
Muazzamdı özlemişiz kelle almayı
#KutluYol
#KurulusOsman",,11,33,146,"['KutluYol', 'KurulusOsman']"
Aydın. Taş Ustası,@_aydin_Usta,2020-05-27T20:29:31.000Z,"#27MAYIS
#KutluYol 
Uçağını düşürerek öldüremeyince Alparslan Türkeş iderliğindeki Amerikancı haydut subayları harekete geçirdiler
27 MAYIS DARBESİ'NİN GEREKÇESİ
KOMÜNİST MENDERES, TÜRKİYE'Yİ
RUSLARA SATACAK ENGEL OLALIM
27 Mayıs 1960. 60 yıl önce bugün Türk Ordusu içinde",,5,85,110,"['27MAYIS', 'KutluYol']"
𝒮ℯ𝓇𝒽𝒶𝓉 𝒮𝒜ℛℐℬ𝒪𝒢̆𝒜,@Serhat___S,2020-05-29T03:58:25.000Z,"1299-1453 #KutluYol
İnne Fetahna leke fethan mübina.",,,8,34,['KutluYol']
Nefise A.,@NArslan2023,2020-05-27T20:45:26.000Z,"Osmanlı ile başlayan #KutluYol 
@RTErdogan
'la devam etmektedir..",,,19,50,['KutluYol']
