username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Akinwumi oyebade,@oyebee,2021-08-13T01:29:02.000Z,The emotions from #koepek was     #FieldOfDreamsGame,,,,,"['koepek', 'FieldOfDreamsGame']"
Turgay Yiğit,@yigiturgay,2021-08-12T11:29:03.000Z,Funniest Animals - Best Of The 2021 Funny Animal Videos https://youtu.be/P6T-EgUL51c #kedi #cat #cats #istanbul #catsofinstagram #köpek #catstagram #pet #instacat #izmir #turkey #kediler #animal #britishshorthair #ankara #kitten #catlover #animals #instagood #love,"Funniest Animals - Best Of The 2021 Funny Animal Videos
Best of the 2021 funny animal videos. This is the funniest and best video ever. It is funny and cute!►►►►►►►►► THANKS FOR WATCHING◄◄◄◄◄◄◄◄◄ ► AND DON'T FORGE...
youtube.com",,,,"['kedi', 'cat', 'cats', 'istanbul', 'catsofinstagram', 'köpek', 'catstagram', 'pet', 'instacat', 'izmir', 'turkey', 'kediler', 'animal', 'britishshorthair', 'ankara', 'kitten', 'catlover', 'animals', 'instagood', 'love']"
Angels Farm Sanctuary (Ferdinand'ın Çiftliği),@sibel_cakr,2021-08-13T16:41:27.000Z,Sıcak  çoook sıcak! Tamam anladık! Ama duş aldığın su içilmez  be yahu 85  #köpek #sıcak #duş,"0:45
5 views",,,5,"['köpek', 'sıcak', 'duş']"
Tonguç Erbaş,@Tongucerbas,2021-08-06T13:31:18.000Z,Acaba ne zaman son buldu bu kovalamaca #Köpek #Sincap #Orman,"İyi ki Gördüm
@iyikigordum
 · Aug 6",,2,9,"['Köpek', 'Sincap', 'Orman']"
Serpil Berat Tezgör (JUPİTERİNKIZI),@serpilberat,2021-08-06T20:48:20.000Z,Cami duvarına işeyen #köpek değil di mi ?,,,,,['köpek']
Bébé Greffière,@cknel_,2021-08-05T17:47:13.000Z,Un bonheur.. Keyif yapıyorumdur #happy #dog #mutlu #köpek #Turkey #Gaziantep #enjoylife,,,,5,"['happy', 'dog', 'mutlu', 'köpek', 'Turkey', 'Gaziantep', 'enjoylife']"
Orijinalden Trakyalı,@yvzbeya2259,2021-08-11T06:31:47.000Z,"Replying to 
@nilamadeli",Günaydın  umut ve huzur dolu bir güne. #Köpek  karşılıksız sevmek,1,,,[]
Kadir Özden,@Kdrozdn,2021-08-07T23:44:15.000Z,"Bazen sadece karınları değil sevgiye de aç kalıyorlar. Onları sevin 

#eskisehir #hayvan #köpek #hayvanlarıkoruyalım",,,1,5,"['eskisehir', 'hayvan', 'köpek', 'hayvanlarıkoruyalım']"
Ben_akıllanmam,@BLlanmam,2021-08-07T22:24:40.000Z,Dağın başında ev alırsam gelen misafilerim #kedi #köpek  #kaplumbağa ve #yabanidomuzlar  #huzur,,,,3,"['kedi', 'köpek', 'kaplumbağa', 'yabanidomuzlar', 'huzur']"
Reflex Mama,@Reflex_Mama,2021-08-10T07:49:31.000Z,"Onları tam ve dengeli bir şekilde beslemek bizde Reflex.

#Reflex #mama #kedimaması #kedi #köpek",,,,1,"['Reflex', 'mama', 'kedimaması', 'kedi', 'köpek']"
veterinerdante,@veterinerdante,2021-08-05T17:10:40.000Z,"Etken dış ortamda idrarda uzun süre yaşamadığından, hastalık etkeni ile temas eden yerlerde etkili dezenfektanlar ile temizlenebilir.

#lepistospiroz #lepistospirosis #içparazit #parazit #parazitaşısı #parazitler #köpekparazit #köpek #fare #kedi",,,,1,"['lepistospiroz', 'lepistospirosis', 'içparazit', 'parazit', 'parazitaşısı', 'parazitler', 'köpekparazit', 'köpek', 'fare', 'kedi']"
