username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Benjamin Weiermann,@weiermann85,2021-08-05T08:37:57.000Z,My Magazine Article 2021  #skateboarding #article #magazine #magazin #unna,Benjamin Weiermann,,1,2,"['skateboarding', 'article', 'magazine', 'magazin', 'unna']"
Open Writer's Room,@WriterOpen,2021-08-10T07:00:45.000Z,"3rd e-magazine August edition is on its way.
You can submit your article, story, poem, etc on these topics
For more information please contact us.
.
The Last Date of Submission - 20th August 2021 
http://openwritersroom.com
#magazin #August #WritingCommunity #writerslift #writing",,,,,"['magazin', 'August', 'WritingCommunity', 'writerslift', 'writing']"
Bilal Özdemir,@bilozdemir,2021-08-11T09:59:01.000Z,"To get to the highest, the war continues…
.
.
#skyland #skylandistanbul #istanbul #interturkey #gündem #magazin #instagram #turkey #rangerover #fotoğraf @ Skyland İstanbul https://instagram.com/p/CSbhDuYKR56/?utm_medium=twitter…",,,,,"['skyland', 'skylandistanbul', 'istanbul', 'interturkey', 'gündem', 'magazin', 'instagram', 'turkey', 'rangerover', 'fotoğraf']"
papapugdiego,@papapugdiego,2021-08-11T15:59:29.000Z,"Who knows food better than a food obsessed puggy?

#foodandwine #magazine #magazinecover #chef #topchef #chefsofinstagram #foodie #foodlover #foodlove #foodlife #kitchen #homecooking #magazin #cook #cooking #pug #pugs #puglife #puglove #dogmodel #dog #pugsnotdrugs",,,1,,"['foodandwine', 'magazine', 'magazinecover', 'chef', 'topchef', 'chefsofinstagram', 'foodie', 'foodlover', 'foodlove', 'foodlife', 'kitchen', 'homecooking', 'magazin', 'cook', 'cooking', 'pug', 'pugs', 'puglife', 'puglove', 'dogmodel', 'dog', 'pugsnotdrugs']"
TURKTIME,@turktimecom,2021-08-05T08:54:32.000Z,"Hande Erçel ekranlara ara verecek 

https://bit.ly/3iqPph0
#magazin #handeercel",,,,2,"['magazin', 'handeercel']"
olay.com.tr,@OlayHaber_Bursa,2021-08-07T12:17:13.000Z,"Bomba iddia! Ayrılıyor

https://olay.com.tr/bomba-iddia-ayriliyor-829341… #haber #sondakika #Magazin #ÇekirgeMagazin",,,,2,"['haber', 'sondakika', 'Magazin', 'ÇekirgeMagazin']"
olay.com.tr,@OlayHaber_Bursa,2021-08-09T07:07:33.000Z,"Sercan Yıldırım'dan sürpriz teklif!

https://olay.com.tr/sercan-yildirimdan-surpriz-teklif-829813… #haber #sondakika #Magazin #ÇekirgeMagazin",,,2,3,"['haber', 'sondakika', 'Magazin', 'ÇekirgeMagazin']"
StartupValley,@startup_valley,2021-08-13T10:24:02.000Z,"Das neue StartupValley Magazin 
⠀
mei marend Brotzeitbox aus Bambus nachhaltig und praktisch⠀
⠀
#nilsglagau #löwe #dhdl #erfolg #höhlederlöwen⠀
#magazin #pitch #startupvalley 
⠀
http://startupvalley.shop⠀",,,1,,"['nilsglagau', 'löwe', 'dhdl', 'erfolg', 'höhlederlöwen', 'magazin', 'pitch', 'startupvalley']"
Türkçe,@turkce,2021-08-11T07:51:04.000Z,"'Ben sanatçıyım, lütfen kelepçe takmayın': Karaköy'de bir otelin restoranında yüksek sesli konuştuğu için kendisini dışarı çıkarmak isteyen güvenlik görevlilerine direnen daha sonra da olay yerine gelen polis ve… http://dlvr.it/S5Qs1t #Türkçe #MagazinHaberleri #Magazin",,,1,1,"['Türkçe', 'MagazinHaberleri', 'Magazin']"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T14:04:38.000Z,"Şahan Gökbakar uyardı: Sakın bu oyunlara düşmeyin!

https://olay.com.tr/sahan-gokbakar-uyardi-sakin-bu-oyunlara-dusmeyin-829671… #haber #sondakika #Magazin #ÇekirgeMagazin",,,,1,"['haber', 'sondakika', 'Magazin', 'ÇekirgeMagazin']"
Erfolgsquelle,@erfolgsquelle_,2021-08-13T11:06:00.000Z,"Kennst du schon die neuste #Ausgabe des #Geld Magazins über das Thema #Dividende ? Hier kannst du sie lesen: http://geldmag.org/erfolgsquelle 
@FinanzfeedDe
 #finanzfeed #geldmag #erfolgsquelle #magazin #dividenden #investieren #aktie #aktien",,,,,"['Ausgabe', 'Geld', 'Dividende', 'finanzfeed', 'geldmag', 'erfolgsquelle', 'magazin', 'dividenden', 'investieren', 'aktie', 'aktien']"
