username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Kenan Topal,@Topal71,2021-08-08T16:27:30.000Z,Gizlice evlenen Görkem Sevindik baba oluyor #GörkemSevindik #pazar #magazin,"Gizlice evlenen Görkem Sevindik baba oluyor
Son olarak Kırmızı Kamyon dizisinde başrol oynayan Görkem Sevindik'in gizlice evlendiği ve yakında baba olacağı ortaya çıktı.
dizifilmdergisi.com",,1,,"[""['GörkemSevindik', 'pazar', 'magazin']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T16:05:29.000Z,"Sahnede eteği uçuştu! Ali Küçükbalçık beline masa örtüsünü bağlattı

https://olay.com.tr/sahnede-etegi-ucustu-ali-kucukbalcik-beline-masa-ortusunu-baglatti-829764… #haber #sondakika #Magazin #ÇekirgeMagazin",,,,1,"[""['haber', 'sondakika', 'Magazin', 'ÇekirgeMagazin']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T15:57:57.000Z,"Usta sanatçı hayatını kaybetti

https://olay.com.tr/usta-sanatci-hayatini-kaybetti-24-829761… #haber #sondakika #Magazin #ÇekirgeMagazin",,,,,"[""['haber', 'sondakika', 'Magazin', 'ÇekirgeMagazin']""]"
Gazete Magazin,@gazetemagazintv,2021-08-08T13:49:52.000Z,PLAJ ORTASINDA YAPTIĞIYLA ŞOKE ETTİ! #Magazin #GazeteMagazin,"PLAJ ORTASINDA YAPTIĞIYLA ŞOKE ETTİ! | Gazete Magazin
gazetemagazin.com",,,,"[""['Magazin', 'GazeteMagazin']""]"
Haber34 İstanbul,@Haber34I,2021-08-08T13:40:15.000Z,"Şahan Gökbakar uyardı: Sakın bu oyunlara düşmeyin! - 

http://haber34.istanbul/sahan-gokbakar-uyardi-sakin-bu-oyunlara-dusmeyin/…

-
#magazin #keşfet #takip #borsa #bist100 #ekonomi","Şahan Gökbakar uyardı: Sakın bu oyunlara düşmeyin! - Haber34.İstanbul
Günlerdir Marmaris’te çıkan orman yangınlarıyla mücadele eden ekiplere destek veren Şahan Gökbakar, adını kullanıp insanlardan para toplayanlara karşı takipçilerini uyardı. Bu kişiler hakkında dava...
haber34.istanbul",,,2,"[""['magazin', 'keşfet', 'takip', 'borsa', 'bist100', 'ekonomi']""]"
Haber34 İstanbul,@Haber34I,2021-08-08T13:40:13.000Z,"Geri dönüşü hızlı oldu - 

http://haber34.istanbul/geri-donusu-hizli-oldu/…

-
#magazin #keşfet #takip #borsa #bist100 #ekonomi","Geri dönüşü hızlı oldu - Haber34.İstanbul
Seneye 29.000 dolardan başlayan Bitcoin nisan ayında 64.000 doları aşarak rekor kırdı. Ardından 20 Temmuz’da 30.000 doların altına düştü ve 2021 kazancının tamamını geri verdi. Ancak bu tarihten...
haber34.istanbul",,,2,"[""['magazin', 'keşfet', 'takip', 'borsa', 'bist100', 'ekonomi']""]"
ahoraGranada,@AhoraGranada,2021-08-08T13:20:00.000Z,"#Magazín | La cantaora, apodada 'La Repompilla', ha recibido un trofeo y 1.600 euros de premio","La granadina Amparo Heredia gana la 'Lámpara Minera' del Cante de las Minas - Ahora Granada
La cantaora granaína Amparo Heredia, 'La Repompilla', se ha alzado con la 'Lámpara Minera' en la 60 edición del Festival Internacional del Cante de las Minas. Su interpretación en la final de...
ahoragranada.com",,,1,"[""['Magazín']""]"
TURKTIME,@turktimecom,2021-08-08T13:00:51.000Z,"Şeyma Subaşı'ndan teknede cesur pozlar! #magazin 
https://bit.ly/3s28qto",,,,2,"[""['magazin']""]"
olay.com.tr,@OlayHaber_Bursa,2021-08-08T12:44:00.000Z,"Berdan Mardini'yi aldatan Fatoş Yelliler özür diledi! Eski sevgiliden ağır tepki

https://olay.com.tr/berdan-mardiniyi-aldatan-fatos-yelliler-ozur-diledi-eski-sevgiliden-agir-tepki-829639… #haber #sondakika #Magazin #ÇekirgeMagazin",,,,1,"[""['haber', 'sondakika', 'Magazin', 'ÇekirgeMagazin']""]"
Haber34 İstanbul,@Haber34I,2021-08-08T12:40:20.000Z,"Britney Spears'ı çilesi bitmiyor! Babası bu kez de... - 

http://haber34.istanbul/britney-spearsi-cilesi-bitmiyor-babasi-bu-kez-de/…

-
#magazin #keşfet #takip #borsa #bist100 #ekonomi","Britney Spears'ı çilesi bitmiyor! Babası bu kez de... - Haber34.İstanbul
Jamie Spears kızının üstündeki egemenliğine devam ediyor. Britney Spears’ın babası şimdi de vasisi konumunda olduğu kızının hastaneye yatırılmasını istiyor. Jamie Spears kızının üstündeki egemenliğ...
haber34.istanbul",,,,"[""['magazin', 'keşfet', 'takip', 'borsa', 'bist100', 'ekonomi']""]"
