username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Nathalie Hayeck,@NathalieHayeck,2018-07-03T00:13:18.000Z,#MARSU project secondment at #CIBION in Argentina. Scanning organic composition of Cape Verde's SML by DART source,,1,,6,"['MARSU', 'CIBION']"
Gerben Valkema,@GurbyV,2020-10-20T10:29:59.000Z,"Lunchtime reading 
#franquin #marsu #gaston #art #lunch #salami #humus #all #those #hashtags",,1,1,16,"['franquin', 'marsu', 'gaston', 'art', 'lunch', 'salami', 'humus', 'all', 'those', 'hashtags']"
Uwelltech,@Uwelltech,2020-08-27T21:00:00.000Z,"𝐋𝐨𝐯𝐞𝐥𝐲 𝐚𝐟𝐭𝐞𝐫𝐧𝐨𝐨𝐧 𝐭𝐨 𝐞𝐧𝐣𝐨𝐲 𝐌𝐚𝐫𝐬𝐮𝐩𝐨𝐝

The Uwell Marsupod comes with a 150mAh pod and a 1000mAh charging case, no buttons, no screen and no hassle just a perfect vape experience

#marsupod #marsu #uwell #myuwell #podvape

Happy Vaping!",,,4,20,"['marsupod', 'marsu', 'uwell', 'myuwell', 'podvape']"
Jaimie Whitbread,@JaimieSomething,2019-10-07T17:44:35.000Z,"I couldn't think of anything quippy to say about the greater glider. It just has such big, magnificent ears - I can only marvel at it. Look at them, such majesty!

#inktober #inktober2019 #greaterglider #possum #giantears #animalart #animalillustration #art #penandink #marsu…",,,,7,"['inktober', 'inktober2019', 'greaterglider', 'possum', 'giantears', 'animalart', 'animalillustration', 'art', 'penandink', 'marsu']"
Uwelltech,@Uwelltech,2020-09-15T20:00:01.000Z,"Marsupod is much more than a vape! 
.
The Marsupod PCC kit comes with one 150mAh mini pod and a 1000mAh power bank to ensure you are never caught without a charge. 
___________

#marsupod #marsu #uwellmarsupod #uwell #myuwell #podvape #podsystems #vapepod #vapeon #vapelove",,1,1,32,"['marsupod', 'marsu', 'uwellmarsupod', 'uwell', 'myuwell', 'podvape', 'podsystems', 'vapepod', 'vapeon', 'vapelove']"
Uwelltech,@Uwelltech,2020-09-01T20:00:00.000Z,"𝐓𝐡𝐞 𝐌𝐚𝐫𝐬𝐮𝐩𝐨𝐝 𝐢𝐬 𝐚 𝐭𝐡𝐢𝐧𝐠 𝐨𝐟 𝐛𝐞𝐚𝐮𝐭𝐲

Uwell Marsupod 11W PCC Starter Kit, combines a draw-activated 150mAh pod system with A 1000mAh rechargeable carrying case

#marsupod #marsu #uwell #myuwell #podvape #vapepod #vapeon #vapelove

Happy vaping!",,,2,18,"['marsupod', 'marsu', 'uwell', 'myuwell', 'podvape', 'vapepod', 'vapeon', 'vapelove']"
Hartmut Herrmann,@H_Herrmann24,2018-04-16T19:40:20.000Z,#MARSU is an #EU #RISE staff exchange programme which is coordinated by #ICARE Orleans  by  @WahidMellouki. See http://marsu.era-orleans.org,,,1,1,"['MARSU', 'EU', 'RISE', 'ICARE']"
Ruby Tombstone,@RubyTombstone,2019-12-08T07:46:10.000Z,"I may have just adopted a koala at @portmacquariekoalahospital !!
Who could resist that boofy face? 
Also just finished the last of the 3 marsupial pouches I’ll post to 
@jacquifink
 this week.
.
#australianbushfires #savethekoalas #koalas #marsu… https://ift.tt/351PP4m",,,,2,"['australianbushfires', 'savethekoalas', 'koalas', 'marsu']"
TweetsAboutTheCenter,@TweetsCenter,2018-03-07T19:54:10.000Z,"RT 
@H_Herrmann24
 @rarohde
 @PeterAlstone
 @jgkoomey
 In the course of the #EU funded project #Marsu, we are just starting to set up an new measurment station near #Ifrane in #Morocco , see https://buff.ly/2Fo1YUy This will be operated by CNRS Orleans and UM…",,,,,"['EU', 'Marsu', 'Ifrane', 'Morocco']"
piggiesonwheels,@Piggiesonwheels,2019-05-13T16:23:25.000Z,The many faces of #crunchpig #Piggiesonwheels #pettherapy #guineapigsofinstagram #cavy #cavies #caviesofinstagram #smallpets #marsu #guineapig #guineapigs #guineapigsofig #pet #pets #petsofinstagram #cochondinde… https://instagram.com/p/BxaMaarAabp/?igshid=1rcw2yifdkaj7…,,,,,"['crunchpig', 'Piggiesonwheels', 'pettherapy', 'guineapigsofinstagram', 'cavy', 'cavies', 'caviesofinstagram', 'smallpets', 'marsu', 'guineapig', 'guineapigs', 'guineapigsofig', 'pet', 'pets', 'petsofinstagram', 'cochondinde']"
