username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Pratik Matematik,@besdakikadamat1,2021-08-08T11:56:03.000Z,#pazar #Haftasonu #math #matematik,"5 ile Çift Sayıları Çarpma #shorts
Çift Sayıları 5 ile kısa yoldan nasıl çarparız? bir sayının yarısını almayı ve 10 ile pratik çarpmayı biliyorsanız çok kolay! Nasıl mı? İzleyin! #shorts
youtube.com",,,,"[""['pazar', 'Haftasonu', 'math', 'matematik']""]"
Çankaya Üniversitesi,@cankayau,2021-08-08T11:49:17.000Z,Matematik bölümümüz ile ilgili merak ettiğiniz tüm konularda sorularınızı yanıtlamak üzere sizleri Merkez Kampüsümüzde süren Tanıtım Günlerimize bekliyoruz. Tercihiniz başarı olsun. #ÇankayaÜniversitesi #CankayaUniversity #AdayÖğrenci #TanıtımGünleri #matematik,"0:07
28 views",,,1,"[""['ÇankayaÜniversitesi', 'CankayaUniversity', 'AdayÖğrenci', 'TanıtımGünleri', 'matematik']""]"
Damla Oyshova 𖥸 ☿,@ritmikharekett,2021-08-08T09:33:44.000Z,"Toplama işlemi yaparken kullandığım yöntemlerden birini buraya bırakiyorum.
Görselleştirme bizim için her alanda çok önemli 
#otizm #matematik",,,1,20,"[""['otizm', 'matematik']""]"
Murat Ceyhan,@samUrAty1905,2021-08-08T08:47:30.000Z,#math #mathematics #Matemáticas #matematik #geometry #geometri #geometriá #triangle #pentagon #circle,,,1,3,"[""['math', 'mathematics', 'Matemáticas', 'matematik', 'geometry', 'geometri', 'geometriá', 'triangle', 'pentagon', 'circle']""]"
Pratik Matematik,@besdakikadamat1,2021-08-07T12:01:40.000Z,"#Cumartesi #Haftasonu #Math #matematik 

Çözüm:
https://youtu.be/FC7Gubu0VYo",,9,9,24,"[""['Cumartesi', 'Haftasonu', 'Math', 'matematik']""]"
Haley Stonham,@hstono,2021-08-06T22:40:56.000Z,"It was a great job. I didn't have any problems.
I am very happy to have increased my Crypto dozens of times. I wanted to share my joy with you. Those in need, hurry.
Thank you so much for everything!",,51,,,['[]']
Haley Stonham,@hstono,2021-08-06T22:42:14.000Z,#gold $cvs #matematik $om #goat  $vper $plug $gbs $psth $skl #tire $stsa $fprx $flow #rdd $stx #ometv #london  $zev #vikram #blz $rose $muds $inch #safemars $tfuel #fb $bcn $vgid #theta $swth $xvs $nnvc $bnb $kern $ovid $icx $pf $qbit #remittances $snt #eth $buy $aexe,,,,,"[""['gold', 'matematik', 'goat', 'tire', 'rdd', 'ometv', 'london', 'vikram', 'blz', 'safemars', 'fb', 'theta', 'remittances', 'eth']""]"
hakançitmen,@hknctmn,2021-08-06T16:39:12.000Z,"Replying to 
@BossGercek","#mahmutozer 
#mahmutozeristifa 
#eğitim #egitim #yks2021 #matematik #tyt2021",1,,,['[]']
BİL Koleji Samsun,@bilsamsunkoleji,2021-08-06T15:45:44.000Z,İlkokul 1.sınıf öğrencimiz Matematik öğretmenini mandalada yenerkenYaz Okulu Matematik Oyunları Mandala Etkinliği..#bilkoleji #bilsamsun #ilkokul #ortaokul #yazokulu #matematik,"0:40
14 views",,1,1,"[""['bilkoleji', 'bilsamsun', 'ilkokul', 'ortaokul', 'yazokulu', 'matematik']""]"
Matematik Kafası,@matematikkafa,2021-08-06T11:27:57.000Z,#matematik,,,2,30,"[""['matematik']""]"
na_nanta,@nntajaem_,2021-08-06T05:23:15.000Z,"#ambis #matematik 

No 4 sama 5 aja yaa makasii",,,,,"[""['ambis', 'matematik']""]"
james dimmock,@jamesdimmock,2021-08-05T21:06:50.000Z,#goodmorning $eeenf #matematik $xrb $ymtx #tcehy $ok $coshi newwiee $poodl $novn fmizp $guh $snss $quick $super $jup #safeicarus $dnn $stx $nio $akita $spy #aapl jungkook しまむら #lfc dlozlami #eos $pundix $rune $cbbt $zcx #giveaway #taekook xec $hiph #litecoin #deprem,,,1,,"[""['goodmorning', 'matematik', 'tcehy', 'safeicarus', 'aapl', 'lfc', 'eos', 'giveaway', 'taekook', 'litecoin', 'deprem']""]"
Matematik Öğretmeni 2.0,@mustafaseper,2021-08-04T20:07:02.000Z,"#2022tayfa #2022lgs #matematik 
8. Sınıf Matematik Konu Anlatımı LGS 2022 | ÜSLÜ SAYILAR https://youtu.be/0hW6g-BdOtU 
@YouTube
 aracılığıyla","8. Sınıf Matematik Konu Anlatımı LGS 2022 | ÜSLÜ SAYILAR
2022 LGS Tayfa 2022 LGS matematik konularından Üslü Sayılar 8. sınıf matematik konu anlatımı videosu ile 2022 LGS hazırlık kampı videolarına devam ediyoruz. ...
youtube.com",,,,"[""['2022tayfa', '2022lgs', 'matematik']""]"
Çocukluktan Gelen,@cocukluktangeln,2021-08-04T18:43:46.000Z,"Sizce ""veri” ne demek?

Daha önce hiç merak etmiş miydiniz?

Cevabınızı yorumlara yazabilirsiniz 

#korkundegiltutkunolsun
#cocukluktangelen
#matematik #terim #cebir
#matematiksözlüğü
#istanbulüniversitesi
#matematikterimleriÇG",,,,5,"[""['korkundegiltutkunolsun', 'cocukluktangelen', 'matematik', 'terim', 'cebir', 'matematiksözlüğü', 'istanbulüniversitesi', 'matematikterimleriÇG']""]"
Umay Rehberlik & Etut,@UmayRehberlik,2021-08-04T17:50:31.000Z,"Tercih döneminde de #umayyanında

#tercih #ösym #ykstercih #tercih2021 
#umayetüt #umayrehberlik #aksehirumay #mühendislik #hukuk #tıp #mimarlık #psikoloji #PDR #yks2021 #yks #lgs #lgs2021 #ösym
#tyt #ayt #matematik #türkçe #fen #sosyal #Akşehir #Deneme",,,1,7,"[""['umayyanında', 'tercih', 'ösym', 'ykstercih', 'tercih2021', 'umayetüt', 'umayrehberlik', 'aksehirumay', 'mühendislik', 'hukuk', 'tıp', 'mimarlık', 'psikoloji', 'PDR', 'yks2021', 'yks', 'lgs', 'lgs2021', 'ösym', 'tyt', 'ayt', 'matematik', 'türkçe', 'fen', 'sosyal', 'Akşehir', 'Deneme']""]"
Mustafa M. Aydın,@Mustafaydin101,2021-08-04T17:03:53.000Z,"Replying to 
@MHilmiCinar","12 Yıllık eğitim sistemini çökerttiler. ÖSYM açıkladı, YKS de özellikle #Matematik ve #Fen'de 500 bin öğrenci sıfır çekti, 1 milyon öğrenci birinci basamağı bile geçemedi, eskiden bu söz konusu bile değildi, bir ülkede eğitim bu denli bitmiş tükenmişse ülkede bitmiş demektir.",,,,['[]']
ŞanlıurfaSınav,@SanliSinav,2021-08-04T13:54:00.000Z,"SINAV 180 ÖĞRENCİSİYLE FİNALİST!

Sınav Okulları olarak Uluslararası Kanguru Matematik Yarışması’na katılan 180 öğrencimiz final sınavına girmeye hak kazandı. 

#SınavEğitimKurumları #Sınav #Kanguru #KanguruMatematikSınavı #Matematik #SınavKoleji",,,,,"[""['SınavEğitimKurumları', 'Sınav', 'Kanguru', 'KanguruMatematikSınavı', 'Matematik', 'SınavKoleji']""]"
Ciaran Doyle,@ciarandoyler8,2021-08-02T19:57:27.000Z,$nnvc $buy #remittances #jpm $xl #microsoft #yoonmin $tlry $best #usd $cciv $uone $woof $vino $psth $chr $xem $guh $snt $ino #olt $ava #polygon $hapi #pg #ねこ $dcn #bnb $ipof $bnb #flytov $atvk $mcl $enq $dero #om $knc #dubai #matematik $mstr $ppt #yfi #hadise $ren #xiaozhan,,,1,,"[""['remittances', 'jpm', 'microsoft', 'yoonmin', 'usd', 'olt', 'polygon', 'pg', 'ねこ', 'bnb', 'flytov', 'om', 'dubai', 'matematik', 'yfi', 'hadise', 'xiaozhan']""]"
Turgay Simavi,@turgay_simavi,2021-08-02T18:48:13.000Z,"Mustafa Avni Cüre İlkokulu Öğrencisi Buğlem Mina Aslanyürek Uluslararası Matematik Yarışmasında Finale Kaldı
#malatya #yeşilyurt #mustafaavnicüreilkokulu #buğlemminaaslanyürek #özlemdikenli #matematik #kangurumatematik","Mustafa Avni Cüre İlkokulu Öğrencisi Buğlem Mina Aslanyürek Uluslararası Matematik Yarışmasında...
Mustafa Avni Cüre İlkokulu Öğrencisi Buğlem Mina Aslanyürek Uluslararası Matematik Yarışmasında Finale Kaldı Uluslararası Kanguru Matematik Yarışması’nda  Malatya Yeşilyurt İlçesi Mustafa Avn…
malatyasiyaset.com",,,,"[""['malatya', 'yeşilyurt', 'mustafaavnicüreilkokulu', 'buğlemminaaslanyürek', 'özlemdikenli', 'matematik', 'kangurumatematik']""]"
Nergis Simavi,@nergissimavi,2021-08-02T18:47:51.000Z,"Mustafa Avni Cüre İlkokulu Öğrencisi Buğlem Mina Aslanyürek Uluslararası Matematik Yarışmasında Finale Kaldı
#malatya #yeşilyurt #mustafaavnicüreilkokulu #buğlemminaaslanyürek #özlemdikenli #matematik #kangurumatematik","Mustafa Avni Cüre İlkokulu Öğrencisi Buğlem Mina Aslanyürek Uluslararası Matematik Yarışmasında...
Mustafa Avni Cüre İlkokulu Öğrencisi Buğlem Mina Aslanyürek Uluslararası Matematik Yarışmasında Finale Kaldı. Uluslararası Kanguru Matematik Yarışması’nda  Malatya Yeşilyurt İlçesi Mustafa Av…
kalemlervekiliclar.com",,,,"[""['malatya', 'yeşilyurt', 'mustafaavnicüreilkokulu', 'buğlemminaaslanyürek', 'özlemdikenli', 'matematik', 'kangurumatematik']""]"
Bilim ve Aydınlanma Akademisi,@bilimveaydnlnma,2021-08-02T16:34:51.000Z,"Yaz okulumuz başladı...

“20. Yüzyılda Sınıf Mücadeleleri ve Bilim Felsefesi” üst-başlıklı yaz okulunda dört gün boyunca bilim düşüncesinin en tartışmalı dönemini ele alacağız.

#bilim #felsefe #toplum #fizik #matematik #psikanaliz #sınıf #sosyalizm",,,8,47,"[""['bilim', 'felsefe', 'toplum', 'fizik', 'matematik', 'psikanaliz', 'sınıf', 'sosyalizm']""]"
TeLoCuentoEn5Minutos,@Telocuentoen5m,2021-08-02T15:29:30.000Z,#ConjuntodeCantor #infinito #infinity #maths #divulgación #ciencia #ciencias #science #mathproblems #mathteacher #mathstudent #mathematics #matematicas #matematik #divulagacioncientifica  #divulga #mathematician #divulgando #scientist #mathsinlove #math #mathisfun,,1,,2,"[""['ConjuntodeCantor', 'infinito', 'infinity', 'maths', 'divulgación', 'ciencia', 'ciencias', 'science', 'mathproblems', 'mathteacher', 'mathstudent', 'mathematics', 'matematicas', 'matematik', 'divulagacioncientifica', 'divulga', 'mathematician', 'divulgando', 'scientist', 'mathsinlove', 'math', 'mathisfun']""]"
Mustafa Varol,@Mustafa61954294,2021-08-02T12:40:11.000Z,Yetenek Geliştirme Atölyeleri Sadece Mercan Kolejinde #stem #robotikkodlama #müzik #görselsanatlar #akıloyunları #satranç #drama #fen #matematik #ingilizce #mutfak #proje #moderndans #yüzme #atbinme #futbol #basketbol #tenis #masatenisi #voleybol#jimnastik #mercankolejieniyisi,,,,,"[""['stem', 'robotikkodlama', 'müzik', 'görselsanatlar', 'akıloyunları', 'satranç', 'drama', 'fen', 'matematik', 'ingilizce', 'mutfak', 'proje', 'moderndans', 'yüzme', 'atbinme', 'futbol', 'basketbol', 'tenis', 'masatenisi', 'voleybol', 'jimnastik', 'mercankolejieniyisi']""]"
iStem Koleji,@iStemKoleji,2021-08-02T12:06:06.000Z,"Matematik olimpiyatlarına #iSTEM le hazırlan !

#YKS #LGS #Matematik #Olimpiyat #MatematikOlimpiyati #iStemKoleji #EğitimeİyiGelecek",,,3,7,"[""['iSTEM', 'YKS', 'LGS', 'Matematik', 'Olimpiyat', 'MatematikOlimpiyati', 'iStemKoleji', 'EğitimeİyiGelecek']""]"
nobody,@HenrikMadsen18,2021-07-31T20:58:41.000Z,Der må være en matematiker på linjen der kan komme med noget underbyggende data? #matematik #twitterhjerne,,,,,"[""['matematik', 'twitterhjerne']""]"
Saygın Eğitim Kurumu,@sayginegitim,2021-07-31T18:22:14.000Z,#ilkokul #ortaokul #kayıtlarımızdevamediyor #lgs #lgs2022 #lgs2022tayfa #türkçe #matematik #fenbilimleri #inkılaptarihi #ingilizce #dinkültürü #türktelekomortaokulu #ziyaeddinakbulutortaokulu #haliliyeortaokulu #yunusemreimkbilkokulu #2002vakıflarilkokulu #yenişehirortaokulu,,,5,5,"[""['ilkokul', 'ortaokul', 'kayıtlarımızdevamediyor', 'lgs', 'lgs2022', 'lgs2022tayfa', 'türkçe', 'matematik', 'fenbilimleri', 'inkılaptarihi', 'ingilizce', 'dinkültürü', 'türktelekomortaokulu', 'ziyaeddinakbulutortaokulu', 'haliliyeortaokulu', 'yunusemreimkbilkokulu', '2002vakıflarilkokulu', 'yenişehirortaokulu']""]"
İÜ Matematik Kulübü,@iumatematik,2021-07-31T17:51:55.000Z,"Herkese merhabalar

 ""Bu İşin İçinde Bir Matematik Var"" etkinlik serimizin beşincisiyle karşınızdayız! 6 Ağustos Cuma akşamı saat 21.00’de matematik ve yapay zeka ilişkisini konuşacağımız etkinliğimizde  Utku Köse bizlerle olacak. 
İlgilenen herkesi etkinliğimize bekliyoruz.",,1,3,14,['[]']
İÜ Matematik Kulübü,@iumatematik,2021-07-31T17:52:31.000Z,"Etkinliğimiz Zoom & YouTube platformları üzerinden canlı olarak gerçekleşecektir ve kayıt altına alınacaktır. Zoom bilgileri için DM üzerinden iletişime geçebilirsiniz.

Etkinliğimizde görüşmek üzere. 
#istanbulüniversitesi #matematik #yapayzeka #eğitim #etkinlik",,,,4,"[""['istanbulüniversitesi', 'matematik', 'yapayzeka', 'eğitim', 'etkinlik']""]"
MemurDavalari.com,@memurdavalari,2021-07-31T14:23:50.000Z,"LGS 1. nakil sonuçları ne zaman açıklanacak? http://memurdavalari.com/lgs-1-nakil-sonuclari-ne-zaman-aciklanacak/2420/… 
#Lgs #lgs2021 #lgsnakil #matematik","LGS 1. nakil sonuçları ne zaman açıklanacak?
LGS Yerleştirmeye esas 1. nakil sonuçları için heyecan dorukta. LGS yerleştirme sonuçlarının açıklanmasının ardından yerleşemeyen ve yerleştiği okulu değiştirmek isteyen öğrenciler 1. nakil tercihl...
memurdavalari.com",,,,"[""['Lgs', 'lgs2021', 'lgsnakil', 'matematik']""]"
Gülgün Sübhan-Burhanlı,@BurhanlSubhan,2021-07-31T14:00:07.000Z,"Riyaziyyat fənninin suallarını öyrənmək üçün YouTube-da Gülgün Sübhan-Burhanlı yaza bilərsiniz. Dərslər tapşırıqlar və düzgün cavabları ilə təqdim edilmişdir.

#riyaziyyat #mathematics #math #matematik #математика #imtahan #abituriyent #tələbə #təhsi̇l #məktəb #müəllim #online",,,,1,"[""['riyaziyyat', 'mathematics', 'math', 'matematik', 'математика', 'imtahan', 'abituriyent', 'tələbə', 'təhsi', 'məktəb', 'müəllim', 'online']""]"
aracomtr,@aracomtr,2021-07-31T08:28:24.000Z,"Özel ders hocası mı arıyorsun? Eğitim için Ara yeter sana!  Ücretsiz ilan oluştur, hemen 4 fiyat teklifi al.

https://ara.com.tr/hizmet/ozel-ders/matematik-ozel-ders…

#ara #aracomtr #aracom #hizmeticinara #matematik #özelders #tyt #ayt #ilköğretim #lise #öğretmen",,,,,"[""['ara', 'aracomtr', 'aracom', 'hizmeticinara', 'matematik', 'özelders', 'tyt', 'ayt', 'ilköğretim', 'lise', 'öğretmen']""]"
Benim Koleji,@benimkoleji,2021-07-31T08:02:00.000Z,"FİNALDEYİZ!

ULUSLARARASI KANGURU MATEMATİK YARIŞMASINDA 3 ÖĞRENCİMİZLE FİNALDEYİZ.

Öğrencilerimizi ve emeği geçen öğretmenlerimizi tebrik ediyoruz.

#benimokulum #benimkoleji #eğitim #okul #başarı #gaziantep #şehitkamil #şahinbey #matematik #kangurumatematik",,,,3,"[""['benimokulum', 'benimkoleji', 'eğitim', 'okul', 'başarı', 'gaziantep', 'şehitkamil', 'şahinbey', 'matematik', 'kangurumatematik']""]"
MATHKAFA,@mathkafa00,2021-07-31T07:17:12.000Z,#matematik #geometri  #ayt #tyt #kpss #öabt #öabtmatematik #özelders #mathematics #geometry,,4,9,53,"[""['matematik', 'geometri', 'ayt', 'tyt', 'kpss', 'öabt', 'öabtmatematik', 'özelders', 'mathematics', 'geometry']""]"
a Mathematician,@matheory7,2021-07-29T19:52:11.000Z,"| Question-35 |

Diophantine Equations

#Maths #Math #Matematik",,5,,5,"[""['Maths', 'Math', 'Matematik']""]"
Beren,@Sabiresozerr,2021-07-29T19:48:43.000Z,"Eğitim fakültesi öğrencilerinden ilkokul,ortaokul ve lise (dil anlatım ve edebiyat) özel dersleri verilir. İletişim için özelden yazabilirsiniz. #özelders #öğrenci #yks #lgs #dgs #kpss #sınavahazırlık #sınav #ziyaselcuk #fenbilimleri #türkçe #dilanlatım #matematik #ilkokul",,,,1,"[""['özelders', 'öğrenci', 'yks', 'lgs', 'dgs', 'kpss', 'sınavahazırlık', 'sınav', 'ziyaselcuk', 'fenbilimleri', 'türkçe', 'dilanlatım', 'matematik', 'ilkokul']""]"
MATHKAFA,@mathkafa00,2021-07-29T19:48:30.000Z,#matematik #geometry #öabt #öabtmatematik #ayt #tyt #Özelders,,1,1,12,"[""['matematik', 'geometry', 'öabt', 'öabtmatematik', 'ayt', 'tyt', 'Özelders']""]"
İÜ Matematik Kulübü,@iumatematik,2021-07-29T19:05:48.000Z,"Herkese merhaba,

27 Temmuz Salı akşamı Barış Coşkunuzer hocamız ile “Topolojik Veri Analizi” konusu ile yarı akademik seminer serimizin yedincisini gerçekleştirdik.

#istanbulüniversitesi #matematik #eğitim #etkinlik #topoloji",,1,,9,"[""['istanbulüniversitesi', 'matematik', 'eğitim', 'etkinlik', 'topoloji']""]"
Çocukluktan Gelen,@cocukluktangeln,2021-07-29T18:43:51.000Z,"Ünlü kadın matematikçi Maryam Mirzakhani’nin matematikle ilgili sözü 

“Matematiğin güzelliğini görmek için biraz enerji ve çaba harcamanız gerekiyor.”

..
#cocukluktangelen
#korkundegiltutkunolsun
#korkundeğiltutkunolsun
#matematik #terim #eğitim",,,,7,"[""['cocukluktangelen', 'korkundegiltutkunolsun', 'korkundeğiltutkunolsun', 'matematik', 'terim', 'eğitim']""]"
MathCom,@aumathcom,2021-07-29T17:09:47.000Z,"Çoğunluğu Ankara Üniversitesi Fen Fakültesi öğrencilerinden oluşan topluluğumuzda, Fen Fakültesi'yle olan bağımızdan ve yaptığımız işlerden haberdar olmanız için 
@AnkaraUni_Fen
 takip edebilirsiniz.

.
.
.
@AnkaraUni
@SKS_Ankara
#fen #matematik #bilgisayar #science #maths",,,1,3,"[""['fen', 'matematik', 'bilgisayar', 'science', 'maths']""]"
