username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
smartData Enterprises,@smartDataIncLtd,2021-08-10T15:30:00.000Z,"#Medical adherence to prescribed medication is below par than required, resulting in negative medical & economic outcomes. The increased usage of mobile phones, such apps has enhanced quality of life, expectancy, and reduced costs. #HealthTech 
Let's connect to discuss more!",,,4,18,"['Medical', 'HealthTech']"
MiddlesexGases,@MiddlesexGases,2021-08-10T17:19:49.000Z,"To better serve our #medical and #biopharmaceutical clients, we installed automated equipment in our new gas lab to allow multiple cylinders to be filled and tested simultaneously and with higher accuracy. With this technology, we can fill a whopping 6 tanks at once!",,,1,5,"['medical', 'biopharmaceutical']"
Allegheny Edu Sys,@AlleghenyEdu,2021-08-13T14:21:02.000Z,"The Advanced Projects Laboratory at 
@Nicklaus4Kids
 uses its expertise of using 
@Stratasys
 #3Dprinting technology and mixed reality to demonstrate its potential to teach #medical students.","Taking 3D printing technology and mixed reality to healthcare...
The Advanced Projects Laboratory at Nicklaus Children's uses its expertise of using 3D printing technology and mixed reality to demonstrate its potential to ...
youtube.com",,,,"['3Dprinting', 'medical']"
SAFIR-Med,@SAFIRmedEU,2021-08-10T14:30:37.000Z,Interesting read. How #drones in cities can help distribute #medical #supplies: https://buff.ly/3B3merK,,,4,12,"['drones', 'medical', 'supplies']"
Pharmaceutica Analytica Acta,@ActaAnalytica,2021-08-13T12:18:06.000Z,Drug #repositioning  is the re-purposing of an approved drug for the treatment of a different disease or #medical condition than that for which it was originally developed.,,,,,"['repositioning', 'medical']"
Beth Partin,@bethpartin,2021-08-12T18:02:58.000Z,My friend Connie Studer has written a new collection of stories that focuses on life in #medical institutions. Kirkus gave it a starred review. #nurses #medicine,"Atmosphere Press
@atmospherepress
 · Aug 7
Read QUEEN OF THE SUGARHOUSE, by Constance Studer
https://hubs.ly/H0TxX2v0",,1,2,"['medical', 'nurses', 'medicine']"
KannabiaUS,@Kannabia_US,2021-08-10T23:01:28.000Z,"LA BLANCA by #KANNABIASEEDS 

La Blanca is an award-winning strain that is ideal for both #medical and recreational users  

La Blanca works well for relaxing muscles, reducing anxiety and increasing appetite. 

Seed type: Feminized
CBD:<0,5 %
THC:17,7 %",,1,3,14,"['KANNABIASEEDS', 'medical']"
PARAGON-RT,@ParagonRT,2021-08-12T09:26:29.000Z,Materials Spotlight: Nylon PA 11 for #Medical and #Healthcare applications. Additive manufacturing with #MJF (#multijetfusion) technology.,,,1,1,"['Medical', 'Healthcare', 'MJF', 'multijetfusion']"
CareerReload,@CareerReload,2021-08-12T15:10:06.000Z,How to Write an Impressive Medical Resume https://buff.ly/3fYq64b #medical #medicalAssistant #ResumeTips,,,,,"['medical', 'medicalAssistant', 'ResumeTips']"
Child Rights International,@crighana,2021-08-10T17:46:33.000Z,"Something in the offing with this dedicated group of #medical #doctors. It is always a pleasure to work with people who care about #children.

#AnAdultIsAChildWhoHasSurvived 
#ChildProtection",,,3,5,"['medical', 'doctors', 'children', 'AnAdultIsAChildWhoHasSurvived', 'ChildProtection']"
