username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Ixion,@Ixionman,2021-08-10T10:23:04.000Z,"Sexy 
#Men",,1,21,335,['Men']
RecklessGal #RunWithCheptegei,@danx_tusiime,2021-08-05T13:43:33.000Z,France has made the volleyball final for the first time ever in their history. Wow! What a fight! Congratulations #fra #Volleyball #men #Tokyo2020,,,9,12,"['fra', 'Volleyball', 'men', 'Tokyo2020']"
ayyash,@thatonly_kidd,2021-08-04T12:21:06.000Z,#men only have 4 moods,,,3,14,['men']
Suitability,@suit_ability,2021-08-05T05:25:50.000Z,"“Be confident enough to encourage confidence in others.” 

Ron Kaufman

#northeast #men #thursday #confidence #motivation #interview #interviewoutfit #suited #suit #lookgoodfeelgood #success #jobready #style #bekind #suitedandbooted  #feelinggood #fashion #suit #community",Suitability and Darren Tate,,4,9,"['northeast', 'men', 'thursday', 'confidence', 'motivation', 'interview', 'interviewoutfit', 'suited', 'suit', 'lookgoodfeelgood', 'success', 'jobready', 'style', 'bekind', 'suitedandbooted', 'feelinggood', 'fashion', 'suit', 'community']"
BUFFMATES,@BUFFMATES,2021-08-05T08:13:03.000Z,"CONGRATULATIONS to our BUFF MATE OF THE MONTH WINNER: July 2021, Gary
#buffmates #bmotm #freebies #free #giveaway #prizes #competition #hangingout #inthebuff #bonding #mates #gaymen #gaylondon #gay #gayfollow #picofthemonth #photooftheday #picoftheday #uk #men #menstuff #july",,2,2,7,"['buffmates', 'bmotm', 'freebies', 'free', 'giveaway', 'prizes', 'competition', 'hangingout', 'inthebuff', 'bonding', 'mates', 'gaymen', 'gaylondon', 'gay', 'gayfollow', 'picofthemonth', 'photooftheday', 'picoftheday', 'uk', 'men', 'menstuff', 'july']"
𝙍𝘽𝘽𝙍𝙂𝙐𝙔,@RBBRGUY,2021-08-04T21:24:35.000Z,"I'm so in love with this suit (might have said that before) 

#RUBBERTIME #Rubber #Rubberboy #RubberGay #Gay #Men #GayMen #Gear #Proud #Pride #LTHRGUY",,2,3,34,"['RUBBERTIME', 'Rubber', 'Rubberboy', 'RubberGay', 'Gay', 'Men', 'GayMen', 'Gear', 'Proud', 'Pride', 'LTHRGUY']"
𝙰𝚗𝚍𝚛𝚎𝚜,@myfeetmenme,2021-08-04T21:39:50.000Z,Freshly showered just for you to... #men #mensfeet #feet #toes #barefoot #hairylegs,𝙰𝚗𝚍𝚛𝚎𝚜,5,24,212,"['men', 'mensfeet', 'feet', 'toes', 'barefoot', 'hairylegs']"
Suitability,@suit_ability,2021-08-03T16:20:21.000Z,"We were able to donate some wonderful clothing this evening all going to support a gentleman look and feel confident for his interview tomorrow.

We hope the clothing supports you to feel confident and good luck with your interview. 

#lookgoodfeelgood #men #interview #confidence",Suitability and Darren Tate,,2,9,"['lookgoodfeelgood', 'men', 'interview', 'confidence']"
emma colbert,@emma_kellyerm,2021-08-05T09:05:18.000Z,"Gents, shield your skin from the environment! Sunlight and pollution can add years to your face 
#Oriflame #Men #SkinCareRoutine",,,,,"['Oriflame', 'Men', 'SkinCareRoutine']"
Eric Okomado,@eric_okomado,2021-08-04T22:20:11.000Z,"Show a little more kindness,
There are many  wounds to mend.

#DropsthatINSPIRE
#BeINSPIREDtoday
#wednesdaymotivation #success #wisdom #love #kindness #men #riseup #wound #motivation #dailyquotes #thegoodquote #ThinkBIGSundayWithMarsha #f4f #follow4followback #lifequotes",,,6,6,"['DropsthatINSPIRE', 'BeINSPIREDtoday', 'wednesdaymotivation', 'success', 'wisdom', 'love', 'kindness', 'men', 'riseup', 'wound', 'motivation', 'dailyquotes', 'thegoodquote', 'ThinkBIGSundayWithMarsha', 'f4f', 'follow4followback', 'lifequotes']"
