username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
Ramazan Rena,@ramazan_renA31,2021-08-06T22:36:48.000Z, Shit my baby #alternatifmizah #mizah,"0:14
29 views",,,1,"['alternatifmizah', 'mizah']"
Fatik,@Fatihakverdii,2021-08-10T20:20:39.000Z,"Gün yüzü hariç, tüm yüzleri gördük. ...

#창빈이의_여름에_스테이 #mizah",,,,4,"['창빈이의_여름에_스테이', 'mizah']"
loves_blonde,@loves_blonde,2021-08-08T07:05:51.000Z,#mizah ,,,,1,['mizah']
tolga,@esastolga,2021-08-10T10:41:06.000Z,Faydalı bilgiler #mizah,,,,3,['mizah']
Arda Saglam,@ArdaSaglamEXE,2021-08-11T18:29:47.000Z,"Hassikome
#komik #mizah",,,,,"['komik', 'mizah']"
Tarama Ucu Dergi,@taramaucudergi,2021-08-06T21:40:13.000Z,"Tarama Ucu'nun 3. sayısı yayında.

104 sayfalık bu sayının dosya konusu ""İstanbul Hikayeleri"".

#istanbul #hikaye #istanbulhikayeleri #mizah #mizahdergisi #çizgi #çizgiroman #karikatür #komik #eğlence #taramaucudergi #dergi #dijitaldergi #taramaucu #heyecan #keyif #macera",,,8,17,"['istanbul', 'hikaye', 'istanbulhikayeleri', 'mizah', 'mizahdergisi', 'çizgi', 'çizgiroman', 'karikatür', 'komik', 'eğlence', 'taramaucudergi', 'dergi', 'dijitaldergi', 'taramaucu', 'heyecan', 'keyif', 'macera']"
MalatyalıEğitimci,@Malatyasever44,2021-08-12T07:50:20.000Z,Enteresan bir açılım hiç bu açıdan bakmamıştım #mizah ,,,,4,['mizah']
Start Sigorta,@StartSigorta,2021-08-08T18:01:33.000Z,"Sigortacının tatili bölüm 2 
@oktaysenoll
 
#Startsigorta #Sigorta #Sigortacı #Tatil #Skeç #Mizah",,,1,6,"['Startsigorta', 'Sigorta', 'Sigortacı', 'Tatil', 'Skeç', 'Mizah']"
⍲ℛƊ⍲,@hayelimdiniste,2021-08-06T15:36:59.000Z,Açılın yoldan  yakışıklı abimiz geldi #mizah,,,,,['mizah']
loves_blonde,@loves_blonde,2021-08-13T05:07:07.000Z,#karikatür #mizah,,,,1,"['karikatür', 'mizah']"
Daily Karikatür,@karikARTur,2021-08-11T16:16:03.000Z,karikatür #mizah #komik #karikatür,,,1,4,"['mizah', 'komik', 'karikatür']"
Emirhan Perker,@emirhan_perker,2021-08-08T21:05:24.000Z,"Nemi çok nemi
#karikatür #karikatürhane #karikatur #mizah #mizahtürkiye #che #tespit #tarih #sözler",,,,3,"['karikatür', 'karikatürhane', 'karikatur', 'mizah', 'mizahtürkiye', 'che', 'tespit', 'tarih', 'sözler']"
Emirhan Perker,@emirhan_perker,2021-08-09T13:52:47.000Z,"#olmayansözler 
#karikatür #karikatürhane #karikatur #mizah #mizahtürkiye #jobs #stevejobs #tespit #tarih #sözler #gününsözü #apple #appleiphone",,,,5,"['olmayansözler', 'karikatür', 'karikatürhane', 'karikatur', 'mizah', 'mizahtürkiye', 'jobs', 'stevejobs', 'tespit', 'tarih', 'sözler', 'gününsözü', 'apple', 'appleiphone']"
ENES KAYAN,@ENES_KAYAN_,2021-08-05T17:09:04.000Z,#mizah,,,,3,['mizah']
..smyra..,@cnm_kendi_nn_,2021-08-05T16:01:17.000Z,"3 çeşit çay vardır;
Kıtlama çay
Şekersiz çay
Fırlatma çay #mizah",,,,1,['mizah']
salih kutukcu,@salihkutukcu,2021-08-12T05:07:35.000Z,#işsizlik #tüik #karikatür #mizah,,,,1,"['işsizlik', 'tüik', 'karikatür', 'mizah']"
Moda Kitap,@modakitap,2021-08-12T11:35:29.000Z,"Fırsat!
Aziz Nesin Seti
9 kitap, 3'ü yeni, 1 tanesi birinci baskı
Hepsi temiz
232 tl yerine kargo dahil 129.
.
#aziznesin #ilkbaski #yenikitap #adamyayınları #firsat #kampanya #indirim #edebiyat #mizah #golkralı",,,,8,"['aziznesin', 'ilkbaski', 'yenikitap', 'adamyayınları', 'firsat', 'kampanya', 'indirim', 'edebiyat', 'mizah', 'golkralı']"
Vondelparkta Olsam,@Vondelparkta,2021-08-05T21:36:53.000Z,"#memleket, #mizah, #humor",,,,,"['memleket', 'mizah', 'humor']"
