username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
turgutucbas,@turgutucbas2,2021-06-22T13:51:19.000Z,"As the day fades away, discover the magic of Istanbul by night 
#komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel  #sevgi #yaaysaati #kiz  #fun #",,,,,"['komedi', 'komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'sevgi', 'yaaysaati', 'kiz', 'fun']"
Mizah4mant.k,@mizah4mant,2019-11-18T15:02:31.000Z,"İlk tweet
.
.
.
.
.
#dolar #mizahtürkiye #mizah #meme #kimmilyonerolmakister #mizahin50tonu #ecnebipaylaşımları #csgo #caseiphone
#cristianoronaldo #lionelmessi #leagueoflegends","0:06
368 views",,,1,"['dolar', 'mizahtürkiye', 'mizah', 'meme', 'kimmilyonerolmakister', 'mizahin50tonu', 'ecnebipaylaşımları', 'csgo', 'caseiphone', 'cristianoronaldo', 'lionelmessi', 'leagueoflegends']"
Funny Baby,@FunnyBabyGrow,2018-02-28T23:53:22.000Z,https://youtu.be/4oj8djSBvRA #komik #vine #humor #mutluluk #humors#comedy #folow #like #sevgi #üzüntü #saygı #komikvideolar #cagritaner #meriçizgi #anar #takip #sevmek #followforfollowbackalways #video #mizah #mizahtürkiye #berkcanmen #tbt #aşk #sen #bigben #feminist #humanist #hdcaps,,,,,"['komik', 'vine', 'humor', 'mutluluk', 'humors', 'comedy', 'folow', 'like', 'sevgi', 'üzüntü', 'saygı', 'komikvideolar', 'cagritaner', 'meriçizgi', 'anar', 'takip', 'sevmek', 'followforfollowbackalways', 'video', 'mizah', 'mizahtürkiye', 'berkcanmen', 'tbt', 'aşk', 'sen', 'bigben', 'feminist', 'humanist', 'hdcaps']"
ecofren camelia,@ilovecamelia7,2019-11-15T01:06:23.000Z,"my 1st tweet January 2017-80% Malaysians(age 12 to 99) r CLEVER TALKERS,PROFESSIONAL WASTERs& GREAT FLATTERs-where r ACTIONs? #mizahtürkiye #iyigeceler #kitap #eglence #instagram #galatasaray",,1,,,"['mizahtürkiye', 'iyigeceler', 'kitap', 'eglence', 'instagram', 'galatasaray']"
Tagify.io,@tagifyio,2020-05-25T12:05:20.000Z,Related Instagram tags for #art: #türkiye #memes #netflix #comedy #vine #dizi #espiri #mizahtürkiye #atatürk #anıtkabir #ata #ataturk #tc #r,,,,,"['art', 'türkiye', 'memes', 'netflix', 'comedy', 'vine', 'dizi', 'espiri', 'mizahtürkiye', 'atatürk', 'anıtkabir', 'ata', 'ataturk', 'tc', 'r']"
Tuğba ∞ M.KEMAL ATATÜRK,@TugbaaFB,2018-12-17T12:31:14.000Z,#Reposting fakir_fukaraaa with instagrab_pic -- #istanbul #ankara #kadıköymoda #chp #saadetpartisi #iyiparti #foxturkiye #mizahtürkiye #mizah… https://instagram.com/tgbelms/p/BrfJKmIBUD23zlMf5RA_TAfSP71z9fe_El8HwU0/?utm_source=ig_twitter_share&igshid=1fik4kwme6ycd…,,,,,"['Reposting', 'istanbul', 'ankara', 'kadıköymoda', 'chp', 'saadetpartisi', 'iyiparti', 'foxturkiye', 'mizahtürkiye', 'mizah']"
DELİCE HANE,@delicehane,2020-07-10T08:41:31.000Z,"Aptallık etme
. 
Daha fazlası için takip etmeyi unutmayın
.
. 
#mizah #komedi #komik  #caps #eğlence  #komikvideolar #vine #video #türkiye #karikatür #mizahtürkiye  #eglence  #kahkaha  #keşfet  #youtube #delimine #komikyorumlar #komiksözler #güldürü
#vinetürkiye #mizahın50tonu",,,,2,"['mizah', 'komedi', 'komik', 'caps', 'eğlence', 'komikvideolar', 'vine', 'video', 'türkiye', 'karikatür', 'mizahtürkiye', 'eglence', 'kahkaha', 'keşfet', 'youtube', 'delimine', 'komikyorumlar', 'komiksözler', 'güldürü', 'vinetürkiye', 'mizahın50tonu']"
Bgc Mizah,@BgcMizah,2020-10-15T16:12:50.000Z,"Kola var içersen mentos var Emersen .
.
.
.
#bgcmizah #komedi #komik #istanbul #caps #eğlence #izmir #ankara #takip #aşk #komikvideolar #vine #video #türkiye #karikatür #gt #takipçikazan #tbt #şiir #mizahtürkiye #iyigeceler #kitap #eglence #instagram #mizah",,,1,8,"['bgcmizah', 'komedi', 'komik', 'istanbul', 'caps', 'eğlence', 'izmir', 'ankara', 'takip', 'aşk', 'komikvideolar', 'vine', 'video', 'türkiye', 'karikatür', 'gt', 'takipçikazan', 'tbt', 'şiir', 'mizahtürkiye', 'iyigeceler', 'kitap', 'eglence', 'instagram', 'mizah']"
workei.co,@workeico,2020-08-26T10:35:26.000Z,"Efsaneyi hatırlayalım  
@kemalayca
 

#metalhead #music #mizah #mizahtürkiye #komedyen #komikliklerşakalar",,,2,4,"['metalhead', 'music', 'mizah', 'mizahtürkiye', 'komedyen', 'komikliklerşakalar']"
Sınav Kaygısına Son,@KaygiyaSon,2020-04-21T18:01:16.000Z,"A şehrinden B şehrine... 

#SınavKaygısınaSon #sınav #kaygı #SınavKaygısı #komik #komikvideolar #komedi #komikaze #güldürü #komiklik #mizah #komikvideo #komikpaylasimlar #komikpaylaşımlar #kahkaha #komikmontaj #mizahtürkiye",,,1,5,"['SınavKaygısınaSon', 'sınav', 'kaygı', 'SınavKaygısı', 'komik', 'komikvideolar', 'komedi', 'komikaze', 'güldürü', 'komiklik', 'mizah', 'komikvideo', 'komikpaylasimlar', 'komikpaylaşımlar', 'kahkaha', 'komikmontaj', 'mizahtürkiye']"
32diş.HAHAHA,@32dis_mizah,2020-03-30T15:56:21.000Z,"Bülent Serttaş Koronanın formülünü bulmuş

3'arkadaşını #etiketle

#koronavirüs #türkiye #mizah #komedi #kovid19 #mizahtürkiye #eğlence","0:07
6.9K views",,2,11,"['etiketle', 'koronavirüs', 'türkiye', 'mizah', 'komedi', 'kovid19', 'mizahtürkiye', 'eğlence']"
turgutucbas,@turgutucbas2,2021-08-11T07:01:00.000Z,"Wu Just  this view in Balat ! İstanbul Turkey
komedi #komik #komikvideo #mizah #mizahtürkiye #komiktv #yaay #video #kiz #haha #istanbul #turizm #eglence #spor #oyun #hayvanlar #saglik #türkiye #guzel #günaydın #sevgi #yaaysaati #kiz #genç #fun #hayırlısabahlar",,,1,1,"['komik', 'komikvideo', 'mizah', 'mizahtürkiye', 'komiktv', 'yaay', 'video', 'kiz', 'haha', 'istanbul', 'turizm', 'eglence', 'spor', 'oyun', 'hayvanlar', 'saglik', 'türkiye', 'guzel', 'günaydın', 'sevgi', 'yaaysaati', 'kiz', 'genç', 'fun', 'hayırlısabahlar']"
rt fav fav,@Dukkanbizim_E,2018-10-14T13:56:15.000Z,"Arkadaşlarınızı etiketlemeyi unutmayın lütfen  
.
.
.
#komik  #neşe #röportaj #vine #vines #ankara #izmir #istanbul #takipçikazan #takipcikazan #takip #takipcikazandiriyoruz #mizah #oyun #kahkaha #komedi #lise #mizahtürkiye #takipleş #gt #follow #followforfollowback #geritakip",,,,3,"['komik', 'neşe', 'röportaj', 'vine', 'vines', 'ankara', 'izmir', 'istanbul', 'takipçikazan', 'takipcikazan', 'takip', 'takipcikazandiriyoruz', 'mizah', 'oyun', 'kahkaha', 'komedi', 'lise', 'mizahtürkiye', 'takipleş', 'gt', 'follow', 'followforfollowback', 'geritakip']"
semih yenigül,@semih_yenigul,2020-09-08T19:10:48.000Z,"Annecim seni tebrik ediyorum bu ikili arasına nasıl girdin ya sen 
#mizah #komedi #komik #istanbul #caps #eğlence #izmir #ankara #takip #aşk #komikvideolar #vine #video #türkiye #karikatür #gt #takipçikazan #tbt #şiir #mizahtürkiye #iyigeceler #kitap #eglence #instagram",,,,3,"['mizah', 'komedi', 'komik', 'istanbul', 'caps', 'eğlence', 'izmir', 'ankara', 'takip', 'aşk', 'komikvideolar', 'vine', 'video', 'türkiye', 'karikatür', 'gt', 'takipçikazan', 'tbt', 'şiir', 'mizahtürkiye', 'iyigeceler', 'kitap', 'eglence', 'instagram']"
Bgc Mizah,@BgcMizah,2020-10-16T14:49:11.000Z,"İnsnanı evlilikten de soğutuyotlar 
.
.
.
 #keşfet #beniönecikar #bgcmizah #komedi #komik #caps #eğlence #takip #komikvideolar #vine #video #türkiye #karikatür #gt #takipçikazan #tbt #şiir #mizahtürkiye #iyigeceler #eglence #instagram #mizah  #mizahturkiye",,,2,10,"['keşfet', 'beniönecikar', 'bgcmizah', 'komedi', 'komik', 'caps', 'eğlence', 'takip', 'komikvideolar', 'vine', 'video', 'türkiye', 'karikatür', 'gt', 'takipçikazan', 'tbt', 'şiir', 'mizahtürkiye', 'iyigeceler', 'eglence', 'instagram', 'mizah', 'mizahturkiye']"
