username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Rachel Oristano DSCM MSEd LAc,@DrOristano,2021-08-11T14:38:50.000Z,"Tools like Muay Thai have helped me recover from being forced to suppress my (situationally appropriate) anger for the comfort of others. I’ve been practicing #muaythai on and off for years, and this week I switched back ON.",,,,2,['muaythai']
Sahred Toy,@Sahred_toy,2021-08-11T13:39:23.000Z,"Collaboration with Fairtex (Brand cloths for Muay Thai)
#MuayThai #BoxingGloves #MMA",,,15,40,"['MuayThai', 'BoxingGloves', 'MMA']"
Serena DeJesus,@SerenaSouthpaw,2021-08-06T17:09:36.000Z,3.5 wks til it's time to fulfill another bounty! I'm looking for sponsors for my upcoming fight in Invicta FC lemme know if you wanna have lots of eyes on your brand and support me!  #mma #muaythai #striking #boxing #bjj #wrestling #grappling #southpawoutlaw #reenzilla,,3,20,64,"['mma', 'muaythai', 'striking', 'boxing', 'bjj', 'wrestling', 'grappling', 'southpawoutlaw', 'reenzilla']"
deiulamb,@deiulamb,2021-08-11T23:37:24.000Z,"Zafina, an OC from Instagram artist @/sonnelus_. She doesn't have a character background yet, but her design was based on a couple of fashion models. 

#muaythai #ArtistOnTwitter",,2,3,19,"['muaythai', 'ArtistOnTwitter']"
Bryan Rossi-Anderson (me/we),@iBringIntoExist,2021-08-12T08:35:03.000Z,"Okay Kids, I've began a new sport (not influenced by the Olympics), can you guess what it is..?

My love of #MuayThai remains, but the ability to practise the art safely is difficult at this time.

This new sport works my ENTIRE body - I have not stopped aching! ",,2,1,1,['MuayThai']
MzansiMMA,@MmaMzansi,2021-08-12T17:26:26.000Z,"Super happy to see #MuayThai returns to the #Mother #City
Post via @combat_cave",,1,,4,"['MuayThai', 'Mother', 'City']"
Collin H,@ScollinCollin,2021-08-09T07:48:08.000Z,Some highlights from my last fight. #MuayThai,,,,,['MuayThai']
Ognjen Topić // Огњен Топић,@TopicFight,2021-08-09T13:43:45.000Z,Tips for a switch/shuffle kick: https://facebook.com/100044234206036/posts/368337424650728/?d=n… #muaythai,,,1,4,['muaythai']
Watthanaya,@Watthanaya,2021-08-13T05:27:41.000Z,This is what growing up at a gym looks like. #MuayThai #Thailand,,1,1,8,"['MuayThai', 'Thailand']"
Blaine Henry | Fight Library,@BlaineHenryTFL,2021-08-12T01:28:03.000Z, new article everyone is going to love #muaythai,,,1,,['muaythai']
Ognjen Topić // Огњен Топић,@TopicFight,2021-08-05T14:25:27.000Z,HOW TO KNEE PROPERLY. Instead of dropping arms down. Begin with arms above your head and let them drop to head level for protection #muaythai,"0:10
177 views",,4,17,['muaythai']
Ognjen Topić // Огњен Топић,@TopicFight,2021-08-12T13:58:42.000Z,"The most efficient techniques will always have the lease amount of movements. Before you learn a spinning elbow, perfect these 8 first (4 each side). Check them out here: 
https://facebook.com/100044234206036/posts/370277491123388/?d=n… #muaythai #MMA",,,1,3,"['muaythai', 'MMA']"
Russie D Luffy,@JFKrateZ,2021-08-10T10:49:48.000Z,"Today I learned how much this man loves the clinch lol moreso in #muaythai though
#fightingvideos #Fights #streetfight",,1,1,1,"['muaythai', 'fightingvideos', 'Fights', 'streetfight']"
emma michelle,@emtobe13,2021-08-10T15:46:39.000Z,"Y’all aren’t even ready for the investment I’m about to pour into this sport. Trained for 4 hours yesterday, got my ass absolutely handed to me, & left with some new bruises. It’s all part of the process though. I’ll be unstoppable one day, that’s a promise.
#BJJ #MuayThai #MMA",,,,5,"['BJJ', 'MuayThai', 'MMA']"
Philip Villa,@philyokkao,2021-08-12T05:08:49.000Z,Philip Villa and Yokkao Fighters distribute food packets to needy in Thailand https://bangkokpost.com/thailand/pr/2163699/philip-villa-and-yokkao-fighters-distribute-food-packets-to-needy-in-thailand… #muaythai,"Philip Villa and Yokkao Fighters distribute food packets to needy in Thailand
Thailand, one of the most visited countries in the world, is considered by many to be the “street food capital of the world”.
bangkokpost.com",,1,2,['muaythai']
Ricky Jackson,@SGOgamechanger,2021-08-12T09:58:46.000Z,"FIGHT FANS 10 X WORLD CHAMPION INCOMING #SGO #NFT WELCOME ANOTHER WORLD CHAMP!!! #Boxing #KICKBOXING, #muaythai 
@sportemongo",,5,38,84,"['SGO', 'NFT', 'Boxing', 'KICKBOXING', 'muaythai']"
TeamWTA,@wta_team,2021-08-11T21:47:07.000Z,Absolutely amazing Muay Thai Class this evening with the Team #teamwta #warriors #tma #academy #muaythai #jiujitsu #jiujitsulifestyle #crossfit #mma #martialarts #coventry,,1,,3,"['teamwta', 'warriors', 'tma', 'academy', 'muaythai', 'jiujitsu', 'jiujitsulifestyle', 'crossfit', 'mma', 'martialarts', 'coventry']"
Natalie Gonzales Hills,@Nat_Thrills,2021-08-10T07:46:44.000Z,"“The greatest mania of all is passion: and I am a natural slave to passion: the balance between my brain and my soul and my body is as wild and delicate as the skin of a Ming vase.”
- Hunter S. Thompson  

My next fight was rearranged.. #muaythai 

https://instagram.com/p/CSYn-PEpMeC/?utm_medium=copy_link…",,,,,['muaythai']
Jackson Stone,@Jackson_Stone31,2021-08-05T18:23:49.000Z,"Kicks are for certain not SHŌGUNS main technique but I plan on molding it to that. Progress! 

#SHOGUN 
#Muaythai","0:13
186 views",,2,15,"['SHOGUN', 'Muaythai']"
TheBrothersGeekOutPodcast,@thebrosgeekout,2021-08-06T11:48:17.000Z,"Our new podcast is out now. This weeks special guest is @caiqueloyolla 

#martialarts #ufc #mma #jiujitsu #kickboxing #health #muaythai #kungfu #warrior #motivation #brazilianjiujitsu #martialartist #samurai  #freedom #karate #wrestling #workout #thebrothersgeekoutpodcast",,,1,4,"['martialarts', 'ufc', 'mma', 'jiujitsu', 'kickboxing', 'health', 'muaythai', 'kungfu', 'warrior', 'motivation', 'brazilianjiujitsu', 'martialartist', 'samurai', 'freedom', 'karate', 'wrestling', 'workout', 'thebrothersgeekoutpodcast']"
KUSHIMAX | 九島亮,@kushima_makoto,2021-08-06T10:08:55.000Z,"“RISE.151”
#数島大陸 
#山川賢誠 
#瑠夏 
#金塚聖也

#rise #rise151 #kickboxing #karate #boxing #mma #muaythai #backstage #blackandwhite",,1,4,18,"['数島大陸', '山川賢誠', '瑠夏', '金塚聖也', 'rise', 'rise151', 'kickboxing', 'karate', 'boxing', 'mma', 'muaythai', 'backstage', 'blackandwhite']"
TeamWTA,@wta_team,2021-08-10T22:31:30.000Z,"The energy on the mats this evening has been amazing, well done Team #teamwta #warriors #tma #academy #jiujitsu #muaythai #crossfit #boxing #jiujitsulifestyle #coventry #mma #martialarts",,,,,"['teamwta', 'warriors', 'tma', 'academy', 'jiujitsu', 'muaythai', 'crossfit', 'boxing', 'jiujitsulifestyle', 'coventry', 'mma', 'martialarts']"
Gabriel Varga,@GVargaOfficial,2021-08-09T16:36:21.000Z,"Here are some awesome reasons to be a high level fighter.  And these aren't your easy to list reasons.  These are benefits you may have never considered.
https://youtu.be/eRqrYUwPvzE
#muaythai #boxing #mma #kickboxing",,,,7,"['muaythai', 'boxing', 'mma', 'kickboxing']"
Pindi Madahar,@PindiMadahar,2021-08-11T21:46:53.000Z,Absolutely amazing Muay Thai Class this evening with the Team #teamwta #warriors #tma #academy #muaythai #jiujitsu #jiujitsulifestyle #crossfit #mma #martialarts #coventry,,,,,"['teamwta', 'warriors', 'tma', 'academy', 'muaythai', 'jiujitsu', 'jiujitsulifestyle', 'crossfit', 'mma', 'martialarts', 'coventry']"
Jaron Johnson,@JaronJolt,2021-08-07T22:21:47.000Z,Logo designed for @muellerboxing . It was a pleasure drawing this one. Always happy to make more. #muaythai #logo #logodesigner #art #artistsoninstagram #martialarts https://instagram.com/p/CSSi4q-rDzI/?utm_medium=twitter…,,,,1,"['muaythai', 'logo', 'logodesigner', 'art', 'artistsoninstagram', 'martialarts']"
Mary MuayThai Combat,@muaythaicombat1,2021-08-12T06:30:11.000Z,What a night in UK! #YOKKAO49 #YOKKAO50 #muaythai https://instagram.com/reel/CSdtTZxjKM3/?utm_medium=twitter…,,,,,"['YOKKAO49', 'YOKKAO50', 'muaythai']"
Pindi Madahar,@PindiMadahar,2021-08-05T21:47:58.000Z,Another brilliant evening here with the Team in our No Gi Brazilian Jiu Jitsu Class #teamwta #warriors #tma #academy #coventry #martialarts #academy #jiujitsu #jiujitsulifestyle #muaythai #crossfit,,,,,"['teamwta', 'warriors', 'tma', 'academy', 'coventry', 'martialarts', 'academy', 'jiujitsu', 'jiujitsulifestyle', 'muaythai', 'crossfit']"
Westside Kickboxing Gym,@westsidekickbox,2021-08-09T14:49:30.000Z,"Looks like amateur fights are starting back up again this November!! Let’s goooooo!!!!!!!

#kickboxing #muaythai #boxing #martialarts #fitness #gym #vancouver",,,,1,"['kickboxing', 'muaythai', 'boxing', 'martialarts', 'fitness', 'gym', 'vancouver']"
Hybrid.ma.swe,@MaHybrid,2021-08-10T17:31:25.000Z,"Hi. I've made some funditional Kickboxing videos.

(Subtitles in: )
 YouTube playlist 
https://youtube.com/playlist?list=PLtt5XhtQ7_K-8qqzcvyzRb3NxEuR7SH8S…

#homeworkout #hometraining #boxing #kickboxing #muaythai #exercise #workout",,,1,2,"['homeworkout', 'hometraining', 'boxing', 'kickboxing', 'muaythai', 'exercise', 'workout']"
BeTakezo,@BeTakezo,2021-08-12T18:30:57.000Z,"Stay ahead of every race and get a focused energy boost with added nootropic and cognitive performance not found in other energy products.

Shop for PURE ENERGY™ at https://betakezo.com/pages/pure-energy…

#spartanrace #spartantraining #ultrarunners #MMA #UFC #muaythai #mountainbiking #gym #...",,,,1,"['spartanrace', 'spartantraining', 'ultrarunners', 'MMA', 'UFC', 'muaythai', 'mountainbiking', 'gym']"
Jason Park,@JParkLegacy34,2021-08-13T10:55:21.000Z,"There's something about The Flower That Grows Through The Rocks, 
Through logs and stone or brick walls.
And there is something irreplaceable about that.”
-C. JoyBell C.

#sparring #fightteam #boxing #muaythai #bjj #kickboxing #mma #mmafighter #fitness #motivation #lifestyle",,,,,"['sparring', 'fightteam', 'boxing', 'muaythai', 'bjj', 'kickboxing', 'mma', 'mmafighter', 'fitness', 'motivation', 'lifestyle']"
Combat Corner Professional,@CombatCorner,2021-08-05T20:05:19.000Z,"Congrats to the tbaclassicmuaythaiworldexpo for another successful year! Over 1000 people registered to fight up to 4 times in a single weekend. Can't wait to do it again!!
.
.
#CombatCorner #FightGear #MuayThai #NakMuay #StrikingCoach #GymOwner #PunchesandKicks #boxinggloves #s",,,,1,"['CombatCorner', 'FightGear', 'MuayThai', 'NakMuay', 'StrikingCoach', 'GymOwner', 'PunchesandKicks', 'boxinggloves', 's']"
Camberwell Jack / Lorraine Shelly,@CamberwellJack,2021-08-07T23:01:30.000Z,Cyril Gane gonna win this fight against Derrick. #muaythai #UFC265,,,,,"['muaythai', 'UFC265']"
KruFit Indy,@KruFitIndy,2021-08-07T14:50:12.000Z,Stop by our booth today at the Back-2-School Bash! #krufit #krufitindy #muaythai #krufitmuaythai #fishers https://instagram.com/p/CSRvF-alJ1T/?utm_medium=twitter…,,,,,"['krufit', 'krufitindy', 'muaythai', 'krufitmuaythai', 'fishers']"
Kttalented,@kttalented,2021-08-13T09:07:56.000Z,Started adding hitboxes and hurtboxes #muaythai #kickboxing #muaythaigame #2dfighter #gamedev #sologamedev #gamedevelopment #GodotEngine #handdrawn #godot #fightinggames #KOF #StreetFighter,,,4,6,"['muaythai', 'kickboxing', 'muaythaigame', '2dfighter', 'gamedev', 'sologamedev', 'gamedevelopment', 'GodotEngine', 'handdrawn', 'godot', 'fightinggames', 'KOF', 'StreetFighter']"
VictoryMMA San Diego,@VictoryMMASD,2021-08-05T19:00:11.000Z,"GIRLS THAT CAN FIGHT - WITH KILLER SMILES TO BOOT 

Made famous in our Victory MMA videos, these dangerous ladies joined Victory & soon developed killer kicks in our fun and informative #MuayThai classes. Catch this dynamic duo at #VictoryMMASD.",,,,3,"['MuayThai', 'VictoryMMASD']"
CM_Kerley,@CM_Kerley,2021-08-08T12:17:01.000Z,"Amazing night last night at the O2 with my club watching the Muay Thai Grand Prix event.
Some superb fight skills and amazing fitness on display last night from the men and women getting in the ring.
#muaythai",,,,,['muaythai']
Vasiliy Ryabykh,@VRyabykh,2021-08-09T12:36:58.000Z,"Muay Thai championship of Sochi, Russia.
#muaythai #mma #sochi #Сочи #Адлер #тайскийбокс #sportsphotography",,,,,"['muaythai', 'mma', 'sochi', 'Сочи', 'Адлер', 'тайскийбокс', 'sportsphotography']"
Burton Webb,@SpringhillTKD,2021-08-12T22:00:24.000Z,"We are excited to welcome future black belt, Everett
.
.
.
.
.
#mma #bjj #fitness #muaythai #boxing #martialarts #karate #ufc #taekwondo #kickboxing #gym #jiujitsu #wrestling #fight #judo #fighter #training #bodybuilding #mixedmartialarts #motivation #fighting #tkd #grappling","0:13
10 views",,1,1,"['mma', 'bjj', 'fitness', 'muaythai', 'boxing', 'martialarts', 'karate', 'ufc', 'taekwondo', 'kickboxing', 'gym', 'jiujitsu', 'wrestling', 'fight', 'judo', 'fighter', 'training', 'bodybuilding', 'mixedmartialarts', 'motivation', 'fighting', 'tkd', 'grappling']"
Wolf Taylor,@wolftaylor4,2021-08-11T20:25:07.000Z,Jump #sport #karate #jump #jumping #NationalGeographic #fightsciene #martialartist #actor #stuntman #brazilianjiujitsu #blackbelt #himself #mma #karatedo #muaythai #flashback #throwbackpic #throwbacktime #martialarts #blackbelt #motivation #sportmotivation,Bren Foster,,,5,"['sport', 'karate', 'jump', 'jumping', 'NationalGeographic', 'fightsciene', 'martialartist', 'actor', 'stuntman', 'brazilianjiujitsu', 'blackbelt', 'himself', 'mma', 'karatedo', 'muaythai', 'flashback', 'throwbackpic', 'throwbacktime', 'martialarts', 'blackbelt', 'motivation', 'sportmotivation']"
SP Workwear,@spworkwear,2021-08-06T07:29:01.000Z,"As it's #followfriday we'd like to give a shoutout to one of our lovely customers 
@tikkitraining
. If you're looking to get in shape, Tikki offers bootcamps, personal training and even Muay Thai! #fitness #personaltrainer #bootcamp #muaythai",,,,1,"['followfriday', 'fitness', 'personaltrainer', 'bootcamp', 'muaythai']"
Mary MuayThai Combat,@muaythaicombat1,2021-08-07T06:10:02.000Z,#yokkao 90's CarbonFit #muaythai Shorts  @ Muay Thai Combat https://instagram.com/p/CSQzrXEj5oj/?utm_medium=twitter…,,,,,"['yokkao', 'muaythai']"
Pete White,@pwbmma,2021-08-06T21:09:32.000Z,"@combatclub
 for media with 
@tatorrtott
 for Sunday’s 
@xfnfights
 flyweight title fight! #nextbigthing #xfn #combatclub #nbt #mma #boxing #muaythai #tkd #wrestling #bjj #pwbmma #darkwolfmma @ Combat Club https://instagram.com/p/CSP10lgJsE7/?utm_medium=twitter…",,,,1,"['nextbigthing', 'xfn', 'combatclub', 'nbt', 'mma', 'boxing', 'muaythai', 'tkd', 'wrestling', 'bjj', 'pwbmma', 'darkwolfmma']"
Simple Life Divers Koh Tao,@SimpleLifeDiver,2021-08-09T14:47:50.000Z,"Muay Thai Training in Thailand | Monsoon Gym & Fight Club https://monsoongym.com/muay-thai-training/… 

#KohTao #Thailand #MuayThai","Muay Thai Training - Monsoon Gym & Fight Club
Fighters to come to Thailand to improve their overall fight game as a means of increasing stamina, power & striking. Few sports match the results of Muay Thai
monsoongym.com",,,1,"['KohTao', 'Thailand', 'MuayThai']"
Mary MuayThai Combat,@muaythaicombat1,2021-08-07T06:12:37.000Z,#twinsspecial Dragon #muaythai Shorts  @ Muay Thai Combat https://instagram.com/p/CSQz-HqjjLG/?utm_medium=twitter…,,,1,,"['twinsspecial', 'muaythai']"
CJ Naylor,@WarriorFit22,2021-08-09T00:50:05.000Z,"No better crew to go to battle with! #mma #bjj #muaythai #snapjitsu #wrestling #ronin #ammomma #bushidomma #thugmuaythai #uptownboxing #TeamColon #MaximusMuayThai  That “I wonder if 
@DaddyDimmuTv
 is gonn stream tonight” face lol",,,,1,"['mma', 'bjj', 'muaythai', 'snapjitsu', 'wrestling', 'ronin', 'ammomma', 'bushidomma', 'thugmuaythai', 'uptownboxing', 'TeamColon', 'MaximusMuayThai']"
Helsinki Thaiboxing,@HelsinkiThaibox,2021-08-07T18:07:00.000Z,"Lasse 
#SportIsYourGang_Finland #SIGY
#Suomi #muaythai #HTBC
#thainyrkkeily #thaiboxing #coaching #Respect #honour #exellence #tradition #FullPower #muaythaifighters #athletes #event #competition #championships #kick #knee #punch #elbow #fairplay #muaythaiconnects  #coach",,1,,4,"['SportIsYourGang_Finland', 'SIGY', 'Suomi', 'muaythai', 'HTBC', 'thainyrkkeily', 'thaiboxing', 'coaching', 'Respect', 'honour', 'exellence', 'tradition', 'FullPower', 'muaythaifighters', 'athletes', 'event', 'competition', 'championships', 'kick', 'knee', 'punch', 'elbow', 'fairplay', 'muaythaiconnects', 'coach']"
Superare,@SuperareShop,2021-08-12T18:12:45.000Z,E N O R M E    The largest combat sports gear bag (83L) on the market is out and perfect for those who have a $h!t ton of gear.  #boxing #bjj #jiujitsu #muaythai #kickboxing #mma #superare. @ Superare - NYC https://instagram.com/p/CSe919tAvBY/?utm_medium=twitter…,,,,1,"['boxing', 'bjj', 'jiujitsu', 'muaythai', 'kickboxing', 'mma', 'superare']"
SN COMBAT ACADEMY (S/N Gym),@SNCOMBATACADEMY,2021-08-06T17:01:25.000Z,"Everyone has the desire to win, but only champions have the desire to prepare 

#sncombat #fyp #likesforlike #fridayfeels #combat #boxing #muaythai #StrongerTogether",,,,1,"['sncombat', 'fyp', 'likesforlike', 'fridayfeels', 'combat', 'boxing', 'muaythai', 'StrongerTogether']"
Claire Rankine,@ClaireRankine3,2021-08-10T06:58:58.000Z,"𝖪𝗂𝖼𝗄𝗂𝗇𝗀 𝗆𝗒 𝗐𝖺𝗒 𝗍𝗁𝗋𝗈𝗎𝗀𝗁 𝖼𝗈𝗏𝗂𝖽
.
.
@phukettopteam
 
.
.
#phukettopteam #phuket #thailand #onechampionship #muaythaigirls #muaythai #ufc #nakmuayying  #mma #martialarts #fightingfemale #fightlife #fighting",,1,1,2,"['phukettopteam', 'phuket', 'thailand', 'onechampionship', 'muaythaigirls', 'muaythai', 'ufc', 'nakmuayying', 'mma', 'martialarts', 'fightingfemale', 'fightlife', 'fighting']"
Miguel's Boxing Gym,@MiguelsGym,2021-08-09T20:39:56.000Z,"A massive congratulations to @alexrose_nm for winning her fight last weekend at the O2 in London. 

Everyone at the gym couldn’t be prouder. 
Keep up excellent work CHAMP  

#boxing #muaythai #champion #winner #fighter #k1 #london #theo2",,,,,"['boxing', 'muaythai', 'champion', 'winner', 'fighter', 'k1', 'london', 'theo2']"
Muaythai Europe,@boxthaitigers,2021-07-23T20:06:19.000Z,"Asia Canto and Laura Pileri do battle for the WBC Muay Thai national 57.1kg title.
#WBC #wbcmuaythai #muaythai",,,2,5,"['WBC', 'wbcmuaythai', 'muaythai']"
keith mclachlan,@GriphouseKeith,2021-08-03T21:13:46.000Z,8 years ago today when I won the WBC British title and became UK num1 #muaythai #griphouse #WBCMT #WBC #GreenAndGold #greenyinforafenian #WBCChampion,,1,1,11,"['muaythai', 'griphouse', 'WBCMT', 'WBC', 'GreenAndGold', 'greenyinforafenian', 'WBCChampion']"
Clout Strife,@RunnerIsHere,2021-07-17T17:54:15.000Z,"A warrior in the making. I will become a professional fighter 

#NakMuay #MuayThai",,2,,12,"['NakMuay', 'MuayThai']"
Serena DeJesus,@SerenaSouthpaw,2021-07-30T18:54:02.000Z,"I will not be outworked, happy Friday everyone  #mma #muaythai #striking #boxing #FridayVibes #southpawoutlaw #reenzilla",,,2,28,"['mma', 'muaythai', 'striking', 'boxing', 'FridayVibes', 'southpawoutlaw', 'reenzilla']"
Muaythai Europe,@boxthaitigers,2021-07-23T20:05:53.000Z,"Claudio Amoruso and Philipp Hefeli are ready for tomorrow nights WBC Muay Thai 72.5kg international title clash in Sicily.
#WBC #wbcmuaythai #muaythai",,,2,4,"['WBC', 'wbcmuaythai', 'muaythai']"
Muaythai Europe,@boxthaitigers,2021-07-23T20:05:14.000Z,"Carmelo Regina and Idir Abdelkarim both make weight for tomorrow nights WBC Muay Thai International title bout in Sicily. 
#WBC #wbcmuaythai #muaythai",,,2,3,"['WBC', 'wbcmuaythai', 'muaythai']"
LizTheFightPhotographer,@FightLiz,2021-07-24T18:44:07.000Z,"In the middle of his fight, I noticed Jordon's Prajieds fell down his arm. Those are the arm bands used in Muay Thai as a protection amulet for fighters that step into the ring. #MuayThai #Muaythaifighter #fightphotography #fightphotographer",,,1,4,"['MuayThai', 'Muaythaifighter', 'fightphotography', 'fightphotographer']"
Ben,@IETArcade,2021-07-24T21:19:12.000Z,"The ""Tsunami"" Yasui returns Showcasing her basic movement along with her Dempsey roll, Tsunami roll, Back sway and Valley stance  #gamedev #IndieGameDev #FuriaRoyale #muaythai","0:42
476 views",,23,49,"['gamedev', 'IndieGameDev', 'FuriaRoyale', 'muaythai']"
