username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
ρ я α я α נ,@Praraj_01,2021-08-09T04:13:05.000Z,"You said forever     now i drive 
 #MucizeDoktor      alone  Past  
                                   your Street",Taner ÖLMEZ,2,2,19,['MucizeDoktor']
iş kadınıyım,@luweshine,2021-08-10T13:20:51.000Z,"iconic 

#mucizedoktor x #hazaltüresan",,,1,7,"['mucizedoktor', 'hazaltüresan']"
lentamente...,@giraeldisco,2021-08-09T15:39:42.000Z,"Happy bday to our king! 

#iyikidoğdun #TanerÖlmez  
#MucizeDoktor #DrMilagro #DoctorMilagro #iyikidoğdunTanerÖlmez ",,,2,5,"['iyikidoğdun', 'TanerÖlmez', 'MucizeDoktor', 'DrMilagro', 'DoctorMilagro', 'iyikidoğdunTanerÖlmez']"
AlNaz,@AlNaz95778914,2021-08-08T01:26:14.000Z,"Mucize doktor took a 10 week break after this episode

#MucizeDoktor","Ayelen
@Aye_Smile95
 · Aug 7
 #DrMilagro",,,2,['MucizeDoktor']
yeri,@yeriqlse,2021-08-05T21:28:03.000Z,"i am just a... 𝐅𝐑𝐄𝐀𝐊 
{#mucizedoktor • #dordem}",,1,12,37,"['mucizedoktor', 'dordem']"
Anti Murat Aygen,@Aygenmurat_,2021-08-10T12:33:34.000Z,"#murataygen #MucizeDoktor #yasakelma #gazete #gazetemagazine 

Please help me by sharing it ",,,,,"['murataygen', 'MucizeDoktor', 'yasakelma', 'gazete', 'gazetemagazine']"
Alisko,@alivefa__,2021-08-13T00:24:33.000Z,Muy pronto por telefe :) #mucizedoktor ,,,9,17,['mucizedoktor']
Alnaz pure love,@alnazcute,2021-08-12T18:09:27.000Z,"Karavanda SinTan selfie
#sintan #mucizedoktor",,,4,28,"['sintan', 'mucizedoktor']"
Sevda Erginci and Onur Tuna News,@sevdanews,2021-08-12T02:02:08.000Z,#tbt  #Instagram link is under the profile photo #filintamustafa #filinta #sevdaerginci #zeyal #yasakelma #zeynepyilmaz #alihanzeynep #onurtuna #alihantaşdemir #tanerolmez #foxturkiye #yasakelma #yasakelmafox #MucizeDoktor #cesuryurek #onurtunanews #ağırromantik ,,,,14,"['tbt', 'Instagram', 'filintamustafa', 'filinta', 'sevdaerginci', 'zeyal', 'yasakelma', 'zeynepyilmaz', 'alihanzeynep', 'onurtuna', 'alihantaşdemir', 'tanerolmez', 'foxturkiye', 'yasakelma', 'yasakelmafox', 'MucizeDoktor', 'cesuryurek', 'onurtunanews', 'ağırromantik']"
SinTan yeniden partner olsun,@Sintan1246,2021-08-08T19:08:12.000Z,"A SMALL REMINDER 
There is a TT event for Taner at 00:00 today, you are kindly requested to attend.
#TanerÖlmez #MucizeDoktor #AliVefa #DrMilargo",,,1,1,"['TanerÖlmez', 'MucizeDoktor', 'AliVefa', 'DrMilargo']"
𝓐𝓵𝓝𝓪𝔃𝓯𝓪𝓷❦,@alnazfano,2021-08-12T06:51:08.000Z,"Ali burda evlenme teklifi etmeliydi Nazlısına. Ayaklar suda. 
Çok özledim sizi ((
#MucizeDoktor",,1,3,44,['MucizeDoktor']
𝙎𝙚𝙣𝙤̃𝙧 𝘾𝙪𝙖𝙪𝙝𝙩𝙚𝙢𝙤̄𝙘,@alferciyiz,2021-08-11T20:52:19.000Z,"6 ay önce bu saatlerde… 
#MucizeDoktor",,,2,27,['MucizeDoktor']
Televizyon Dünyası,@TvDunyasii,2021-08-09T16:23:21.000Z,Fox’un geçtiğimiz sezon ilgiyle izlenen dizisi #MucizeDoktor yakında Romanya’da ekrana gelecek.,,26,93,352,['MucizeDoktor']
Sat. AlNaz,@gollaah,2021-08-13T08:16:12.000Z,"Nazlı seni sevmek istiyorum... 
seni sevebilir miyim.?!?!

#AlNaz #TanerÖlmez #SinemUEnsal #MucizeDoktor",,,,16,"['AlNaz', 'TanerÖlmez', 'SinemUEnsal', 'MucizeDoktor']"
Taner ÖLMEZ,@tnrolnez_,2021-08-07T22:18:30.000Z,bana ne yaptığımı sorma 61. bölüm izle   #MucizeDoktor,,,11,81,['MucizeDoktor']
Ferman Eryiğit,@DoctorFerman_,2021-08-09T00:48:03.000Z,#mucizedoktor,,,1,4,['mucizedoktor']
Ferman Eryiğit,@DoctorFerman_,2021-08-09T00:48:22.000Z,#mucizedoktor,,,,1,['mucizedoktor']
♛ Nazlı Gülengül Vefa ♛,@nazikogulengul,2021-08-06T08:47:05.000Z,"Şuraya çok çok özlenen bir ekip bırakıyorum…

#MucizeDoktor",,,,22,['MucizeDoktor']
Sevda Erginci and Onur Tuna News,@sevdanews,2021-08-07T09:09:00.000Z,  #Instagram link is under the profile photo #filintamustafa #filinta #sevdaerginci #zeyal #yasakelma #zeynepyilmaz #alihanzeynep #onurtuna #alihantaşdemir #tanerolmez #foxturkiye #yasakelma #yasakelmafox #MucizeDoktor #cesuryurek #onurtunanews #ağırromantik ,,,,9,"['Instagram', 'filintamustafa', 'filinta', 'sevdaerginci', 'zeyal', 'yasakelma', 'zeynepyilmaz', 'alihanzeynep', 'onurtuna', 'alihantaşdemir', 'tanerolmez', 'foxturkiye', 'yasakelma', 'yasakelmafox', 'MucizeDoktor', 'cesuryurek', 'onurtunanews', 'ağırromantik']"
Alisko,@alivefa__,2021-08-09T00:33:32.000Z,#mucizedoktor,,,2,2,['mucizedoktor']
Effie,@thess_efi,2021-08-11T13:32:57.000Z," 
#onurtuna #tanerölmez #MucizeDoktor",,,1,7,"['onurtuna', 'tanerölmez', 'MucizeDoktor']"
Mucizedoktor Alnaz,@MucizedoktorAl7,2021-08-11T16:09:01.000Z,"Şu resimde bir çok duygu var hüzün, acı,çaresizlik... adil hocam
#Adil #MucizeDoktor",,,,1,"['Adil', 'MucizeDoktor']"
♛ Nazlı Gülengül Vefa ♛,@nazikogulengul,2021-08-07T13:02:32.000Z,"Sizin gibisi tekrar gelmeyecek… 

#MucizeDoktor  #AlNaz ",,,16,54,"['MucizeDoktor', 'AlNaz']"
Gizem ama daha önce Nazlı'ydı Özlem,@ozlemmerryface,2021-08-11T21:31:46.000Z,"#NazlıGülengül ponçikliği 
Bugün günlerden #MucizeDoktor değil ki artık 
#AlNaz  #MucizeDoktor #SinemÜnsal ",,,13,36,"['NazlıGülengül', 'MucizeDoktor', 'AlNaz', 'MucizeDoktor', 'SinemÜnsal']"
Day,@AdBor24,2021-08-07T20:41:24.000Z,"Amo esa escena de la trilogía 
#MucizeDoktor","sinem ünsal pics
@picsofsinem
 · Aug 7",,,4,['MucizeDoktor']
𝑨𝒏𝒊𝒕𝒂,@alwayswithjb27,2021-08-08T22:41:51.000Z,"Feliz cumpleaños 
@tnrolmez
 

GüzelYıllara TanerÖlmez

#DrMilagro #MucizeDoktor",,,10,20,"['DrMilagro', 'MucizeDoktor']"
AlininNazlısı,@alnazfsp,2021-08-06T17:30:38.000Z,Tanoo #MucizeDoktor #tanerölmez,,,1,14,"['MucizeDoktor', 'tanerölmez']"
PURORATING,@puroratingok,2021-08-13T01:24:06.000Z,"#PuroRating a las 22:17
1. #DrMilagro #MucizeDoktor 15.7
2. #Showmatch 11.9
3. #LaHoraExacta 3.2
4. #Intratables 2.0
5. #BettyLaFea 0.2
6. #RelatorasArgentinas 0.1",,,11,64,"['PuroRating', 'DrMilagro', 'MucizeDoktor', 'Showmatch', 'LaHoraExacta', 'Intratables', 'BettyLaFea', 'RelatorasArgentinas']"
Kaan Torun #aşıol,@KaanTorunu,2021-08-12T17:00:00.000Z,- Herkes Herşeyden Vazgeçmez. Herkes Herkesten Vazgeçer...  #DrMilagro #MucizeDoktor,,,1,10,"['DrMilagro', 'MucizeDoktor']"
