username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
RET Germany e.V.,@RETGermany,2021-08-06T08:00:54.000Z,"To leave #NoOneBehind, RET targeted #rural districts and villages around Şanlıurfa with #SGBV training, namely #Suruç District #Sağlık, #Mutluca, and #Havşanlı. To date, RET has reached 350 #women and #men in #Şanlıurfa and surrounding. 
@BMZ_Bund
 @EngGlobal",,,2,2,"['NoOneBehind', 'rural', 'SGBV', 'Suruç', 'Sağlık', 'Mutluca', 'Havşanlı', 'women', 'men', 'Şanlıurfa']"
World Time Server,@WorldTimeServer,2014-05-09T16:40:06.000Z,"Time in Mutluca, Turkey is 19:40:06 #Mutluca #Turkey #time Please retweet and visit: http://worldtimeserver.co/Country/Turkey/Time…",,,,,"['Mutluca', 'Turkey', 'time']"
Yusuf Coşkun,@_yusufcoskun,2017-04-15T11:50:31.000Z,#Mutluca köyü sakinler ile bir araya gelip #EVET'in önemini anlattık.,,,17,66,"['Mutluca', 'EVET']"
münevver,@munevver_33,2019-07-30T16:32:14.000Z,#mutluca  ,,,,3,['mutluca']
Yusuf Coşkun,@_yusufcoskun,2018-06-16T17:04:26.000Z,"Milletvekil adayımız 
@Korkutata_Zeki
 ile birlikte Solhan #Mutluca (melekan) köyünde bayramlaşmadayız.",,1,10,95,['Mutluca']
Yusuf Coşkun,@_yusufcoskun,2018-06-10T15:19:31.000Z,"Genel Başkan Yrd Sn 
@_cevdetyilmaz
 ile #Mutluca (melekan) köyünde Hc Gıyasettin Kılıç'ın taziyesindeyiz. Merhuma Allah'tan rahmet dileriz.",,1,12,84,['Mutluca']
münevver,@munevver_33,2019-09-20T09:55:25.000Z,#doğa #eylül #huzur #mutluca,,,,3,"['doğa', 'eylül', 'huzur', 'mutluca']"
T.C. Hınıs Kaymakamlığı,@hiniskaymakam,2019-09-26T15:22:16.000Z,Kaymakamımız Sayın Mustafa İLHAN Yelpiz ve Mutluca Mahallelerinde bulunan cenaze sahiplerine taziye ziyaretlerinde bulundu. #mutluca #yelpiz #taziye #hınıs #kaymakam,,,,6,"['mutluca', 'yelpiz', 'taziye', 'hınıs', 'kaymakam']"
Hatice ATAN,@STKbaskani,2018-06-20T19:57:21.000Z,"#Akparti #Şırnak milletvekili adayımız sn. 
@Hatice_atan73
 #Beytüşşebap ilçemizin #Taşarası #Mutluca ve #Bolağaç köylerini ziyaret etti. 
#DurmakYokAnlatmayaDevam 
@RT_Erdogan
 @EmineErdogan
 @selvacam
 @aagraliez 
@metinbulut23
 @sorgunahmet
 @BeratAlbayrak
 @TuranBdrhnoglu 
@idilgazetesi",,,,3,"['Akparti', 'Şırnak', 'Beytüşşebap', 'Taşarası', 'Mutluca', 'Bolağaç', 'DurmakYokAnlatmayaDevam']"
Anastasia Nur Özada,@Nurozada,2016-03-17T13:14:41.000Z,"#Work s #Hayattı #Yeniden #Yaşamaya #MERHABA  

#huzurlu #keyifli #Mutluca İyi İnsanları… https://instagram.com/p/BDDjE-lB45Q/",,,,,"['Work', 'Hayattı', 'Yeniden', 'Yaşamaya', 'MERHABA', 'huzurlu', 'keyifli', 'Mutluca']"
CerenSMenteş,@CerenSVNC,2014-05-24T13:57:50.000Z,#canımın #kardrşimin #biricik #meleğimin #yaşgünü #iykivarsın #seniçokseviyorum #beraber #mutluca… http://instagram.com/p/oYc-hUv9us/,,,,,"['canımın', 'kardrşimin', 'biricik', 'meleğimin', 'yaşgünü', 'iykivarsın', 'seniçokseviyorum', 'beraber', 'mutluca']"
Clock World,@ClockoftheWorld,2014-05-09T16:40:06.000Z,"Time in Mutluca, Turkey is 19:40:06 #Mutluca #Turkey #time Please retweet and visit: http://worldtimeserver.co/Country/Turkey/Time…",,,,,"['Mutluca', 'Turkey', 'time']"
NALANSU,@Bizbizim,2021-03-15T06:14:08.000Z,"Günaydın şekerler sizi
Yeni gün yeni hafta #mutluca
#gunaydın 
#Yenihafta",,6,,28,"['mutluca', 'gunaydın', 'Yenihafta']"
Ferhat Kaçar,@ferhatkacar12,2018-06-10T17:52:57.000Z,"Genel Başkan Yrd Sn 
@_cevdetyilmaz
 ve Kalkınma Bakan Yardımcımız 
@_yusufcoskun
 ile birlikte  #Mutluca (melekan) köyünde Hacı Gıyasettin Kılıç'ın taziyesine katıldık. Merhuma Allah'tan rahmet dileriz.",,,3,10,['Mutluca']
Ozgur Mandal,@OzgurMandal3,2021-01-26T17:48:18.000Z,"#Oyun, #Oyuncak, #Oyunca, #mutluca","Oyunca
This is the new address of play, game, toys and riddles. Life itself is a play anyway.
youtube.com",,,,"['Oyun', 'Oyuncak', 'Oyunca', 'mutluca']"
Gökçe Güzel ♘,@gokce_guzel,2013-12-07T13:21:17.000Z,Benim canım hocam #guzelce #mutluca #huzurca #gokcece ;) #koro #polifonik #conrul #vocal #ensemble… http://instagram.com/p/hnyqHalHdi/,,,,,"['guzelce', 'mutluca', 'huzurca', 'gokcece', 'koro', 'polifonik', 'conrul', 'vocal', 'ensemble']"
Türkiyedeki Tüm Depremler,@TumDepremler,2019-12-21T14:24:03.000Z,"#DEPREM #EARTHQUAKE
MUTLUCA-(SANLIURFA)
https://google.com/maps?q=37.0693,39.0653&ll=37.0693,39.0653&z=8…
21.12.2019, 17:06:54 TSİ(Local Time)
Büyüklük(Magnitude): 2.8
Derinlik(Depth): 4.7 km

#Türkiye #Turkey #Mutluca #(sanliurfa","37°04'09.5""N 39°03'55.1""E
google.com",,,,"['DEPREM', 'EARTHQUAKE', 'Türkiye', 'Turkey', 'Mutluca']"
Son Depremler,@zelzeleler,2018-11-30T09:54:10.000Z,"#Mutluca, #Hazro, #Diyarbakır
ML 2.1 (41 dk önce)
7km 38.26°N 40.88°E
30 Kasım 2018 12:13:06 +03
#deprem",,,,,"['Mutluca', 'Hazro', 'Diyarbakır', 'deprem']"
Son Depremler,@zelzeleler,2016-03-11T06:32:04.000Z,"Yer: #Mutluca, #Solhan, #Bingol
Büyüklük: 2.8
Derinlik: 5km
11 Mart 2016 - 08:16
#deprem",,,,,"['Mutluca', 'Solhan', 'Bingol', 'deprem']"
