username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Clarion Golden Horn,@clariongldnhorn,2016-05-27T07:01:07.000Z,"Every single detail has been taken into account for your honeymoon.
#ClarionGoldenHorn #düğün #mutlugün",,,,,"['ClarionGoldenHorn', 'düğün', 'mutlugün']"
Türklük Silinemez,@ahmetmahirakn,2015-04-12T15:31:45.000Z,"@songii86@BlueiceTr 
@zsoytan1881
 @raci1907
 @TurkiyePr
 @songull_fb 
@kan70_kan
 @vediaabugos 
@FatmaYucer
 #mutluGün
MilliBirlik
#AtatürkteBirlik",,,1,1,"['mutluGün', 'AtatürkteBirlik']"
Bahar Kizil,@baharofficial,2016-11-08T21:00:49.000Z,Happy Mind • Happy Life #mutlugün http://fb.me/1ukYIZaOj,,,1,2,['mutlugün']
ahmet sungur,@ahmtsngr16,2013-12-22T20:40:43.000Z,Photo: #dugun #düğün #weddingday #weddingphotographer #wedding #mutlugün #evlilik #married #weddingphoto... http://tmblr.co/ZD78Ow11z4-Nj,,,,,"['dugun', 'düğün', 'weddingday', 'weddingphotographer', 'wedding', 'mutlugün', 'evlilik', 'married', 'weddingphoto']"
Ezgi Bağcı,@EzgiKimsesiz,2013-10-27T13:53:54.000Z,#mutlugün #askimaskim #canımıniçi  #mutluyuzaşktanuçmuşuz #10042011denberi #sensensen @ McDonald's http://instagram.com/p/f-R3xugH7x/,,,,,"['mutlugün', 'askimaskim', 'canımıniçi', 'mutluyuzaşktanuçmuşuz', '10042011denberi', 'sensensen']"
Ceren Yıldız,@crnyldzz,2015-05-18T16:59:22.000Z,AA's Home  #asker #izni #instahappy #intalike #kutlama #intalike #instagood #mutlugün… https://instagram.com/p/21LIYsvdcy/,,,,,"['asker', 'izni', 'instahappy', 'intalike', 'kutlama', 'intalike', 'instagood', 'mutlugün']"
filiz Çfç,@FilizCfc,2017-08-15T13:46:02.000Z,eğlenin bakalım çocuklar #mutlugün,,,6,2,['mutlugün']
maviperi_79,@mavi_peri79,2017-10-06T11:00:35.000Z,"Benim için gün yeni başladıysa demek 
Musmutlu cumalar.Son iş gününüz keyifle geçsin.

#CUMA 
#mutlugün",,,,5,"['CUMA', 'mutlugün']"
ilknurk38,@ilknurkkaraman,2020-07-18T15:16:43.000Z,"Değerli kardeşlerim "" Demet ve Serhat'ın "" bu mutlu gününlerinde  Siemens Bakalit bölümü veTemsilcilerimizle yanlarında olduk. 
Güzel çiftimize Allah'tan bir ömür mutluluklar diliyorum. #MutluGün",,,,39,['MutluGün']
burcin eşkin,@eskinburcin1903,2019-04-17T03:48:16.000Z,Gülümseyin ve güne başlayın  #günaydın #çarşamba #mutlugün,,,1,29,"['günaydın', 'çarşamba', 'mutlugün']"
FERDANE,@ferdanex1,2017-08-15T14:21:03.000Z,"@Kanal7Dizileri
 @kanal7
 @kordugum_tv 
@uttaran_antv
 @UttaranANTV1 @UttaranVeecha     #MutluGün",,,4,1,['MutluGün']
Eylülcee..,@GulelcinEylul,2021-04-23T10:27:46.000Z,#23NisanKutluOlsun #NeMutluTuerkuemDiyene #23nisan #mutlugün #bayramımız,,,,2,"['23NisanKutluOlsun', 'NeMutluTuerkuemDiyene', '23nisan', 'mutlugün', 'bayramımız']"
Semmoskiii,@semrayildiz,2019-01-19T16:02:47.000Z,Ooohh ne güzel gezdim bugün çok eğlendim pek de mutluyum var mı benim gibi keyfi yerinde olan ses ver ahali,,3,1,31,[]
Semmoskiii,@semrayildiz,2019-01-19T16:48:39.000Z,#kutsalcumartesi #mutlugün fotomu da koydum,,1,,22,"['kutsalcumartesi', 'mutlugün']"
Sistar Turkey,@SISTAR_TR,2017-09-11T15:45:33.000Z,"[INSTAGRAM] 170911 #BORASTAGRAM

borabora_sugar: #mutlugün 

A/N: Üyelerimiz tekrar bir arada! ",,,,3,"['BORASTAGRAM', 'mutlugün']"
Didyma Home,@didymahome,2019-08-10T09:16:31.000Z,"Kadınlar sevilmek için yaratılmıştır. Anlamak için değil... 

– Oscar Wilde 
#günaydın #haftasonu #didymahome #cumartesi #mutlugün
#deniz #havuz #plaj #güneş #tatil",,,2,29,"['günaydın', 'haftasonu', 'didymahome', 'cumartesi', 'mutlugün', 'deniz', 'havuz', 'plaj', 'güneş', 'tatil']"
DSİ 8.Bölge Erzurum,@dsi_8_blg_md,2018-10-26T20:52:29.000Z,"Blg. Müd. Emrah Köleoğlu, Artvin Blg
Müd. Celal Tokalak ve heyeti, 8. Blg.  Şub. Müd. kont. Müh. ile birlikte 26 Blg. Müd. talebi ve genel Müdürlüğümüz talimatı üzerine 7. Sondaj ekipleri tarafından yürütülen #Yusufeli #Mutlugün Köyündeki su kuyusu çalışmalarını yerinde inceledi.",,,1,1,"['Yusufeli', 'Mutlugün']"
Özge,@krkmz_ozge,2020-03-18T12:44:13.000Z,#sözhazirliklari #heyecan #mutlugün #darisibekarlara ,,,,3,"['sözhazirliklari', 'heyecan', 'mutlugün', 'darisibekarlara']"
Tevfik DÖNMEZ,@TevfikDonmez1,2020-07-11T08:41:27.000Z,"#KutluAyasofya #MutluGün 
Bir elinde Kur’an 
Nurdur kalbinde iman
Bırakın bırakın gelsin Fatih’e zaman
Bırakın Alperen’in canı Ayasofya’ya kurban
“T.D”
#AyasofyaCamii",,1,3,19,"['KutluAyasofya', 'MutluGün', 'AyasofyaCamii']"
gu9udan Turkey,@gu9udanTurkey,2016-07-01T12:25:19.000Z,"gu9udan Instagram | 160701

#gugudan #musicbank Sizin sayenizde bugünümüz de çok mutlu geçti! #gugudan #mutlugün",,,2,2,"['gugudan', 'musicbank', 'gugudan', 'mutlugün']"
Esra Demirci,@EsraaDmrcii,2018-10-21T13:22:32.000Z,Destek tweeti #MutluGün,,1,7,7,['MutluGün']
Zeynep Demir,@ZeynepD26162111,2018-10-21T12:29:52.000Z,Bo şans #MutluGün,,,1,1,['MutluGün']
Fulya Uludağ,@fulyauludag,2018-10-21T14:23:06.000Z,Beş dakika dizi on beş dakika reklam izliyoruz  #MutluGün,,,4,6,['MutluGün']
özlem,@cix1825,2018-09-19T20:52:31.000Z,"#mutlu
#mutlulukzamanı
#mutluyuz
#mutluluğum
#mutluluğu #mutluluğun
#mutluyum
#mutluluklar
#mutluluğa
#mutluyumçünkü
#mutlupazarlar
#mutluson
#mutlukzamanı
#mutlugün
#mutluolyeter
#mutlukent
#mutluhaftasonları
#mutluyillar
#mutlulugum #harunarabaci","mutluluk: kimine göre ekmek, bazen bir çiçek, belki yavru köpek cats,...
#komikvideolarıizle , sizdebukadarmutluolursunuz ,mutlu olmak ,mutluluk budur., I'm so happy,komikvideoları ,video, eğlence, eğlenme, #harunarabaci .harun ar...
youtube.com",,10,24,"['mutlu', 'mutlulukzamanı', 'mutluyuz', 'mutluluğum', 'mutluluğu', 'mutluluğun', 'mutluyum', 'mutluluklar', 'mutluluğa', 'mutluyumçünkü', 'mutlupazarlar', 'mutluson', 'mutlukzamanı', 'mutlugün', 'mutluolyeter', 'mutlukent', 'mutluhaftasonları', 'mutluyillar', 'mutlulugum', 'harunarabaci']"
Furkan Yayar,@furkan_yayar,2017-08-15T13:25:30.000Z,#MutluGün ilk defa tapasya ve icca mutlu bir gün geçiriyo,,,7,2,['MutluGün']
